Time,ANZ - Security - Lavinias Story 30 TVC,ANZ - Security - Lavinias Story 30 TVC,ANZ - Security - Lavinias Story 30 TVC,ANZ - Security - Lavinias Story 30 TVC,ANZ - Security - Lavinias Story 30 TVC,ANZ - Security - Lavinias Story 30 TVC,ANZ - Security - Lavinias Story 30 TVC,ANZ - Security - Lavinias Story 30 TVC,ANZ - Security - Lavinias Story 30 TVC,ANZ - Security - Lavinias Story 30 TVC,ANZ - Security - Lavinias Story 30 TVC,ANZ - Security - Lavinias Story 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.3845,0.6374,0.4465,0.5833,0.4841,0.5337,0.3253,0.3204,0.3228,0.4402,0.4013,0.4208
0.1,0.3853,0.6375,0.4562,0.5799,0.5091,0.5445,0.3266,0.3516,0.3391,0.4809,0.4203,0.4506
0.2,0.3826,0.6378,0.4643,0.5749,0.5323,0.5536,0.3395,0.3829,0.3612,0.5245,0.4436,0.484
0.3,0.3764,0.6381,0.4704,0.5695,0.5537,0.5616,0.3618,0.4128,0.3873,0.5688,0.4698,0.5193
0.4,0.367,0.6388,0.4747,0.565,0.5741,0.5696,0.391,0.44,0.4155,0.6122,0.4972,0.5547
0.5,0.3536,0.6402,0.4775,0.5628,0.5946,0.5787,0.4256,0.4645,0.445,0.6533,0.5245,0.5889
0.6,0.3349,0.6424,0.4791,0.5632,0.6158,0.5895,0.4644,0.4871,0.4757,0.6907,0.5505,0.6206
0.7,0.3103,0.6452,0.4791,0.5662,0.6377,0.602,0.5057,0.5083,0.507,0.723,0.5746,0.6488
0.8,0.2799,0.6483,0.477,0.5712,0.6605,0.6159,0.5472,0.5277,0.5375,0.7493,0.5963,0.6728
0.9,0.2439,0.6518,0.4732,0.5779,0.6842,0.631,0.5872,0.545,0.5661,0.7696,0.6151,0.6924
1,0.2027,0.6554,0.4684,0.5854,0.7083,0.6469,0.625,0.5599,0.5924,0.7838,0.6309,0.7074
1.1,0.156,0.6588,0.4631,0.5925,0.7325,0.6625,0.6604,0.5731,0.6167,0.7915,0.6435,0.7175
1.2,0.1043,0.6617,0.4575,0.5984,0.7559,0.6772,0.6935,0.5856,0.6395,0.7927,0.6527,0.7227
1.3,0.0489,0.6637,0.4523,0.603,0.7776,0.6903,0.7241,0.598,0.6611,0.7878,0.6586,0.7232
1.4,-0.0084,0.6646,0.4478,0.6062,0.7967,0.7015,0.7513,0.6101,0.6807,0.7779,0.661,0.7194
1.5,-0.0666,0.6646,0.4445,0.6081,0.8129,0.7105,0.7742,0.6212,0.6977,0.7638,0.6595,0.7117
1.6,-0.126,0.6637,0.4424,0.6083,0.826,0.7172,0.7927,0.631,0.7119,0.7464,0.6539,0.7001
1.7,-0.1869,0.6619,0.441,0.606,0.8357,0.7209,0.8068,0.6392,0.723,0.726,0.644,0.685
1.8,-0.2486,0.659,0.4391,0.6003,0.842,0.7211,0.8169,0.6455,0.7312,0.7023,0.6296,0.6659
1.9,-0.3088,0.6549,0.4355,0.5908,0.8446,0.7177,0.8231,0.6494,0.7363,0.6751,0.6103,0.6427
2,-0.3652,0.6496,0.4294,0.5777,0.8438,0.7107,0.8252,0.6508,0.738,0.6444,0.5859,0.6152
2.1,-0.4162,0.6434,0.4208,0.5619,0.8401,0.701,0.8229,0.65,0.7365,0.6108,0.5568,0.5838
2.2,-0.4617,0.6366,0.4109,0.5445,0.8344,0.6894,0.8164,0.6478,0.7321,0.5752,0.524,0.5496
2.3,-0.5015,0.6299,0.401,0.5267,0.8274,0.677,0.8059,0.6447,0.7253,0.5391,0.4898,0.5144
2.4,-0.535,0.6236,0.3922,0.5101,0.8198,0.665,0.7917,0.6411,0.7164,0.5044,0.4567,0.4806
2.5,-0.5612,0.6183,0.3851,0.4965,0.8124,0.6544,0.7748,0.6367,0.7057,0.4729,0.4265,0.4497
2.6,-0.5785,0.6147,0.3797,0.4871,0.8059,0.6465,0.7561,0.6316,0.6938,0.4455,0.4003,0.4229
2.7,-0.5869,0.613,0.3759,0.4824,0.801,0.6417,0.7368,0.6262,0.6815,0.423,0.3788,0.4009
2.8,-0.5873,0.6136,0.3746,0.4821,0.7981,0.6401,0.7178,0.6216,0.6697,0.406,0.3625,0.3842
2.9,-0.5802,0.6166,0.3763,0.4854,0.797,0.6412,0.6993,0.6185,0.6589,0.3946,0.3514,0.373
3,-0.5645,0.6215,0.3813,0.4914,0.7964,0.6439,0.6816,0.6171,0.6493,0.389,0.3452,0.3671
