Time,Alinta Energy - Australias Journey To Renewable Future 30 TVC,Alinta Energy - Australias Journey To Renewable Future 30 TVC,Alinta Energy - Australias Journey To Renewable Future 30 TVC,Alinta Energy - Australias Journey To Renewable Future 30 TVC,Alinta Energy - Australias Journey To Renewable Future 30 TVC,Alinta Energy - Australias Journey To Renewable Future 30 TVC,Alinta Energy - Australias Journey To Renewable Future 30 TVC,Alinta Energy - Australias Journey To Renewable Future 30 TVC,Alinta Energy - Australias Journey To Renewable Future 30 TVC,Alinta Energy - Australias Journey To Renewable Future 30 TVC,Alinta Energy - Australias Journey To Renewable Future 30 TVC,Alinta Energy - Australias Journey To Renewable Future 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.166,0.6834,0.655,0.8042,0.7423,0.7732,0.6668,0.6933,0.68,0.5592,0.6091,0.5842
0.1,-0.1965,0.7111,0.6193,0.8205,0.7743,0.7974,0.6402,0.6674,0.6538,0.5447,0.5705,0.5576
0.2,-0.225,0.7425,0.5865,0.8369,0.8092,0.8231,0.6141,0.6434,0.6287,0.5291,0.5338,0.5314
0.3,-0.2512,0.7772,0.5556,0.8533,0.8463,0.8498,0.5902,0.6208,0.6055,0.5128,0.4993,0.5061
0.4,-0.2743,0.8144,0.5262,0.8701,0.8844,0.8773,0.5699,0.6001,0.585,0.4966,0.4678,0.4822
0.5,-0.2935,0.8537,0.4994,0.8873,0.9224,0.9048,0.5539,0.5831,0.5685,0.4808,0.4396,0.4602
0.6,-0.3079,0.8943,0.477,0.9044,0.9586,0.9315,0.5432,0.572,0.5576,0.4652,0.4149,0.44
0.7,-0.3167,0.935,0.4612,0.921,0.9912,0.9561,0.5387,0.5687,0.5537,0.4494,0.3935,0.4214
0.8,-0.3188,0.9749,0.4539,0.9365,1.0188,0.9776,0.5407,0.5746,0.5576,0.4329,0.375,0.404
0.9,-0.3138,1.0127,0.4563,0.9504,1.04,0.9952,0.5476,0.589,0.5683,0.415,0.359,0.387
1,-0.302,1.0471,0.4689,0.9622,1.0536,1.0079,0.5581,0.61,0.5841,0.3957,0.3452,0.3704
1.1,-0.2844,1.0764,0.4918,0.9707,1.0586,1.0147,0.5716,0.6363,0.6039,0.3755,0.3339,0.3547
1.2,-0.2625,1.0992,0.5257,0.9752,1.054,1.0146,0.5885,0.6675,0.628,0.356,0.3264,0.3412
1.3,-0.237,1.115,0.5707,0.9749,1.039,1.0069,0.6094,0.7039,0.6567,0.3386,0.3241,0.3314
1.4,-0.2068,1.1234,0.6252,0.9688,1.0128,0.9908,0.6334,0.744,0.6887,0.3243,0.3281,0.3262
1.5,-0.1702,1.1237,0.6858,0.9564,0.9743,0.9654,0.659,0.7849,0.7219,0.3139,0.3393,0.3266
1.6,-0.1264,1.1153,0.747,0.9375,0.9233,0.9304,0.6848,0.8232,0.754,0.3083,0.3586,0.3334
1.7,-0.0751,1.0974,0.8018,0.9121,0.8602,0.8862,0.7101,0.8559,0.783,0.3089,0.3864,0.3476
1.8,-0.0169,1.0692,0.844,0.8804,0.7857,0.833,0.7344,0.8814,0.8079,0.3163,0.4218,0.3691
1.9,0.0468,1.0308,0.8709,0.8421,0.7024,0.7723,0.7562,0.8994,0.8278,0.3309,0.462,0.3965
2,0.1147,0.9824,0.8822,0.7971,0.6144,0.7057,0.7736,0.9096,0.8416,0.3526,0.5034,0.428
2.1,0.1848,0.9252,0.8797,0.7456,0.527,0.6363,0.7847,0.9115,0.8481,0.3816,0.5425,0.462
2.2,0.2532,0.8617,0.8654,0.6891,0.4459,0.5675,0.7888,0.905,0.8469,0.4183,0.577,0.4977
2.3,0.3151,0.7966,0.8423,0.6319,0.3766,0.5043,0.786,0.891,0.8385,0.4622,0.6061,0.5342
2.4,0.3664,0.7354,0.8131,0.5795,0.3226,0.451,0.7773,0.8715,0.8244,0.5112,0.63,0.5706
2.5,0.406,0.6826,0.7804,0.5357,0.2853,0.4105,0.7638,0.8482,0.806,0.5619,0.6495,0.6057
2.6,0.4355,0.6397,0.7457,0.5017,0.2636,0.3826,0.7462,0.8218,0.784,0.6107,0.6657,0.6382
2.7,0.4578,0.6062,0.7098,0.4763,0.2551,0.3657,0.7245,0.7919,0.7582,0.6551,0.6794,0.6673
2.8,0.4752,0.5806,0.6732,0.4579,0.2568,0.3573,0.6998,0.7588,0.7293,0.6943,0.691,0.6926
2.9,0.4892,0.5619,0.6367,0.4452,0.2663,0.3558,0.6732,0.7231,0.6981,0.7282,0.7008,0.7145
3,0.4996,0.5495,0.6015,0.4375,0.282,0.3598,0.6463,0.686,0.6661,0.7568,0.71,0.7334
3.1,0.5062,0.5427,0.5688,0.434,0.3029,0.3685,0.6197,0.6491,0.6344,0.7803,0.7192,0.7498
3.2,0.5085,0.5402,0.5395,0.4338,0.3277,0.3807,0.5939,0.6136,0.6038,0.7984,0.7277,0.763
3.3,0.5071,0.5405,0.514,0.4362,0.3545,0.3953,0.5693,0.5807,0.575,0.8106,0.7344,0.7725
3.4,0.503,0.5423,0.4925,0.4405,0.3818,0.4112,0.5468,0.5513,0.5491,0.8168,0.7386,0.7777
3.5,0.4969,0.5452,0.4747,0.4465,0.4087,0.4276,0.527,0.5262,0.5266,0.8172,0.7404,0.7788
3.6,0.489,0.549,0.4608,0.4542,0.4347,0.4445,0.5103,0.5055,0.5079,0.8122,0.74,0.7761
3.7,0.4792,0.5535,0.4508,0.4634,0.4593,0.4614,0.4964,0.4895,0.493,0.8025,0.7381,0.7703
3.8,0.467,0.558,0.4453,0.4733,0.4818,0.4776,0.4853,0.4792,0.4822,0.7892,0.7353,0.7623
3.9,0.4518,0.5619,0.4452,0.4833,0.5016,0.4925,0.4767,0.4755,0.4761,0.773,0.7319,0.7524
4,0.4327,0.565,0.451,0.4926,0.5187,0.5057,0.4708,0.4784,0.4746,0.7547,0.7279,0.7413
4.1,0.4092,0.5671,0.462,0.5007,0.5336,0.5172,0.4676,0.487,0.4773,0.7355,0.7237,0.7296
4.2,0.3819,0.5679,0.4765,0.5073,0.5468,0.527,0.4666,0.4995,0.4831,0.7166,0.719,0.7178
4.3,0.3518,0.5672,0.4925,0.5123,0.5582,0.5352,0.4673,0.514,0.4907,0.6989,0.7138,0.7064
4.4,0.3199,0.565,0.5093,0.5158,0.5676,0.5417,0.4698,0.5302,0.5,0.6836,0.7078,0.6957
4.5,0.2867,0.5621,0.5265,0.5184,0.575,0.5467,0.4742,0.5483,0.5112,0.6713,0.7013,0.6863
4.6,0.2521,0.5598,0.5443,0.5206,0.581,0.5508,0.4807,0.5685,0.5246,0.6622,0.6945,0.6784
4.7,0.2167,0.5595,0.5627,0.5227,0.5863,0.5545,0.4887,0.5899,0.5393,0.6564,0.6872,0.6718
4.8,0.1814,0.5615,0.5809,0.5245,0.5912,0.5578,0.4977,0.6111,0.5544,0.6534,0.6794,0.6664
4.9,0.1472,0.5656,0.598,0.5254,0.5957,0.5606,0.5071,0.6312,0.5692,0.6532,0.6713,0.6622
5,0.115,0.5718,0.613,0.5253,0.5996,0.5625,0.5165,0.6499,0.5832,0.6554,0.6631,0.6592
5.1,0.0856,0.58,0.6248,0.5239,0.6025,0.5632,0.5253,0.667,0.5962,0.6592,0.655,0.6571
5.2,0.0592,0.5898,0.6322,0.5209,0.6045,0.5627,0.533,0.6824,0.6077,0.6639,0.6465,0.6552
5.3,0.0357,0.6009,0.6348,0.5167,0.606,0.5614,0.5397,0.6958,0.6178,0.6689,0.6376,0.6533
5.4,0.0146,0.6126,0.6333,0.5118,0.608,0.5599,0.5461,0.7068,0.6264,0.6748,0.6293,0.6521
5.5,-0.0043,0.6244,0.6291,0.5069,0.6113,0.5591,0.5533,0.7159,0.6346,0.6828,0.6234,0.6531
5.6,-0.0212,0.6365,0.6235,0.5028,0.6167,0.5598,0.5624,0.7241,0.6432,0.6937,0.6222,0.6579
5.7,-0.0362,0.649,0.6174,0.5003,0.6243,0.5623,0.5736,0.7323,0.6529,0.7077,0.6273,0.6675
5.8,-0.0491,0.6613,0.6108,0.4996,0.6337,0.5666,0.5872,0.7408,0.664,0.7243,0.6388,0.6815
5.9,-0.059,0.6724,0.6036,0.5001,0.6437,0.5719,0.6031,0.7496,0.6763,0.743,0.6562,0.6996
6,-0.065,0.681,0.5957,0.5007,0.6531,0.5769,0.621,0.7583,0.6897,0.7638,0.6781,0.721
6.1,-0.0667,0.6868,0.5876,0.5011,0.6613,0.5812,0.6409,0.7668,0.7038,0.7862,0.7032,0.7447
6.2,-0.0647,0.69,0.5797,0.5016,0.6683,0.585,0.6623,0.7752,0.7187,0.8091,0.7298,0.7694
6.3,-0.0604,0.6909,0.5723,0.502,0.6748,0.5884,0.6845,0.7839,0.7342,0.8307,0.7565,0.7936
6.4,-0.0552,0.6897,0.5657,0.502,0.681,0.5915,0.7072,0.7932,0.7502,0.8491,0.7817,0.8154
6.5,-0.0494,0.6859,0.5606,0.5013,0.687,0.5941,0.73,0.803,0.7665,0.8636,0.8041,0.8338
6.6,-0.0419,0.6798,0.5573,0.5,0.6925,0.5962,0.7521,0.8131,0.7826,0.8741,0.8231,0.8486
6.7,-0.0317,0.6719,0.5557,0.4991,0.6973,0.5982,0.7726,0.823,0.7978,0.8815,0.8388,0.8602
6.8,-0.0187,0.6632,0.5554,0.4997,0.7012,0.6005,0.7911,0.8321,0.8116,0.8867,0.8518,0.8693
6.9,-0.004,0.6542,0.5556,0.5024,0.7045,0.6034,0.807,0.8397,0.8234,0.8901,0.8617,0.8759
7,0.0107,0.6449,0.5555,0.5064,0.7066,0.6065,0.8199,0.8453,0.8326,0.8916,0.8678,0.8797
7.1,0.0243,0.6346,0.5544,0.5105,0.7068,0.6087,0.8293,0.8483,0.8388,0.8906,0.8693,0.88
7.2,0.0363,0.6232,0.5521,0.5141,0.7046,0.6093,0.8346,0.8486,0.8416,0.8869,0.8658,0.8763
7.3,0.0473,0.6106,0.5482,0.5172,0.6995,0.6083,0.8359,0.8461,0.841,0.8804,0.8576,0.869
7.4,0.0582,0.5974,0.5424,0.5204,0.6916,0.606,0.8335,0.8406,0.837,0.8715,0.8455,0.8585
7.5,0.0699,0.5836,0.5343,0.5243,0.6807,0.6025,0.8279,0.8323,0.8301,0.8606,0.8304,0.8455
7.6,0.084,0.5691,0.5238,0.5291,0.6665,0.5978,0.819,0.8217,0.8203,0.8481,0.8127,0.8304
7.7,0.1009,0.5542,0.5116,0.5356,0.6494,0.5925,0.8068,0.8092,0.808,0.8339,0.793,0.8134
7.8,0.1201,0.5396,0.4995,0.5441,0.63,0.5871,0.7916,0.7961,0.7938,0.818,0.772,0.795
7.9,0.1407,0.526,0.4892,0.5548,0.6092,0.582,0.7745,0.7832,0.7788,0.801,0.7508,0.7759
8,0.1614,0.5138,0.4817,0.5672,0.5877,0.5774,0.7564,0.7711,0.7638,0.7834,0.7305,0.7569
8.1,0.182,0.5027,0.4769,0.5806,0.5656,0.5731,0.7381,0.7594,0.7488,0.7655,0.7122,0.7388
8.2,0.2029,0.493,0.4738,0.5946,0.5435,0.569,0.7197,0.7477,0.7337,0.7473,0.696,0.7216
