Time,Bank of Queensland - Home Loan Refinance 15 TVC,Bank of Queensland - Home Loan Refinance 15 TVC,Bank of Queensland - Home Loan Refinance 15 TVC,Bank of Queensland - Home Loan Refinance 15 TVC,Bank of Queensland - Home Loan Refinance 15 TVC,Bank of Queensland - Home Loan Refinance 15 TVC,Bank of Queensland - Home Loan Refinance 15 TVC,Bank of Queensland - Home Loan Refinance 15 TVC,Bank of Queensland - Home Loan Refinance 15 TVC,Bank of Queensland - Home Loan Refinance 15 TVC,Bank of Queensland - Home Loan Refinance 15 TVC,Bank of Queensland - Home Loan Refinance 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.5253,0.4309,-0.0349,0.5694,0.1733,0.3713,0.6493,0.2819,0.4656,0.6564,0.5835,0.62
0.1,0.4494,0.4386,-0.0123,0.5619,0.1832,0.3725,0.6371,0.2736,0.4553,0.6716,0.5707,0.6211
0.2,0.3766,0.4432,0.009,0.5538,0.191,0.3724,0.6275,0.2686,0.4481,0.6841,0.556,0.6201
0.3,0.3079,0.4449,0.0306,0.5456,0.1976,0.3716,0.6199,0.2666,0.4433,0.693,0.5397,0.6164
0.4,0.2439,0.444,0.0543,0.5377,0.2042,0.371,0.6135,0.268,0.4408,0.6986,0.5224,0.6105
0.5,0.185,0.4406,0.0811,0.5301,0.2113,0.3707,0.6079,0.2739,0.4409,0.7019,0.5054,0.6037
0.6,0.1326,0.4345,0.1106,0.5226,0.2188,0.3707,0.6032,0.285,0.4441,0.7038,0.4901,0.597
0.7,0.0887,0.4257,0.1414,0.5158,0.2266,0.3712,0.5997,0.3009,0.4503,0.705,0.4776,0.5913
0.8,0.0544,0.4146,0.1724,0.5104,0.2356,0.373,0.5977,0.3209,0.4593,0.7058,0.4683,0.5871
0.9,0.0291,0.4021,0.2036,0.5069,0.247,0.377,0.5963,0.3438,0.4701,0.7066,0.4623,0.5844
1,0.0115,0.3892,0.2352,0.5052,0.2619,0.3835,0.5948,0.3687,0.4818,0.7074,0.4598,0.5836
1.1,0.0007,0.3764,0.2672,0.5043,0.2798,0.3921,0.5926,0.3946,0.4936,0.7086,0.4608,0.5847
1.2,-0.0031,0.3631,0.2985,0.5035,0.2992,0.4013,0.5895,0.4206,0.505,0.7101,0.4651,0.5876
1.3,0.0005,0.3491,0.3283,0.5023,0.3188,0.4105,0.5855,0.4455,0.5155,0.7121,0.4725,0.5923
1.4,0.0115,0.3342,0.3562,0.5006,0.3382,0.4194,0.5806,0.4679,0.5242,0.7145,0.4826,0.5986
1.5,0.0292,0.3194,0.3821,0.4985,0.3577,0.4281,0.5748,0.4867,0.5307,0.7174,0.4952,0.6063
1.6,0.0531,0.3052,0.4056,0.496,0.3776,0.4368,0.568,0.5012,0.5346,0.7209,0.5098,0.6153
1.7,0.0828,0.2924,0.4264,0.4933,0.3973,0.4453,0.5599,0.5105,0.5352,0.7244,0.5254,0.6249
1.8,0.1166,0.2815,0.4436,0.4903,0.4157,0.453,0.5499,0.5137,0.5318,0.7276,0.5414,0.6345
1.9,0.1516,0.2733,0.4567,0.4875,0.4323,0.4599,0.5375,0.511,0.5243,0.73,0.5572,0.6436
