Time,Bankwest Fee Free Travel 15 TVC,Bankwest Fee Free Travel 15 TVC,Bankwest Fee Free Travel 15 TVC,Bankwest Fee Free Travel 15 TVC,Bankwest Fee Free Travel 15 TVC,Bankwest Fee Free Travel 15 TVC,Bankwest Fee Free Travel 15 TVC,Bankwest Fee Free Travel 15 TVC,Bankwest Fee Free Travel 15 TVC,Bankwest Fee Free Travel 15 TVC,Bankwest Fee Free Travel 15 TVC,Bankwest Fee Free Travel 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0486,0.8453,0.6805,0.2989,0.7192,0.509,0.6905,0.5634,0.627,1.0721,0.8149,0.9435
0.1,-0.0724,0.8541,0.6539,0.2886,0.7269,0.5077,0.668,0.5492,0.6086,1.0537,0.7739,0.9138
0.2,-0.0921,0.8638,0.6269,0.2819,0.7352,0.5085,0.6481,0.537,0.5925,1.0323,0.7295,0.8809
0.3,-0.1089,0.8742,0.6005,0.2782,0.7441,0.5111,0.6306,0.527,0.5788,1.0101,0.6838,0.847
0.4,-0.1239,0.8856,0.5767,0.2782,0.7537,0.516,0.6159,0.52,0.5679,0.9886,0.6396,0.8141
0.5,-0.1384,0.8981,0.5569,0.2833,0.7646,0.524,0.6049,0.5161,0.5605,0.9683,0.5992,0.7838
0.6,-0.1542,0.9117,0.5413,0.2938,0.7774,0.5356,0.5979,0.5152,0.5566,0.949,0.5637,0.7564
0.7,-0.1724,0.9257,0.5297,0.3087,0.7919,0.5503,0.5938,0.5163,0.5551,0.9306,0.5333,0.732
0.8,-0.193,0.939,0.5219,0.3265,0.8071,0.5668,0.5918,0.5185,0.5552,0.9129,0.5074,0.7102
0.9,-0.2158,0.9512,0.5176,0.3466,0.8225,0.5846,0.5917,0.5217,0.5567,0.8949,0.4851,0.69
1,-0.2397,0.9621,0.5166,0.3685,0.8378,0.6032,0.5933,0.5261,0.5597,0.8758,0.4649,0.6703
1.1,-0.2639,0.9715,0.5184,0.3916,0.853,0.6223,0.597,0.5311,0.5641,0.8557,0.4463,0.651
1.2,-0.2876,0.979,0.5217,0.4146,0.8678,0.6412,0.6025,0.5354,0.5689,0.8357,0.4291,0.6324
1.3,-0.3089,0.9836,0.5244,0.4365,0.8811,0.6588,0.6089,0.5375,0.5732,0.8164,0.4128,0.6146
1.4,-0.325,0.9846,0.5253,0.4571,0.8917,0.6744,0.616,0.5367,0.5763,0.7974,0.3971,0.5973
1.5,-0.3342,0.9818,0.5242,0.4776,0.8992,0.6884,0.6235,0.5333,0.5784,0.7785,0.3819,0.5802
1.6,-0.3364,0.9757,0.521,0.4989,0.9038,0.7014,0.6317,0.528,0.5799,0.7603,0.3673,0.5638
1.7,-0.3328,0.9665,0.516,0.5206,0.9056,0.7131,0.6408,0.5211,0.581,0.7436,0.3538,0.5487
1.8,-0.3246,0.9541,0.509,0.5417,0.9042,0.723,0.6504,0.5127,0.5816,0.7279,0.3414,0.5347
1.9,-0.3128,0.9387,0.4999,0.5613,0.8988,0.7301,0.6596,0.5031,0.5814,0.7129,0.3296,0.5212
2,-0.2997,0.9213,0.4889,0.5794,0.8896,0.7345,0.6677,0.4933,0.5805,0.6986,0.3179,0.5083
2.1,-0.2877,0.9035,0.4766,0.5969,0.8777,0.7373,0.6751,0.4845,0.5798,0.6861,0.3064,0.4962
2.2,-0.2786,0.8858,0.4641,0.6151,0.8651,0.7401,0.6826,0.4776,0.5801,0.6761,0.2953,0.4857
2.3,-0.272,0.8678,0.4521,0.6346,0.853,0.7438,0.691,0.4733,0.5822,0.6685,0.2853,0.4769
2.4,-0.2668,0.8485,0.4409,0.6545,0.8417,0.7481,0.7007,0.472,0.5863,0.6627,0.2769,0.4698
2.5,-0.2611,0.8277,0.4309,0.674,0.8313,0.7526,0.7116,0.4735,0.5926,0.6587,0.2706,0.4647
2.6,-0.2541,0.8061,0.4228,0.6927,0.8223,0.7575,0.7238,0.4779,0.6008,0.6571,0.2671,0.4621
2.7,-0.2457,0.7846,0.4171,0.7103,0.8158,0.7631,0.7368,0.4853,0.6111,0.6584,0.267,0.4627
2.8,-0.2362,0.7634,0.414,0.7258,0.8121,0.769,0.7503,0.4955,0.6229,0.6623,0.2709,0.4666
2.9,-0.2249,0.7428,0.4141,0.7378,0.8111,0.7745,0.7631,0.508,0.6355,0.6674,0.2783,0.4728
3,-0.2102,0.7232,0.418,0.7456,0.812,0.7788,0.7739,0.5226,0.6483,0.6725,0.2879,0.4802
3.1,-0.1898,0.7052,0.4247,0.7496,0.8136,0.7816,0.7826,0.5382,0.6604,0.6773,0.299,0.4881
3.2,-0.163,0.6885,0.4325,0.75,0.8152,0.7826,0.7893,0.5538,0.6715,0.6814,0.3115,0.4964
3.3,-0.1312,0.6728,0.4401,0.7468,0.8159,0.7814,0.794,0.568,0.681,0.6844,0.3258,0.5051
3.4,-0.0962,0.6583,0.4475,0.739,0.8156,0.7773,0.7966,0.5804,0.6885,0.6858,0.3421,0.5139
