Time,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC,Birds Eye - Oven Bake 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.4033,0.6313,0.4304,0.8768,0.4603,0.6685,0.684,0.6897,0.6869,0.7837,0.4431,0.6134
0.1,0.4415,0.6285,0.4223,0.8624,0.4482,0.6553,0.6616,0.7027,0.6822,0.7947,0.4518,0.6233
0.2,0.4739,0.6242,0.4172,0.8493,0.4379,0.6436,0.6403,0.713,0.6767,0.7991,0.4594,0.6292
0.3,0.4992,0.618,0.415,0.8375,0.43,0.6338,0.6211,0.7212,0.6712,0.7969,0.4661,0.6315
0.4,0.517,0.6104,0.4163,0.8271,0.4252,0.6261,0.6047,0.7283,0.6665,0.7891,0.4731,0.6311
0.5,0.5272,0.6019,0.4216,0.8177,0.4234,0.6206,0.5909,0.7345,0.6627,0.7766,0.4816,0.6291
0.6,0.5305,0.5935,0.4309,0.8089,0.424,0.6165,0.5795,0.7393,0.6594,0.7599,0.4916,0.6257
0.7,0.528,0.5859,0.4432,0.8004,0.4258,0.6131,0.5696,0.7417,0.6556,0.7391,0.5025,0.6208
0.8,0.5204,0.5794,0.4574,0.7917,0.4279,0.6098,0.5605,0.741,0.6507,0.7155,0.5136,0.6146
0.9,0.5077,0.5732,0.4724,0.7822,0.4299,0.6061,0.5516,0.7375,0.6445,0.6914,0.525,0.6082
1,0.4895,0.5665,0.4878,0.7713,0.4318,0.6016,0.5428,0.7312,0.637,0.6683,0.5369,0.6026
1.1,0.4656,0.5593,0.5034,0.7583,0.4338,0.5961,0.535,0.7226,0.6288,0.647,0.5498,0.5984
1.2,0.4351,0.5523,0.5187,0.7433,0.4367,0.59,0.5298,0.7118,0.6208,0.6281,0.5642,0.5962
1.3,0.3978,0.5468,0.5324,0.7272,0.4411,0.5842,0.5284,0.6995,0.6139,0.6119,0.5801,0.596
1.4,0.354,0.5435,0.5432,0.7112,0.4478,0.5795,0.5311,0.6869,0.609,0.5987,0.5968,0.5978
1.5,0.3047,0.5426,0.5504,0.6967,0.4575,0.5771,0.5376,0.6751,0.6064,0.5889,0.6134,0.6012
1.6,0.2514,0.5445,0.5536,0.6848,0.4708,0.5778,0.5479,0.6652,0.6066,0.5826,0.6293,0.6059
1.7,0.1967,0.5494,0.5526,0.6764,0.4874,0.5819,0.5625,0.6577,0.6101,0.579,0.6435,0.6113
1.8,0.1426,0.5581,0.547,0.6721,0.507,0.5895,0.5814,0.6526,0.617,0.5773,0.6547,0.616
1.9,0.0907,0.5706,0.5356,0.6719,0.5294,0.6007,0.6043,0.6502,0.6272,0.5763,0.6619,0.6191
2,0.0422,0.5865,0.5182,0.6757,0.5548,0.6152,0.6308,0.6503,0.6405,0.5753,0.6646,0.62
2.1,-0.002,0.6048,0.4954,0.683,0.5826,0.6328,0.6612,0.6528,0.657,0.5744,0.6633,0.6188
2.2,-0.0412,0.6246,0.4689,0.6934,0.612,0.6527,0.696,0.6576,0.6768,0.5739,0.6591,0.6165
2.3,-0.0744,0.6456,0.4408,0.7075,0.6419,0.6747,0.7347,0.6642,0.6995,0.5743,0.6527,0.6135
2.4,-0.1015,0.6678,0.4126,0.7256,0.6714,0.6985,0.7763,0.673,0.7246,0.5753,0.6443,0.6098
2.5,-0.122,0.691,0.3855,0.7481,0.7008,0.7244,0.8192,0.6842,0.7517,0.5764,0.6337,0.6051
2.6,-0.1351,0.7149,0.3602,0.7747,0.7302,0.7524,0.862,0.6981,0.7801,0.5766,0.6208,0.5987
2.7,-0.1405,0.7387,0.3377,0.8044,0.7597,0.782,0.9043,0.7143,0.8093,0.575,0.6055,0.5902
2.8,-0.138,0.7616,0.3192,0.8358,0.789,0.8124,0.9455,0.7321,0.8388,0.5705,0.5883,0.5794
2.9,-0.1277,0.7832,0.3057,0.8677,0.818,0.8429,0.9853,0.7509,0.8681,0.5625,0.57,0.5662
3,-0.1102,0.8033,0.2981,0.8995,0.8469,0.8732,1.0227,0.7706,0.8967,0.551,0.5519,0.5515
3.1,-0.0854,0.8217,0.2959,0.9309,0.8752,0.9031,1.0572,0.7913,0.9243,0.5369,0.5352,0.5361
3.2,-0.0527,0.8384,0.2981,0.9625,0.9023,0.9324,1.0879,0.8124,0.9501,0.5209,0.5212,0.5211
3.3,-0.011,0.853,0.3037,0.9947,0.9272,0.961,1.1137,0.8325,0.9731,0.5038,0.5107,0.5072
3.4,0.0398,0.865,0.3122,1.0279,0.9485,0.9882,1.1334,0.8503,0.9919,0.4854,0.5038,0.4946
3.5,0.0976,0.8743,0.3241,1.0611,0.9654,1.0132,1.1462,0.8651,1.0056,0.4659,0.5013,0.4836
3.6,0.1594,0.8808,0.3401,1.0931,0.9772,1.0352,1.1518,0.8775,1.0146,0.4461,0.5044,0.4753
3.7,0.2231,0.8843,0.3603,1.1232,0.984,1.0536,1.1502,0.8886,1.0194,0.4279,0.514,0.4709
3.8,0.2879,0.8847,0.3833,1.1515,0.9858,1.0686,1.141,0.8986,1.0198,0.4133,0.5298,0.4715
3.9,0.353,0.8825,0.4073,1.1782,0.9829,1.0805,1.1237,0.9069,1.0153,0.403,0.5501,0.4765
4,0.4166,0.8778,0.4305,1.2031,0.9759,1.0895,1.098,0.9124,1.0052,0.3966,0.5728,0.4847
4.1,0.4759,0.8708,0.452,1.2253,0.966,1.0956,1.0653,0.9147,0.99,0.3935,0.5959,0.4947
4.2,0.5289,0.8614,0.4713,1.2436,0.9542,1.0989,1.0277,0.9133,0.9705,0.3939,0.6176,0.5057
4.3,0.5743,0.85,0.4875,1.2579,0.9411,1.0995,0.9879,0.9072,0.9476,0.3977,0.6357,0.5167
4.4,0.6117,0.8374,0.5,1.2687,0.9272,1.098,0.9483,0.8952,0.9218,0.4037,0.6481,0.5259
4.5,0.6397,0.8249,0.5083,1.2767,0.913,1.0948,0.911,0.8769,0.894,0.4107,0.6535,0.5321
4.6,0.6565,0.814,0.5126,1.2823,0.8989,1.0906,0.8774,0.8536,0.8655,0.418,0.6516,0.5348
4.7,0.6611,0.8055,0.5136,1.2857,0.8852,1.0855,0.8483,0.8273,0.8378,0.4257,0.6427,0.5342
4.8,0.6545,0.8001,0.5119,1.2872,0.8727,1.0799,0.8236,0.8004,0.812,0.434,0.6277,0.5308
4.9,0.6395,0.7983,0.5078,1.2871,0.8621,1.0746,0.803,0.7738,0.7884,0.4422,0.6076,0.5249
5,0.6185,0.8001,0.5011,1.2853,0.8541,1.0697,0.7866,0.7485,0.7676,0.4495,0.5837,0.5166
5.1,0.5936,0.8051,0.4917,1.2811,0.8486,1.0649,0.774,0.7259,0.75,0.4557,0.5575,0.5066
5.2,0.5666,0.8126,0.4799,1.2739,0.8452,1.0595,0.765,0.7078,0.7364,0.4616,0.5308,0.4962
5.3,0.5384,0.8212,0.4663,1.263,0.8429,1.053,0.7588,0.6953,0.7271,0.4685,0.5056,0.4871
5.4,0.5094,0.8297,0.4515,1.2479,0.8409,1.0444,0.7546,0.6888,0.7217,0.4772,0.4836,0.4804
5.5,0.4795,0.8371,0.4367,1.2279,0.8385,1.0332,0.7515,0.6871,0.7193,0.4873,0.4655,0.4764
5.6,0.4477,0.8427,0.4228,1.2018,0.8357,1.0188,0.7486,0.6893,0.7189,0.4974,0.4509,0.4741
5.7,0.4131,0.8457,0.4097,1.1687,0.8333,1.001,0.7446,0.6946,0.7196,0.5062,0.4387,0.4724
5.8,0.3755,0.8454,0.3969,1.1278,0.8314,0.9796,0.7388,0.7022,0.7205,0.5129,0.4278,0.4704
5.9,0.3351,0.8415,0.3838,1.0791,0.8302,0.9546,0.731,0.7114,0.7212,0.5177,0.4183,0.468
6,0.2921,0.8341,0.3713,1.0235,0.8298,0.9267,0.7214,0.7213,0.7213,0.5212,0.4107,0.466
6.1,0.2456,0.8237,0.3603,0.9629,0.8305,0.8967,0.7103,0.7319,0.7211,0.5236,0.4058,0.4647
6.2,0.1953,0.8113,0.3518,0.8997,0.8327,0.8662,0.6984,0.7436,0.721,0.5251,0.4043,0.4647
6.3,0.1422,0.7973,0.3464,0.8363,0.8371,0.8367,0.6864,0.7566,0.7215,0.5257,0.4063,0.466
6.4,0.0884,0.782,0.3438,0.7748,0.8432,0.809,0.6748,0.7702,0.7225,0.526,0.4113,0.4686
6.5,0.036,0.7653,0.3442,0.7169,0.8499,0.7834,0.6643,0.7837,0.724,0.526,0.4185,0.4722
6.6,-0.0131,0.7474,0.3486,0.6641,0.8559,0.76,0.6553,0.7962,0.7258,0.5256,0.4274,0.4765
6.7,-0.058,0.729,0.3586,0.6181,0.86,0.7391,0.6485,0.8079,0.7282,0.5244,0.4374,0.4809
6.8,-0.0979,0.7107,0.3754,0.5798,0.8621,0.7209,0.6442,0.819,0.7316,0.5217,0.4482,0.485
