Time,Bpay - Bec 15 TVC,Bpay - Bec 15 TVC,Bpay - Bec 15 TVC,Bpay - Bec 15 TVC,Bpay - Bec 15 TVC,Bpay - Bec 15 TVC,Bpay - Bec 15 TVC,Bpay - Bec 15 TVC,Bpay - Bec 15 TVC,Bpay - Bec 15 TVC,Bpay - Bec 15 TVC,Bpay - Bec 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.2966,0.5793,0.6762,0.6382,0.5796,0.6089,0.4686,0.5231,0.4959,0.6048,0.6012,0.603
0.1,0.306,0.5591,0.681,0.6122,0.5567,0.5844,0.4636,0.5092,0.4864,0.617,0.6057,0.6113
0.2,0.309,0.5402,0.6871,0.5863,0.5333,0.5598,0.4612,0.4992,0.4802,0.6284,0.6096,0.619
0.3,0.3049,0.5235,0.6945,0.5603,0.5099,0.5351,0.4605,0.4936,0.4771,0.6388,0.6134,0.6261
0.4,0.2935,0.5092,0.7026,0.5343,0.4872,0.5107,0.461,0.4922,0.4766,0.6484,0.6173,0.6328
0.5,0.2749,0.497,0.7107,0.5085,0.4656,0.4871,0.4626,0.4944,0.4785,0.6569,0.6215,0.6392
0.6,0.2494,0.4868,0.7179,0.4832,0.4452,0.4642,0.4651,0.4993,0.4822,0.664,0.6258,0.6449
0.7,0.2164,0.4785,0.7236,0.4581,0.4254,0.4418,0.4682,0.5059,0.487,0.6693,0.6305,0.6499
0.8,0.1757,0.4725,0.7279,0.433,0.4063,0.4196,0.4712,0.5133,0.4922,0.6732,0.6355,0.6544
0.9,0.128,0.4696,0.7312,0.4079,0.3882,0.3981,0.4739,0.5209,0.4974,0.6761,0.6407,0.6584
1,0.0747,0.4703,0.7333,0.3833,0.3718,0.3776,0.4761,0.5279,0.502,0.6783,0.6453,0.6618
1.1,0.0184,0.4744,0.7335,0.3594,0.3574,0.3584,0.478,0.5332,0.5056,0.6799,0.6485,0.6642
1.2,-0.0386,0.4804,0.7314,0.3364,0.345,0.3407,0.4796,0.5353,0.5074,0.6808,0.65,0.6654
1.3,-0.0942,0.4868,0.7272,0.3145,0.3346,0.3245,0.4809,0.5334,0.5072,0.6812,0.6503,0.6658
1.4,-0.1461,0.4925,0.7213,0.294,0.3267,0.3103,0.4822,0.5274,0.5048,0.6816,0.6503,0.6659
1.5,-0.1917,0.4969,0.7138,0.2759,0.3222,0.299,0.4837,0.5175,0.5006,0.6824,0.65,0.6662
1.6,-0.2283,0.4999,0.7042,0.261,0.3215,0.2912,0.4864,0.504,0.4952,0.6839,0.6494,0.6666
1.7,-0.2547,0.5015,0.6921,0.25,0.3241,0.2871,0.491,0.487,0.489,0.6865,0.6485,0.6675
1.8,-0.2712,0.502,0.6777,0.2427,0.3295,0.2861,0.4981,0.4668,0.4824,0.6906,0.648,0.6693
1.9,-0.2782,0.5016,0.6614,0.2388,0.3373,0.288,0.5076,0.4438,0.4757,0.6964,0.6479,0.6721
2,-0.276,0.5007,0.6437,0.2381,0.3472,0.2926,0.5189,0.419,0.4689,0.7037,0.6483,0.676
2.1,-0.2658,0.4997,0.6258,0.2403,0.3591,0.2997,0.5315,0.394,0.4628,0.7121,0.6491,0.6806
2.2,-0.2498,0.4986,0.6095,0.2447,0.3733,0.309,0.5451,0.3706,0.4578,0.7212,0.65,0.6856
2.3,-0.2309,0.4974,0.5958,0.2508,0.3893,0.3201,0.5589,0.3495,0.4542,0.7304,0.6503,0.6903
2.4,-0.2116,0.4961,0.5851,0.2582,0.4071,0.3326,0.5729,0.3309,0.4519,0.7394,0.6495,0.6944
2.5,-0.193,0.4951,0.5773,0.2663,0.4261,0.3462,0.587,0.3152,0.4511,0.7481,0.6476,0.6978
2.6,-0.1755,0.4946,0.5725,0.2746,0.4457,0.3602,0.6007,0.3032,0.452,0.7571,0.6456,0.7013
2.7,-0.16,0.4945,0.5712,0.2827,0.4654,0.374,0.6133,0.2958,0.4545,0.7667,0.6444,0.7055
