Time,BUPA - Dental 15 TVC,BUPA - Dental 15 TVC,BUPA - Dental 15 TVC,BUPA - Dental 15 TVC,BUPA - Dental 15 TVC,BUPA - Dental 15 TVC,BUPA - Dental 15 TVC,BUPA - Dental 15 TVC,BUPA - Dental 15 TVC,BUPA - Dental 15 TVC,BUPA - Dental 15 TVC,BUPA - Dental 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1955,0.6542,0.5684,0.6403,0.7382,0.6892,0.858,0.7669,0.8124,0.3077,0.2531,0.2804
0.1,-0.257,0.6477,0.597,0.6287,0.7583,0.6935,0.8851,0.8074,0.8462,0.3195,0.2616,0.2906
0.2,-0.3134,0.644,0.6251,0.6206,0.7724,0.6965,0.9089,0.8464,0.8777,0.3318,0.2709,0.3013
0.3,-0.3618,0.6429,0.6506,0.6162,0.7804,0.6983,0.9285,0.8817,0.9051,0.3438,0.2806,0.3122
0.4,-0.3997,0.6433,0.6716,0.616,0.7827,0.6994,0.9434,0.912,0.9277,0.3551,0.291,0.3231
0.5,-0.4254,0.6442,0.6866,0.6203,0.7797,0.7,0.954,0.9364,0.9452,0.3656,0.3021,0.3339
0.6,-0.4371,0.6451,0.6945,0.6288,0.7714,0.7001,0.9606,0.9541,0.9574,0.3754,0.3141,0.3447
0.7,-0.4342,0.6454,0.6949,0.6404,0.7579,0.6992,0.9635,0.965,0.9642,0.3842,0.3267,0.3554
0.8,-0.4171,0.6446,0.6883,0.6535,0.7395,0.6965,0.9628,0.9693,0.966,0.392,0.3397,0.3659
0.9,-0.3882,0.6428,0.6762,0.6666,0.7173,0.692,0.959,0.9676,0.9633,0.3991,0.3531,0.3761
1,-0.3511,0.6401,0.6598,0.6785,0.6931,0.6858,0.9526,0.9604,0.9565,0.4055,0.3659,0.3857
1.1,-0.309,0.637,0.6397,0.6883,0.6684,0.6783,0.9439,0.9477,0.9458,0.4112,0.3776,0.3944
1.2,-0.2641,0.634,0.6164,0.6956,0.644,0.6698,0.9329,0.9295,0.9312,0.4163,0.3874,0.4019
1.3,-0.2185,0.6311,0.5918,0.7002,0.6207,0.6604,0.9204,0.9069,0.9137,0.4211,0.3953,0.4082
1.4,-0.1742,0.6277,0.5685,0.7018,0.5992,0.6505,0.9068,0.8816,0.8942,0.4264,0.4012,0.4138
1.5,-0.1322,0.6235,0.5481,0.7002,0.5804,0.6403,0.8922,0.8548,0.8735,0.4333,0.4058,0.4195
1.6,-0.093,0.6185,0.5307,0.6957,0.565,0.6303,0.8764,0.8272,0.8518,0.4425,0.4091,0.4258
1.7,-0.0559,0.6131,0.5159,0.6882,0.5532,0.6207,0.8594,0.7992,0.8293,0.4542,0.4109,0.4325
1.8,-0.0207,0.6078,0.5035,0.6783,0.5447,0.6115,0.8415,0.7717,0.8066,0.468,0.411,0.4395
1.9,0.0125,0.6031,0.4941,0.6672,0.5395,0.6034,0.8233,0.7463,0.7848,0.4834,0.41,0.4467
2,0.0431,0.5994,0.4886,0.6561,0.5372,0.5967,0.8054,0.724,0.7647,0.5004,0.4088,0.4546
2.1,0.0695,0.5968,0.4875,0.6456,0.5376,0.5916,0.7883,0.7053,0.7468,0.5188,0.4078,0.4633
2.2,0.0904,0.5955,0.49,0.6359,0.5402,0.5881,0.7723,0.6896,0.7309,0.538,0.407,0.4725
