Time,Bupa Life Insurance 15 TVC,Bupa Life Insurance 15 TVC,Bupa Life Insurance 15 TVC,Bupa Life Insurance 15 TVC,Bupa Life Insurance 15 TVC,Bupa Life Insurance 15 TVC,Bupa Life Insurance 15 TVC,Bupa Life Insurance 15 TVC,Bupa Life Insurance 15 TVC,Bupa Life Insurance 15 TVC,Bupa Life Insurance 15 TVC,Bupa Life Insurance 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.015,0.7346,0.9761,0.5361,0.7753,0.6557,0.7158,1.0099,0.8628,0.3434,0.3337,0.3386
0.1,-0.0243,0.7807,0.9418,0.5565,0.7929,0.6747,0.7038,1.0063,0.8551,0.3656,0.3765,0.3711
0.2,-0.0397,0.8198,0.8994,0.5772,0.808,0.6926,0.6966,1.0005,0.8486,0.3915,0.4218,0.4067
0.3,-0.0589,0.8488,0.8521,0.5968,0.8195,0.7081,0.6946,0.9926,0.8436,0.4204,0.4685,0.4445
0.4,-0.081,0.8661,0.802,0.6143,0.8275,0.7209,0.6971,0.9833,0.8402,0.4512,0.5152,0.4832
0.5,-0.1053,0.8723,0.7507,0.6291,0.8319,0.7305,0.7028,0.9729,0.8378,0.4831,0.5605,0.5218
0.6,-0.1309,0.869,0.6998,0.6399,0.8326,0.7363,0.7098,0.9605,0.8351,0.5158,0.6032,0.5595
0.7,-0.1568,0.8584,0.6512,0.6465,0.8299,0.7382,0.7171,0.9454,0.8313,0.5492,0.6425,0.5958
0.8,-0.1812,0.8428,0.6064,0.6499,0.8247,0.7373,0.7244,0.9274,0.8259,0.5826,0.6776,0.6301
0.9,-0.2034,0.8245,0.5663,0.6514,0.8189,0.7352,0.7319,0.907,0.8194,0.6151,0.7085,0.6618
1,-0.2226,0.8052,0.5315,0.6519,0.8139,0.7329,0.7396,0.8847,0.8122,0.6447,0.7343,0.6895
1.1,-0.2379,0.7857,0.5018,0.6513,0.8099,0.7306,0.7465,0.8612,0.8038,0.6693,0.7541,0.7117
1.2,-0.2484,0.7664,0.4771,0.6492,0.8063,0.7277,0.751,0.8361,0.7936,0.6869,0.767,0.7269
1.3,-0.2545,0.7481,0.4568,0.6458,0.8024,0.7241,0.7519,0.8092,0.7805,0.6962,0.7727,0.7345
1.4,-0.2562,0.7317,0.44,0.6421,0.7976,0.7199,0.7489,0.7803,0.7646,0.6975,0.7719,0.7347
1.5,-0.2534,0.7176,0.4261,0.6391,0.7915,0.7153,0.7427,0.75,0.7464,0.6917,0.7655,0.7286
1.6,-0.2459,0.7053,0.4154,0.6368,0.7839,0.7104,0.7341,0.7186,0.7264,0.6805,0.7547,0.7176
1.7,-0.2335,0.6943,0.408,0.6349,0.7746,0.7048,0.7238,0.6867,0.7053,0.6655,0.741,0.7032
1.8,-0.2169,0.6847,0.4044,0.633,0.7639,0.6985,0.7118,0.6549,0.6833,0.6484,0.7255,0.6869
1.9,-0.1965,0.6773,0.4053,0.6313,0.7523,0.6918,0.6983,0.6235,0.6609,0.6309,0.7092,0.6701
2,-0.1732,0.6729,0.4113,0.6305,0.7409,0.6857,0.6837,0.5933,0.6385,0.6141,0.6936,0.6538
2.1,-0.1481,0.6713,0.4224,0.6308,0.7299,0.6803,0.6686,0.5644,0.6165,0.5984,0.6794,0.6389
2.2,-0.1225,0.672,0.4379,0.6319,0.7194,0.6756,0.6533,0.5371,0.5952,0.5838,0.6671,0.6255
2.3,-0.0971,0.6741,0.4569,0.6329,0.7092,0.671,0.6383,0.5119,0.5751,0.5708,0.6565,0.6137
2.4,-0.0725,0.6771,0.4784,0.6327,0.699,0.6659,0.6238,0.489,0.5564,0.5595,0.6477,0.6036
2.5,-0.0484,0.6803,0.5009,0.6303,0.6885,0.6594,0.6096,0.4686,0.5391,0.5502,0.6404,0.5953
2.6,-0.025,0.6827,0.5232,0.6247,0.6765,0.6506,0.5953,0.4508,0.523,0.5429,0.6345,0.5887
2.7,-0.0033,0.6828,0.5445,0.6153,0.662,0.6387,0.5808,0.4354,0.5081,0.5381,0.6299,0.584
2.8,0.0156,0.6803,0.5649,0.6022,0.6447,0.6235,0.5669,0.423,0.4949,0.5358,0.6267,0.5813
2.9,0.0311,0.6754,0.5852,0.586,0.625,0.6055,0.5546,0.4139,0.4843,0.5361,0.625,0.5805
3,0.0433,0.669,0.6055,0.5675,0.6032,0.5853,0.5447,0.4081,0.4764,0.5383,0.6245,0.5814
3.1,0.0524,0.6612,0.6254,0.5471,0.5797,0.5634,0.5374,0.4054,0.4714,0.5422,0.6247,0.5834
3.2,0.0581,0.6519,0.6446,0.5253,0.5546,0.5399,0.5328,0.4055,0.4691,0.5479,0.6256,0.5867
3.3,0.0603,0.6409,0.6628,0.5026,0.5282,0.5154,0.5311,0.4084,0.4698,0.556,0.6268,0.5914
3.4,0.0594,0.6285,0.68,0.4796,0.5013,0.4904,0.5327,0.414,0.4733,0.5666,0.6285,0.5975
3.5,0.0571,0.6152,0.6958,0.4566,0.4747,0.4656,0.5371,0.4219,0.4795,0.5794,0.6305,0.6049
