Time,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC,Childrens Panadol - Logan 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.2776,0.4824,0.5183,0.5679,0.4893,0.5286,0.5662,0.5294,0.5478,0.5026,0.4519,0.4773
0.1,-0.2501,0.4874,0.5023,0.6225,0.5039,0.5632,0.598,0.5483,0.5732,0.5254,0.4368,0.4811
0.2,-0.2251,0.4958,0.4874,0.6799,0.5227,0.6013,0.6288,0.5723,0.6006,0.5506,0.4234,0.487
0.3,-0.2041,0.5073,0.4732,0.7368,0.5443,0.6406,0.6575,0.5999,0.6287,0.5766,0.4116,0.4941
0.4,-0.1881,0.5216,0.4594,0.7912,0.5674,0.6793,0.6832,0.6297,0.6565,0.6015,0.4005,0.501
0.5,-0.1775,0.5385,0.4459,0.8423,0.5904,0.7164,0.7052,0.6606,0.6829,0.624,0.3892,0.5066
0.6,-0.1721,0.5579,0.4328,0.8901,0.6123,0.7512,0.7232,0.6916,0.7074,0.6431,0.3776,0.5103
0.7,-0.1715,0.5795,0.4208,0.9345,0.6325,0.7835,0.7367,0.7223,0.7295,0.6584,0.3657,0.5121
0.8,-0.1757,0.6028,0.4109,0.9745,0.6504,0.8124,0.7448,0.7517,0.7482,0.6689,0.3533,0.5111
0.9,-0.1848,0.6267,0.4035,1.0086,0.6652,0.8369,0.7462,0.7784,0.7623,0.6732,0.3401,0.5066
1,-0.1985,0.6499,0.3983,1.0355,0.6765,0.856,0.7401,0.8006,0.7703,0.6701,0.3256,0.4979
1.1,-0.2156,0.6711,0.3948,1.0542,0.6844,0.8693,0.7265,0.817,0.7717,0.6588,0.3101,0.4844
1.2,-0.2326,0.6898,0.3924,1.0652,0.6894,0.8773,0.707,0.8272,0.7671,0.6396,0.294,0.4668
1.3,-0.2461,0.7058,0.3907,1.0694,0.692,0.8807,0.6834,0.8316,0.7575,0.6132,0.2782,0.4457
1.4,-0.2539,0.7196,0.3889,1.0677,0.6928,0.8802,0.6575,0.831,0.7442,0.5799,0.2634,0.4217
1.5,-0.2547,0.7312,0.3863,1.0608,0.6918,0.8763,0.6302,0.8258,0.728,0.5404,0.2505,0.3955
1.6,-0.2471,0.7395,0.3823,1.0496,0.6885,0.869,0.6022,0.8157,0.7089,0.4954,0.2399,0.3677
1.7,-0.2301,0.7438,0.3771,1.0347,0.6828,0.8587,0.5738,0.8003,0.6871,0.4464,0.2318,0.3391
1.8,-0.2042,0.7436,0.3712,1.0166,0.6753,0.846,0.5455,0.7799,0.6627,0.3953,0.2259,0.3106
1.9,-0.1715,0.7396,0.3648,0.9957,0.6667,0.8312,0.5173,0.7554,0.6363,0.3441,0.2221,0.2831
2,-0.1342,0.7329,0.358,0.9721,0.6574,0.8148,0.4898,0.7276,0.6087,0.2951,0.2204,0.2578
2.1,-0.0942,0.724,0.3504,0.9464,0.6473,0.7968,0.4633,0.697,0.5801,0.2498,0.2206,0.2352
2.2,-0.0529,0.7135,0.3417,0.9197,0.6361,0.7779,0.4381,0.6639,0.551,0.2096,0.2229,0.2162
2.3,-0.0119,0.702,0.3318,0.8933,0.6241,0.7587,0.4144,0.6291,0.5218,0.1756,0.2274,0.2015
2.4,0.0264,0.6901,0.321,0.8677,0.6121,0.7399,0.3924,0.5944,0.4934,0.148,0.2331,0.1906
2.5,0.0598,0.6785,0.31,0.8426,0.6009,0.7218,0.3725,0.5615,0.467,0.1266,0.239,0.1828
2.6,0.0869,0.6674,0.2995,0.8171,0.591,0.704,0.3553,0.5322,0.4437,0.1116,0.2444,0.178
2.7,0.1066,0.6564,0.2905,0.7901,0.5824,0.6863,0.341,0.5067,0.4239,0.1033,0.2495,0.1764
2.8,0.1186,0.645,0.2834,0.7612,0.5753,0.6682,0.3294,0.4847,0.407,0.1019,0.2547,0.1783
2.9,0.1222,0.6328,0.2783,0.7306,0.5697,0.6501,0.3198,0.466,0.3929,0.1069,0.2602,0.1835
3,0.1173,0.6201,0.2754,0.6992,0.5655,0.6324,0.3119,0.4507,0.3813,0.1169,0.2657,0.1913
3.1,0.1048,0.6075,0.275,0.6685,0.5628,0.6156,0.3057,0.4391,0.3724,0.1302,0.2711,0.2006
3.2,0.0865,0.5954,0.2778,0.6393,0.5607,0.6,0.3011,0.4313,0.3662,0.1452,0.2762,0.2107
3.3,0.0646,0.5835,0.2837,0.6109,0.5587,0.5848,0.2973,0.4263,0.3618,0.1613,0.2805,0.2209
3.4,0.041,0.5715,0.292,0.5824,0.556,0.5692,0.2934,0.4228,0.3581,0.1771,0.2837,0.2304
3.5,0.0167,0.5597,0.3017,0.5532,0.5526,0.5529,0.2887,0.4196,0.3541,0.1917,0.2856,0.2386
3.6,-0.0079,0.5487,0.312,0.5235,0.5486,0.536,0.2827,0.4157,0.3492,0.2037,0.2861,0.2449
3.7,-0.0315,0.5393,0.3226,0.4947,0.5439,0.5193,0.276,0.4112,0.3436,0.2122,0.2854,0.2488
3.8,-0.0516,0.5321,0.3336,0.4681,0.5396,0.5038,0.2699,0.4066,0.3382,0.2174,0.2838,0.2506
3.9,-0.0664,0.5275,0.3451,0.4446,0.5365,0.4905,0.2652,0.4018,0.3335,0.2197,0.2824,0.251
4,-0.0751,0.5254,0.3567,0.4245,0.5351,0.4798,0.2624,0.3963,0.3294,0.2199,0.2819,0.2509
4.1,-0.0784,0.5258,0.3679,0.407,0.535,0.471,0.2614,0.389,0.3252,0.218,0.2828,0.2504
4.2,-0.0774,0.5282,0.3781,0.3915,0.5352,0.4634,0.262,0.3791,0.3206,0.2139,0.2849,0.2494
4.3,-0.0728,0.5318,0.3867,0.3781,0.5347,0.4564,0.2642,0.3664,0.3153,0.2074,0.2875,0.2475
4.4,-0.0645,0.5361,0.3932,0.3671,0.5331,0.4501,0.2683,0.351,0.3096,0.199,0.2903,0.2447
4.5,-0.0524,0.5406,0.3978,0.3582,0.53,0.4441,0.274,0.3335,0.3037,0.1899,0.2938,0.2419
4.6,-0.0369,0.5447,0.4006,0.3509,0.5246,0.4377,0.2807,0.3142,0.2974,0.1814,0.2985,0.24
4.7,-0.0189,0.5478,0.4018,0.3445,0.5159,0.4302,0.2868,0.2933,0.2901,0.1747,0.3042,0.2394
4.8,-0.0002,0.5492,0.4023,0.3381,0.5036,0.4209,0.2914,0.2711,0.2812,0.1699,0.3101,0.24
4.9,0.018,0.5489,0.4023,0.3312,0.4882,0.4097,0.2942,0.2487,0.2715,0.1674,0.3155,0.2414
5,0.0346,0.5469,0.4019,0.3239,0.4707,0.3973,0.2962,0.2276,0.2619,0.1678,0.3202,0.244
5.1,0.0474,0.5431,0.4006,0.3159,0.4526,0.3842,0.2978,0.2091,0.2534,0.1715,0.3249,0.2482
5.2,0.0542,0.5376,0.3981,0.307,0.4343,0.3707,0.2988,0.1943,0.2465,0.1787,0.3295,0.2541
5.3,0.0541,0.5302,0.3941,0.2969,0.416,0.3565,0.2983,0.1838,0.2411,0.1891,0.3342,0.2616
