Time,Budget Direct - Loch-Mess Monster 45 TVC,Budget Direct - Loch-Mess Monster 45 TVC,Budget Direct - Loch-Mess Monster 45 TVC,Budget Direct - Loch-Mess Monster 45 TVC,Budget Direct - Loch-Mess Monster 45 TVC,Budget Direct - Loch-Mess Monster 45 TVC,Budget Direct - Loch-Mess Monster 45 TVC,Budget Direct - Loch-Mess Monster 45 TVC,Budget Direct - Loch-Mess Monster 45 TVC,Budget Direct - Loch-Mess Monster 45 TVC,Budget Direct - Loch-Mess Monster 45 TVC,Budget Direct - Loch-Mess Monster 45 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1805,0.4644,0.3976,0.1907,0.5593,0.375,0.5582,0.4214,0.4898,0.8227,0.6477,0.7352
0.1,0.1803,0.4577,0.3661,0.198,0.5564,0.3772,0.5585,0.4054,0.4819,0.8086,0.6397,0.7242
0.2,0.1795,0.4511,0.3321,0.2073,0.5533,0.3803,0.5564,0.3882,0.4723,0.7965,0.632,0.7142
0.3,0.178,0.4445,0.2959,0.2178,0.5497,0.3837,0.552,0.3701,0.4611,0.7853,0.6239,0.7046
0.4,0.1752,0.4377,0.2577,0.2281,0.5449,0.3865,0.5448,0.3513,0.448,0.7741,0.6146,0.6944
0.5,0.1708,0.4301,0.2176,0.2367,0.5383,0.3875,0.5345,0.3319,0.4332,0.7624,0.6037,0.6831
0.6,0.1661,0.4214,0.1767,0.2426,0.5288,0.3857,0.5218,0.3125,0.4172,0.7505,0.592,0.6713
0.7,0.1632,0.4111,0.1361,0.2454,0.5153,0.3803,0.5079,0.2936,0.4007,0.7388,0.5806,0.6597
0.8,0.1639,0.3991,0.0969,0.2448,0.4971,0.3709,0.4932,0.2755,0.3843,0.7269,0.5698,0.6483
0.9,0.1695,0.3849,0.0596,0.2403,0.474,0.3571,0.4771,0.2579,0.3675,0.7135,0.5595,0.6365
1,0.181,0.3679,0.0247,0.232,0.4463,0.3391,0.4592,0.2408,0.35,0.6982,0.5496,0.6239
1.1,0.1984,0.3481,-0.0074,0.2204,0.4145,0.3175,0.4396,0.2241,0.3319,0.681,0.5404,0.6107
1.2,0.2208,0.3264,-0.0359,0.2071,0.3794,0.2932,0.4194,0.2084,0.3139,0.6622,0.532,0.5971
1.3,0.2461,0.3047,-0.0598,0.1933,0.3428,0.2681,0.3998,0.1946,0.2972,0.6417,0.5241,0.5829
1.4,0.2718,0.2847,-0.0781,0.18,0.3079,0.2439,0.3819,0.1836,0.2827,0.6197,0.5166,0.5681
1.5,0.2963,0.2669,-0.0897,0.1674,0.2777,0.2226,0.3661,0.1758,0.2709,0.597,0.5095,0.5533
1.6,0.3192,0.2507,-0.0948,0.1559,0.254,0.205,0.3531,0.1709,0.262,0.5744,0.5029,0.5386
1.7,0.341,0.2357,-0.094,0.1455,0.2371,0.1913,0.3433,0.1682,0.2557,0.5521,0.4969,0.5245
1.8,0.3621,0.2216,-0.0886,0.1365,0.2263,0.1814,0.3367,0.167,0.2519,0.5305,0.4913,0.5109
1.9,0.382,0.2089,-0.0803,0.1287,0.2213,0.175,0.3331,0.1664,0.2498,0.5101,0.4861,0.4981
2,0.3993,0.198,-0.0699,0.1224,0.2228,0.1726,0.332,0.166,0.249,0.492,0.4811,0.4865
2.1,0.4126,0.1898,-0.0577,0.1178,0.2315,0.1746,0.3333,0.1655,0.2494,0.4771,0.4764,0.4768
2.2,0.4214,0.185,-0.0442,0.1154,0.2479,0.1816,0.3364,0.1647,0.2506,0.466,0.4717,0.4689
2.3,0.4254,0.184,-0.0302,0.1154,0.2703,0.1929,0.3403,0.1635,0.2519,0.4585,0.4664,0.4624
2.4,0.4248,0.187,-0.0162,0.1178,0.2959,0.2069,0.3439,0.1618,0.2528,0.454,0.4601,0.457
2.5,0.4202,0.1936,-0.0022,0.122,0.3221,0.222,0.3463,0.1597,0.253,0.4522,0.4528,0.4525
2.6,0.4124,0.2034,0.0117,0.1277,0.3477,0.2377,0.3475,0.1575,0.2525,0.4525,0.4448,0.4487
2.7,0.4014,0.2155,0.025,0.1344,0.3717,0.253,0.3471,0.1556,0.2513,0.4539,0.4364,0.4452
2.8,0.3864,0.2284,0.0368,0.141,0.3932,0.2671,0.3448,0.1538,0.2493,0.4552,0.428,0.4416
2.9,0.3663,0.2405,0.0464,0.1461,0.4112,0.2787,0.34,0.152,0.246,0.4554,0.4198,0.4376
3,0.3402,0.2508,0.0542,0.1485,0.4245,0.2865,0.3326,0.1501,0.2413,0.4539,0.4125,0.4332
3.1,0.3087,0.2589,0.0603,0.1476,0.4327,0.2901,0.323,0.1486,0.2358,0.4508,0.4071,0.4289
3.2,0.2739,0.2648,0.0662,0.1439,0.4361,0.29,0.3126,0.1485,0.2306,0.446,0.4041,0.4251
3.3,0.2389,0.2688,0.0732,0.1386,0.4351,0.2868,0.3029,0.1506,0.2268,0.4401,0.4043,0.4222
3.4,0.2057,0.2714,0.0833,0.1323,0.4299,0.2811,0.2951,0.1557,0.2254,0.4332,0.4079,0.4205
3.5,0.1744,0.2732,0.0981,0.1256,0.4212,0.2734,0.2899,0.1645,0.2272,0.4257,0.415,0.4203
3.6,0.1445,0.2745,0.1189,0.1186,0.4094,0.264,0.2876,0.1775,0.2326,0.4178,0.4256,0.4217
3.7,0.1164,0.2755,0.1457,0.1115,0.3953,0.2534,0.288,0.1948,0.2414,0.41,0.4396,0.4248
3.8,0.0913,0.2763,0.1775,0.1044,0.3795,0.242,0.2906,0.2156,0.2531,0.4029,0.4566,0.4297
3.9,0.0704,0.2771,0.2128,0.0979,0.3629,0.2304,0.2952,0.2387,0.2669,0.3974,0.4764,0.4369
4,0.0544,0.278,0.25,0.0924,0.3462,0.2193,0.3017,0.2634,0.2825,0.3944,0.4989,0.4466
4.1,0.0435,0.2794,0.2875,0.0888,0.3303,0.2095,0.3101,0.2894,0.2998,0.3945,0.5239,0.4592
4.2,0.0372,0.2817,0.3233,0.0882,0.3162,0.2022,0.3203,0.3163,0.3183,0.3977,0.5507,0.4742
4.3,0.0358,0.2851,0.3561,0.0912,0.3045,0.1978,0.3323,0.3433,0.3378,0.4038,0.5784,0.4911
4.4,0.0399,0.2894,0.3863,0.0978,0.2953,0.1966,0.3462,0.3704,0.3583,0.4128,0.6064,0.5096
4.5,0.0488,0.2943,0.4146,0.1078,0.289,0.1984,0.3625,0.3976,0.3801,0.4246,0.6344,0.5295
4.6,0.061,0.2997,0.4416,0.1208,0.2855,0.2031,0.3815,0.4251,0.4033,0.4392,0.6621,0.5507
