Time,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC,Chemist WareHouse Healthy Break - Blackmores Bio C 1000 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0852,0.6878,0.6868,0.8349,0.7258,0.7804,0.6742,0.6874,0.6808,0.6611,0.5867,0.6239
0.1,0.1365,0.7025,0.6862,0.8523,0.7278,0.7901,0.6814,0.6956,0.6885,0.6557,0.5866,0.6212
0.2,0.1826,0.7132,0.6805,0.8633,0.7252,0.7942,0.6907,0.7053,0.698,0.6495,0.5862,0.6179
0.3,0.2204,0.7182,0.6683,0.8669,0.7192,0.7931,0.702,0.7164,0.7092,0.6432,0.5852,0.6142
0.4,0.2468,0.7161,0.6474,0.8629,0.7114,0.7871,0.7148,0.7286,0.7217,0.6369,0.5837,0.6103
0.5,0.2605,0.7062,0.6164,0.8515,0.7027,0.7771,0.7285,0.7417,0.7351,0.6309,0.5815,0.6062
0.6,0.2613,0.6888,0.5755,0.8341,0.6938,0.7639,0.7432,0.7548,0.749,0.6258,0.5789,0.6023
0.7,0.2491,0.6654,0.5274,0.8117,0.685,0.7483,0.7589,0.7672,0.763,0.6222,0.5765,0.5994
0.8,0.225,0.6382,0.4747,0.7857,0.6772,0.7315,0.7751,0.7783,0.7767,0.6207,0.5748,0.5978
0.9,0.1915,0.6095,0.4196,0.758,0.6715,0.7147,0.7914,0.7872,0.7893,0.6212,0.5734,0.5973
1,0.1523,0.5818,0.3641,0.73,0.6685,0.6992,0.8068,0.7925,0.7997,0.623,0.5713,0.5972
1.1,0.1108,0.5569,0.3107,0.7032,0.6685,0.6858,0.8211,0.7934,0.8072,0.6256,0.5677,0.5966
1.2,0.0703,0.5359,0.2621,0.6789,0.6715,0.6752,0.8339,0.7907,0.8123,0.6282,0.562,0.5951
1.3,0.0339,0.5191,0.2204,0.6579,0.677,0.6674,0.8454,0.7861,0.8158,0.63,0.554,0.592
1.4,0.004,0.5068,0.1872,0.6405,0.6841,0.6623,0.8551,0.7811,0.8181,0.6296,0.5435,0.5866
