Time,Codral - Soldier On 15 TVC,Codral - Soldier On 15 TVC,Codral - Soldier On 15 TVC,Codral - Soldier On 15 TVC,Codral - Soldier On 15 TVC,Codral - Soldier On 15 TVC,Codral - Soldier On 15 TVC,Codral - Soldier On 15 TVC,Codral - Soldier On 15 TVC,Codral - Soldier On 15 TVC,Codral - Soldier On 15 TVC,Codral - Soldier On 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0616,0.2566,0.3838,0.0796,0.3076,0.1936,0.1954,0.1608,0.1781,0.6087,0.4089,0.5088
0.1,0.0783,0.2514,0.3604,0.1017,0.2908,0.1962,0.2026,0.1441,0.1734,0.6226,0.3966,0.5096
0.2,0.0921,0.2491,0.3399,0.1272,0.2755,0.2013,0.2118,0.1358,0.1738,0.6346,0.3853,0.51
0.3,0.1017,0.2494,0.3226,0.1547,0.2623,0.2085,0.2224,0.1353,0.1788,0.6434,0.3751,0.5093
0.4,0.1067,0.2522,0.3086,0.1831,0.252,0.2175,0.2336,0.1416,0.1876,0.6479,0.3657,0.5068
0.5,0.1071,0.2581,0.298,0.2119,0.2453,0.2286,0.245,0.1535,0.1992,0.6476,0.3569,0.5023
0.6,0.1028,0.2682,0.291,0.2415,0.2428,0.2421,0.2569,0.1696,0.2133,0.6431,0.3492,0.4962
0.7,0.0949,0.2829,0.2883,0.2726,0.244,0.2583,0.27,0.1892,0.2296,0.6354,0.3435,0.4895
0.8,0.0852,0.3015,0.2905,0.3054,0.2486,0.277,0.2849,0.2113,0.2481,0.6258,0.3414,0.4836
0.9,0.0754,0.3232,0.2977,0.3394,0.2563,0.2979,0.3017,0.2348,0.2682,0.6152,0.3437,0.4794
1,0.0661,0.3469,0.3093,0.3736,0.267,0.3203,0.3192,0.2582,0.2887,0.6034,0.3507,0.4771
1.1,0.0577,0.3724,0.3245,0.4073,0.2803,0.3438,0.3366,0.2802,0.3084,0.5906,0.362,0.4763
1.2,0.0506,0.3994,0.3427,0.4398,0.2955,0.3677,0.3531,0.2994,0.3262,0.5772,0.3771,0.4771
1.3,0.0456,0.4272,0.3643,0.4705,0.3116,0.3911,0.3681,0.3152,0.3417,0.5638,0.3957,0.4797
1.4,0.0438,0.4545,0.3894,0.4984,0.3274,0.4129,0.3811,0.3271,0.3541,0.5515,0.4179,0.4847
1.5,0.0446,0.4798,0.4178,0.5228,0.3417,0.4322,0.3915,0.3341,0.3628,0.541,0.4429,0.492
1.6,0.0468,0.5022,0.4478,0.5432,0.354,0.4486,0.3989,0.3357,0.3673,0.5326,0.4696,0.5011
1.7,0.0494,0.5213,0.4774,0.5594,0.3638,0.4616,0.4031,0.3318,0.3675,0.526,0.4963,0.5111
1.8,0.0514,0.5375,0.5051,0.5713,0.3715,0.4714,0.4041,0.3234,0.3638,0.5212,0.5218,0.5215
1.9,0.052,0.5515,0.5298,0.579,0.3777,0.4784,0.4021,0.3116,0.3568,0.5184,0.5454,0.5319
2,0.0506,0.5641,0.5508,0.5833,0.3838,0.4836,0.3974,0.2979,0.3476,0.5177,0.5671,0.5424
2.1,0.0472,0.5758,0.5675,0.5857,0.3909,0.4883,0.3913,0.2834,0.3373,0.5196,0.5867,0.5532
2.2,0.0428,0.5869,0.5794,0.5872,0.3999,0.4935,0.3851,0.269,0.327,0.5243,0.604,0.5641
2.3,0.039,0.5976,0.5864,0.5877,0.4109,0.4993,0.3795,0.2553,0.3174,0.5316,0.6183,0.575
2.4,0.0365,0.6076,0.5888,0.5867,0.4238,0.5053,0.3747,0.2426,0.3086,0.5407,0.629,0.5849
2.5,0.036,0.6167,0.5875,0.584,0.4385,0.5112,0.3702,0.2309,0.3006,0.5502,0.6352,0.5927
2.6,0.0388,0.6246,0.5828,0.5797,0.4549,0.5173,0.3662,0.2207,0.2934,0.5584,0.6362,0.5973
2.7,0.0456,0.6313,0.5754,0.5747,0.4732,0.5239,0.3628,0.2125,0.2877,0.5641,0.6316,0.5979
2.8,0.0572,0.637,0.5657,0.5695,0.493,0.5312,0.3605,0.2069,0.2837,0.5665,0.6217,0.5941
2.9,0.0735,0.6421,0.5538,0.5642,0.5139,0.539,0.3591,0.2043,0.2817,0.5652,0.6068,0.586
3,0.094,0.6465,0.5402,0.5589,0.5353,0.5471,0.3584,0.2046,0.2815,0.5597,0.587,0.5733
3.1,0.1182,0.6503,0.526,0.5544,0.5566,0.5555,0.3581,0.2077,0.2829,0.5502,0.5627,0.5565
3.2,0.1454,0.6535,0.5123,0.551,0.5772,0.5641,0.358,0.2136,0.2858,0.5375,0.5343,0.5359
3.3,0.1744,0.6562,0.5,0.5492,0.5964,0.5728,0.3585,0.2223,0.2904,0.5222,0.5025,0.5124
3.4,0.2034,0.6583,0.4896,0.5484,0.6133,0.5808,0.3597,0.2339,0.2968,0.5053,0.469,0.4871
3.5,0.231,0.6598,0.4815,0.5481,0.6266,0.5874,0.3619,0.2479,0.3049,0.4875,0.4354,0.4615
3.6,0.2564,0.6602,0.4758,0.5476,0.6354,0.5915,0.3654,0.2633,0.3144,0.4698,0.4034,0.4366
3.7,0.2792,0.6593,0.4722,0.547,0.6388,0.5929,0.3709,0.2791,0.325,0.4528,0.3738,0.4133
3.8,0.2991,0.657,0.4699,0.5465,0.636,0.5912,0.3791,0.2943,0.3367,0.4377,0.3471,0.3924
3.9,0.3159,0.6533,0.4683,0.5463,0.6265,0.5864,0.3904,0.3087,0.3495,0.426,0.3243,0.3752
4,0.3296,0.648,0.4673,0.5463,0.6104,0.5784,0.4049,0.3223,0.3636,0.419,0.3066,0.3628
4.1,0.3406,0.6404,0.4667,0.5459,0.5881,0.567,0.4223,0.3351,0.3787,0.4171,0.2947,0.3559
4.2,0.3483,0.6301,0.4655,0.5444,0.5606,0.5525,0.4418,0.3464,0.3941,0.4199,0.2883,0.3541
4.3,0.3522,0.6178,0.4625,0.5419,0.5292,0.5356,0.4625,0.3557,0.4091,0.4268,0.2868,0.3568
4.4,0.3522,0.6044,0.457,0.5391,0.4956,0.5173,0.4836,0.3627,0.4232,0.4376,0.2891,0.3633
4.5,0.3493,0.5907,0.4496,0.5369,0.461,0.4989,0.5049,0.3675,0.4362,0.4526,0.2945,0.3736
4.6,0.345,0.5768,0.4411,0.5361,0.427,0.4815,0.5264,0.3707,0.4486,0.4726,0.303,0.3878
4.7,0.3397,0.5627,0.4322,0.5371,0.3952,0.4662,0.5482,0.3722,0.4602,0.4974,0.3147,0.406
4.8,0.3334,0.5484,0.423,0.5401,0.3676,0.4538,0.5696,0.372,0.4708,0.5264,0.3294,0.4279
4.9,0.3261,0.5346,0.4136,0.5454,0.3456,0.4455,0.5895,0.3701,0.4798,0.5586,0.3464,0.4525
5,0.3187,0.5222,0.4042,0.5529,0.3308,0.4419,0.6071,0.3672,0.4872,0.5934,0.3654,0.4794
5.1,0.3118,0.5121,0.3954,0.5626,0.3246,0.4436,0.6223,0.3643,0.4933,0.6299,0.3861,0.508
5.2,0.3053,0.5048,0.3882,0.5747,0.3275,0.4511,0.6352,0.3625,0.4989,0.6671,0.4088,0.5379
5.3,0.2992,0.5001,0.3834,0.5888,0.3394,0.4641,0.646,0.3626,0.5043,0.7037,0.4336,0.5687
5.4,0.294,0.4976,0.3817,0.6043,0.3594,0.4819,0.6545,0.3649,0.5097,0.7382,0.4603,0.5993
5.5,0.2905,0.4963,0.3833,0.6201,0.3855,0.5028,0.6605,0.3693,0.5149,0.7698,0.488,0.6289
5.6,0.2895,0.4952,0.388,0.635,0.4156,0.5253,0.6636,0.3757,0.5196,0.7974,0.5154,0.6564
5.7,0.291,0.4941,0.3956,0.6483,0.4481,0.5482,0.6637,0.3834,0.5235,0.8204,0.5415,0.6809
5.8,0.2943,0.4931,0.4055,0.6596,0.4821,0.5708,0.6609,0.3921,0.5265,0.8379,0.5655,0.7017
5.9,0.2989,0.4926,0.4172,0.6688,0.5169,0.5928,0.6558,0.4013,0.5286,0.8496,0.5872,0.7184
6,0.3046,0.4929,0.4309,0.6759,0.5521,0.614,0.6489,0.4109,0.5299,0.8556,0.6068,0.7312
6.1,0.311,0.4941,0.4468,0.6813,0.587,0.6342,0.6407,0.4208,0.5308,0.8567,0.6244,0.7405
6.2,0.3178,0.4958,0.4651,0.6853,0.6209,0.6531,0.6314,0.4307,0.531,0.8533,0.6402,0.7467
6.3,0.3244,0.4978,0.4854,0.6881,0.6525,0.6703,0.6206,0.4397,0.5301,0.8457,0.6539,0.7498
6.4,0.3298,0.4997,0.5069,0.69,0.6808,0.6854,0.6081,0.4468,0.5274,0.8341,0.6653,0.7497
6.5,0.3328,0.5013,0.5288,0.6908,0.7045,0.6977,0.5939,0.4512,0.5226,0.8191,0.6744,0.7467
6.6,0.3323,0.5028,0.5504,0.6906,0.723,0.7068,0.5782,0.4528,0.5155,0.8021,0.6815,0.7418
6.7,0.3277,0.5046,0.571,0.6891,0.7358,0.7125,0.5616,0.4515,0.5065,0.7844,0.6873,0.7359
6.8,0.3193,0.5068,0.5895,0.6866,0.7427,0.7146,0.5445,0.4472,0.4958,0.7666,0.6918,0.7292
6.9,0.3081,0.5096,0.6049,0.6833,0.7434,0.7133,0.5274,0.44,0.4837,0.7487,0.6945,0.7216
7,0.2951,0.5126,0.6162,0.6795,0.7375,0.7085,0.5107,0.4301,0.4704,0.7302,0.6954,0.7128
7.1,0.2809,0.5158,0.6228,0.6758,0.7249,0.7004,0.4948,0.4182,0.4565,0.7113,0.6945,0.7029
7.2,0.2655,0.5192,0.6243,0.6728,0.7066,0.6897,0.48,0.4052,0.4426,0.6925,0.6921,0.6923
7.3,0.2482,0.5231,0.6209,0.6709,0.6837,0.6773,0.4663,0.3921,0.4292,0.674,0.6886,0.6813
7.4,0.2281,0.5277,0.6133,0.6701,0.6574,0.6637,0.4539,0.3797,0.4168,0.6561,0.6842,0.6702
7.5,0.2035,0.5326,0.6025,0.6696,0.6288,0.6492,0.4429,0.3686,0.4058,0.6389,0.6789,0.6589
7.6,0.1733,0.5373,0.5891,0.6691,0.5994,0.6342,0.4336,0.3594,0.3965,0.6226,0.6728,0.6477
7.7,0.1377,0.5407,0.5744,0.6682,0.5707,0.6194,0.426,0.3527,0.3894,0.6081,0.666,0.637
7.8,0.0977,0.5424,0.5594,0.6665,0.5442,0.6054,0.4199,0.3491,0.3845,0.5962,0.6589,0.6275
7.9,0.0545,0.5423,0.5451,0.6638,0.521,0.5924,0.415,0.349,0.382,0.5875,0.6517,0.6196
8,0.0091,0.5406,0.532,0.6598,0.5018,0.5808,0.4113,0.3529,0.3821,0.5818,0.6444,0.6131
8.1,-0.0379,0.538,0.5211,0.6545,0.4869,0.5707,0.4089,0.3608,0.3849,0.5788,0.6372,0.608
8.2,-0.0856,0.5354,0.5127,0.648,0.4762,0.5621,0.4076,0.3728,0.3902,0.5778,0.6299,0.6038
8.3,-0.1326,0.5335,0.5073,0.6403,0.4697,0.555,0.4074,0.3883,0.3978,0.5783,0.6221,0.6002
8.4,-0.178,0.5324,0.5047,0.6314,0.4671,0.5493,0.4084,0.4069,0.4076,0.5798,0.6136,0.5967
8.5,-0.2209,0.5319,0.5044,0.6213,0.4682,0.5447,0.411,0.4275,0.4193,0.5815,0.6045,0.593
8.6,-0.2603,0.532,0.5062,0.6098,0.4722,0.541,0.415,0.4492,0.4321,0.5826,0.5946,0.5886
8.7,-0.2953,0.533,0.5097,0.597,0.4783,0.5377,0.42,0.4705,0.4452,0.5821,0.5838,0.5829
8.8,-0.3258,0.5352,0.5146,0.5836,0.486,0.5348,0.4253,0.4902,0.4577,0.5798,0.5718,0.5758
8.9,-0.3516,0.5391,0.5206,0.5702,0.495,0.5326,0.4309,0.5074,0.4691,0.576,0.5591,0.5675
9,-0.3721,0.5448,0.5279,0.558,0.5053,0.5317,0.4373,0.5214,0.4794,0.5711,0.5462,0.5587
9.1,-0.3867,0.5524,0.5361,0.5478,0.5172,0.5325,0.4452,0.5323,0.4888,0.5656,0.5339,0.5498
9.2,-0.3948,0.5617,0.5449,0.5398,0.5308,0.5353,0.4549,0.54,0.4975,0.5595,0.5228,0.5411
9.3,-0.3963,0.5724,0.5543,0.5342,0.5458,0.54,0.466,0.5447,0.5054,0.5532,0.5135,0.5334
9.4,-0.3914,0.5836,0.564,0.5313,0.5614,0.5464,0.4783,0.5465,0.5124,0.5474,0.5068,0.5271
9.5,-0.3807,0.5948,0.5741,0.5314,0.5767,0.5541,0.4915,0.5457,0.5186,0.5426,0.5031,0.5229
9.6,-0.3647,0.6049,0.5837,0.5344,0.5906,0.5625,0.5053,0.5427,0.524,0.5392,0.5027,0.5209
9.7,-0.3447,0.6131,0.5923,0.5395,0.6019,0.5707,0.5193,0.5381,0.5287,0.5367,0.5051,0.5209
9.8,-0.3226,0.6191,0.599,0.5455,0.6101,0.5778,0.533,0.5322,0.5326,0.5349,0.5096,0.5222
9.9,-0.3,0.6227,0.6035,0.5513,0.6151,0.5832,0.5462,0.5251,0.5357,0.5333,0.5153,0.5243
10,-0.2778,0.6237,0.606,0.556,0.6172,0.5866,0.5584,0.5173,0.5379,0.5317,0.5217,0.5267
10.1,-0.2558,0.6218,0.6067,0.5588,0.6167,0.5877,0.5689,0.5089,0.5389,0.5293,0.5285,0.5289
10.2,-0.234,0.617,0.6054,0.559,0.614,0.5865,0.5768,0.4999,0.5383,0.5256,0.5353,0.5304
10.3,-0.2129,0.6095,0.602,0.5561,0.6094,0.5827,0.5813,0.4902,0.5358,0.52,0.5412,0.5306
10.4,-0.194,0.5997,0.5963,0.5496,0.6033,0.5764,0.5816,0.4798,0.5307,0.5125,0.5455,0.529
10.5,-0.1784,0.5879,0.5886,0.5399,0.5964,0.5682,0.5774,0.4684,0.5229,0.5034,0.548,0.5257
10.6,-0.1661,0.5747,0.5792,0.5277,0.5896,0.5586,0.5685,0.4562,0.5124,0.4929,0.5487,0.5208
10.7,-0.1566,0.5602,0.5688,0.5131,0.583,0.548,0.5551,0.4434,0.4992,0.4818,0.5479,0.5148
10.8,-0.1495,0.5448,0.5577,0.4957,0.5769,0.5363,0.5375,0.4304,0.4839,0.4707,0.5459,0.5083
10.9,-0.1447,0.5288,0.5463,0.4756,0.5714,0.5235,0.5159,0.4177,0.4668,0.4604,0.5433,0.5018
11,-0.1418,0.5127,0.5349,0.4533,0.5669,0.5101,0.4907,0.4059,0.4483,0.4513,0.5403,0.4958
11.1,-0.1396,0.4971,0.5235,0.4295,0.5633,0.4964,0.4621,0.395,0.4285,0.4434,0.5368,0.4901
11.2,-0.1365,0.4827,0.5118,0.4053,0.5599,0.4826,0.4301,0.385,0.4076,0.4362,0.5323,0.4843
11.3,-0.1317,0.4701,0.4996,0.381,0.5561,0.4686,0.3953,0.3762,0.3858,0.4287,0.5264,0.4776
11.4,-0.1253,0.4595,0.4871,0.3569,0.5514,0.4542,0.3588,0.3686,0.3637,0.4205,0.5186,0.4695
11.5,-0.118,0.4513,0.4744,0.3333,0.5458,0.4396,0.3216,0.3621,0.3419,0.4117,0.509,0.4603
11.6,-0.1098,0.4453,0.4614,0.3105,0.5397,0.4251,0.2851,0.3568,0.3209,0.4028,0.4977,0.4503
11.7,-0.0999,0.4413,0.4476,0.2894,0.5333,0.4113,0.2503,0.3523,0.3013,0.3943,0.4851,0.4397
11.8,-0.0874,0.4391,0.4321,0.2713,0.5266,0.3989,0.2181,0.349,0.2835,0.387,0.4714,0.4292
11.9,-0.0723,0.4386,0.4156,0.2575,0.5192,0.3884,0.1897,0.3472,0.2684,0.3813,0.4571,0.4192
