Time,Dan Murphys - Nobody Beats 30 TVC,Dan Murphys - Nobody Beats 30 TVC,Dan Murphys - Nobody Beats 30 TVC,Dan Murphys - Nobody Beats 30 TVC,Dan Murphys - Nobody Beats 30 TVC,Dan Murphys - Nobody Beats 30 TVC,Dan Murphys - Nobody Beats 30 TVC,Dan Murphys - Nobody Beats 30 TVC,Dan Murphys - Nobody Beats 30 TVC,Dan Murphys - Nobody Beats 30 TVC,Dan Murphys - Nobody Beats 30 TVC,Dan Murphys - Nobody Beats 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.3555,0.4339,0.2555,0.5222,0.3465,0.4344,0.2491,0.2938,0.2714,0.7464,0.5289,0.6377
0.1,0.4183,0.444,0.2982,0.5462,0.37,0.4581,0.2335,0.3159,0.2747,0.7622,0.5433,0.6528
0.2,0.4865,0.4531,0.3403,0.57,0.3939,0.482,0.2168,0.3363,0.2765,0.7648,0.55,0.6574
0.3,0.5567,0.4608,0.3803,0.5931,0.4187,0.5059,0.1998,0.3537,0.2768,0.7536,0.549,0.6513
0.4,0.6233,0.4665,0.4175,0.6146,0.4441,0.5294,0.1837,0.3679,0.2758,0.7299,0.5406,0.6352
0.5,0.6798,0.4692,0.4515,0.6331,0.4683,0.5507,0.1697,0.379,0.2743,0.6955,0.5252,0.6104
0.6,0.7211,0.4686,0.4815,0.6472,0.489,0.5681,0.1584,0.3876,0.273,0.6525,0.5033,0.5779
0.7,0.7448,0.4657,0.5066,0.6558,0.5058,0.5808,0.1504,0.394,0.2722,0.6027,0.4754,0.539
0.8,0.7506,0.4618,0.5264,0.6589,0.5198,0.5894,0.1462,0.398,0.2721,0.5488,0.4427,0.4957
0.9,0.74,0.4582,0.5415,0.6573,0.5323,0.5948,0.146,0.4003,0.2731,0.4947,0.4066,0.4507
1,0.7155,0.4555,0.5528,0.6519,0.5436,0.5978,0.1495,0.4019,0.2757,0.4442,0.3691,0.4066
1.1,0.6812,0.4541,0.561,0.644,0.5532,0.5986,0.1558,0.4037,0.2798,0.3998,0.3321,0.366
1.2,0.6404,0.4538,0.5661,0.6337,0.5606,0.5972,0.1638,0.4055,0.2847,0.3627,0.2975,0.3301
1.3,0.5959,0.4547,0.5676,0.6221,0.5665,0.5943,0.1726,0.4073,0.2899,0.3335,0.2667,0.3001
1.4,0.549,0.4568,0.5653,0.6102,0.5721,0.5911,0.1819,0.4088,0.2954,0.3129,0.2411,0.277
1.5,0.4998,0.4604,0.5599,0.5984,0.5781,0.5882,0.1917,0.4107,0.3012,0.3013,0.2214,0.2614
1.6,0.4478,0.4657,0.553,0.5875,0.5848,0.5862,0.2019,0.4138,0.3079,0.2984,0.2082,0.2533
1.7,0.3928,0.4724,0.5459,0.5778,0.5921,0.5849,0.2124,0.4187,0.3155,0.3029,0.2012,0.252
1.8,0.3344,0.4799,0.5388,0.5693,0.599,0.5841,0.2231,0.4248,0.3239,0.3138,0.2004,0.2571
1.9,0.2741,0.487,0.532,0.5617,0.6045,0.5831,0.2341,0.4311,0.3326,0.3312,0.2064,0.2688
2,0.2131,0.4936,0.5257,0.5553,0.6084,0.5818,0.2453,0.4369,0.3411,0.3547,0.2198,0.2873
2.1,0.1508,0.5001,0.5205,0.5502,0.611,0.5806,0.2567,0.442,0.3493,0.3827,0.24,0.3114
2.2,0.0858,0.5071,0.5167,0.5467,0.6132,0.58,0.2677,0.4462,0.3569,0.4128,0.266,0.3394
2.3,0.0175,0.515,0.5134,0.5441,0.6158,0.58,0.2777,0.4486,0.3632,0.4432,0.2958,0.3695
2.4,-0.0528,0.5237,0.51,0.5417,0.619,0.5804,0.2862,0.4485,0.3673,0.4722,0.3278,0.4
2.5,-0.1231,0.5327,0.506,0.5391,0.6224,0.5807,0.293,0.4456,0.3693,0.4987,0.36,0.4294
2.6,-0.1914,0.5419,0.5019,0.5362,0.6256,0.5809,0.2987,0.4405,0.3696,0.5222,0.3914,0.4568
2.7,-0.2562,0.5515,0.4985,0.5335,0.629,0.5812,0.3038,0.4344,0.3691,0.5427,0.4212,0.4819
2.8,-0.317,0.5611,0.4965,0.5308,0.6333,0.5821,0.3093,0.4283,0.3688,0.5604,0.4488,0.5046
2.9,-0.3727,0.5699,0.4963,0.5277,0.6398,0.5837,0.3156,0.4227,0.3691,0.5751,0.4741,0.5246
3,-0.4216,0.5772,0.4973,0.5242,0.6484,0.5863,0.3227,0.4174,0.3701,0.5854,0.4957,0.5406
3.1,-0.4623,0.5828,0.499,0.5201,0.6586,0.5893,0.3301,0.4124,0.3713,0.59,0.5122,0.5511
3.2,-0.4937,0.5869,0.5009,0.5155,0.6693,0.5924,0.337,0.4079,0.3724,0.5889,0.5226,0.5557
3.3,-0.515,0.5899,0.5025,0.5104,0.6797,0.595,0.3429,0.4044,0.3736,0.5832,0.5271,0.5551
3.4,-0.526,0.5922,0.5037,0.5049,0.6886,0.5968,0.348,0.4027,0.3754,0.5743,0.5263,0.5503
