Time,Deakin University - The Little Patch of Sun 30 TVC,Deakin University - The Little Patch of Sun 30 TVC,Deakin University - The Little Patch of Sun 30 TVC,Deakin University - The Little Patch of Sun 30 TVC,Deakin University - The Little Patch of Sun 30 TVC,Deakin University - The Little Patch of Sun 30 TVC,Deakin University - The Little Patch of Sun 30 TVC,Deakin University - The Little Patch of Sun 30 TVC,Deakin University - The Little Patch of Sun 30 TVC,Deakin University - The Little Patch of Sun 30 TVC,Deakin University - The Little Patch of Sun 30 TVC,Deakin University - The Little Patch of Sun 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1423,0.6025,0.4981,0.489,0.3627,0.4259,0.4714,0.5718,0.5216,0.5053,0.5313,0.5183
0.1,0.1282,0.6169,0.502,0.5119,0.3733,0.4426,0.4782,0.5837,0.531,0.5288,0.5359,0.5323
0.2,0.116,0.6321,0.5065,0.5379,0.3867,0.4623,0.4868,0.5964,0.5416,0.5524,0.5397,0.546
0.3,0.1065,0.6473,0.5102,0.5663,0.4018,0.484,0.496,0.6094,0.5527,0.575,0.5415,0.5583
0.4,0.0995,0.6619,0.5123,0.5957,0.4177,0.5067,0.5052,0.6219,0.5635,0.5955,0.5414,0.5684
0.5,0.0953,0.6753,0.513,0.6253,0.4338,0.5295,0.5143,0.6333,0.5738,0.614,0.5398,0.5769
0.6,0.0942,0.6867,0.5129,0.6545,0.4495,0.552,0.5239,0.6432,0.5835,0.6309,0.5381,0.5845
0.7,0.0963,0.6955,0.5123,0.683,0.4644,0.5737,0.5339,0.6505,0.5922,0.6467,0.5369,0.5918
0.8,0.1007,0.7014,0.5112,0.7103,0.4783,0.5943,0.5438,0.6543,0.599,0.6615,0.5364,0.5989
0.9,0.1064,0.7041,0.5094,0.7358,0.491,0.6134,0.5526,0.6538,0.6032,0.6749,0.5363,0.6056
1,0.1124,0.7037,0.5068,0.7586,0.5023,0.6305,0.5587,0.6486,0.6037,0.6869,0.5362,0.6116
1.1,0.1183,0.7001,0.5033,0.7776,0.5124,0.645,0.5608,0.6389,0.5998,0.6972,0.5361,0.6166
1.2,0.1233,0.6928,0.4983,0.7915,0.5211,0.6563,0.557,0.6246,0.5908,0.7053,0.5356,0.6205
1.3,0.1261,0.6814,0.4916,0.7989,0.5287,0.6638,0.5466,0.606,0.5763,0.7108,0.5345,0.6226
1.4,0.1251,0.6655,0.4832,0.7993,0.535,0.6671,0.5297,0.5835,0.5566,0.7131,0.5325,0.6228
1.5,0.1201,0.6454,0.4734,0.7922,0.5397,0.666,0.5075,0.5578,0.5326,0.7122,0.5296,0.6209
1.6,0.1119,0.6217,0.4628,0.778,0.5423,0.6601,0.4814,0.5298,0.5056,0.7085,0.5257,0.6171
1.7,0.1015,0.595,0.4515,0.7563,0.5422,0.6492,0.453,0.5004,0.4767,0.7023,0.5203,0.6113
