Time,Drumstick - Let's Clean Up Our Backyard 30 TVC,Drumstick - Let's Clean Up Our Backyard 30 TVC,Drumstick - Let's Clean Up Our Backyard 30 TVC,Drumstick - Let's Clean Up Our Backyard 30 TVC,Drumstick - Let's Clean Up Our Backyard 30 TVC,Drumstick - Let's Clean Up Our Backyard 30 TVC,Drumstick - Let's Clean Up Our Backyard 30 TVC,Drumstick - Let's Clean Up Our Backyard 30 TVC,Drumstick - Let's Clean Up Our Backyard 30 TVC,Drumstick - Let's Clean Up Our Backyard 30 TVC,Drumstick - Let's Clean Up Our Backyard 30 TVC,Drumstick - Let's Clean Up Our Backyard 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.266,0.7316,0.5644,0.6413,0.5855,0.6134,0.5407,0.4692,0.5049,0.3407,0.7467,0.5437
0.1,0.2461,0.7532,0.577,0.6508,0.6052,0.628,0.5334,0.4654,0.4994,0.3443,0.7448,0.5445
0.2,0.2338,0.771,0.5826,0.6585,0.6196,0.6391,0.5265,0.4586,0.4925,0.3497,0.744,0.5469
0.3,0.2276,0.7835,0.5823,0.6633,0.6278,0.6455,0.52,0.4488,0.4844,0.3567,0.7439,0.5503
0.4,0.2262,0.79,0.5773,0.6649,0.6297,0.6473,0.5137,0.4365,0.4751,0.3653,0.7444,0.5548
0.5,0.2285,0.7905,0.5682,0.6639,0.6261,0.645,0.5079,0.422,0.465,0.375,0.7453,0.5601
0.6,0.233,0.7857,0.5547,0.661,0.6175,0.6392,0.5025,0.4056,0.4541,0.3846,0.7464,0.5655
0.7,0.2388,0.7761,0.536,0.6559,0.6045,0.6302,0.4974,0.3876,0.4425,0.3932,0.7473,0.5702
0.8,0.2449,0.7615,0.5119,0.6478,0.5874,0.6176,0.4922,0.3682,0.4302,0.4006,0.7474,0.574
0.9,0.2507,0.7422,0.4835,0.6359,0.567,0.6015,0.4861,0.3479,0.417,0.4074,0.7464,0.5769
1,0.255,0.7188,0.4522,0.6201,0.5441,0.5821,0.4783,0.3275,0.4029,0.4136,0.7439,0.5788
1.1,0.2558,0.6922,0.4195,0.6,0.5187,0.5593,0.4687,0.3079,0.3883,0.4188,0.7403,0.5795
1.2,0.2508,0.6629,0.3869,0.5749,0.4908,0.5329,0.4567,0.2895,0.3731,0.4227,0.7355,0.5791
1.3,0.2387,0.6319,0.3561,0.5443,0.4607,0.5025,0.4426,0.2727,0.3577,0.4255,0.7296,0.5776
1.4,0.2195,0.6007,0.3289,0.5079,0.4295,0.4687,0.4268,0.2581,0.3425,0.4272,0.7225,0.5749
1.5,0.1951,0.5711,0.3071,0.4669,0.3993,0.4331,0.4095,0.2469,0.3282,0.428,0.7145,0.5712
1.6,0.1678,0.5448,0.2917,0.4237,0.372,0.3978,0.3915,0.2399,0.3157,0.4277,0.7055,0.5666
1.7,0.1395,0.5229,0.2832,0.3806,0.3487,0.3646,0.3735,0.2378,0.3057,0.4269,0.6962,0.5616
1.8,0.1126,0.5059,0.2816,0.3398,0.3299,0.3348,0.3562,0.2408,0.2985,0.4261,0.687,0.5565
1.9,0.0895,0.494,0.2864,0.3039,0.3158,0.3098,0.3403,0.2494,0.2948,0.4262,0.6782,0.5522
2,0.0714,0.4866,0.2971,0.2747,0.3063,0.2905,0.3266,0.2636,0.2951,0.4277,0.6705,0.5491
2.1,0.0579,0.4833,0.3124,0.2536,0.3012,0.2774,0.3163,0.283,0.2997,0.4307,0.6648,0.5477
2.2,0.048,0.4836,0.3302,0.241,0.2995,0.2702,0.3102,0.307,0.3086,0.4349,0.6616,0.5483
2.3,0.0422,0.4872,0.3485,0.2362,0.3003,0.2683,0.3091,0.3339,0.3215,0.4409,0.661,0.5509
2.4,0.0415,0.4938,0.3655,0.2387,0.3026,0.2707,0.3123,0.3619,0.3371,0.4488,0.6622,0.5555
2.5,0.0468,0.5022,0.3806,0.2476,0.3057,0.2767,0.3189,0.3889,0.3539,0.4585,0.6646,0.5616
2.6,0.0583,0.5107,0.3927,0.2621,0.3085,0.2853,0.3276,0.4135,0.3706,0.4701,0.6674,0.5688
2.7,0.0749,0.5179,0.4005,0.281,0.3099,0.2955,0.3379,0.4339,0.3859,0.4837,0.6705,0.5771
2.8,0.0954,0.5231,0.4032,0.303,0.3093,0.3062,0.3496,0.4488,0.3992,0.4998,0.6733,0.5866
2.9,0.1193,0.5263,0.3999,0.3271,0.3065,0.3168,0.3633,0.4573,0.4103,0.5183,0.6752,0.5967
3,0.1463,0.5274,0.3906,0.3525,0.3017,0.3271,0.3789,0.4592,0.419,0.5389,0.6752,0.607
3.1,0.175,0.5264,0.3761,0.3792,0.2953,0.3372,0.3959,0.4549,0.4254,0.5609,0.6724,0.6166
3.2,0.204,0.5236,0.3575,0.4071,0.2878,0.3474,0.414,0.4452,0.4296,0.5835,0.6663,0.6249
3.3,0.2321,0.5197,0.3359,0.4355,0.2799,0.3577,0.4328,0.4314,0.4321,0.6062,0.6571,0.6317
3.4,0.2593,0.5153,0.3126,0.4638,0.2729,0.3683,0.4525,0.4145,0.4335,0.6282,0.645,0.6366
3.5,0.2856,0.5112,0.2891,0.4922,0.2684,0.3803,0.473,0.396,0.4345,0.6487,0.6302,0.6394
3.6,0.3119,0.5087,0.2663,0.5219,0.2681,0.395,0.4945,0.3775,0.436,0.6669,0.6125,0.6397
3.7,0.3387,0.5088,0.2447,0.5541,0.2727,0.4134,0.5166,0.3599,0.4383,0.6826,0.5922,0.6374
3.8,0.3662,0.5121,0.2235,0.5889,0.2824,0.4357,0.5386,0.3437,0.4411,0.6947,0.5699,0.6323
3.9,0.394,0.5188,0.2018,0.6253,0.2966,0.4609,0.5594,0.3286,0.444,0.7023,0.5463,0.6243
4,0.4207,0.5285,0.1795,0.6611,0.3141,0.4876,0.578,0.3149,0.4464,0.7044,0.5218,0.6131
4.1,0.4446,0.5405,0.1574,0.694,0.334,0.514,0.5934,0.3029,0.4481,0.7006,0.4972,0.5989
4.2,0.4639,0.554,0.137,0.7224,0.3554,0.5389,0.6055,0.2934,0.4494,0.6913,0.4733,0.5823
4.3,0.4771,0.5684,0.12,0.7456,0.3773,0.5614,0.6147,0.287,0.4509,0.6774,0.4513,0.5644
4.4,0.4836,0.5836,0.1072,0.7635,0.399,0.5812,0.6213,0.2837,0.4525,0.6596,0.4324,0.546
4.5,0.4829,0.5993,0.0988,0.776,0.4199,0.5979,0.6252,0.2835,0.4543,0.6387,0.4175,0.5281
4.6,0.4753,0.6157,0.0957,0.7837,0.44,0.6118,0.6264,0.2862,0.4563,0.6153,0.4076,0.5115
4.7,0.4615,0.6328,0.0991,0.7874,0.4594,0.6234,0.6253,0.2921,0.4587,0.5903,0.403,0.4967
4.8,0.4431,0.6501,0.1097,0.7882,0.4774,0.6328,0.622,0.3014,0.4617,0.564,0.404,0.484
4.9,0.4217,0.6669,0.1272,0.7869,0.4929,0.6399,0.6169,0.3139,0.4654,0.5366,0.4105,0.4736
5,0.3978,0.6822,0.1506,0.7843,0.5047,0.6445,0.6101,0.3295,0.4698,0.508,0.422,0.465
5.1,0.3717,0.6954,0.1791,0.7804,0.5119,0.6461,0.6021,0.3474,0.4747,0.4785,0.4381,0.4583
5.2,0.3443,0.7062,0.2119,0.7753,0.5141,0.6447,0.593,0.3673,0.4801,0.4488,0.4578,0.4533
5.3,0.3173,0.7146,0.2475,0.7691,0.5121,0.6406,0.5833,0.3883,0.4858,0.4195,0.4802,0.4498
5.4,0.2926,0.7203,0.2837,0.7618,0.5064,0.6341,0.5734,0.4098,0.4916,0.3907,0.5045,0.4476
5.5,0.2714,0.7235,0.3178,0.7534,0.4975,0.6255,0.564,0.4311,0.4976,0.362,0.5296,0.4458
5.6,0.2548,0.7242,0.3474,0.7439,0.4861,0.615,0.5555,0.4517,0.5036,0.3335,0.5535,0.4435
5.7,0.2442,0.7224,0.371,0.7332,0.4722,0.6027,0.5479,0.471,0.5095,0.3057,0.5744,0.44
5.8,0.2404,0.7181,0.3884,0.7212,0.4561,0.5886,0.541,0.4884,0.5147,0.2795,0.5914,0.4355
