Time,Ford Aussie Hoops 30 TVC,Ford Aussie Hoops 30 TVC,Ford Aussie Hoops 30 TVC,Ford Aussie Hoops 30 TVC,Ford Aussie Hoops 30 TVC,Ford Aussie Hoops 30 TVC,Ford Aussie Hoops 30 TVC,Ford Aussie Hoops 30 TVC,Ford Aussie Hoops 30 TVC,Ford Aussie Hoops 30 TVC,Ford Aussie Hoops 30 TVC,Ford Aussie Hoops 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.7402,0.6372,0.6337,0.8567,0.5408,0.6987,0.5742,0.6305,0.6024,0.3723,0.5863,0.4793
0.1,0.7106,0.6235,0.6318,0.852,0.5229,0.6875,0.5661,0.6258,0.596,0.3865,0.5958,0.4911
0.2,0.6807,0.6095,0.629,0.8461,0.508,0.6771,0.5574,0.6198,0.5886,0.4026,0.6056,0.5041
0.3,0.6503,0.5958,0.6258,0.839,0.4962,0.6676,0.5485,0.6123,0.5804,0.4201,0.6155,0.5178
0.4,0.6205,0.583,0.6225,0.8313,0.4872,0.6592,0.5396,0.6031,0.5713,0.4382,0.6247,0.5315
0.5,0.5927,0.5719,0.6189,0.8236,0.4806,0.6521,0.5306,0.5919,0.5613,0.456,0.6326,0.5443
0.6,0.5683,0.5627,0.6147,0.8163,0.4761,0.6462,0.5219,0.579,0.5504,0.4725,0.638,0.5553
0.7,0.5471,0.5553,0.6097,0.8095,0.4734,0.6415,0.5129,0.5646,0.5388,0.4867,0.6399,0.5633
0.8,0.5288,0.549,0.6036,0.8026,0.4718,0.6372,0.5029,0.5489,0.5259,0.4972,0.6371,0.5672
0.9,0.5131,0.5436,0.5961,0.7951,0.4708,0.633,0.4911,0.5321,0.5116,0.5034,0.6291,0.5662
1,0.4999,0.5393,0.587,0.7876,0.4698,0.6287,0.4773,0.5146,0.4959,0.5049,0.6157,0.5603
1.1,0.4887,0.5367,0.5764,0.7807,0.4688,0.6247,0.4615,0.4971,0.4793,0.5021,0.5973,0.5497
