Time,Gippsland Dairy - Printer 15 Client TVC,Gippsland Dairy - Printer 15 Client TVC,Gippsland Dairy - Printer 15 Client TVC,Gippsland Dairy - Printer 15 Client TVC,Gippsland Dairy - Printer 15 Client TVC,Gippsland Dairy - Printer 15 Client TVC,Gippsland Dairy - Printer 15 Client TVC,Gippsland Dairy - Printer 15 Client TVC,Gippsland Dairy - Printer 15 Client TVC,Gippsland Dairy - Printer 15 Client TVC,Gippsland Dairy - Printer 15 Client TVC,Gippsland Dairy - Printer 15 Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.4954,0.6922,0.6251,0.7228,0.556,0.6394,0.6481,0.6564,0.6522,0.5942,0.5571,0.5757
0.1,0.5002,0.664,0.6087,0.6933,0.5555,0.6244,0.6574,0.6566,0.657,0.5942,0.5609,0.5775
0.2,0.5031,0.6344,0.5912,0.6622,0.5537,0.608,0.6648,0.6595,0.6622,0.5943,0.5639,0.5791
0.3,0.5041,0.6042,0.5729,0.6308,0.5514,0.5911,0.6696,0.6657,0.6676,0.594,0.5664,0.5802
0.4,0.5029,0.5742,0.5544,0.6003,0.5493,0.5748,0.6712,0.6756,0.6734,0.5931,0.5685,0.5808
0.5,0.4996,0.5452,0.5367,0.5719,0.548,0.5599,0.6693,0.6889,0.6791,0.5917,0.5701,0.5809
0.6,0.4946,0.518,0.5202,0.5469,0.5483,0.5476,0.6644,0.7047,0.6845,0.59,0.571,0.5805
0.7,0.4881,0.4934,0.5057,0.5262,0.5507,0.5385,0.6569,0.7218,0.6894,0.5885,0.5711,0.5798
0.8,0.4809,0.4717,0.4936,0.5097,0.5551,0.5324,0.6477,0.7394,0.6935,0.5877,0.5704,0.5791
0.9,0.4747,0.4527,0.4843,0.4975,0.5599,0.5287,0.6374,0.7569,0.6971,0.5878,0.5691,0.5784
1,0.4716,0.4364,0.4781,0.4899,0.5638,0.5269,0.6267,0.7736,0.7001,0.5881,0.5673,0.5777
1.1,0.4728,0.423,0.4749,0.4872,0.566,0.5266,0.6158,0.7885,0.7022,0.5883,0.565,0.5766
1.2,0.4778,0.4132,0.4746,0.4902,0.5668,0.5285,0.6052,0.8007,0.703,0.5881,0.5622,0.5751
1.3,0.4842,0.4076,0.4763,0.4989,0.5675,0.5332,0.5954,0.8091,0.7023,0.5877,0.5592,0.5734
1.4,0.4895,0.4065,0.4787,0.513,0.5687,0.5408,0.5864,0.8131,0.6998,0.5871,0.5561,0.5716
1.5,0.4917,0.4094,0.4809,0.531,0.57,0.5505,0.5782,0.8122,0.6952,0.5859,0.5529,0.5694
1.6,0.4903,0.4156,0.4826,0.5516,0.5709,0.5613,0.5709,0.8067,0.6888,0.5836,0.5494,0.5665
1.7,0.4859,0.4246,0.4847,0.5734,0.5715,0.5724,0.5651,0.7977,0.6814,0.5806,0.5459,0.5632
1.8,0.4785,0.4358,0.4878,0.5953,0.5721,0.5837,0.5609,0.7866,0.6737,0.5776,0.5427,0.5601
1.9,0.4675,0.4487,0.4926,0.6159,0.5731,0.5945,0.5579,0.7738,0.6659,0.575,0.5403,0.5576
2,0.4513,0.4625,0.4988,0.6341,0.5745,0.6043,0.5554,0.7593,0.6574,0.5725,0.5388,0.5556
2.1,0.4296,0.4763,0.5058,0.6487,0.5754,0.612,0.5527,0.7428,0.6477,0.5696,0.5378,0.5537
2.2,0.4025,0.4892,0.5129,0.6589,0.5754,0.6172,0.5493,0.7246,0.637,0.5658,0.5374,0.5516
2.3,0.3706,0.5007,0.5196,0.6648,0.5749,0.6198,0.5456,0.7055,0.6255,0.5615,0.5378,0.5496
2.4,0.335,0.5104,0.5259,0.6667,0.5741,0.6204,0.5416,0.6855,0.6136,0.5575,0.5392,0.5484
2.5,0.2966,0.5178,0.5319,0.6646,0.5733,0.619,0.5371,0.6646,0.6009,0.5546,0.5417,0.5481
2.6,0.2553,0.5224,0.5375,0.6586,0.5727,0.6157,0.5316,0.6425,0.5871,0.553,0.5449,0.5489
2.7,0.211,0.524,0.5428,0.6488,0.5727,0.6108,0.5248,0.6201,0.5724,0.5527,0.5481,0.5504
