Time,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC,GWM Australia Tank 300 - See you out there 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.7977,0.7402,0.5166,0.5398,0.8381,0.689,0.6527,0.6045,0.6286,0.3829,0.4042,0.3936
0.1,-0.8047,0.7671,0.544,0.5863,0.8778,0.7321,0.6752,0.627,0.6511,0.4309,0.4441,0.4375
0.2,-0.7988,0.7915,0.5677,0.6358,0.9123,0.774,0.6956,0.6478,0.6717,0.4753,0.486,0.4807
0.3,-0.7811,0.8125,0.5878,0.685,0.9399,0.8124,0.7127,0.6656,0.6892,0.5159,0.5288,0.5223
0.4,-0.754,0.8301,0.6042,0.7323,0.9597,0.846,0.7253,0.6794,0.7024,0.5526,0.5716,0.5621
0.5,-0.7196,0.8451,0.6174,0.7772,0.9717,0.8745,0.7332,0.6896,0.7114,0.5855,0.6136,0.5996
0.6,-0.6792,0.8582,0.6284,0.8188,0.9751,0.8969,0.7365,0.6972,0.7168,0.6145,0.6535,0.634
0.7,-0.6338,0.8693,0.6377,0.8556,0.9687,0.9121,0.7353,0.7025,0.7189,0.6388,0.6898,0.6643
0.8,-0.5855,0.8779,0.6452,0.8851,0.9513,0.9182,0.7301,0.7058,0.718,0.658,0.7208,0.6894
0.9,-0.5372,0.8824,0.6496,0.9053,0.9218,0.9136,0.7211,0.7063,0.7137,0.6721,0.7452,0.7087
1,-0.4915,0.8821,0.6499,0.9158,0.8809,0.8984,0.7082,0.7034,0.7058,0.6819,0.7626,0.7222
1.1,-0.4493,0.8768,0.6458,0.9172,0.8312,0.8742,0.6922,0.6962,0.6942,0.6877,0.7732,0.7305
1.2,-0.4099,0.8673,0.6383,0.9102,0.7762,0.8432,0.6745,0.685,0.6798,0.6905,0.7773,0.7339
1.3,-0.3723,0.8551,0.629,0.8949,0.7198,0.8073,0.657,0.6707,0.6639,0.691,0.7753,0.7332
1.4,-0.3362,0.8416,0.6192,0.8717,0.6655,0.7686,0.6415,0.6548,0.6482,0.6897,0.7669,0.7283
1.5,-0.301,0.8285,0.6091,0.8413,0.6164,0.7289,0.6288,0.6382,0.6335,0.6858,0.7516,0.7187
1.6,-0.2657,0.8175,0.5986,0.8061,0.5753,0.6907,0.6187,0.6205,0.6196,0.6783,0.7291,0.7037
1.7,-0.2286,0.8097,0.5878,0.7698,0.5446,0.6572,0.6106,0.6019,0.6062,0.6666,0.6995,0.6831
1.8,-0.1897,0.8062,0.5772,0.736,0.5254,0.6307,0.6045,0.5827,0.5936,0.6511,0.6637,0.6574
1.9,-0.1506,0.8072,0.5665,0.7066,0.5178,0.6122,0.6009,0.5633,0.5821,0.6328,0.6229,0.6278
2,-0.1122,0.8123,0.5552,0.6822,0.5208,0.6015,0.6003,0.5439,0.5721,0.612,0.5779,0.5949
2.1,-0.0739,0.8207,0.5429,0.6633,0.5325,0.5979,0.6029,0.5242,0.5635,0.5889,0.5301,0.5595
2.2,-0.0344,0.8311,0.5297,0.6503,0.5512,0.6008,0.6087,0.5044,0.5565,0.5643,0.481,0.5227
2.3,0.007,0.843,0.5161,0.6443,0.5751,0.6097,0.6178,0.4852,0.5515,0.5395,0.433,0.4863
2.4,0.0495,0.8562,0.5025,0.6471,0.6032,0.6251,0.6309,0.4684,0.5497,0.5165,0.3878,0.4522
2.5,0.0908,0.8714,0.4893,0.6598,0.6352,0.6475,0.6486,0.4559,0.5523,0.4964,0.3459,0.4212
2.6,0.1299,0.8882,0.4767,0.6825,0.6705,0.6765,0.6711,0.4487,0.5599,0.4794,0.3068,0.3931
2.7,0.168,0.9056,0.4645,0.7138,0.708,0.7109,0.6981,0.4469,0.5725,0.4658,0.2702,0.368
2.8,0.2075,0.9221,0.4522,0.7516,0.7461,0.7488,0.7286,0.4499,0.5893,0.4553,0.2364,0.3458
2.9,0.2496,0.9366,0.439,0.7937,0.7834,0.7885,0.7611,0.4577,0.6094,0.4473,0.2057,0.3265
3,0.2937,0.9491,0.4243,0.8381,0.8197,0.8289,0.7942,0.4705,0.6324,0.4419,0.178,0.3099
3.1,0.3378,0.9597,0.4082,0.883,0.8549,0.8689,0.8269,0.4888,0.6579,0.4393,0.1539,0.2966
3.2,0.3801,0.9686,0.3905,0.9262,0.8883,0.9073,0.8581,0.5125,0.6853,0.439,0.1338,0.2864
3.3,0.4184,0.9753,0.3708,0.9652,0.919,0.9421,0.887,0.5405,0.7137,0.4403,0.1177,0.279
3.4,0.4507,0.9796,0.3488,0.9978,0.946,0.9719,0.9124,0.572,0.7422,0.4422,0.1058,0.274
3.5,0.4756,0.9812,0.3249,1.0226,0.9683,0.9954,0.9332,0.6052,0.7692,0.445,0.0981,0.2715
3.6,0.4924,0.9799,0.2992,1.0392,0.9855,1.0123,0.9482,0.6377,0.793,0.4489,0.095,0.2719
3.7,0.4999,0.9758,0.2724,1.0474,0.9977,1.0225,0.9565,0.6671,0.8118,0.4535,0.0959,0.2747
