Time,Harvey Norman - Brand Olympics 2024 Client 30 TVC,Harvey Norman - Brand Olympics 2024 Client 30 TVC,Harvey Norman - Brand Olympics 2024 Client 30 TVC,Harvey Norman - Brand Olympics 2024 Client 30 TVC,Harvey Norman - Brand Olympics 2024 Client 30 TVC,Harvey Norman - Brand Olympics 2024 Client 30 TVC,Harvey Norman - Brand Olympics 2024 Client 30 TVC,Harvey Norman - Brand Olympics 2024 Client 30 TVC,Harvey Norman - Brand Olympics 2024 Client 30 TVC,Harvey Norman - Brand Olympics 2024 Client 30 TVC,Harvey Norman - Brand Olympics 2024 Client 30 TVC,Harvey Norman - Brand Olympics 2024 Client 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.3637,0.4399,0.35,0.5989,0.4134,0.5061,0.3497,0.2705,0.3101,0.3025,0.6029,0.4527
0.1,0.3521,0.4724,0.3784,0.6109,0.4476,0.5292,0.3713,0.2912,0.3312,0.336,0.6355,0.4858
0.2,0.3423,0.4992,0.409,0.616,0.4757,0.5458,0.393,0.312,0.3525,0.372,0.6678,0.5199
0.3,0.334,0.5206,0.4402,0.615,0.4968,0.5559,0.4129,0.3328,0.3728,0.4091,0.6983,0.5537
0.4,0.3253,0.5372,0.47,0.6093,0.5108,0.56,0.4297,0.3528,0.3913,0.4457,0.7256,0.5856
0.5,0.3144,0.5499,0.4968,0.6002,0.5183,0.5593,0.4427,0.3712,0.407,0.48,0.748,0.614
0.6,0.3008,0.5597,0.5195,0.5895,0.5198,0.5547,0.4517,0.3864,0.4191,0.5101,0.7641,0.6371
0.7,0.2853,0.5677,0.538,0.5788,0.5159,0.5473,0.4572,0.3974,0.4273,0.535,0.7734,0.6542
0.8,0.2691,0.5753,0.5521,0.5693,0.5071,0.5382,0.4597,0.4038,0.4318,0.5542,0.7759,0.665
0.9,0.2525,0.5832,0.5626,0.562,0.4944,0.5282,0.4602,0.4061,0.4331,0.5681,0.7725,0.6703
1,0.2356,0.5923,0.5698,0.5581,0.4789,0.5185,0.4597,0.4053,0.4325,0.578,0.7641,0.671
1.1,0.2186,0.6035,0.5745,0.5589,0.4625,0.5107,0.4593,0.4027,0.431,0.5852,0.7512,0.6682
1.2,0.2029,0.6174,0.5777,0.5656,0.4469,0.5063,0.4595,0.3993,0.4294,0.5909,0.7346,0.6627
1.3,0.1893,0.6339,0.58,0.5781,0.4328,0.5054,0.4606,0.3953,0.4279,0.5959,0.7146,0.6553
1.4,0.1777,0.6517,0.582,0.5949,0.42,0.5075,0.4626,0.3906,0.4266,0.6005,0.6917,0.6461
1.5,0.1678,0.669,0.5839,0.6143,0.4079,0.5111,0.4654,0.3853,0.4254,0.6043,0.6659,0.6351
1.6,0.1597,0.6848,0.5848,0.635,0.3967,0.5159,0.4691,0.3801,0.4246,0.6072,0.6375,0.6223
1.7,0.1537,0.6993,0.5841,0.6568,0.3877,0.5222,0.4735,0.3758,0.4247,0.609,0.6074,0.6082
1.8,0.1494,0.713,0.5813,0.68,0.3823,0.5311,0.4787,0.3735,0.4261,0.6102,0.577,0.5936
1.9,0.1457,0.7265,0.5764,0.7041,0.3814,0.5428,0.4846,0.3737,0.4291,0.6111,0.548,0.5796
2,0.1404,0.739,0.5701,0.7275,0.385,0.5562,0.4912,0.3763,0.4337,0.6123,0.5216,0.5669
2.1,0.1321,0.7493,0.5628,0.7481,0.3923,0.5702,0.4989,0.3816,0.4403,0.6142,0.4986,0.5564
2.2,0.1207,0.7569,0.5552,0.7654,0.403,0.5842,0.5086,0.3901,0.4494,0.6175,0.4798,0.5486
2.3,0.1067,0.7619,0.5479,0.7794,0.4168,0.5981,0.5207,0.4022,0.4614,0.6224,0.4657,0.544
2.4,0.0909,0.7646,0.542,0.7904,0.4335,0.612,0.5353,0.4175,0.4764,0.629,0.457,0.543
2.5,0.0749,0.7648,0.5377,0.7983,0.4525,0.6254,0.5517,0.4354,0.4936,0.6367,0.4531,0.5449
2.6,0.0608,0.7623,0.5351,0.8031,0.4722,0.6376,0.5697,0.4557,0.5127,0.6442,0.4528,0.5485
2.7,0.0501,0.7567,0.5339,0.8046,0.4915,0.648,0.589,0.4781,0.5335,0.6506,0.4551,0.5529
2.8,0.044,0.7491,0.5338,0.8038,0.5102,0.657,0.6094,0.5027,0.5561,0.6554,0.4595,0.5575
2.9,0.0428,0.7411,0.5347,0.8022,0.5293,0.6658,0.6311,0.5298,0.5804,0.6586,0.4659,0.5623
3,0.0451,0.7343,0.536,0.8008,0.5498,0.6753,0.6535,0.5594,0.6065,0.6602,0.4738,0.567
3.1,0.049,0.729,0.5377,0.7997,0.5719,0.6858,0.6757,0.5913,0.6335,0.6599,0.4821,0.571
3.2,0.0535,0.7248,0.5395,0.7986,0.5948,0.6967,0.6964,0.6246,0.6605,0.6573,0.4902,0.5737
3.3,0.0589,0.7217,0.5417,0.7974,0.6171,0.7072,0.7144,0.6583,0.6863,0.6521,0.4973,0.5747
3.4,0.0663,0.7201,0.5442,0.7962,0.6381,0.7171,0.729,0.6916,0.7103,0.6442,0.5035,0.5738
3.5,0.0756,0.7209,0.5473,0.7955,0.6579,0.7267,0.74,0.7237,0.7319,0.6342,0.5089,0.5716
3.6,0.0864,0.7244,0.5503,0.7955,0.6771,0.7363,0.7471,0.7539,0.7505,0.6223,0.5138,0.5681
