Time,Hungry Jacks - Wrap and Capp 15 TVC,Hungry Jacks - Wrap and Capp 15 TVC,Hungry Jacks - Wrap and Capp 15 TVC,Hungry Jacks - Wrap and Capp 15 TVC,Hungry Jacks - Wrap and Capp 15 TVC,Hungry Jacks - Wrap and Capp 15 TVC,Hungry Jacks - Wrap and Capp 15 TVC,Hungry Jacks - Wrap and Capp 15 TVC,Hungry Jacks - Wrap and Capp 15 TVC,Hungry Jacks - Wrap and Capp 15 TVC,Hungry Jacks - Wrap and Capp 15 TVC,Hungry Jacks - Wrap and Capp 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.5205,0.7875,0.4063,0.6448,0.7427,0.6938,0.7215,0.6397,0.6806,0.6453,0.4304,0.5378
0.1,-0.5805,0.785,0.3793,0.596,0.7303,0.6631,0.7062,0.6352,0.6707,0.5779,0.3844,0.4811
0.2,-0.6374,0.7812,0.3573,0.5496,0.7178,0.6337,0.6931,0.6315,0.6623,0.5128,0.3401,0.4265
0.3,-0.6905,0.7762,0.3415,0.5064,0.7065,0.6064,0.6822,0.6295,0.6559,0.4515,0.2991,0.3753
0.4,-0.7389,0.7702,0.3324,0.4667,0.698,0.5824,0.6735,0.6296,0.6515,0.3955,0.2631,0.3293
0.5,-0.7811,0.7635,0.3295,0.432,0.6935,0.5627,0.6666,0.6319,0.6492,0.3461,0.2339,0.29
0.6,-0.8157,0.7563,0.3327,0.4036,0.6933,0.5484,0.6614,0.6362,0.6488,0.3048,0.2125,0.2587
0.7,-0.8421,0.7487,0.3417,0.3817,0.6973,0.5395,0.658,0.6423,0.6502,0.2725,0.1995,0.236
0.8,-0.8605,0.7404,0.3559,0.3656,0.7042,0.5349,0.6565,0.6497,0.6531,0.2496,0.1948,0.2222
0.9,-0.8708,0.7306,0.3735,0.3541,0.7125,0.5333,0.6566,0.6573,0.657,0.2357,0.1985,0.2171
1,-0.8722,0.7194,0.3931,0.3473,0.7215,0.5344,0.6582,0.6647,0.6615,0.2305,0.2102,0.2203
1.1,-0.8648,0.707,0.4136,0.3457,0.731,0.5384,0.6608,0.6717,0.6663,0.2335,0.2291,0.2313
1.2,-0.8495,0.6938,0.4345,0.3498,0.7409,0.5454,0.664,0.6786,0.6713,0.2441,0.2541,0.2491
1.3,-0.8274,0.6805,0.4549,0.3593,0.7506,0.555,0.6675,0.6855,0.6765,0.2615,0.2839,0.2727
1.4,-0.799,0.6673,0.4735,0.3733,0.7585,0.5659,0.6713,0.6923,0.6818,0.2845,0.3171,0.3008
1.5,-0.7647,0.6543,0.4891,0.3905,0.7635,0.577,0.6749,0.6987,0.6868,0.3114,0.3521,0.3318
1.6,-0.725,0.6414,0.5006,0.4096,0.7646,0.5871,0.6779,0.7044,0.6911,0.3407,0.3869,0.3638
1.7,-0.6805,0.6282,0.5076,0.4293,0.7617,0.5955,0.6796,0.709,0.6943,0.3706,0.4194,0.395
1.8,-0.6326,0.6143,0.5098,0.4482,0.7545,0.6013,0.6797,0.7123,0.696,0.3997,0.4472,0.4234
1.9,-0.5818,0.5995,0.5076,0.4655,0.7427,0.6041,0.6783,0.7141,0.6962,0.4269,0.4691,0.448
2,-0.528,0.584,0.5017,0.4812,0.7265,0.6039,0.6757,0.714,0.6949,0.4522,0.4847,0.4684
2.1,-0.4707,0.5684,0.4931,0.4958,0.7063,0.6011,0.6724,0.712,0.6922,0.4759,0.4946,0.4852
2.2,-0.4096,0.5534,0.4829,0.5101,0.6829,0.5965,0.669,0.7083,0.6886,0.4983,0.5,0.4992
2.3,-0.345,0.5401,0.4728,0.5244,0.6577,0.591,0.666,0.7033,0.6846,0.5198,0.502,0.5109
2.4,-0.2772,0.529,0.4636,0.5386,0.6317,0.5852,0.6637,0.6971,0.6804,0.5403,0.5013,0.5208
2.5,-0.2064,0.5202,0.4555,0.5526,0.6056,0.5791,0.6623,0.6896,0.676,0.5595,0.4984,0.5289
2.6,-0.1334,0.5135,0.4483,0.5663,0.5796,0.5729,0.6616,0.6806,0.6711,0.577,0.4937,0.5353
2.7,-0.0591,0.5088,0.4416,0.5799,0.5542,0.5671,0.6617,0.67,0.6659,0.5929,0.488,0.5405
2.8,0.0154,0.5063,0.4354,0.5937,0.53,0.5619,0.6628,0.6582,0.6605,0.6075,0.4822,0.5448
2.9,0.089,0.5063,0.4304,0.6074,0.5078,0.5576,0.6653,0.6461,0.6557,0.6209,0.4769,0.5489
3,0.1603,0.5085,0.4269,0.6209,0.4886,0.5547,0.6692,0.6345,0.6518,0.6331,0.4727,0.5529
3.1,0.2274,0.5126,0.4252,0.6341,0.4728,0.5534,0.6746,0.6236,0.6491,0.6443,0.4698,0.557
3.2,0.2877,0.5181,0.4254,0.647,0.461,0.554,0.681,0.6136,0.6473,0.6544,0.4683,0.5614
3.3,0.3389,0.5248,0.4275,0.6594,0.4532,0.5563,0.6883,0.6046,0.6464,0.6634,0.4684,0.5659
3.4,0.3787,0.5323,0.4314,0.6713,0.4493,0.5603,0.6959,0.5966,0.6463,0.6712,0.4696,0.5704
3.5,0.4057,0.5404,0.4363,0.6824,0.4488,0.5656,0.7031,0.5897,0.6464,0.6773,0.4717,0.5745
3.6,0.4191,0.548,0.4417,0.6933,0.4509,0.5721,0.7093,0.5838,0.6465,0.6814,0.4744,0.5779
3.7,0.4194,0.5545,0.447,0.7045,0.4553,0.5799,0.7138,0.5789,0.6464,0.6834,0.4779,0.5806
3.8,0.4079,0.5602,0.452,0.7166,0.4621,0.5893,0.7171,0.5753,0.6462,0.6837,0.482,0.5829
3.9,0.3856,0.5656,0.4565,0.7296,0.4713,0.6004,0.7194,0.5736,0.6465,0.6826,0.4864,0.5845
4,0.3528,0.571,0.4602,0.7429,0.483,0.6129,0.7212,0.5742,0.6477,0.6803,0.4905,0.5854
4.1,0.3105,0.5763,0.4627,0.7557,0.4965,0.6261,0.7227,0.5772,0.65,0.6764,0.4941,0.5852
4.2,0.2605,0.5805,0.4635,0.7674,0.5109,0.6392,0.7235,0.5824,0.653,0.6704,0.4968,0.5836
4.3,0.2051,0.5833,0.4625,0.7774,0.525,0.6512,0.7233,0.5895,0.6564,0.6624,0.4985,0.5805
4.4,0.1468,0.5849,0.4602,0.7849,0.5384,0.6617,0.7216,0.5981,0.6598,0.6529,0.4988,0.5758
4.5,0.0877,0.5861,0.4571,0.7892,0.5508,0.67,0.7186,0.6079,0.6633,0.6422,0.4971,0.5696
4.6,0.0304,0.5878,0.4538,0.79,0.5615,0.6757,0.7144,0.619,0.6667,0.6307,0.4928,0.5618
4.7,-0.0225,0.5903,0.4504,0.787,0.5697,0.6784,0.7092,0.6307,0.67,0.6183,0.4858,0.5521
4.8,-0.0689,0.5935,0.4467,0.7801,0.5744,0.6773,0.7032,0.6425,0.6728,0.6049,0.476,0.5405
4.9,-0.1081,0.5973,0.443,0.7688,0.5754,0.6721,0.6961,0.6532,0.6747,0.5908,0.4635,0.5271
5,-0.1412,0.602,0.4395,0.7528,0.5733,0.663,0.6874,0.6621,0.6747,0.5764,0.4487,0.5126
5.1,-0.1698,0.6081,0.4365,0.7328,0.5692,0.651,0.6766,0.6686,0.6726,0.5625,0.4321,0.4973
5.2,-0.1944,0.6154,0.4345,0.7102,0.564,0.6371,0.6642,0.673,0.6686,0.5497,0.4147,0.4822
5.3,-0.2141,0.6235,0.4337,0.6869,0.5583,0.6226,0.651,0.6758,0.6634,0.5388,0.3979,0.4683
5.4,-0.2276,0.6317,0.4347,0.6646,0.5527,0.6087,0.6385,0.6778,0.6581,0.5303,0.3826,0.4565
5.5,-0.2348,0.6399,0.4381,0.6445,0.5478,0.5962,0.6275,0.6793,0.6534,0.5244,0.3697,0.4471
5.6,-0.236,0.6484,0.4439,0.627,0.5441,0.5856,0.6185,0.6803,0.6494,0.5208,0.3593,0.44
5.7,-0.2324,0.6568,0.452,0.6121,0.5413,0.5767,0.6118,0.6809,0.6463,0.5188,0.3513,0.4351
5.8,-0.2253,0.6646,0.4616,0.5996,0.5387,0.5692,0.607,0.6808,0.6439,0.5181,0.3458,0.4319
5.9,-0.2158,0.6712,0.4723,0.589,0.5352,0.5621,0.6036,0.6798,0.6417,0.5179,0.3426,0.4302
6,-0.205,0.6763,0.4837,0.5796,0.5305,0.5551,0.6008,0.6774,0.6391,0.5179,0.3416,0.4297
6.1,-0.1941,0.6798,0.4956,0.5711,0.5252,0.5481,0.598,0.6732,0.6356,0.5178,0.3423,0.4301
6.2,-0.1836,0.6816,0.5074,0.5628,0.5202,0.5415,0.5946,0.6667,0.6306,0.5175,0.3444,0.4309
6.3,-0.1732,0.6818,0.5187,0.5546,0.5162,0.5354,0.5904,0.6578,0.6241,0.5167,0.3472,0.4319
6.4,-0.162,0.6805,0.5285,0.547,0.5135,0.5302,0.585,0.6467,0.6159,0.5155,0.3502,0.4329
6.5,-0.1496,0.678,0.5359,0.5402,0.5121,0.5262,0.5786,0.6339,0.6063,0.514,0.3533,0.4337
6.6,-0.136,0.6748,0.5407,0.5349,0.5122,0.5236,0.571,0.6197,0.5954,0.5123,0.3567,0.4345
6.7,-0.1207,0.6707,0.5431,0.5312,0.5139,0.5226,0.5623,0.6043,0.5833,0.5106,0.3609,0.4357
6.8,-0.1032,0.6657,0.5433,0.5292,0.5171,0.5232,0.5527,0.588,0.5703,0.509,0.3659,0.4374
6.9,-0.0828,0.6596,0.5414,0.5287,0.5216,0.5251,0.5422,0.5711,0.5566,0.5074,0.3716,0.4395
7,-0.0597,0.653,0.5373,0.5295,0.5272,0.5283,0.5312,0.5542,0.5427,0.506,0.3782,0.4421
7.1,-0.0352,0.6467,0.5312,0.5316,0.5342,0.5329,0.5205,0.5378,0.5292,0.5053,0.3857,0.4455
7.2,-0.0112,0.6417,0.5233,0.5348,0.5433,0.5391,0.5111,0.5226,0.5168,0.5054,0.3939,0.4497
7.3,0.0103,0.6385,0.5135,0.5393,0.5549,0.5471,0.5032,0.5087,0.506,0.5058,0.4023,0.454
7.4,0.0283,0.637,0.5017,0.545,0.5688,0.5569,0.4969,0.4966,0.4968,0.5061,0.4102,0.4582
7.5,0.0431,0.6371,0.4884,0.5525,0.5843,0.5684,0.4919,0.4868,0.4894,0.5064,0.4181,0.4622
7.6,0.055,0.6391,0.4744,0.5623,0.6008,0.5815,0.4884,0.4795,0.484,0.5074,0.4263,0.4669
7.7,0.0632,0.6428,0.4604,0.5747,0.6181,0.5964,0.487,0.4751,0.481,0.51,0.4354,0.4727
7.8,0.0667,0.6482,0.4469,0.5895,0.6362,0.6129,0.4881,0.4735,0.4808,0.5143,0.445,0.4797
7.9,0.0647,0.6547,0.4343,0.6067,0.6554,0.631,0.492,0.4747,0.4833,0.5203,0.4548,0.4876
8,0.0576,0.6617,0.4231,0.6269,0.6753,0.6511,0.4983,0.4788,0.4886,0.5275,0.4647,0.4961
8.1,0.0466,0.6686,0.4136,0.6503,0.6955,0.6729,0.5071,0.4862,0.4966,0.5363,0.4747,0.5055
8.2,0.0323,0.6746,0.406,0.6767,0.7149,0.6958,0.5183,0.4971,0.5077,0.5469,0.4849,0.5159
8.3,0.0153,0.6794,0.3998,0.705,0.733,0.719,0.532,0.5117,0.5219,0.5592,0.4949,0.5271
8.4,-0.0042,0.6824,0.3943,0.7341,0.7493,0.7417,0.5484,0.5295,0.539,0.5732,0.5044,0.5388
8.5,-0.0255,0.6832,0.3887,0.7629,0.7634,0.7632,0.5673,0.5496,0.5585,0.5887,0.513,0.5509
8.6,-0.047,0.6812,0.3827,0.7904,0.7745,0.7825,0.5886,0.5709,0.5797,0.6055,0.5205,0.563
8.7,-0.0669,0.6764,0.3763,0.8158,0.7819,0.7988,0.6121,0.5925,0.6023,0.6236,0.5268,0.5752
