Time,Honda CR-V 15 TVC,Honda CR-V 15 TVC,Honda CR-V 15 TVC,Honda CR-V 15 TVC,Honda CR-V 15 TVC,Honda CR-V 15 TVC,Honda CR-V 15 TVC,Honda CR-V 15 TVC,Honda CR-V 15 TVC,Honda CR-V 15 TVC,Honda CR-V 15 TVC,Honda CR-V 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0631,0.6585,0.527,0.3225,0.744,0.5332,0.5873,0.5412,0.5643,0.2719,0.6296,0.4508
0.1,-0.0862,0.6348,0.5187,0.3054,0.7082,0.5068,0.5682,0.5456,0.5569,0.2995,0.6633,0.4814
0.2,-0.1079,0.6132,0.5103,0.2922,0.6714,0.4818,0.5473,0.547,0.5471,0.3264,0.6944,0.5104
0.3,-0.1275,0.5937,0.501,0.2825,0.635,0.4588,0.5252,0.545,0.5351,0.3517,0.722,0.5368
0.4,-0.1454,0.5762,0.4906,0.2759,0.6013,0.4386,0.5031,0.5401,0.5216,0.3747,0.7451,0.5599
0.5,-0.1621,0.561,0.4791,0.272,0.572,0.422,0.4816,0.5331,0.5073,0.395,0.7631,0.579
0.6,-0.1784,0.548,0.4672,0.2706,0.5478,0.4092,0.4611,0.5247,0.4929,0.4125,0.7758,0.5942
0.7,-0.1945,0.5365,0.4554,0.2713,0.5277,0.3995,0.4415,0.5152,0.4784,0.4272,0.7833,0.6053
0.8,-0.2104,0.5254,0.4438,0.2731,0.5102,0.3917,0.4225,0.5047,0.4636,0.4391,0.7854,0.6123
0.9,-0.2256,0.5144,0.4317,0.2754,0.4936,0.3845,0.4033,0.4929,0.4481,0.4486,0.7827,0.6156
1,-0.2394,0.5034,0.4189,0.2773,0.4774,0.3774,0.3835,0.4799,0.4317,0.4553,0.7757,0.6155
1.1,-0.2522,0.4932,0.406,0.2782,0.4623,0.3702,0.3627,0.4661,0.4144,0.4591,0.7653,0.6122
1.2,-0.2637,0.4843,0.3937,0.2782,0.4492,0.3637,0.3414,0.4522,0.3968,0.4598,0.7521,0.606
1.3,-0.2736,0.4772,0.3836,0.2777,0.4389,0.3583,0.3203,0.4387,0.3795,0.4578,0.7365,0.5972
1.4,-0.281,0.4716,0.3764,0.277,0.4313,0.3542,0.3001,0.4261,0.3631,0.454,0.7194,0.5867
1.5,-0.2851,0.4673,0.3727,0.2766,0.4264,0.3515,0.2819,0.4146,0.3483,0.4493,0.7024,0.5759
1.6,-0.2852,0.4639,0.3726,0.277,0.424,0.3505,0.2661,0.4046,0.3354,0.4442,0.6873,0.5658
1.7,-0.2813,0.4613,0.3764,0.2781,0.4239,0.351,0.2529,0.3963,0.3246,0.4392,0.6751,0.5571
1.8,-0.2736,0.4589,0.3841,0.2793,0.426,0.3526,0.2421,0.3896,0.3158,0.4341,0.6661,0.5501
1.9,-0.262,0.4564,0.3956,0.2807,0.4295,0.3551,0.2331,0.3842,0.3086,0.4291,0.6599,0.5445
2,-0.2472,0.4536,0.411,0.2826,0.434,0.3583,0.226,0.38,0.303,0.4241,0.6562,0.5402
2.1,-0.2301,0.4505,0.4299,0.2863,0.4393,0.3628,0.2209,0.3772,0.2991,0.4191,0.6554,0.5373
2.2,-0.2124,0.4476,0.4514,0.2922,0.4458,0.369,0.2181,0.3757,0.2969,0.4147,0.6574,0.5361
2.3,-0.1954,0.4452,0.4743,0.3006,0.4535,0.3771,0.2172,0.3754,0.2963,0.4116,0.6619,0.5367
2.4,-0.1793,0.4435,0.4975,0.3115,0.4622,0.3869,0.2183,0.3755,0.2969,0.4103,0.6683,0.5393
2.5,-0.1637,0.4426,0.5199,0.3246,0.4718,0.3982,0.2215,0.3758,0.2986,0.4111,0.6759,0.5435
2.6,-0.1477,0.4424,0.541,0.3403,0.4824,0.4114,0.2268,0.3759,0.3014,0.414,0.6841,0.5491
2.7,-0.1315,0.4436,0.5603,0.3584,0.4947,0.4266,0.2342,0.3763,0.3052,0.4187,0.6925,0.5556
2.8,-0.1157,0.4461,0.5773,0.3789,0.509,0.4439,0.2434,0.3772,0.3103,0.425,0.6998,0.5624
2.9,-0.1009,0.4499,0.5914,0.401,0.5247,0.4628,0.2541,0.3789,0.3165,0.4328,0.7052,0.569
3,-0.0868,0.4545,0.6021,0.4239,0.5408,0.4823,0.2661,0.3812,0.3237,0.4419,0.7083,0.5751
3.1,-0.0722,0.4594,0.6089,0.4465,0.5564,0.5015,0.2793,0.3839,0.3316,0.4516,0.709,0.5803
3.2,-0.0564,0.4647,0.6116,0.4685,0.5717,0.5201,0.2928,0.3868,0.3398,0.461,0.7076,0.5843
3.3,-0.0388,0.4711,0.6103,0.4897,0.5869,0.5383,0.306,0.3901,0.348,0.4685,0.7037,0.5861
3.4,-0.0194,0.4788,0.6055,0.5103,0.602,0.5562,0.3186,0.3941,0.3564,0.4734,0.6971,0.5852
3.5,0.0003,0.4873,0.5979,0.5299,0.6167,0.5733,0.3311,0.3994,0.3652,0.4757,0.6881,0.5819
3.6,0.0194,0.4956,0.5881,0.548,0.6307,0.5893,0.3438,0.4061,0.375,0.4759,0.6773,0.5766
3.7,0.0365,0.5033,0.5765,0.564,0.6442,0.6041,0.3568,0.4144,0.3856,0.4745,0.6655,0.57
3.8,0.0504,0.5101,0.5634,0.5774,0.6575,0.6174,0.3702,0.4244,0.3973,0.4725,0.6531,0.5628
3.9,0.0604,0.5157,0.5487,0.5877,0.6697,0.6287,0.3839,0.4357,0.4098,0.4705,0.6407,0.5556
4,0.0667,0.5197,0.5332,0.5945,0.6799,0.6372,0.3981,0.4483,0.4232,0.469,0.6288,0.5489
