Time,KFC Hot and Crispy 15 TVC,KFC Hot and Crispy 15 TVC,KFC Hot and Crispy 15 TVC,KFC Hot and Crispy 15 TVC,KFC Hot and Crispy 15 TVC,KFC Hot and Crispy 15 TVC,KFC Hot and Crispy 15 TVC,KFC Hot and Crispy 15 TVC,KFC Hot and Crispy 15 TVC,KFC Hot and Crispy 15 TVC,KFC Hot and Crispy 15 TVC,KFC Hot and Crispy 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.5145,0.6476,0.4695,0.4366,0.7962,0.6164,0.4409,0.5211,0.481,0.1127,0.3897,0.2512
0.1,-0.4272,0.6327,0.4581,0.4356,0.7725,0.6041,0.4193,0.499,0.4591,0.1295,0.3875,0.2585
0.2,-0.3397,0.6186,0.4452,0.4358,0.7488,0.5923,0.3998,0.4792,0.4395,0.1446,0.3869,0.2658
0.3,-0.2554,0.606,0.4302,0.4366,0.7269,0.5817,0.3825,0.4622,0.4223,0.1572,0.3879,0.2725
0.4,-0.1769,0.5948,0.4132,0.4373,0.7077,0.5725,0.3671,0.4484,0.4077,0.1659,0.3898,0.2778
0.5,-0.1049,0.5846,0.3946,0.438,0.6915,0.5647,0.3535,0.4382,0.3958,0.1698,0.392,0.2809
0.6,-0.039,0.5754,0.3754,0.4391,0.6775,0.5583,0.3421,0.4321,0.3871,0.1695,0.3942,0.2818
0.7,0.0221,0.5676,0.3566,0.4414,0.6648,0.5531,0.3336,0.4306,0.3821,0.1658,0.3958,0.2808
0.8,0.0792,0.5613,0.3388,0.4451,0.653,0.5491,0.3286,0.4336,0.3811,0.1596,0.3961,0.2778
0.9,0.1316,0.5566,0.3222,0.45,0.6421,0.5461,0.327,0.4406,0.3838,0.1509,0.3936,0.2722
1,0.1787,0.5537,0.3079,0.4558,0.6326,0.5442,0.3286,0.4508,0.3897,0.1405,0.3883,0.2644
1.1,0.2203,0.5531,0.2972,0.4624,0.6252,0.5438,0.3328,0.4633,0.398,0.1309,0.3812,0.256
1.2,0.2571,0.555,0.2911,0.4701,0.6201,0.5451,0.339,0.4767,0.4079,0.124,0.3734,0.2487
1.3,0.2905,0.5594,0.2889,0.4789,0.617,0.5479,0.3464,0.4896,0.418,0.1201,0.3652,0.2426
1.4,0.321,0.5654,0.2893,0.4887,0.6152,0.552,0.3534,0.5006,0.427,0.1181,0.3558,0.2369
