Time,Kinder Surprise Natoons 15 TVC,Kinder Surprise Natoons 15 TVC,Kinder Surprise Natoons 15 TVC,Kinder Surprise Natoons 15 TVC,Kinder Surprise Natoons 15 TVC,Kinder Surprise Natoons 15 TVC,Kinder Surprise Natoons 15 TVC,Kinder Surprise Natoons 15 TVC,Kinder Surprise Natoons 15 TVC,Kinder Surprise Natoons 15 TVC,Kinder Surprise Natoons 15 TVC,Kinder Surprise Natoons 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1193,0.366,0.267,0.5951,0.3687,0.4819,0.3437,0.1548,0.2492,0.4541,0.442,0.448
0.1,0.1528,0.3643,0.276,0.563,0.338,0.4505,0.3302,0.1428,0.2365,0.4463,0.4377,0.442
0.2,0.1832,0.3636,0.2875,0.5325,0.3104,0.4214,0.3137,0.1336,0.2236,0.4376,0.4329,0.4353
0.3,0.2106,0.3641,0.3002,0.5034,0.2861,0.3948,0.2948,0.1279,0.2114,0.4283,0.4276,0.428
0.4,0.2354,0.3659,0.3126,0.4762,0.2648,0.3705,0.2746,0.126,0.2003,0.4186,0.4216,0.4201
0.5,0.2579,0.3691,0.3231,0.4509,0.2461,0.3485,0.2538,0.1283,0.1911,0.4087,0.4149,0.4118
0.6,0.2781,0.3742,0.3312,0.4282,0.2308,0.3295,0.2334,0.1347,0.1841,0.3989,0.4079,0.4034
0.7,0.2945,0.382,0.3374,0.4092,0.2199,0.3145,0.2146,0.1451,0.1798,0.3898,0.4013,0.3956
0.8,0.3054,0.3934,0.3423,0.3946,0.2134,0.304,0.1985,0.1593,0.1789,0.3817,0.3954,0.3885
0.9,0.3098,0.4087,0.3468,0.3844,0.2113,0.2978,0.1862,0.1775,0.1818,0.3746,0.3895,0.3821
1,0.3075,0.4269,0.3506,0.3783,0.2129,0.2956,0.1786,0.1996,0.1891,0.3684,0.3835,0.3759
1.1,0.2992,0.4472,0.3535,0.3758,0.2179,0.2969,0.176,0.2256,0.2008,0.3635,0.3772,0.3703
1.2,0.2876,0.4693,0.3553,0.3764,0.2263,0.3014,0.1783,0.2547,0.2165,0.3602,0.3711,0.3657
1.3,0.2749,0.4931,0.3566,0.3798,0.2379,0.3089,0.1853,0.286,0.2357,0.3586,0.3659,0.3622
1.4,0.2619,0.5181,0.3585,0.3861,0.2523,0.3192,0.1969,0.3188,0.2579,0.3584,0.3617,0.3601
1.5,0.2486,0.544,0.3616,0.3946,0.2693,0.332,0.2125,0.3519,0.2822,0.3592,0.3587,0.359
1.6,0.2351,0.5701,0.3659,0.4048,0.2883,0.3465,0.2309,0.3835,0.3072,0.3604,0.3568,0.3586
1.7,0.222,0.5957,0.3703,0.4155,0.3083,0.3619,0.2509,0.4118,0.3314,0.3613,0.356,0.3587
1.8,0.2097,0.6198,0.3738,0.4256,0.328,0.3768,0.2716,0.4349,0.3533,0.3614,0.3563,0.3589
1.9,0.1979,0.6415,0.3763,0.4343,0.3462,0.3903,0.2925,0.4521,0.3723,0.3608,0.3576,0.3592
2,0.1859,0.6599,0.378,0.4408,0.3626,0.4017,0.313,0.4631,0.388,0.3593,0.3595,0.3594
2.1,0.1728,0.6749,0.3793,0.4447,0.3773,0.411,0.3322,0.4679,0.4,0.3568,0.3618,0.3593
2.2,0.1574,0.687,0.3804,0.4456,0.3914,0.4185,0.3491,0.4666,0.4079,0.3531,0.3645,0.3588
2.3,0.1385,0.6964,0.381,0.4434,0.4055,0.4245,0.3631,0.4601,0.4116,0.3478,0.3674,0.3576
2.4,0.1162,0.7034,0.3813,0.4382,0.4198,0.429,0.374,0.4494,0.4117,0.3411,0.3706,0.3558
2.5,0.0923,0.7071,0.3811,0.4297,0.4332,0.4315,0.3819,0.4352,0.4086,0.3333,0.3736,0.3534
2.6,0.0689,0.7066,0.3805,0.4177,0.4445,0.4311,0.3865,0.4179,0.4022,0.3243,0.3763,0.3503
2.7,0.0481,0.7016,0.3795,0.4024,0.453,0.4277,0.3874,0.3975,0.3925,0.3144,0.3785,0.3464
2.8,0.0307,0.6927,0.3776,0.3855,0.4589,0.4222,0.3848,0.3747,0.3797,0.3035,0.3804,0.342
