Time,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC,Kia Sorento Refined Never Tamed 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.3455,0.7316,0.8836,0.8156,0.9124,0.864,0.7011,0.7599,0.7305,0.7487,0.6849,0.7168
0.1,0.3338,0.732,0.8789,0.8504,0.9305,0.8905,0.7123,0.7667,0.7395,0.735,0.6861,0.7106
0.2,0.3213,0.7315,0.8698,0.8785,0.9453,0.9119,0.7207,0.7738,0.7472,0.719,0.6846,0.7018
0.3,0.3081,0.7292,0.8578,0.8986,0.9572,0.9279,0.7266,0.7808,0.7537,0.7018,0.6814,0.6916
0.4,0.2958,0.7252,0.8447,0.9104,0.9668,0.9386,0.7301,0.7877,0.7589,0.6851,0.6778,0.6814
0.5,0.2872,0.7203,0.8314,0.9145,0.974,0.9443,0.7316,0.7944,0.763,0.6699,0.6743,0.6721
0.6,0.2831,0.7151,0.8184,0.9127,0.9783,0.9455,0.7314,0.801,0.7662,0.6561,0.6707,0.6634
0.7,0.2834,0.7102,0.8057,0.9066,0.9789,0.9427,0.7297,0.8072,0.7685,0.6429,0.6665,0.6547
0.8,0.2877,0.7056,0.793,0.897,0.9756,0.9363,0.7269,0.813,0.7699,0.63,0.6621,0.6461
0.9,0.2954,0.7015,0.7801,0.8847,0.9689,0.9268,0.7227,0.8179,0.7703,0.6175,0.658,0.6378
1,0.3059,0.6981,0.7668,0.8698,0.9593,0.9146,0.7173,0.8215,0.7694,0.6059,0.6542,0.6301
1.1,0.3187,0.6955,0.7534,0.8531,0.9475,0.9003,0.7107,0.8233,0.767,0.5953,0.6509,0.6231
1.2,0.3341,0.6937,0.7395,0.8358,0.9333,0.8846,0.703,0.8231,0.7631,0.5854,0.6479,0.6167
1.3,0.3527,0.6923,0.7247,0.8189,0.9166,0.8678,0.6946,0.8212,0.7579,0.5761,0.6453,0.6107
1.4,0.3745,0.6909,0.709,0.8034,0.8973,0.8503,0.6855,0.8183,0.7519,0.5673,0.6434,0.6054
1.5,0.3989,0.6893,0.6931,0.7897,0.8761,0.8329,0.6759,0.815,0.7455,0.5591,0.6426,0.6008
1.6,0.4248,0.6878,0.6777,0.7783,0.854,0.8161,0.6661,0.8118,0.739,0.5514,0.6432,0.5973
1.7,0.4508,0.6871,0.6632,0.7694,0.8319,0.8006,0.6562,0.8087,0.7325,0.5443,0.6456,0.5949
1.8,0.4762,0.6875,0.6491,0.7629,0.8103,0.7866,0.6462,0.8056,0.7259,0.5374,0.6492,0.5933
1.9,0.5006,0.6885,0.6345,0.7581,0.7896,0.7739,0.6361,0.802,0.719,0.5306,0.6537,0.5922
2,0.524,0.6891,0.6186,0.7546,0.7696,0.7621,0.6256,0.7979,0.7117,0.5238,0.6583,0.5911
2.1,0.5463,0.6882,0.6007,0.7516,0.7505,0.7511,0.6144,0.7932,0.7038,0.5167,0.6621,0.5894
2.2,0.5675,0.6853,0.5807,0.7492,0.7323,0.7408,0.602,0.788,0.695,0.5087,0.6641,0.5864
2.3,0.5873,0.6803,0.5586,0.7472,0.7148,0.731,0.5879,0.7817,0.6848,0.4992,0.6632,0.5812
2.4,0.6049,0.6734,0.5341,0.7453,0.6981,0.7217,0.5714,0.7736,0.6725,0.4879,0.6586,0.5732
2.5,0.6189,0.6646,0.5074,0.7431,0.6819,0.7125,0.5521,0.7626,0.6573,0.4744,0.6502,0.5623
2.6,0.6275,0.6538,0.4787,0.7405,0.6665,0.7035,0.5295,0.7478,0.6387,0.4587,0.6381,0.5484
2.7,0.6301,0.6412,0.4489,0.7378,0.6526,0.6952,0.5041,0.7296,0.6169,0.4411,0.6231,0.5321
