Time,Lexus - LBX Encore Program 15 TVC,Lexus - LBX Encore Program 15 TVC,Lexus - LBX Encore Program 15 TVC,Lexus - LBX Encore Program 15 TVC,Lexus - LBX Encore Program 15 TVC,Lexus - LBX Encore Program 15 TVC,Lexus - LBX Encore Program 15 TVC,Lexus - LBX Encore Program 15 TVC,Lexus - LBX Encore Program 15 TVC,Lexus - LBX Encore Program 15 TVC,Lexus - LBX Encore Program 15 TVC,Lexus - LBX Encore Program 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1446,0.5811,0.7824,0.5714,0.6734,0.6224,0.3649,0.3924,0.3787,0.2935,0.2414,0.2675
0.1,-0.1427,0.5931,0.7938,0.553,0.6526,0.6028,0.3625,0.4075,0.385,0.3023,0.2108,0.2565
0.2,-0.1416,0.6025,0.7994,0.5362,0.6314,0.5838,0.365,0.4246,0.3948,0.3134,0.1861,0.2497
0.3,-0.14,0.6082,0.8,0.5214,0.6102,0.5658,0.3716,0.4434,0.4075,0.3262,0.1674,0.2468
0.4,-0.137,0.61,0.7964,0.5087,0.5888,0.5487,0.3822,0.4631,0.4227,0.3406,0.1549,0.2478
0.5,-0.1323,0.6082,0.7885,0.498,0.5668,0.5324,0.3966,0.4824,0.4395,0.3564,0.1481,0.2522
0.6,-0.1263,0.6037,0.7757,0.4895,0.5438,0.5167,0.4139,0.4996,0.4567,0.3718,0.1465,0.2591
0.7,-0.1199,0.597,0.7575,0.4832,0.5201,0.5016,0.4328,0.5136,0.4732,0.3847,0.1495,0.2671
0.8,-0.1135,0.5886,0.7345,0.4792,0.4962,0.4877,0.4523,0.5238,0.488,0.3936,0.1566,0.2751
0.9,-0.1064,0.5786,0.7075,0.4779,0.4728,0.4754,0.4714,0.5309,0.5011,0.3989,0.1677,0.2833
