Time,Lindt - What Does It Take To Be A Master 15 TVC,Lindt - What Does It Take To Be A Master 15 TVC,Lindt - What Does It Take To Be A Master 15 TVC,Lindt - What Does It Take To Be A Master 15 TVC,Lindt - What Does It Take To Be A Master 15 TVC,Lindt - What Does It Take To Be A Master 15 TVC,Lindt - What Does It Take To Be A Master 15 TVC,Lindt - What Does It Take To Be A Master 15 TVC,Lindt - What Does It Take To Be A Master 15 TVC,Lindt - What Does It Take To Be A Master 15 TVC,Lindt - What Does It Take To Be A Master 15 TVC,Lindt - What Does It Take To Be A Master 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0318,0.589,1.2375,0.8332,0.6388,0.736,0.9847,1.1475,1.0661,0.4244,0.5717,0.4981
0.1,-0.074,0.5763,1.2147,0.8226,0.6311,0.7269,0.9864,1.1504,1.0684,0.397,0.5637,0.4804
0.2,-0.1113,0.564,1.1858,0.8099,0.6239,0.7169,0.983,1.1459,1.0645,0.3695,0.5549,0.4622
0.3,-0.1413,0.5522,1.1517,0.7954,0.6171,0.7062,0.9743,1.1328,1.0535,0.3424,0.545,0.4437
0.4,-0.1621,0.5417,1.1128,0.7798,0.611,0.6954,0.9601,1.1111,1.0356,0.3165,0.5346,0.4256
0.5,-0.1732,0.5332,1.0701,0.7638,0.6062,0.685,0.9412,1.0823,1.0117,0.2928,0.525,0.4089
0.6,-0.1756,0.528,1.0239,0.748,0.6029,0.6755,0.9188,1.0482,0.9835,0.2719,0.517,0.3944
0.7,-0.1702,0.5266,0.9754,0.7325,0.6007,0.6666,0.8938,1.0102,0.952,0.2544,0.5105,0.3824
0.8,-0.1582,0.5284,0.9252,0.7172,0.5982,0.6577,0.8668,0.9685,0.9176,0.2406,0.5046,0.3726
0.9,-0.1409,0.5318,0.8744,0.702,0.5947,0.6484,0.838,0.9238,0.8809,0.231,0.4986,0.3648
1,-0.1205,0.535,0.8241,0.6869,0.5901,0.6385,0.8083,0.8773,0.8428,0.2263,0.4924,0.3593
1.1,-0.1002,0.5366,0.7758,0.672,0.5843,0.6281,0.7791,0.8308,0.805,0.2269,0.4861,0.3565
1.2,-0.0816,0.5362,0.7314,0.6584,0.5771,0.6178,0.7523,0.7867,0.7695,0.233,0.4809,0.357
1.3,-0.0652,0.5338,0.6925,0.6472,0.5689,0.6081,0.7292,0.7466,0.7379,0.2441,0.4775,0.3608
1.4,-0.05,0.5301,0.6601,0.6394,0.5601,0.5998,0.7106,0.7112,0.7109,0.2594,0.4752,0.3673
1.5,-0.0354,0.5257,0.6343,0.6348,0.5514,0.5931,0.6969,0.6813,0.6891,0.2779,0.4729,0.3754
1.6,-0.0216,0.521,0.615,0.6323,0.5433,0.5878,0.6876,0.6573,0.6724,0.2982,0.4695,0.3839
1.7,-0.0094,0.5161,0.6021,0.6302,0.5363,0.5832,0.6827,0.6391,0.6609,0.3189,0.4642,0.3916
1.8,0.0001,0.5112,0.5955,0.628,0.5305,0.5793,0.6821,0.6266,0.6544,0.3383,0.4571,0.3977
1.9,0.0074,0.5069,0.5942,0.6258,0.5262,0.576,0.6862,0.6192,0.6527,0.3553,0.4484,0.4018
2,0.0133,0.5037,0.5965,0.6241,0.5234,0.5738,0.6946,0.6163,0.6555,0.3692,0.4378,0.4035
2.1,0.018,0.5014,0.6005,0.6229,0.5221,0.5725,0.7066,0.6169,0.6617,0.379,0.4254,0.4022
2.2,0.021,0.4993,0.605,0.6217,0.5218,0.5718,0.7203,0.62,0.6702,0.3839,0.4113,0.3976
2.3,0.022,0.4974,0.6093,0.6198,0.5223,0.571,0.7343,0.6248,0.6795,0.3839,0.3958,0.3899
2.4,0.0214,0.496,0.6128,0.6173,0.5235,0.5704,0.7471,0.6304,0.6888,0.3799,0.3789,0.3794
2.5,0.0197,0.4962,0.6146,0.6151,0.5261,0.5706,0.7583,0.6363,0.6973,0.3728,0.3608,0.3668
2.6,0.0173,0.4985,0.6141,0.6138,0.5306,0.5722,0.7675,0.6421,0.7048,0.3635,0.3415,0.3525
