Time,McDonalds - Sunrise Catch Up 15 TVC,McDonalds - Sunrise Catch Up 15 TVC,McDonalds - Sunrise Catch Up 15 TVC,McDonalds - Sunrise Catch Up 15 TVC,McDonalds - Sunrise Catch Up 15 TVC,McDonalds - Sunrise Catch Up 15 TVC,McDonalds - Sunrise Catch Up 15 TVC,McDonalds - Sunrise Catch Up 15 TVC,McDonalds - Sunrise Catch Up 15 TVC,McDonalds - Sunrise Catch Up 15 TVC,McDonalds - Sunrise Catch Up 15 TVC,McDonalds - Sunrise Catch Up 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0655,0.7091,0.2811,0.734,0.8225,0.7783,0.7042,0.7473,0.7258,0.4844,0.367,0.4257
0.1,-0.0451,0.7119,0.2841,0.7299,0.8175,0.7737,0.705,0.7467,0.7258,0.4822,0.3784,0.4303
0.2,-0.0235,0.7119,0.2856,0.7264,0.8089,0.7677,0.7056,0.7437,0.7247,0.4816,0.3935,0.4376
0.3,-0.0007,0.7087,0.2846,0.7233,0.7968,0.7601,0.7051,0.7376,0.7213,0.4813,0.4095,0.4454
0.4,0.0235,0.7025,0.2804,0.7205,0.7815,0.751,0.7029,0.7281,0.7155,0.4809,0.4237,0.4523
0.5,0.0484,0.6936,0.2722,0.7182,0.7638,0.741,0.6995,0.7153,0.7074,0.4811,0.4354,0.4582
0.6,0.0735,0.6824,0.2594,0.7165,0.7444,0.7305,0.6952,0.6996,0.6974,0.4825,0.4442,0.4634
0.7,0.0989,0.6691,0.2417,0.7154,0.7238,0.7196,0.6903,0.6815,0.6859,0.4846,0.4503,0.4674
0.8,0.1248,0.6536,0.2193,0.7142,0.7021,0.7082,0.6845,0.6614,0.6729,0.4864,0.453,0.4697
0.9,0.1506,0.636,0.1927,0.7118,0.6795,0.6957,0.6775,0.6398,0.6586,0.4872,0.4523,0.4697
1,0.1752,0.6162,0.1631,0.708,0.6558,0.6819,0.6698,0.6169,0.6433,0.4868,0.4486,0.4677
1.1,0.1975,0.5944,0.132,0.7026,0.6309,0.6667,0.662,0.593,0.6275,0.4851,0.4426,0.4638
1.2,0.2167,0.5711,0.1007,0.6954,0.6048,0.6501,0.6545,0.5684,0.6114,0.4813,0.4348,0.458
1.3,0.2326,0.5466,0.0705,0.6864,0.5772,0.6318,0.6473,0.543,0.5952,0.4749,0.4248,0.4498
1.4,0.2453,0.5216,0.0421,0.6758,0.548,0.6119,0.6405,0.5172,0.5788,0.4655,0.4124,0.4389
1.5,0.2551,0.4969,0.0153,0.664,0.5178,0.5909,0.6341,0.4915,0.5628,0.4533,0.398,0.4256
1.6,0.2613,0.4735,-0.0097,0.6516,0.4874,0.5695,0.6284,0.4674,0.5479,0.4383,0.3824,0.4104
1.7,0.2634,0.4526,-0.0317,0.6389,0.458,0.5485,0.6233,0.4467,0.535,0.4203,0.3662,0.3932
1.8,0.2614,0.4346,-0.0493,0.6261,0.4305,0.5283,0.618,0.4306,0.5243,0.399,0.3496,0.3743
1.9,0.2556,0.4201,-0.0619,0.6136,0.4062,0.5099,0.6122,0.42,0.5161,0.3747,0.3329,0.3538
2,0.2471,0.4099,-0.0695,0.6027,0.3866,0.4946,0.6058,0.4151,0.5104,0.3484,0.3166,0.3325
2.1,0.237,0.4052,-0.0728,0.595,0.3736,0.4843,0.5995,0.4159,0.5077,0.3215,0.301,0.3112
2.2,0.2259,0.4072,-0.0723,0.5915,0.3686,0.4801,0.5941,0.4228,0.5084,0.295,0.2867,0.2909
2.3,0.2139,0.4166,-0.0681,0.5927,0.3721,0.4824,0.5897,0.4354,0.5126,0.2703,0.2741,0.2722
2.4,0.2019,0.4331,-0.0604,0.5981,0.3834,0.4907,0.5864,0.4527,0.5195,0.2481,0.2636,0.2559
