Time,Lite n Easy 30 TVC,Lite n Easy 30 TVC,Lite n Easy 30 TVC,Lite n Easy 30 TVC,Lite n Easy 30 TVC,Lite n Easy 30 TVC,Lite n Easy 30 TVC,Lite n Easy 30 TVC,Lite n Easy 30 TVC,Lite n Easy 30 TVC,Lite n Easy 30 TVC,Lite n Easy 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1977,0.551,0.6651,0.5651,0.4632,0.5141,0.0829,0.625,0.354,0.6882,0.6028,0.6455
0.1,-0.1835,0.5583,0.6703,0.5755,0.4708,0.5232,0.0717,0.6102,0.3409,0.6754,0.5869,0.6312
0.2,-0.171,0.5637,0.6756,0.5846,0.4787,0.5317,0.068,0.5979,0.333,0.6616,0.5737,0.6176
0.3,-0.1588,0.5675,0.6799,0.5924,0.4861,0.5392,0.0727,0.5877,0.3302,0.6476,0.5631,0.6053
0.4,-0.1462,0.5696,0.6826,0.5987,0.4922,0.5454,0.0856,0.5796,0.3326,0.6338,0.555,0.5944
0.5,-0.1335,0.57,0.6841,0.6037,0.4969,0.5503,0.1063,0.5746,0.3405,0.6208,0.5496,0.5852
0.6,-0.121,0.5688,0.6853,0.6081,0.5006,0.5543,0.1353,0.5739,0.3546,0.6091,0.5469,0.578
0.7,-0.1082,0.5661,0.6867,0.6127,0.5028,0.5577,0.1725,0.5778,0.3752,0.5991,0.5464,0.5727
0.8,-0.094,0.5611,0.6873,0.6176,0.5025,0.56,0.2162,0.5851,0.4006,0.5913,0.5472,0.5692
0.9,-0.0779,0.5536,0.6861,0.6227,0.4981,0.5604,0.2625,0.5942,0.4284,0.586,0.5483,0.5672
1,-0.0603,0.5432,0.6828,0.6266,0.4887,0.5577,0.3072,0.6037,0.4554,0.5838,0.5493,0.5666
1.1,-0.0433,0.5305,0.6774,0.6281,0.4744,0.5512,0.3468,0.6126,0.4797,0.5848,0.5499,0.5674
1.2,-0.0303,0.5164,0.6704,0.6262,0.4561,0.5412,0.3799,0.6205,0.5002,0.5883,0.5495,0.5689
1.3,-0.0233,0.5019,0.6622,0.6209,0.4347,0.5278,0.4058,0.6267,0.5163,0.5933,0.5473,0.5703
1.4,-0.0222,0.4885,0.6531,0.6127,0.4108,0.5118,0.4237,0.6307,0.5272,0.5991,0.5438,0.5714
1.5,-0.0256,0.4776,0.6434,0.6027,0.3856,0.4941,0.4343,0.632,0.5331,0.6054,0.5393,0.5724
1.6,-0.0317,0.4704,0.6335,0.5919,0.3606,0.4762,0.4393,0.6311,0.5352,0.6118,0.5339,0.5728
1.7,-0.0395,0.4672,0.624,0.5813,0.3372,0.4593,0.4407,0.6285,0.5346,0.6174,0.5274,0.5724
1.8,-0.0484,0.4678,0.6152,0.5718,0.3167,0.4443,0.4396,0.6246,0.5321,0.6219,0.5196,0.5708
1.9,-0.0568,0.4719,0.6073,0.564,0.2995,0.4318,0.4365,0.6198,0.5281,0.6258,0.5111,0.5685
2,-0.0629,0.4796,0.6,0.5581,0.2857,0.4219,0.4317,0.6142,0.5229,0.6293,0.5024,0.5658
2.1,-0.0661,0.4913,0.5933,0.5539,0.2751,0.4145,0.4262,0.6079,0.517,0.6319,0.4939,0.5629
2.2,-0.0672,0.5065,0.587,0.5507,0.2676,0.4091,0.4215,0.6012,0.5113,0.6327,0.4857,0.5592
2.3,-0.0684,0.5246,0.5815,0.5481,0.2633,0.4057,0.4187,0.5946,0.5067,0.6311,0.4777,0.5544
2.4,-0.0705,0.5442,0.5766,0.5458,0.2621,0.404,0.4188,0.5887,0.5038,0.627,0.47,0.5485
2.5,-0.0733,0.5641,0.5724,0.544,0.2634,0.4037,0.4225,0.5835,0.503,0.6202,0.4629,0.5415
2.6,-0.0767,0.5833,0.5688,0.5428,0.2667,0.4048,0.43,0.5785,0.5042,0.6104,0.4555,0.533
2.7,-0.081,0.6011,0.5657,0.5426,0.272,0.4073,0.441,0.5732,0.5071,0.5973,0.447,0.5221
2.8,-0.0874,0.6175,0.5635,0.5438,0.28,0.4119,0.4545,0.5672,0.5108,0.5799,0.4363,0.5081
2.9,-0.0963,0.6326,0.5625,0.5468,0.2917,0.4193,0.4694,0.5607,0.5151,0.5575,0.4238,0.4907
3,-0.1076,0.6461,0.563,0.5519,0.308,0.4299,0.4852,0.5544,0.5198,0.5305,0.4101,0.4703
3.1,-0.1207,0.6579,0.565,0.5587,0.3288,0.4438,0.5013,0.5486,0.525,0.5003,0.3965,0.4484
3.2,-0.1347,0.6675,0.5686,0.5662,0.3534,0.4598,0.5174,0.5437,0.5305,0.4695,0.3841,0.4268
3.3,-0.1488,0.6747,0.5732,0.5735,0.3801,0.4768,0.5327,0.5391,0.5359,0.4402,0.3733,0.4068
3.4,-0.1626,0.6793,0.5783,0.5801,0.4069,0.4935,0.5466,0.5344,0.5405,0.4145,0.3643,0.3894
3.5,-0.1752,0.6814,0.5837,0.5863,0.433,0.5096,0.559,0.5291,0.5441,0.3936,0.3571,0.3753
3.6,-0.1862,0.6813,0.5891,0.5921,0.4578,0.5249,0.5701,0.5233,0.5467,0.3779,0.3512,0.3646
3.7,-0.1955,0.6791,0.5943,0.5976,0.4814,0.5395,0.5802,0.5171,0.5487,0.3675,0.3465,0.357
3.8,-0.2033,0.6748,0.5994,0.6026,0.5035,0.5531,0.5892,0.5105,0.5498,0.3618,0.3432,0.3525
3.9,-0.2093,0.6684,0.6043,0.6074,0.5237,0.5655,0.5967,0.5032,0.55,0.3598,0.3412,0.3505
4,-0.2127,0.6604,0.6085,0.6118,0.5413,0.5766,0.6024,0.4952,0.5488,0.361,0.3402,0.3506
4.1,-0.2118,0.6512,0.6115,0.6159,0.5563,0.5861,0.606,0.4864,0.5462,0.3649,0.3396,0.3523
4.2,-0.2058,0.6411,0.6134,0.6195,0.5687,0.5941,0.6074,0.4771,0.5422,0.3709,0.3393,0.3551
4.3,-0.1947,0.6307,0.6148,0.6227,0.5791,0.6009,0.6073,0.4679,0.5376,0.3779,0.3388,0.3583
4.4,-0.1791,0.6203,0.6168,0.6254,0.5873,0.6063,0.6065,0.4597,0.5331,0.3849,0.3376,0.3613
4.5,-0.1592,0.6105,0.6195,0.6278,0.5931,0.6104,0.6052,0.4527,0.5289,0.3913,0.3352,0.3633
4.6,-0.1352,0.6018,0.6229,0.63,0.5963,0.6131,0.6033,0.4467,0.525,0.397,0.3312,0.3641
4.7,-0.1073,0.5943,0.6263,0.632,0.5967,0.6144,0.6001,0.4415,0.5208,0.4016,0.3258,0.3637
4.8,-0.075,0.588,0.6291,0.634,0.5945,0.6142,0.5957,0.4372,0.5164,0.4052,0.32,0.3626
4.9,-0.038,0.5833,0.6312,0.6363,0.5896,0.613,0.5908,0.4339,0.5124,0.408,0.3142,0.3611
5,0.0029,0.5808,0.633,0.6395,0.5821,0.6108,0.5865,0.4319,0.5092,0.4101,0.3082,0.3591
5.1,0.0464,0.5808,0.635,0.6435,0.5718,0.6077,0.5832,0.4313,0.5072,0.4112,0.3017,0.3565
5.2,0.0904,0.5831,0.6372,0.6488,0.5589,0.6038,0.5805,0.4317,0.5061,0.4108,0.295,0.3529
5.3,0.1334,0.588,0.6393,0.6552,0.5434,0.5993,0.578,0.4326,0.5053,0.4085,0.2878,0.3481
5.4,0.1749,0.5957,0.6409,0.663,0.5254,0.5942,0.5749,0.4332,0.5041,0.4035,0.2796,0.3416
5.5,0.2142,0.6061,0.6412,0.6727,0.5048,0.5887,0.5702,0.4328,0.5015,0.395,0.2701,0.3326
5.6,0.25,0.6184,0.6396,0.6846,0.4819,0.5833,0.563,0.4311,0.497,0.3827,0.259,0.3209
5.7,0.2797,0.632,0.6356,0.699,0.4573,0.5782,0.5524,0.4278,0.4901,0.3669,0.2468,0.3069
5.8,0.3019,0.6467,0.6292,0.7159,0.4325,0.5742,0.5381,0.4233,0.4807,0.3488,0.2347,0.2918
5.9,0.3166,0.6632,0.6207,0.7351,0.409,0.572,0.5203,0.4179,0.4691,0.3297,0.2233,0.2765
6,0.3244,0.6823,0.611,0.7563,0.3884,0.5723,0.4992,0.4122,0.4557,0.3103,0.2126,0.2614
6.1,0.3258,0.7043,0.6013,0.7786,0.3718,0.5752,0.4752,0.4068,0.441,0.2907,0.2031,0.2469
6.2,0.3207,0.7287,0.5922,0.8011,0.3598,0.5805,0.4485,0.4028,0.4257,0.2712,0.1955,0.2333
6.3,0.3091,0.7542,0.5841,0.8225,0.3523,0.5874,0.4205,0.4008,0.4107,0.2528,0.1905,0.2217
6.4,0.2926,0.7796,0.5776,0.841,0.3489,0.5949,0.3926,0.4014,0.397,0.2374,0.1885,0.213
6.5,0.2731,0.8041,0.5731,0.855,0.3494,0.6022,0.3662,0.4046,0.3854,0.226,0.1898,0.2079
6.6,0.2523,0.827,0.5708,0.8643,0.3534,0.6088,0.3422,0.4104,0.3763,0.2186,0.1942,0.2064
6.7,0.2309,0.8481,0.5708,0.87,0.361,0.6155,0.3213,0.4188,0.37,0.2147,0.2013,0.208
6.8,0.2095,0.867,0.5731,0.8736,0.3726,0.6231,0.3045,0.43,0.3673,0.2142,0.2109,0.2126
6.9,0.1896,0.884,0.5774,0.8765,0.3886,0.6326,0.2928,0.4438,0.3683,0.2179,0.2231,0.2205
7,0.1728,0.8993,0.5835,0.8787,0.4092,0.644,0.2864,0.4596,0.373,0.2266,0.238,0.2323
7.1,0.1596,0.9123,0.5913,0.8797,0.4334,0.6565,0.2848,0.4766,0.3807,0.2404,0.2554,0.2479
7.2,0.1497,0.922,0.6006,0.8783,0.4595,0.6689,0.2867,0.4939,0.3903,0.2583,0.2743,0.2663
7.3,0.1431,0.9273,0.611,0.8742,0.4859,0.6801,0.2912,0.5109,0.401,0.2795,0.2937,0.2866
7.4,0.1397,0.9279,0.6221,0.868,0.512,0.69,0.298,0.5273,0.4127,0.3038,0.3124,0.3081
