Time,Milo Cereal - Cereal Mix It Up 15 TVC,Milo Cereal - Cereal Mix It Up 15 TVC,Milo Cereal - Cereal Mix It Up 15 TVC,Milo Cereal - Cereal Mix It Up 15 TVC,Milo Cereal - Cereal Mix It Up 15 TVC,Milo Cereal - Cereal Mix It Up 15 TVC,Milo Cereal - Cereal Mix It Up 15 TVC,Milo Cereal - Cereal Mix It Up 15 TVC,Milo Cereal - Cereal Mix It Up 15 TVC,Milo Cereal - Cereal Mix It Up 15 TVC,Milo Cereal - Cereal Mix It Up 15 TVC,Milo Cereal - Cereal Mix It Up 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.4345,0.6432,0.8651,0.6134,0.6508,0.6321,0.6957,0.7012,0.6984,0.7592,0.5103,0.6348
0.1,-0.4404,0.6335,0.8556,0.5892,0.6513,0.6202,0.6827,0.6887,0.6857,0.7448,0.5109,0.6279
0.2,-0.4372,0.6212,0.8426,0.5638,0.6464,0.6051,0.6695,0.6753,0.6724,0.7294,0.5091,0.6192
0.3,-0.4243,0.6063,0.8277,0.5384,0.6366,0.5875,0.657,0.6618,0.6594,0.7138,0.5053,0.6095
0.4,-0.4012,0.5891,0.813,0.514,0.6225,0.5683,0.6459,0.6492,0.6475,0.6991,0.5,0.5995
0.5,-0.3668,0.5701,0.7992,0.4914,0.6054,0.5484,0.6372,0.6381,0.6377,0.686,0.4933,0.5897
0.6,-0.3211,0.5503,0.7867,0.4715,0.5863,0.5289,0.6319,0.6288,0.6304,0.6754,0.4855,0.5804
0.7,-0.2659,0.5307,0.775,0.4542,0.5663,0.5103,0.6303,0.6208,0.6256,0.6676,0.4767,0.5722
0.8,-0.2052,0.5129,0.7643,0.4395,0.5466,0.4931,0.6322,0.6136,0.6229,0.6626,0.4674,0.565
0.9,-0.143,0.4982,0.7545,0.4273,0.5283,0.4778,0.6368,0.6071,0.622,0.6599,0.4573,0.5586
1,-0.0824,0.4873,0.7456,0.4176,0.5119,0.4648,0.6435,0.6023,0.6229,0.6588,0.4465,0.5526
1.1,-0.0246,0.4806,0.7376,0.411,0.4979,0.4545,0.6516,0.5997,0.6257,0.6588,0.4351,0.5469
1.2,0.0293,0.4787,0.7306,0.4086,0.4869,0.4478,0.661,0.5996,0.6303,0.6598,0.4239,0.5419
1.3,0.0785,0.4823,0.7241,0.4114,0.4797,0.4456,0.6715,0.6014,0.6365,0.6614,0.4141,0.5378
1.4,0.1224,0.4914,0.7182,0.4203,0.4765,0.4484,0.6826,0.6047,0.6436,0.6633,0.4061,0.5347
1.5,0.1597,0.5054,0.7133,0.435,0.4774,0.4562,0.694,0.6089,0.6514,0.6646,0.4002,0.5324
1.6,0.1907,0.5231,0.7097,0.4553,0.4822,0.4687,0.7053,0.6135,0.6594,0.6651,0.396,0.5305
1.7,0.2162,0.5436,0.7075,0.481,0.4901,0.4855,0.7164,0.6181,0.6673,0.6643,0.3934,0.5289
1.8,0.2367,0.566,0.7066,0.5111,0.5009,0.506,0.7268,0.6222,0.6745,0.6626,0.3927,0.5277
1.9,0.2517,0.59,0.7064,0.5449,0.5138,0.5294,0.7362,0.6256,0.6809,0.6607,0.3945,0.5276
2,0.2615,0.6151,0.7067,0.5812,0.5282,0.5547,0.7441,0.6284,0.6863,0.6591,0.3997,0.5294
2.1,0.2673,0.6407,0.7074,0.6191,0.5431,0.5811,0.7507,0.6306,0.6907,0.6578,0.4094,0.5336
