Time,Mitsubishi - Outlander Plug in EV 15 TVC,Mitsubishi - Outlander Plug in EV 15 TVC,Mitsubishi - Outlander Plug in EV 15 TVC,Mitsubishi - Outlander Plug in EV 15 TVC,Mitsubishi - Outlander Plug in EV 15 TVC,Mitsubishi - Outlander Plug in EV 15 TVC,Mitsubishi - Outlander Plug in EV 15 TVC,Mitsubishi - Outlander Plug in EV 15 TVC,Mitsubishi - Outlander Plug in EV 15 TVC,Mitsubishi - Outlander Plug in EV 15 TVC,Mitsubishi - Outlander Plug in EV 15 TVC,Mitsubishi - Outlander Plug in EV 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.2089,0.562,0.7705,0.3406,0.6461,0.4933,0.7302,0.6552,0.6927,0.5749,0.5003,0.5376
0.1,-0.1982,0.5493,0.7031,0.3634,0.6557,0.5096,0.7124,0.6416,0.677,0.5435,0.4762,0.5098
0.2,-0.1862,0.5354,0.6383,0.3869,0.6622,0.5246,0.6938,0.6263,0.66,0.5105,0.4525,0.4815
0.3,-0.172,0.5206,0.5781,0.4098,0.6658,0.5378,0.6746,0.6098,0.6422,0.4766,0.4296,0.4531
0.4,-0.1546,0.5057,0.5239,0.4318,0.6678,0.5498,0.6555,0.5924,0.6239,0.4429,0.4077,0.4253
0.5,-0.1335,0.4916,0.4761,0.4532,0.6691,0.5611,0.6376,0.5747,0.6061,0.4107,0.3869,0.3988
0.6,-0.1094,0.4797,0.4354,0.474,0.6702,0.5721,0.6219,0.5576,0.5898,0.3809,0.3678,0.3743
0.7,-0.0828,0.4708,0.4026,0.4938,0.6709,0.5824,0.6092,0.5424,0.5758,0.3546,0.3508,0.3527
0.8,-0.054,0.4656,0.3778,0.5123,0.671,0.5917,0.5998,0.53,0.5649,0.3326,0.3362,0.3344
0.9,-0.0239,0.464,0.3603,0.5296,0.6712,0.6004,0.5937,0.5205,0.5571,0.3154,0.3238,0.3196
1,0.0057,0.4658,0.3496,0.5459,0.6722,0.6091,0.5909,0.5137,0.5523,0.3035,0.314,0.3087
1.1,0.0328,0.4704,0.3447,0.5613,0.6743,0.6178,0.5909,0.5092,0.55,0.2972,0.3065,0.3018
1.2,0.056,0.4773,0.3446,0.5748,0.677,0.6259,0.5925,0.5064,0.5494,0.2961,0.3008,0.2984
1.3,0.0746,0.4856,0.3485,0.5859,0.679,0.6324,0.5944,0.5049,0.5496,0.2991,0.2966,0.2978
1.4,0.0892,0.4949,0.3561,0.5947,0.6793,0.637,0.5958,0.5043,0.55,0.3053,0.2936,0.2995
1.5,0.0997,0.5048,0.3667,0.6017,0.6781,0.6399,0.5961,0.5044,0.5502,0.3141,0.2914,0.3028
1.6,0.1054,0.5151,0.3793,0.6072,0.6761,0.6417,0.5952,0.5051,0.5502,0.3249,0.2895,0.3072
1.7,0.1057,0.5252,0.3927,0.6109,0.6737,0.6423,0.5929,0.5065,0.5497,0.3375,0.2876,0.3125
1.8,0.1011,0.5344,0.4063,0.6127,0.671,0.6418,0.5891,0.5088,0.5489,0.3513,0.2856,0.3184
1.9,0.0934,0.5422,0.4196,0.6125,0.6678,0.6401,0.584,0.5121,0.5481,0.3659,0.2835,0.3247
2,0.0848,0.548,0.4325,0.6108,0.6637,0.6373,0.5783,0.517,0.5476,0.3814,0.2819,0.3316
2.1,0.077,0.5518,0.4451,0.6082,0.6586,0.6334,0.5725,0.5234,0.548,0.3977,0.2812,0.3395
2.2,0.0707,0.554,0.4571,0.605,0.6519,0.6284,0.5665,0.5316,0.549,0.4146,0.2819,0.3482
2.3,0.0672,0.5548,0.4676,0.6013,0.6434,0.6224,0.5599,0.5412,0.5505,0.4307,0.284,0.3573
2.4,0.068,0.5547,0.476,0.5973,0.6328,0.615,0.5521,0.5517,0.5519,0.4447,0.2874,0.3661
2.5,0.0746,0.5538,0.4819,0.5929,0.6202,0.6065,0.5429,0.5625,0.5527,0.4559,0.2923,0.3741
2.6,0.088,0.5522,0.4855,0.588,0.6057,0.5968,0.5323,0.5728,0.5526,0.4642,0.2985,0.3814
2.7,0.1078,0.55,0.4867,0.5819,0.5895,0.5857,0.5204,0.5823,0.5513,0.4698,0.3061,0.388
2.8,0.1331,0.5474,0.4858,0.5742,0.5719,0.5731,0.5078,0.5907,0.5492,0.4731,0.3153,0.3942
2.9,0.1623,0.5446,0.4835,0.5644,0.5529,0.5586,0.4952,0.5981,0.5467,0.4741,0.3262,0.4002
3,0.1942,0.5417,0.4801,0.5524,0.5326,0.5425,0.4836,0.604,0.5438,0.4727,0.339,0.4059
3.1,0.2266,0.5389,0.4757,0.5389,0.5119,0.5254,0.4735,0.6081,0.5408,0.4691,0.3536,0.4113
3.2,0.2567,0.5368,0.4708,0.5252,0.4924,0.5088,0.4654,0.6109,0.5382,0.4636,0.3702,0.4169
3.3,0.2815,0.5358,0.4664,0.5118,0.4757,0.4937,0.4597,0.6133,0.5365,0.457,0.3888,0.4229
3.4,0.299,0.5369,0.4639,0.4986,0.4628,0.4807,0.4565,0.6161,0.5363,0.4495,0.4081,0.4288
3.5,0.3086,0.5408,0.4644,0.4859,0.4544,0.4702,0.4554,0.6196,0.5375,0.441,0.426,0.4335
3.6,0.3104,0.5478,0.4681,0.4743,0.4507,0.4625,0.4559,0.624,0.54,0.4315,0.441,0.4363
3.7,0.3048,0.5578,0.4745,0.4643,0.4514,0.4579,0.4578,0.6295,0.5436,0.4215,0.4525,0.437
3.8,0.2918,0.5702,0.4831,0.4561,0.4566,0.4564,0.4609,0.6361,0.5485,0.4113,0.4609,0.4361
3.9,0.2706,0.5843,0.4936,0.449,0.4656,0.4573,0.4651,0.6436,0.5543,0.4015,0.4671,0.4343
4,0.2408,0.5986,0.5059,0.4422,0.4776,0.4599,0.47,0.6519,0.5609,0.3919,0.4714,0.4316
4.1,0.2029,0.6116,0.5196,0.4352,0.492,0.4636,0.475,0.6606,0.5678,0.3828,0.4733,0.428
4.2,0.1582,0.6212,0.5337,0.4277,0.5081,0.4679,0.4799,0.6691,0.5745,0.3743,0.4722,0.4232
4.3,0.1079,0.6262,0.5481,0.4196,0.5248,0.4722,0.4847,0.6769,0.5808,0.3665,0.4682,0.4174
4.4,0.0527,0.6255,0.5623,0.4108,0.5408,0.4758,0.4893,0.6836,0.5865,0.3594,0.4617,0.4106
4.5,-0.0059,0.6186,0.5752,0.4011,0.5549,0.478,0.4934,0.6888,0.5911,0.353,0.4529,0.4029
4.6,-0.0656,0.6057,0.5859,0.3908,0.5662,0.4785,0.497,0.6919,0.5944,0.3474,0.4425,0.395
4.7,-0.1246,0.5881,0.5941,0.3809,0.5744,0.4776,0.5002,0.6926,0.5964,0.3437,0.4318,0.3877
4.8,-0.1816,0.5673,0.6,0.3715,0.5802,0.4759,0.5034,0.6908,0.5971,0.3431,0.4222,0.3826
4.9,-0.2359,0.5444,0.6033,0.3622,0.5841,0.4732,0.5065,0.6863,0.5964,0.3465,0.4145,0.3805
5,-0.286,0.5199,0.6035,0.3519,0.5857,0.4688,0.5086,0.6782,0.5934,0.3539,0.4094,0.3816
5.1,-0.3288,0.4937,0.6,0.3403,0.5842,0.4622,0.5085,0.6659,0.5872,0.3651,0.407,0.3861
5.2,-0.3606,0.4663,0.5933,0.328,0.5792,0.4536,0.5055,0.6494,0.5774,0.3796,0.4073,0.3934
5.3,-0.3786,0.439,0.5836,0.3164,0.5712,0.4438,0.5001,0.6294,0.5648,0.3964,0.4094,0.4029
