Time,McDonalds - Sunrise Catch Up Breakie Deals 15 TVC,McDonalds - Sunrise Catch Up Breakie Deals 15 TVC,McDonalds - Sunrise Catch Up Breakie Deals 15 TVC,McDonalds - Sunrise Catch Up Breakie Deals 15 TVC,McDonalds - Sunrise Catch Up Breakie Deals 15 TVC,McDonalds - Sunrise Catch Up Breakie Deals 15 TVC,McDonalds - Sunrise Catch Up Breakie Deals 15 TVC,McDonalds - Sunrise Catch Up Breakie Deals 15 TVC,McDonalds - Sunrise Catch Up Breakie Deals 15 TVC,McDonalds - Sunrise Catch Up Breakie Deals 15 TVC,McDonalds - Sunrise Catch Up Breakie Deals 15 TVC,McDonalds - Sunrise Catch Up Breakie Deals 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.4812,0.4738,0.4898,0.7106,0.5696,0.6401,0.6584,0.6082,0.6333,0.4688,0.3707,0.4198
0.1,0.4624,0.47,0.4939,0.7128,0.5857,0.6493,0.6553,0.6258,0.6406,0.4803,0.3808,0.4305
0.2,0.4337,0.4668,0.4952,0.7121,0.6005,0.6563,0.6531,0.6383,0.6457,0.491,0.393,0.442
0.3,0.3971,0.4647,0.4938,0.7088,0.6133,0.6611,0.6512,0.6461,0.6487,0.5007,0.4076,0.4541
0.4,0.3556,0.4639,0.4902,0.7033,0.6236,0.6634,0.6503,0.6502,0.6503,0.5092,0.4247,0.467
0.5,0.3122,0.4653,0.4856,0.6964,0.6313,0.6639,0.6517,0.6518,0.6518,0.5169,0.444,0.4805
0.6,0.2692,0.4698,0.4809,0.6891,0.6365,0.6628,0.6559,0.6516,0.6538,0.5237,0.4646,0.4942
0.7,0.2297,0.4775,0.4761,0.6819,0.6385,0.6602,0.6625,0.6496,0.656,0.5292,0.4854,0.5073
0.8,0.1969,0.4881,0.4706,0.6751,0.6357,0.6554,0.6701,0.6455,0.6578,0.5331,0.5052,0.5191
0.9,0.1734,0.5007,0.4637,0.6688,0.6271,0.6479,0.6781,0.6388,0.6585,0.5353,0.5229,0.5291
1,0.1609,0.5149,0.4556,0.6632,0.6125,0.6378,0.6862,0.6292,0.6577,0.5362,0.5379,0.5371
1.1,0.1599,0.5305,0.4468,0.6585,0.5935,0.626,0.6943,0.6163,0.6553,0.5364,0.5496,0.543
1.2,0.1691,0.5475,0.4379,0.6552,0.5717,0.6135,0.7023,0.6005,0.6514,0.5357,0.5579,0.5468
1.3,0.1873,0.5653,0.4291,0.6536,0.5482,0.6009,0.7094,0.5828,0.6461,0.5339,0.5626,0.5483
1.4,0.2131,0.5825,0.4207,0.6537,0.5228,0.5883,0.7152,0.564,0.6396,0.5314,0.5639,0.5476
1.5,0.2452,0.5979,0.4127,0.6555,0.4955,0.5755,0.7193,0.545,0.6321,0.5286,0.5617,0.5452
1.6,0.2821,0.611,0.4055,0.6592,0.4666,0.5629,0.7214,0.5267,0.6241,0.526,0.5564,0.5412
1.7,0.3225,0.6218,0.3999,0.6654,0.4376,0.5515,0.7214,0.5097,0.6155,0.5235,0.5483,0.5359
1.8,0.3644,0.6299,0.3969,0.6736,0.4097,0.5417,0.7185,0.4943,0.6064,0.5217,0.5382,0.5299
1.9,0.4053,0.634,0.397,0.6829,0.3835,0.5332,0.7127,0.4804,0.5966,0.5218,0.5277,0.5248
2,0.4415,0.6332,0.4004,0.6921,0.3592,0.5256,0.7049,0.4682,0.5865,0.5258,0.5186,0.5222
2.1,0.4693,0.6275,0.4074,0.7002,0.3375,0.5188,0.6962,0.4579,0.577,0.5348,0.5126,0.5237
2.2,0.4859,0.6179,0.4183,0.7069,0.3194,0.5132,0.688,0.45,0.569,0.549,0.5113,0.5301
2.3,0.4911,0.6045,0.4329,0.7117,0.3051,0.5084,0.6806,0.4454,0.563,0.568,0.5148,0.5414
2.4,0.4864,0.5873,0.4504,0.7134,0.2937,0.5035,0.6739,0.444,0.5589,0.5908,0.5229,0.5569
2.5,0.4731,0.5659,0.4698,0.711,0.2838,0.4974,0.6675,0.4451,0.5563,0.6158,0.5349,0.5754
2.6,0.4511,0.5402,0.4893,0.7044,0.2746,0.4895,0.6617,0.4482,0.5549,0.6413,0.55,0.5957
2.7,0.4185,0.5115,0.5079,0.6943,0.2666,0.4804,0.6569,0.4531,0.555,0.6655,0.5675,0.6165
2.8,0.3748,0.4823,0.5248,0.6816,0.2615,0.4716,0.6534,0.4597,0.5565,0.6863,0.5863,0.6363
2.9,0.3224,0.4557,0.5396,0.6681,0.2604,0.4642,0.6504,0.4679,0.5591,0.7018,0.6057,0.6537
3,0.2651,0.4338,0.5519,0.6551,0.2634,0.4592,0.6475,0.477,0.5623,0.7114,0.6246,0.668
