Time,NRMA Brand Tony Armstrong 15 TVC,NRMA Brand Tony Armstrong 15 TVC,NRMA Brand Tony Armstrong 15 TVC,NRMA Brand Tony Armstrong 15 TVC,NRMA Brand Tony Armstrong 15 TVC,NRMA Brand Tony Armstrong 15 TVC,NRMA Brand Tony Armstrong 15 TVC,NRMA Brand Tony Armstrong 15 TVC,NRMA Brand Tony Armstrong 15 TVC,NRMA Brand Tony Armstrong 15 TVC,NRMA Brand Tony Armstrong 15 TVC,NRMA Brand Tony Armstrong 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.168,0.5656,0.5776,0.6744,1.0211,0.8478,0.6545,0.6466,0.6505,0.3925,0.712,0.5523
0.1,-0.1194,0.5655,0.5529,0.6633,1.0149,0.8391,0.6646,0.6401,0.6523,0.411,0.6667,0.5388
0.2,-0.078,0.5655,0.5256,0.6524,0.9971,0.8247,0.6736,0.6288,0.6512,0.4329,0.6244,0.5287
0.3,-0.0461,0.5659,0.4966,0.6415,0.9698,0.8057,0.6805,0.614,0.6472,0.4584,0.5871,0.5228
0.4,-0.0234,0.5666,0.4668,0.6307,0.9353,0.783,0.6847,0.5972,0.641,0.487,0.5549,0.5209
0.5,-0.008,0.5674,0.4373,0.6209,0.8957,0.7583,0.6867,0.5804,0.6336,0.5175,0.5273,0.5224
0.6,0.002,0.5684,0.4095,0.6131,0.8532,0.7332,0.6874,0.5652,0.6263,0.5486,0.5044,0.5265
0.7,0.0075,0.5697,0.385,0.6074,0.8099,0.7087,0.6874,0.5527,0.6201,0.579,0.4869,0.533
0.8,0.0089,0.5711,0.3644,0.6034,0.7671,0.6852,0.6868,0.5437,0.6153,0.6077,0.4751,0.5414
0.9,0.0072,0.5728,0.3476,0.6005,0.7258,0.6632,0.6849,0.5387,0.6118,0.6329,0.468,0.5504
1,0.004,0.5747,0.3341,0.599,0.6869,0.643,0.681,0.5381,0.6096,0.6532,0.4638,0.5585
1.1,0.0009,0.5767,0.3236,0.5993,0.6512,0.6252,0.6752,0.5416,0.6084,0.6679,0.4616,0.5648
1.2,-0.0018,0.5787,0.3157,0.6016,0.6197,0.6106,0.6676,0.548,0.6078,0.6768,0.4613,0.5691
1.3,-0.0048,0.5809,0.3107,0.6064,0.5935,0.5999,0.6583,0.5557,0.607,0.6801,0.4632,0.5717
1.4,-0.0085,0.5842,0.3093,0.6138,0.5735,0.5936,0.6472,0.5638,0.6055,0.6777,0.4673,0.5725
1.5,-0.0127,0.5895,0.3122,0.6244,0.561,0.5927,0.6346,0.5725,0.6036,0.6697,0.4728,0.5713
1.6,-0.0165,0.5984,0.319,0.6385,0.5575,0.598,0.6213,0.5827,0.602,0.6572,0.4789,0.5681
1.7,-0.0193,0.612,0.3288,0.6562,0.5643,0.6103,0.6082,0.5948,0.6015,0.6414,0.4855,0.5635
1.8,-0.0211,0.6299,0.34,0.6766,0.5816,0.6291,0.5962,0.6083,0.6022,0.6235,0.4924,0.5579
1.9,-0.0223,0.6507,0.3514,0.698,0.6079,0.6529,0.5855,0.6219,0.6037,0.6048,0.4995,0.5521
2,-0.0229,0.6726,0.3621,0.7192,0.6406,0.6799,0.5761,0.6339,0.605,0.5871,0.5058,0.5465
2.1,-0.0233,0.695,0.372,0.7393,0.6777,0.7085,0.5681,0.6432,0.6057,0.5718,0.5112,0.5415
2.2,-0.0251,0.7176,0.3814,0.758,0.7182,0.7381,0.562,0.6501,0.606,0.5601,0.5158,0.538
