Time,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC,NRMA Forgot Tony Armstrong 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.3302,0.4684,0.3317,0.3364,0.5009,0.4187,0.1105,0.412,0.2612,0.1921,0.2999,0.246
0.1,0.3079,0.4584,0.3448,0.3259,0.5103,0.4181,0.1021,0.4219,0.262,0.1968,0.3245,0.2607
0.2,0.2843,0.4503,0.3612,0.316,0.5199,0.4179,0.0966,0.4318,0.2642,0.2026,0.3486,0.2756
0.3,0.2606,0.4433,0.3805,0.3073,0.5287,0.418,0.0941,0.4422,0.2681,0.2088,0.3704,0.2896
0.4,0.2386,0.4372,0.4021,0.3008,0.5364,0.4186,0.0954,0.4536,0.2745,0.2151,0.3886,0.3019
0.5,0.2193,0.4326,0.4258,0.2973,0.5439,0.4206,0.1013,0.4658,0.2836,0.2211,0.4023,0.3117
0.6,0.202,0.4303,0.4515,0.2977,0.5521,0.4249,0.1118,0.478,0.2949,0.2255,0.4104,0.318
0.7,0.1855,0.4315,0.4792,0.3021,0.5619,0.432,0.1262,0.4895,0.3078,0.2277,0.4126,0.3202
0.8,0.1691,0.4362,0.5078,0.3099,0.5734,0.4416,0.1433,0.4998,0.3216,0.2271,0.4094,0.3182
0.9,0.153,0.4439,0.5355,0.3203,0.5861,0.4532,0.1627,0.509,0.3358,0.223,0.4007,0.3118
1,0.1372,0.4536,0.5602,0.3325,0.599,0.4657,0.1841,0.5169,0.3505,0.2149,0.3864,0.3007
1.1,0.1214,0.4647,0.5803,0.3458,0.6114,0.4786,0.2072,0.5235,0.3654,0.203,0.3663,0.2847
1.2,0.1052,0.4767,0.595,0.3594,0.6236,0.4915,0.2308,0.5285,0.3797,0.1875,0.341,0.2643
1.3,0.0895,0.4896,0.6048,0.3731,0.6359,0.5045,0.2539,0.5313,0.3926,0.17,0.3123,0.2411
1.4,0.0753,0.5032,0.6107,0.3866,0.6489,0.5177,0.276,0.5318,0.4039,0.1519,0.2817,0.2168
1.5,0.0634,0.5175,0.6135,0.4,0.6624,0.5312,0.2973,0.5302,0.4137,0.1339,0.2499,0.1919
1.6,0.0539,0.5319,0.6143,0.4131,0.6761,0.5446,0.3181,0.5268,0.4224,0.1164,0.2175,0.167
1.7,0.0471,0.5464,0.6137,0.4257,0.6892,0.5575,0.3385,0.5223,0.4304,0.0999,0.1853,0.1426
1.8,0.0442,0.5612,0.6122,0.4381,0.7018,0.57,0.3581,0.517,0.4375,0.0852,0.1547,0.1199
1.9,0.0464,0.5759,0.6097,0.4508,0.7138,0.5823,0.3763,0.5107,0.4435,0.0732,0.1272,0.1002
2,0.0539,0.5901,0.6058,0.4637,0.725,0.5943,0.3929,0.5027,0.4478,0.0638,0.1041,0.0839
2.1,0.0656,0.6033,0.6,0.4767,0.7347,0.6057,0.4075,0.4924,0.45,0.0572,0.0859,0.0715
2.2,0.0793,0.6147,0.5921,0.489,0.7429,0.616,0.4196,0.4796,0.4496,0.054,0.0729,0.0635
2.3,0.0932,0.6237,0.5825,0.5,0.7496,0.6248,0.4282,0.4647,0.4465,0.0549,0.0653,0.0601
2.4,0.1062,0.6301,0.5714,0.509,0.755,0.632,0.4331,0.4485,0.4408,0.0602,0.0629,0.0616
2.5,0.118,0.6336,0.5595,0.5161,0.7593,0.6377,0.4346,0.4321,0.4334,0.0699,0.0658,0.0679
2.6,0.1287,0.6344,0.5479,0.5217,0.7627,0.6422,0.4339,0.4167,0.4253,0.0849,0.0746,0.0797
2.7,0.1377,0.6327,0.5376,0.5264,0.7654,0.6459,0.4322,0.4037,0.4179,0.1068,0.0908,0.0988
