Time,Myer - Make Your Merry Meaningful 45 TVC,Myer - Make Your Merry Meaningful 45 TVC,Myer - Make Your Merry Meaningful 45 TVC,Myer - Make Your Merry Meaningful 45 TVC,Myer - Make Your Merry Meaningful 45 TVC,Myer - Make Your Merry Meaningful 45 TVC,Myer - Make Your Merry Meaningful 45 TVC,Myer - Make Your Merry Meaningful 45 TVC,Myer - Make Your Merry Meaningful 45 TVC,Myer - Make Your Merry Meaningful 45 TVC,Myer - Make Your Merry Meaningful 45 TVC,Myer - Make Your Merry Meaningful 45 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.3564,0.6157,0.635,0.5475,0.5375,0.5425,0.437,0.7288,0.5829,0.6137,0.6167,0.6152
0.1,-0.3362,0.6054,0.6353,0.5541,0.5236,0.5388,0.4457,0.7388,0.5922,0.6006,0.6039,0.6023
0.2,-0.3184,0.5953,0.6348,0.5568,0.5111,0.5339,0.456,0.7457,0.6008,0.5919,0.594,0.593
0.3,-0.3028,0.5858,0.6327,0.5555,0.4996,0.5275,0.467,0.7487,0.6079,0.587,0.5863,0.5867
0.4,-0.2895,0.5778,0.6283,0.5504,0.4893,0.5198,0.4781,0.7474,0.6128,0.5857,0.5806,0.5831
0.5,-0.2787,0.572,0.6214,0.5427,0.4809,0.5118,0.4893,0.7418,0.6156,0.5881,0.5768,0.5825
0.6,-0.271,0.5689,0.6117,0.5337,0.4752,0.5044,0.5008,0.7321,0.6164,0.5944,0.575,0.5847
0.7,-0.2669,0.5679,0.5989,0.5244,0.473,0.4987,0.5126,0.7187,0.6156,0.6044,0.5748,0.5896
0.8,-0.2667,0.5683,0.5828,0.5154,0.4745,0.495,0.525,0.7021,0.6136,0.6182,0.576,0.5971
0.9,-0.27,0.5693,0.5632,0.5067,0.4789,0.4928,0.5385,0.6831,0.6108,0.6355,0.5784,0.607
1,-0.2762,0.5703,0.5404,0.4981,0.4853,0.4917,0.5534,0.6625,0.6079,0.6554,0.5821,0.6188
1.1,-0.2846,0.571,0.5146,0.4901,0.4928,0.4915,0.5695,0.641,0.6053,0.6772,0.5868,0.632
1.2,-0.2944,0.5716,0.4866,0.4832,0.5013,0.4923,0.5858,0.6197,0.6028,0.6999,0.5921,0.646
1.3,-0.3049,0.5725,0.4574,0.4777,0.5109,0.4943,0.6007,0.5991,0.5999,0.7226,0.5979,0.6603
1.4,-0.3142,0.5736,0.4281,0.4737,0.5217,0.4977,0.6129,0.5794,0.5961,0.7443,0.6043,0.6743
1.5,-0.3203,0.5747,0.3991,0.4716,0.5331,0.5023,0.622,0.561,0.5915,0.764,0.6111,0.6876
1.6,-0.3224,0.5753,0.3707,0.4717,0.5447,0.5082,0.6284,0.544,0.5862,0.7809,0.6182,0.6995
1.7,-0.3209,0.5752,0.3432,0.4738,0.5565,0.5152,0.6327,0.5291,0.5809,0.7946,0.625,0.7098
1.8,-0.3178,0.5745,0.318,0.4773,0.5688,0.523,0.6351,0.5165,0.5758,0.8048,0.6313,0.7181
1.9,-0.3147,0.5731,0.2967,0.4815,0.5817,0.5316,0.636,0.5065,0.5713,0.8117,0.6377,0.7247
2,-0.3119,0.5714,0.2803,0.4861,0.5953,0.5407,0.636,0.4995,0.5677,0.8151,0.6445,0.7298
2.1,-0.3095,0.5698,0.2693,0.4915,0.609,0.5502,0.6359,0.4957,0.5658,0.8152,0.6517,0.7334
2.2,-0.308,0.5681,0.2639,0.4978,0.6225,0.5602,0.6362,0.4954,0.5658,0.8118,0.6583,0.7351
2.3,-0.3078,0.5665,0.2646,0.5046,0.6357,0.5702,0.6367,0.4991,0.5679,0.8052,0.6638,0.7345
2.4,-0.3094,0.5648,0.2724,0.5108,0.6487,0.5798,0.6367,0.5069,0.5718,0.7959,0.6681,0.732
2.5,-0.3127,0.5628,0.288,0.5154,0.6609,0.5881,0.6357,0.5189,0.5773,0.7843,0.6717,0.728
