Time,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC,NRMA Help Nation Tony Armstrong 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0435,0.7546,0.7699,0.6714,0.7801,0.7258,0.7491,0.6955,0.7223,0.8764,0.8237,0.85
0.1,0.0384,0.7541,0.7867,0.6888,0.7788,0.7338,0.7323,0.6889,0.7106,0.8539,0.8266,0.8402
0.2,0.0365,0.7512,0.8016,0.7061,0.7759,0.741,0.7151,0.683,0.6991,0.8292,0.8265,0.8278
0.3,0.0394,0.7463,0.8153,0.7238,0.7717,0.7478,0.6992,0.6789,0.689,0.8032,0.8253,0.8143
0.4,0.0482,0.74,0.8277,0.7422,0.7658,0.754,0.685,0.6771,0.6811,0.7763,0.8234,0.7998
0.5,0.0632,0.7328,0.8373,0.7611,0.7584,0.7597,0.673,0.6772,0.6751,0.7479,0.8206,0.7842
0.6,0.0829,0.7254,0.8431,0.7809,0.7502,0.7655,0.6631,0.6784,0.6708,0.7177,0.8169,0.7673
0.7,0.1047,0.7185,0.8448,0.8015,0.7422,0.7718,0.6561,0.6806,0.6683,0.6865,0.8133,0.7499
0.8,0.1262,0.7122,0.8436,0.8229,0.7352,0.779,0.6519,0.6836,0.6678,0.6565,0.8124,0.7345
0.9,0.1452,0.7067,0.8407,0.8445,0.7297,0.7871,0.6501,0.6878,0.669,0.6306,0.8165,0.7235
1,0.1608,0.7024,0.837,0.8658,0.7265,0.7961,0.6497,0.6935,0.6716,0.611,0.8265,0.7188
1.1,0.1723,0.6999,0.8329,0.8859,0.7261,0.806,0.65,0.7003,0.6752,0.5996,0.8423,0.7209
1.2,0.1798,0.6998,0.8291,0.9043,0.7288,0.8165,0.6502,0.7077,0.6789,0.597,0.8624,0.7297
1.3,0.1832,0.7019,0.8261,0.9209,0.7347,0.8278,0.6498,0.7152,0.6825,0.6047,0.8852,0.745
1.4,0.1822,0.7058,0.8242,0.9363,0.7437,0.84,0.6485,0.7229,0.6857,0.6238,0.909,0.7664
1.5,0.1768,0.711,0.8229,0.9506,0.7557,0.8532,0.6459,0.7313,0.6886,0.654,0.9316,0.7928
1.6,0.1674,0.717,0.8228,0.9634,0.771,0.8672,0.6416,0.7406,0.6911,0.6925,0.9507,0.8216
1.7,0.1542,0.7233,0.8242,0.9735,0.7892,0.8813,0.6356,0.751,0.6933,0.7352,0.9642,0.8497
1.8,0.1366,0.7296,0.8272,0.9802,0.8096,0.8949,0.6282,0.7619,0.695,0.778,0.9706,0.8743
1.9,0.1142,0.7356,0.8317,0.983,0.8315,0.9073,0.6195,0.7721,0.6958,0.8179,0.9695,0.8937
2,0.088,0.7408,0.8374,0.9816,0.8536,0.9176,0.6096,0.7808,0.6952,0.8522,0.96,0.9061
2.1,0.0596,0.7453,0.8441,0.9758,0.8751,0.9254,0.5977,0.7871,0.6924,0.8789,0.9422,0.9106
2.2,0.0306,0.7496,0.8519,0.965,0.8949,0.9299,0.5835,0.7906,0.687,0.8978,0.9181,0.9079
2.3,0.0014,0.7544,0.8614,0.948,0.9126,0.9303,0.5672,0.7911,0.6791,0.9091,0.8902,0.8996
2.4,-0.0279,0.7602,0.8725,0.9237,0.9278,0.9257,0.5494,0.789,0.6692,0.9137,0.8606,0.8871
2.5,-0.0578,0.7667,0.8845,0.8908,0.9401,0.9154,0.5308,0.7844,0.6576,0.9121,0.8304,0.8712
2.6,-0.0883,0.7733,0.8963,0.8491,0.9487,0.8989,0.5117,0.777,0.6443,0.9043,0.7996,0.852
2.7,-0.1174,0.7793,0.907,0.799,0.9527,0.8759,0.4925,0.7665,0.6295,0.8906,0.7687,0.8296
2.8,-0.1419,0.7848,0.9162,0.7417,0.9518,0.8468,0.4736,0.753,0.6133,0.8715,0.7384,0.805
2.9,-0.1582,0.7895,0.9233,0.6797,0.9459,0.8128,0.4554,0.7368,0.5961,0.8481,0.71,0.779
3,-0.1631,0.7932,0.9279,0.6161,0.9352,0.7756,0.438,0.718,0.578,0.8211,0.6839,0.7525
3.1,-0.155,0.7952,0.9297,0.5538,0.9193,0.7366,0.4217,0.6963,0.559,0.7906,0.6602,0.7254
3.2,-0.1345,0.7947,0.9283,0.4952,0.8981,0.6966,0.4069,0.6721,0.5395,0.7568,0.639,0.6979
3.3,-0.1045,0.7919,0.9231,0.4426,0.8712,0.6569,0.3938,0.6464,0.5201,0.7196,0.6205,0.67
3.4,-0.0698,0.7875,0.9136,0.3972,0.8392,0.6182,0.3824,0.6207,0.5016,0.6786,0.6053,0.6419
3.5,-0.0362,0.7826,0.8995,0.3598,0.803,0.5814,0.3723,0.5967,0.4845,0.634,0.5935,0.6138
3.6,-0.0081,0.779,0.8811,0.3308,0.7639,0.5473,0.3632,0.5756,0.4694,0.5865,0.5851,0.5858
3.7,0.0119,0.7777,0.8599,0.3101,0.7227,0.5164,0.3559,0.5583,0.4571,0.5372,0.5795,0.5584
3.8,0.0229,0.7793,0.8372,0.2977,0.6806,0.4892,0.3515,0.5452,0.4483,0.4881,0.5761,0.5321
3.9,0.0259,0.7834,0.814,0.2932,0.6391,0.4662,0.3509,0.5367,0.4438,0.4411,0.5744,0.5077
4,0.0221,0.7885,0.7923,0.2961,0.5996,0.4478,0.3541,0.5332,0.4437,0.3979,0.574,0.486
4.1,0.0142,0.7931,0.7743,0.3061,0.5629,0.4345,0.361,0.5355,0.4482,0.3601,0.575,0.4675
4.2,0.0075,0.7963,0.7622,0.3233,0.5302,0.4268,0.3714,0.5447,0.458,0.3291,0.5782,0.4536
4.3,0.0058,0.798,0.7569,0.3475,0.5025,0.425,0.3859,0.5618,0.4738,0.3071,0.5841,0.4456
4.4,0.0116,0.7984,0.7574,0.3778,0.4808,0.4293,0.4052,0.586,0.4956,0.2957,0.5928,0.4442
4.5,0.0257,0.7977,0.7617,0.4132,0.4653,0.4392,0.4287,0.614,0.5213,0.2952,0.6033,0.4493
4.6,0.0463,0.7955,0.7676,0.4529,0.4559,0.4544,0.4549,0.6421,0.5485,0.3047,0.6144,0.4595
4.7,0.0712,0.7915,0.7732,0.496,0.4519,0.474,0.4824,0.6684,0.5754,0.3224,0.625,0.4737
4.8,0.0999,0.7857,0.7775,0.5413,0.4532,0.4972,0.511,0.6925,0.6018,0.3469,0.6348,0.4909
4.9,0.1334,0.7783,0.7801,0.5864,0.4592,0.5228,0.5406,0.7146,0.6276,0.3768,0.6441,0.5105
5,0.1717,0.7692,0.7805,0.6281,0.4689,0.5485,0.5709,0.7338,0.6523,0.4108,0.6529,0.5318
5.1,0.2127,0.7582,0.7781,0.6638,0.4802,0.572,0.6001,0.749,0.6745,0.4465,0.6606,0.5536
5.2,0.2538,0.7448,0.7721,0.6919,0.491,0.5915,0.6263,0.7591,0.6927,0.4816,0.6665,0.574
5.3,0.293,0.7283,0.7624,0.7121,0.4999,0.606,0.6477,0.7639,0.7058,0.5136,0.6701,0.5918
5.4,0.3292,0.7085,0.749,0.7244,0.5062,0.6153,0.6631,0.7635,0.7133,0.5408,0.6711,0.6059
5.5,0.3614,0.6856,0.7327,0.7288,0.5095,0.6192,0.6724,0.7586,0.7155,0.562,0.6695,0.6157
5.6,0.3885,0.6601,0.714,0.7258,0.5096,0.6177,0.6762,0.7496,0.7129,0.5764,0.6651,0.6208
5.7,0.4096,0.6329,0.6937,0.7165,0.5067,0.6116,0.6755,0.7375,0.7065,0.5842,0.6578,0.621
5.8,0.4252,0.6046,0.6718,0.7025,0.5013,0.6019,0.671,0.723,0.697,0.5858,0.6473,0.6165
5.9,0.4362,0.5762,0.6481,0.6854,0.4935,0.5894,0.6636,0.7064,0.685,0.5821,0.6333,0.6077
6,0.4424,0.5484,0.6226,0.666,0.4832,0.5746,0.6538,0.6875,0.6707,0.5738,0.6162,0.595
