Time,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC,Pandora - Know what its Like with Halle Bailey 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0302,0.813,0.7239,1.1124,1.0606,1.0865,0.8009,0.9247,0.8628,0.2803,0.5015,0.3909
0.1,-0.1025,0.8146,0.7303,1.1121,1.067,1.0896,0.7976,0.9117,0.8546,0.2733,0.4971,0.3852
0.2,-0.1779,0.8139,0.7379,1.1063,1.0693,1.0878,0.7914,0.8947,0.843,0.2739,0.4947,0.3843
0.3,-0.2541,0.8116,0.7465,1.0955,1.0689,1.0822,0.7821,0.8745,0.8283,0.2822,0.4953,0.3887
0.4,-0.3292,0.8086,0.7555,1.0809,1.0672,1.0741,0.7699,0.8515,0.8107,0.2976,0.4996,0.3986
0.5,-0.4013,0.8058,0.7644,1.0632,1.0653,1.0643,0.7554,0.8263,0.7909,0.3182,0.5081,0.4131
0.6,-0.4697,0.804,0.7726,1.0436,1.0633,1.0534,0.7395,0.7995,0.7695,0.3415,0.5206,0.431
0.7,-0.5338,0.8032,0.7797,1.0227,1.0608,1.0418,0.7218,0.7714,0.7466,0.3648,0.5364,0.4506
0.8,-0.5933,0.8026,0.7853,1.0013,1.0576,1.0294,0.7018,0.7429,0.7223,0.3864,0.555,0.4707
0.9,-0.648,0.8015,0.7892,0.9798,1.0536,1.0167,0.6799,0.715,0.6974,0.4054,0.5757,0.4905
1,-0.6979,0.8,0.7913,0.9587,1.0487,1.0037,0.6576,0.6892,0.6734,0.4223,0.5982,0.5102
1.1,-0.743,0.7981,0.7923,0.9383,1.0424,0.9903,0.6364,0.6673,0.6518,0.4383,0.6215,0.5299
1.2,-0.7827,0.7959,0.7931,0.9188,1.0342,0.9765,0.6171,0.6505,0.6338,0.4544,0.6438,0.5491
1.3,-0.8168,0.7938,0.7937,0.9005,1.0241,0.9623,0.6,0.6392,0.6196,0.4698,0.6632,0.5665
1.4,-0.8443,0.792,0.7939,0.8834,1.012,0.9477,0.5851,0.6329,0.609,0.4831,0.6789,0.581
1.5,-0.8639,0.7906,0.7941,0.8676,0.9985,0.933,0.5724,0.6305,0.6015,0.4943,0.691,0.5927
1.6,-0.8748,0.7892,0.7951,0.8529,0.9833,0.9181,0.5618,0.6308,0.5963,0.504,0.7001,0.602
1.7,-0.8757,0.7873,0.7973,0.8385,0.966,0.9023,0.5526,0.632,0.5923,0.5126,0.7067,0.6096
1.8,-0.8655,0.7842,0.8007,0.824,0.9455,0.8847,0.5445,0.6324,0.5884,0.5203,0.7112,0.6158
