Time,Spirit of Tasmania 15 TVC,Spirit of Tasmania 15 TVC,Spirit of Tasmania 15 TVC,Spirit of Tasmania 15 TVC,Spirit of Tasmania 15 TVC,Spirit of Tasmania 15 TVC,Spirit of Tasmania 15 TVC,Spirit of Tasmania 15 TVC,Spirit of Tasmania 15 TVC,Spirit of Tasmania 15 TVC,Spirit of Tasmania 15 TVC,Spirit of Tasmania 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.2912,0.5652,1.1859,0.5409,0.6369,0.5889,0.7541,0.9816,0.8679,0.6668,0.7025,0.6847
0.1,-0.2641,0.5933,1.1432,0.558,0.6399,0.599,0.741,0.97,0.8555,0.6279,0.6869,0.6574
0.2,-0.2346,0.6174,1.0863,0.5759,0.6422,0.609,0.7189,0.9496,0.8343,0.5922,0.6697,0.631
0.3,-0.2036,0.637,1.0163,0.5938,0.6437,0.6188,0.6873,0.9214,0.8044,0.5605,0.6501,0.6053
0.4,-0.1725,0.6518,0.935,0.6109,0.6436,0.6272,0.6467,0.887,0.7668,0.5324,0.6274,0.5799
0.5,-0.1429,0.662,0.8454,0.6257,0.6418,0.6338,0.5991,0.8486,0.7238,0.5071,0.6017,0.5544
0.6,-0.1171,0.6683,0.7523,0.6374,0.6393,0.6383,0.5476,0.809,0.6783,0.4842,0.5738,0.529
0.7,-0.0974,0.6718,0.6618,0.6454,0.6373,0.6413,0.4964,0.771,0.6337,0.4636,0.5455,0.5045
0.8,-0.0847,0.6735,0.5791,0.6498,0.636,0.6429,0.4498,0.7367,0.5933,0.4451,0.5182,0.4817
0.9,-0.0781,0.6739,0.5071,0.6513,0.635,0.6431,0.4112,0.7072,0.5592,0.4288,0.4933,0.461
1,-0.0758,0.6735,0.447,0.6501,0.6335,0.6418,0.382,0.6826,0.5323,0.4147,0.4715,0.4431
1.1,-0.0762,0.6728,0.399,0.6465,0.6313,0.6389,0.3618,0.6631,0.5125,0.4025,0.4531,0.4278
1.2,-0.0783,0.6728,0.3628,0.6408,0.6293,0.635,0.3499,0.648,0.499,0.3922,0.4384,0.4153
1.3,-0.0805,0.6743,0.3374,0.6334,0.629,0.6312,0.345,0.6372,0.4911,0.3838,0.4274,0.4056
1.4,-0.0811,0.6781,0.3213,0.6253,0.6308,0.628,0.3464,0.6301,0.4882,0.3773,0.4203,0.3988
1.5,-0.0789,0.6844,0.3136,0.6174,0.6341,0.6257,0.3526,0.6259,0.4892,0.3732,0.4176,0.3954
