Time,Telstra - Warmun is better on a better network 15 TVC,Telstra - Warmun is better on a better network 15 TVC,Telstra - Warmun is better on a better network 15 TVC,Telstra - Warmun is better on a better network 15 TVC,Telstra - Warmun is better on a better network 15 TVC,Telstra - Warmun is better on a better network 15 TVC,Telstra - Warmun is better on a better network 15 TVC,Telstra - Warmun is better on a better network 15 TVC,Telstra - Warmun is better on a better network 15 TVC,Telstra - Warmun is better on a better network 15 TVC,Telstra - Warmun is better on a better network 15 TVC,Telstra - Warmun is better on a better network 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.4507,0.4813,0.25,0.489,0.4416,0.4653,0.4324,0.293,0.3627,0.5111,0.7607,0.6359
0.1,0.4886,0.4929,0.2511,0.5114,0.4639,0.4876,0.4461,0.2892,0.3676,0.5379,0.7625,0.6502
0.2,0.5236,0.5047,0.2588,0.5323,0.4871,0.5097,0.4614,0.29,0.3757,0.5651,0.7638,0.6644
0.3,0.5555,0.5169,0.2721,0.5519,0.5104,0.5311,0.4782,0.2951,0.3867,0.5906,0.7641,0.6773
0.4,0.5852,0.5298,0.2904,0.5709,0.5333,0.5521,0.4967,0.3045,0.4006,0.6137,0.7632,0.6884
0.5,0.6125,0.5437,0.3127,0.5894,0.5553,0.5724,0.5166,0.3177,0.4171,0.6347,0.7607,0.6977
0.6,0.6368,0.5588,0.3379,0.6076,0.5757,0.5916,0.5372,0.3342,0.4357,0.6538,0.7565,0.7051
0.7,0.6579,0.5751,0.3647,0.6255,0.5937,0.6096,0.5576,0.354,0.4558,0.671,0.7506,0.7108
0.8,0.676,0.5929,0.3919,0.6433,0.6091,0.6262,0.5767,0.3768,0.4767,0.6858,0.7434,0.7146
0.9,0.6919,0.6119,0.419,0.6606,0.6215,0.641,0.5937,0.4023,0.498,0.6979,0.735,0.7165
1,0.7058,0.6316,0.4455,0.6769,0.6305,0.6537,0.6087,0.4296,0.5191,0.7069,0.7253,0.7161
1.1,0.7171,0.6509,0.4704,0.6918,0.6357,0.6638,0.6214,0.4572,0.5393,0.7126,0.7142,0.7134
1.2,0.7253,0.6686,0.493,0.7048,0.6368,0.6708,0.6319,0.4838,0.5578,0.7146,0.7016,0.7081
1.3,0.7299,0.6838,0.5126,0.7156,0.6334,0.6745,0.6399,0.5088,0.5744,0.7125,0.6875,0.7
1.4,0.731,0.6963,0.529,0.724,0.6255,0.6747,0.6457,0.5318,0.5888,0.7057,0.6718,0.6887
1.5,0.7289,0.7059,0.5417,0.7298,0.6134,0.6716,0.6493,0.5526,0.601,0.6939,0.6541,0.674
1.6,0.7238,0.7129,0.5501,0.7331,0.5978,0.6655,0.6513,0.5706,0.6109,0.6774,0.6346,0.656
1.7,0.716,0.7174,0.5541,0.7345,0.5796,0.6571,0.6523,0.5853,0.6188,0.657,0.6137,0.6353
1.8,0.706,0.7202,0.5544,0.7348,0.56,0.6474,0.6532,0.5976,0.6254,0.6336,0.5922,0.6129
1.9,0.695,0.7217,0.5522,0.7348,0.54,0.6374,0.6551,0.6088,0.6319,0.6085,0.5714,0.59
2,0.6838,0.7226,0.5488,0.7353,0.5205,0.6279,0.6589,0.6201,0.6395,0.5829,0.5522,0.5675
2.1,0.6717,0.7229,0.5449,0.7367,0.5022,0.6194,0.6651,0.632,0.6485,0.5578,0.5347,0.5462
2.2,0.6577,0.7226,0.5404,0.7389,0.4854,0.6121,0.6737,0.644,0.6588,0.5343,0.5189,0.5266
2.3,0.6413,0.7217,0.5356,0.7417,0.4702,0.6059,0.6845,0.6553,0.6699,0.5129,0.5049,0.5089
2.4,0.6226,0.7201,0.5312,0.7445,0.4565,0.6005,0.6972,0.6656,0.6814,0.494,0.4928,0.4934
2.5,0.6016,0.7179,0.5274,0.7467,0.4446,0.5956,0.7111,0.6747,0.6929,0.4777,0.4826,0.4802
2.6,0.5782,0.715,0.5241,0.7475,0.4344,0.5909,0.725,0.6821,0.7036,0.4642,0.4745,0.4693
2.7,0.5523,0.711,0.5211,0.7457,0.4258,0.5858,0.7377,0.6872,0.7125,0.4538,0.4685,0.4611
2.8,0.5235,0.7051,0.5178,0.7405,0.4184,0.5794,0.7483,0.689,0.7186,0.4469,0.4647,0.4558
2.9,0.4922,0.6972,0.5139,0.7315,0.4114,0.5714,0.7564,0.6864,0.7214,0.4438,0.4631,0.4534
3,0.4593,0.6874,0.5097,0.7192,0.4042,0.5617,0.762,0.6794,0.7207,0.4441,0.4638,0.454
3.1,0.4264,0.6757,0.5055,0.7046,0.397,0.5508,0.7654,0.6681,0.7167,0.4478,0.4666,0.4572
3.2,0.3947,0.6623,0.5024,0.6881,0.39,0.5391,0.7665,0.6532,0.7098,0.4543,0.4717,0.463
3.3,0.3643,0.6472,0.5006,0.6697,0.3834,0.5266,0.7651,0.6353,0.7002,0.4633,0.479,0.4712
3.4,0.3352,0.6305,0.4999,0.6492,0.3773,0.5133,0.7614,0.6152,0.6883,0.4749,0.4887,0.4818
3.5,0.3085,0.6129,0.5,0.6272,0.3716,0.4994,0.7556,0.5942,0.6749,0.4888,0.5006,0.4947
3.6,0.2852,0.5959,0.5009,0.6048,0.3664,0.4856,0.7479,0.5736,0.6608,0.5047,0.5144,0.5096
3.7,0.2662,0.5809,0.5027,0.5831,0.3617,0.4724,0.7388,0.5542,0.6465,0.522,0.5294,0.5257
3.8,0.2512,0.5697,0.5052,0.5635,0.358,0.4607,0.7286,0.5363,0.6325,0.5397,0.5449,0.5423
3.9,0.2394,0.5631,0.5084,0.5468,0.3556,0.4512,0.7172,0.5207,0.619,0.557,0.5603,0.5587
4,0.2301,0.5616,0.5122,0.5338,0.3551,0.4444,0.7045,0.5079,0.6062,0.5729,0.575,0.5739
4.1,0.2245,0.5652,0.5161,0.5246,0.3565,0.4406,0.6904,0.4981,0.5943,0.5859,0.5884,0.5872
4.2,0.2236,0.5731,0.5201,0.5193,0.3599,0.4396,0.6751,0.4914,0.5832,0.5951,0.6,0.5976
4.3,0.2275,0.5845,0.524,0.5173,0.3648,0.441,0.6587,0.4872,0.573,0.5997,0.6093,0.6045
4.4,0.2351,0.5985,0.5275,0.5185,0.3706,0.4446,0.6417,0.4847,0.5632,0.5992,0.6157,0.6075
4.5,0.244,0.6141,0.5303,0.5231,0.3774,0.4502,0.6244,0.4836,0.554,0.5939,0.6189,0.6064
4.6,0.2523,0.6315,0.5322,0.5315,0.385,0.4582,0.607,0.4838,0.5454,0.5839,0.6183,0.6011
4.7,0.2595,0.6505,0.5327,0.5439,0.394,0.4689,0.5895,0.4859,0.5377,0.5699,0.6137,0.5918
4.8,0.2652,0.6708,0.5316,0.5602,0.4046,0.4824,0.5724,0.4898,0.5311,0.5525,0.6057,0.5791
4.9,0.2688,0.692,0.5288,0.5798,0.4176,0.4987,0.5561,0.496,0.5261,0.5335,0.5954,0.5645
5,0.2701,0.7134,0.5246,0.6018,0.4338,0.5178,0.5418,0.5047,0.5232,0.5143,0.5843,0.5493
5.1,0.2694,0.7344,0.5196,0.6258,0.4533,0.5396,0.5298,0.5161,0.5229,0.4962,0.5731,0.5346
5.2,0.2673,0.7543,0.5142,0.6511,0.4763,0.5637,0.5202,0.5295,0.5248,0.4797,0.5621,0.5209
5.3,0.2646,0.7722,0.5081,0.6767,0.5022,0.5895,0.5125,0.5439,0.5282,0.4652,0.5514,0.5083
5.4,0.2611,0.7871,0.5009,0.7012,0.5302,0.6157,0.5056,0.5577,0.5317,0.4525,0.5403,0.4964
5.5,0.2561,0.7981,0.4921,0.7236,0.559,0.6413,0.4987,0.5699,0.5343,0.4418,0.5285,0.4852
5.6,0.2492,0.8048,0.4816,0.7428,0.5876,0.6652,0.4914,0.58,0.5357,0.4331,0.5159,0.4745
5.7,0.2404,0.8069,0.4697,0.7581,0.6147,0.6864,0.4836,0.588,0.5358,0.4265,0.5026,0.4646
5.8,0.2302,0.8045,0.4566,0.7686,0.6397,0.7042,0.4752,0.5935,0.5344,0.4219,0.489,0.4555
5.9,0.2184,0.7981,0.4424,0.7741,0.6624,0.7182,0.466,0.596,0.531,0.42,0.4754,0.4477
6,0.2038,0.7882,0.4272,0.7748,0.6827,0.7288,0.4563,0.5949,0.5256,0.4215,0.4625,0.442
6.1,0.185,0.7754,0.4114,0.7717,0.701,0.7363,0.447,0.5903,0.5186,0.4267,0.4513,0.439
6.2,0.1603,0.7608,0.3958,0.7657,0.718,0.7418,0.4393,0.5826,0.5109,0.4356,0.4423,0.439
6.3,0.1287,0.7454,0.3815,0.7578,0.7344,0.7461,0.4344,0.5727,0.5036,0.4474,0.436,0.4417
6.4,0.0905,0.7301,0.3694,0.7489,0.7513,0.7501,0.4334,0.5616,0.4975,0.4609,0.4327,0.4468
6.5,0.0463,0.7156,0.3605,0.7396,0.7694,0.7545,0.4367,0.5503,0.4935,0.4755,0.4323,0.4539
6.6,-0.0038,0.7023,0.3554,0.7297,0.7888,0.7593,0.4444,0.5398,0.4921,0.4908,0.4349,0.4628
6.7,-0.0589,0.6903,0.3541,0.719,0.8089,0.764,0.4561,0.5309,0.4935,0.5065,0.4404,0.4734
6.8,-0.1165,0.6804,0.3566,0.7075,0.829,0.7682,0.471,0.5241,0.4975,0.5222,0.4487,0.4855
6.9,-0.1737,0.6737,0.3622,0.6959,0.8483,0.7721,0.4878,0.5194,0.5036,0.537,0.4591,0.4981
7,-0.2287,0.6712,0.3701,0.6854,0.8665,0.7759,0.5052,0.5168,0.511,0.5496,0.4705,0.5101
7.1,-0.2801,0.673,0.3793,0.6766,0.8831,0.7799,0.5225,0.516,0.5193,0.5589,0.4821,0.5205
7.2,-0.3274,0.6777,0.3891,0.6698,0.8984,0.7841,0.5392,0.5174,0.5283,0.5646,0.4932,0.5289
7.3,-0.3691,0.6841,0.3994,0.6649,0.9124,0.7886,0.5548,0.5211,0.5379,0.5669,0.5039,0.5354
7.4,-0.403,0.6909,0.41,0.6616,0.9247,0.7932,0.5688,0.5268,0.5478,0.5662,0.5138,0.54
7.5,-0.4276,0.6977,0.4205,0.66,0.9347,0.7973,0.5811,0.534,0.5575,0.563,0.5225,0.5428
7.6,-0.4436,0.7042,0.4309,0.6597,0.9418,0.8007,0.5912,0.542,0.5666,0.5575,0.5294,0.5434
7.7,-0.4532,0.7101,0.441,0.6604,0.9453,0.8029,0.5993,0.5501,0.5747,0.5501,0.5338,0.5419
7.8,-0.4579,0.7152,0.4506,0.6619,0.9452,0.8035,0.6058,0.5584,0.5821,0.5411,0.5357,0.5384
7.9,-0.458,0.7197,0.4598,0.6642,0.9415,0.8028,0.611,0.5669,0.589,0.5311,0.5352,0.5332
8,-0.4522,0.7242,0.4682,0.6674,0.9348,0.8011,0.6148,0.5759,0.5954,0.5205,0.5326,0.5266
8.1,-0.4397,0.729,0.4755,0.6712,0.9255,0.7983,0.6172,0.585,0.6011,0.5095,0.5283,0.5189
