Time,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC,Sirena Tuna - Nothing Compares 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1561,0.406,0.8907,0.6759,0.4679,0.5719,0.6627,0.553,0.6078,0.8783,0.7918,0.8351
0.1,-0.1671,0.4324,0.8396,0.6889,0.4733,0.5811,0.6521,0.5518,0.6019,0.8503,0.765,0.8076
0.2,-0.1691,0.4623,0.7756,0.7022,0.4776,0.5899,0.6396,0.5487,0.5942,0.8183,0.7357,0.777
0.3,-0.1597,0.4942,0.7004,0.7153,0.4808,0.5981,0.6251,0.5451,0.5851,0.7824,0.7047,0.7435
0.4,-0.1377,0.5273,0.6172,0.7276,0.4833,0.6055,0.6087,0.5427,0.5757,0.7439,0.6727,0.7083
0.5,-0.1038,0.559,0.5298,0.7379,0.4849,0.6114,0.5909,0.5423,0.5666,0.7045,0.6413,0.6729
0.6,-0.0623,0.586,0.4422,0.7446,0.4845,0.6145,0.5712,0.5429,0.557,0.6653,0.6115,0.6384
0.7,-0.0189,0.606,0.3581,0.7464,0.481,0.6137,0.5484,0.5423,0.5453,0.6255,0.5823,0.6039
0.8,0.024,0.6184,0.2814,0.7429,0.4741,0.6085,0.5225,0.5384,0.5305,0.5845,0.5524,0.5685
0.9,0.0671,0.6236,0.2175,0.734,0.4643,0.5992,0.4945,0.53,0.5122,0.5425,0.5215,0.532
1,0.1113,0.6217,0.17,0.7192,0.4517,0.5855,0.4658,0.5168,0.4913,0.5007,0.4907,0.4957
1.1,0.1551,0.613,0.1384,0.698,0.4368,0.5674,0.4373,0.4996,0.4685,0.4608,0.4608,0.4608
1.2,0.1971,0.5988,0.1214,0.6713,0.4207,0.546,0.4101,0.4805,0.4453,0.4243,0.4323,0.4283
1.3,0.2365,0.5811,0.1175,0.641,0.4051,0.5231,0.3848,0.4616,0.4232,0.3916,0.4064,0.399
1.4,0.2733,0.5618,0.1249,0.609,0.3924,0.5007,0.3618,0.4442,0.403,0.3624,0.3833,0.3728
1.5,0.3063,0.5417,0.1408,0.5767,0.3839,0.4803,0.3409,0.4289,0.3849,0.3359,0.3629,0.3494
1.6,0.3339,0.5209,0.1615,0.545,0.3797,0.4623,0.3224,0.4156,0.369,0.3126,0.3451,0.3289
1.7,0.355,0.4989,0.1839,0.5146,0.3782,0.4464,0.3065,0.404,0.3553,0.2939,0.3304,0.3121
1.8,0.3699,0.4759,0.2066,0.4861,0.3785,0.4323,0.2939,0.3938,0.3438,0.2808,0.3194,0.3001
1.9,0.3788,0.453,0.2298,0.4604,0.3802,0.4203,0.2849,0.385,0.3349,0.2737,0.3123,0.293
2,0.3813,0.4313,0.254,0.4379,0.383,0.4105,0.2802,0.378,0.3291,0.2726,0.3093,0.2909
2.1,0.3767,0.4114,0.2792,0.4186,0.3858,0.4022,0.2802,0.3737,0.327,0.2771,0.3108,0.2939
2.2,0.3643,0.3937,0.3048,0.4024,0.3879,0.3952,0.285,0.3732,0.3291,0.2867,0.3163,0.3015
2.3,0.3447,0.3793,0.3311,0.3903,0.3904,0.3904,0.2946,0.3766,0.3356,0.3012,0.325,0.3131
2.4,0.3192,0.3694,0.3588,0.3831,0.3949,0.389,0.3083,0.3837,0.346,0.3196,0.3357,0.3277
2.5,0.2883,0.3652,0.3889,0.3808,0.4018,0.3913,0.3256,0.3939,0.3598,0.3414,0.3476,0.3445
2.6,0.2529,0.3671,0.4217,0.3831,0.4105,0.3968,0.3456,0.4068,0.3762,0.3658,0.3605,0.3631
