Time,TK Max Christmas 2024 15 TVC,TK Max Christmas 2024 15 TVC,TK Max Christmas 2024 15 TVC,TK Max Christmas 2024 15 TVC,TK Max Christmas 2024 15 TVC,TK Max Christmas 2024 15 TVC,TK Max Christmas 2024 15 TVC,TK Max Christmas 2024 15 TVC,TK Max Christmas 2024 15 TVC,TK Max Christmas 2024 15 TVC,TK Max Christmas 2024 15 TVC,TK Max Christmas 2024 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.2477,0.905,0.065,0.7946,1.289,1.0418,0.6115,0.9844,0.798,0.4684,0.5461,0.5072
0.1,-0.1924,0.8433,0.0897,0.7582,1.2063,0.9822,0.6321,0.9898,0.8109,0.4538,0.5619,0.5079
0.2,-0.1284,0.7766,0.1187,0.7202,1.1157,0.918,0.6466,0.9854,0.816,0.4382,0.572,0.5051
0.3,-0.0675,0.7103,0.1504,0.6835,1.0259,0.8547,0.6561,0.9735,0.8148,0.4232,0.5759,0.4995
0.4,-0.0174,0.6491,0.1833,0.6505,0.943,0.7968,0.6611,0.9568,0.809,0.4107,0.5738,0.4922
0.5,0.0189,0.595,0.2156,0.6218,0.8708,0.7463,0.6611,0.9377,0.7994,0.402,0.566,0.484
0.6,0.0396,0.5484,0.2455,0.5974,0.8112,0.7043,0.6565,0.9175,0.787,0.3971,0.5539,0.4755
0.7,0.0455,0.5089,0.2716,0.5769,0.7643,0.6706,0.6481,0.8965,0.7723,0.396,0.54,0.468
0.8,0.0416,0.4758,0.2936,0.5596,0.7274,0.6435,0.6373,0.8751,0.7562,0.3995,0.527,0.4632
0.9,0.0351,0.4489,0.3111,0.5443,0.6968,0.6206,0.6245,0.8546,0.7395,0.4078,0.5167,0.4623
1,0.0313,0.4284,0.3239,0.531,0.6699,0.6005,0.6102,0.8363,0.7233,0.4198,0.5091,0.4644
1.1,0.0331,0.4152,0.3316,0.5203,0.6465,0.5834,0.595,0.8209,0.7079,0.4339,0.5036,0.4687
1.2,0.0404,0.4103,0.3349,0.5132,0.6284,0.5708,0.579,0.8087,0.6938,0.4491,0.5,0.4746
1.3,0.0507,0.4136,0.336,0.5105,0.6169,0.5637,0.5637,0.8008,0.6823,0.4649,0.4983,0.4816
1.4,0.0634,0.4243,0.3374,0.5127,0.6126,0.5626,0.5507,0.7982,0.6744,0.481,0.499,0.49
1.5,0.0802,0.4414,0.341,0.5198,0.615,0.5674,0.5407,0.8004,0.6705,0.4968,0.502,0.4994
1.6,0.1021,0.4635,0.3472,0.5315,0.6232,0.5773,0.5336,0.806,0.6698,0.5119,0.5069,0.5094
1.7,0.1274,0.4892,0.3552,0.5467,0.6365,0.5916,0.5292,0.8134,0.6713,0.5258,0.5135,0.5196
1.8,0.1527,0.5171,0.3636,0.5636,0.654,0.6088,0.5273,0.8213,0.6743,0.5384,0.5215,0.53
1.9,0.1742,0.5449,0.3718,0.5804,0.6743,0.6274,0.5276,0.8287,0.6782,0.5496,0.5307,0.5402
2,0.189,0.5712,0.3798,0.5956,0.6954,0.6455,0.5304,0.8349,0.6827,0.5595,0.5409,0.5502
2.1,0.1967,0.5948,0.3887,0.6092,0.7156,0.6624,0.5356,0.8393,0.6875,0.5684,0.5522,0.5603
2.2,0.1996,0.6153,0.3993,0.6216,0.7348,0.6782,0.5429,0.8417,0.6923,0.5766,0.5648,0.5707
