Time,Toyota - Team everyone 30 TVC,Toyota - Team everyone 30 TVC,Toyota - Team everyone 30 TVC,Toyota - Team everyone 30 TVC,Toyota - Team everyone 30 TVC,Toyota - Team everyone 30 TVC,Toyota - Team everyone 30 TVC,Toyota - Team everyone 30 TVC,Toyota - Team everyone 30 TVC,Toyota - Team everyone 30 TVC,Toyota - Team everyone 30 TVC,Toyota - Team everyone 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.4493,0.5702,0.611,0.4976,0.6495,0.5736,0.4037,0.5755,0.4896,0.2866,0.3348,0.3107
0.1,-0.4676,0.5811,0.647,0.4705,0.6531,0.5618,0.4055,0.5907,0.4981,0.2814,0.3484,0.3149
0.2,-0.4846,0.5903,0.6778,0.4413,0.655,0.5481,0.4041,0.6013,0.5027,0.2807,0.3635,0.3221
0.3,-0.5008,0.5982,0.7035,0.4116,0.6559,0.5337,0.3997,0.6077,0.5037,0.2836,0.3798,0.3317
0.4,-0.5155,0.6058,0.7243,0.3835,0.6569,0.5202,0.393,0.6099,0.5015,0.2894,0.3969,0.3432
0.5,-0.5277,0.6136,0.7401,0.3585,0.6588,0.5087,0.3848,0.6078,0.4963,0.2974,0.4147,0.356
0.6,-0.5374,0.6219,0.7515,0.3377,0.6622,0.5,0.3757,0.6017,0.4887,0.3072,0.4328,0.37
0.7,-0.5453,0.6309,0.7598,0.3219,0.6675,0.4947,0.3672,0.5923,0.4797,0.3188,0.4513,0.3851
0.8,-0.5522,0.6404,0.7666,0.3117,0.6746,0.4932,0.3609,0.5812,0.471,0.3329,0.4705,0.4017
0.9,-0.5585,0.6502,0.7731,0.3076,0.683,0.4953,0.3581,0.5696,0.4639,0.3496,0.4907,0.4202
1,-0.5632,0.6604,0.7797,0.3102,0.6919,0.501,0.3597,0.5584,0.4591,0.3682,0.5111,0.4396
1.1,-0.5659,0.6711,0.7861,0.3192,0.7001,0.5097,0.3665,0.5482,0.4574,0.3872,0.5299,0.4586
1.2,-0.568,0.6825,0.7925,0.3339,0.7066,0.5203,0.3795,0.5398,0.4596,0.4066,0.5462,0.4764
1.3,-0.5711,0.6944,0.8002,0.3532,0.7114,0.5323,0.3993,0.5343,0.4668,0.427,0.5604,0.4937
1.4,-0.5764,0.7066,0.811,0.3761,0.7154,0.5457,0.4257,0.5326,0.4792,0.4495,0.5729,0.5112
1.5,-0.5846,0.7191,0.8257,0.4013,0.7199,0.5606,0.4575,0.5355,0.4965,0.4743,0.5837,0.529
1.6,-0.5973,0.7325,0.8433,0.4271,0.7259,0.5765,0.493,0.5429,0.5179,0.5,0.592,0.546
1.7,-0.6161,0.7473,0.8622,0.4524,0.7343,0.5934,0.5299,0.5544,0.5422,0.5253,0.5977,0.5615
1.8,-0.6411,0.7637,0.8806,0.4761,0.745,0.6106,0.5666,0.5689,0.5678,0.5494,0.6016,0.5755
1.9,-0.6701,0.7813,0.8967,0.4974,0.7569,0.6271,0.6019,0.5853,0.5936,0.5714,0.6039,0.5877
2,-0.699,0.7995,0.9088,0.5153,0.7691,0.6422,0.6342,0.6021,0.6181,0.5909,0.6048,0.5978
2.1,-0.7252,0.8179,0.916,0.5295,0.7811,0.6553,0.6619,0.6183,0.6401,0.607,0.6036,0.6053
2.2,-0.7477,0.8361,0.9181,0.5397,0.7927,0.6662,0.6846,0.6335,0.659,0.6192,0.6005,0.6098
2.3,-0.7665,0.8542,0.9159,0.5461,0.8039,0.675,0.7029,0.6481,0.6755,0.6283,0.5962,0.6123
2.4,-0.7811,0.8722,0.91,0.5492,0.8146,0.6819,0.718,0.663,0.6905,0.6356,0.5917,0.6137
2.5,-0.7903,0.8903,0.9006,0.5496,0.8249,0.6873,0.7307,0.6779,0.7043,0.6422,0.5875,0.6149
2.6,-0.7928,0.908,0.8883,0.5475,0.835,0.6913,0.7412,0.6919,0.7166,0.6489,0.5835,0.6162
2.7,-0.7883,0.9246,0.8733,0.5436,0.8451,0.6943,0.7499,0.7042,0.7271,0.6556,0.5791,0.6174
2.8,-0.7775,0.9397,0.8554,0.5384,0.8549,0.6966,0.7572,0.7144,0.7358,0.6624,0.5738,0.6181
2.9,-0.7619,0.9525,0.8349,0.5325,0.8638,0.6982,0.7631,0.7228,0.7429,0.6691,0.5673,0.6182
3,-0.7429,0.9629,0.8119,0.5266,0.8714,0.699,0.7678,0.7296,0.7487,0.6761,0.5598,0.6179
3.1,-0.7208,0.971,0.7873,0.5209,0.8776,0.6992,0.7716,0.7353,0.7534,0.6833,0.5514,0.6173
3.2,-0.696,0.9772,0.762,0.5163,0.8823,0.6993,0.7745,0.7396,0.757,0.6904,0.5426,0.6165
3.3,-0.6678,0.9812,0.7359,0.5132,0.8852,0.6992,0.7761,0.7419,0.759,0.6968,0.5333,0.615
3.4,-0.6355,0.9824,0.7092,0.5117,0.8857,0.6987,0.7762,0.7417,0.759,0.7018,0.5235,0.6126
3.5,-0.5987,0.9801,0.6826,0.512,0.8829,0.6975,0.7746,0.7391,0.7568,0.7048,0.513,0.6089
3.6,-0.5575,0.9737,0.6568,0.5137,0.8764,0.695,0.7715,0.7344,0.753,0.7052,0.5015,0.6034
3.7,-0.5125,0.9626,0.6319,0.516,0.8658,0.6909,0.7671,0.728,0.7476,0.7032,0.4891,0.5962
3.8,-0.4647,0.9466,0.6081,0.5191,0.851,0.6851,0.7618,0.7204,0.7411,0.6993,0.4762,0.5878
3.9,-0.4158,0.9256,0.5859,0.523,0.8321,0.6776,0.7557,0.7122,0.734,0.694,0.4634,0.5787
4,-0.3674,0.8996,0.566,0.5274,0.8088,0.6681,0.7495,0.704,0.7267,0.688,0.4505,0.5693
4.1,-0.3206,0.8689,0.5484,0.5311,0.7809,0.656,0.7434,0.6963,0.7198,0.682,0.438,0.56
4.2,-0.2763,0.8337,0.5319,0.5329,0.7485,0.6407,0.7379,0.689,0.7134,0.6767,0.4261,0.5514
4.3,-0.2349,0.7951,0.5147,0.532,0.7123,0.6221,0.7331,0.6815,0.7073,0.6725,0.4155,0.544
4.4,-0.1962,0.7542,0.4954,0.528,0.6733,0.6007,0.7291,0.6735,0.7013,0.6694,0.4059,0.5377
4.5,-0.1596,0.713,0.4743,0.5218,0.6331,0.5774,0.7261,0.6644,0.6953,0.6671,0.3972,0.5322
4.6,-0.1251,0.6735,0.4529,0.5146,0.5934,0.554,0.7244,0.6542,0.6893,0.6651,0.3896,0.5274
4.7,-0.0924,0.6373,0.4322,0.5083,0.556,0.5322,0.7238,0.6428,0.6833,0.6629,0.3835,0.5232
4.8,-0.0615,0.6059,0.4113,0.5044,0.5223,0.5134,0.724,0.6304,0.6772,0.6602,0.3789,0.5195
4.9,-0.032,0.5799,0.389,0.5036,0.493,0.4983,0.7247,0.6173,0.671,0.6571,0.3756,0.5163
5,-0.0031,0.5598,0.3645,0.5061,0.4681,0.4871,0.7263,0.6039,0.6651,0.654,0.3735,0.5138
5.1,0.0259,0.5456,0.3386,0.5117,0.4473,0.4795,0.7286,0.5907,0.6597,0.6518,0.3731,0.5124
5.2,0.0558,0.5375,0.3132,0.5206,0.4311,0.4758,0.7318,0.5783,0.655,0.651,0.3751,0.5131
5.3,0.087,0.5351,0.2902,0.5331,0.4197,0.4764,0.7353,0.5673,0.6513,0.6521,0.3802,0.5161
5.4,0.1188,0.5384,0.2706,0.5498,0.4139,0.4818,0.7391,0.558,0.6486,0.6554,0.3884,0.5219
5.5,0.1499,0.5469,0.2551,0.5706,0.4135,0.4921,0.7436,0.5512,0.6474,0.6614,0.3997,0.5305
5.6,0.1796,0.5603,0.2445,0.5951,0.4183,0.5067,0.7498,0.5469,0.6484,0.6705,0.4138,0.5422
5.7,0.2078,0.5774,0.2392,0.6219,0.4274,0.5246,0.7581,0.5451,0.6516,0.6832,0.4301,0.5567
5.8,0.2355,0.5963,0.2393,0.6491,0.4399,0.5445,0.7673,0.5446,0.656,0.6986,0.448,0.5733
5.9,0.2631,0.6155,0.2442,0.6753,0.4553,0.5653,0.7759,0.5443,0.6601,0.715,0.4663,0.5907
6,0.2901,0.6337,0.2527,0.6995,0.4727,0.5861,0.7829,0.5433,0.6631,0.7309,0.4843,0.6076
6.1,0.3149,0.6504,0.2642,0.7216,0.4906,0.6061,0.788,0.5415,0.6647,0.7451,0.5011,0.6231
6.2,0.3356,0.6649,0.2787,0.7411,0.5071,0.6241,0.7914,0.539,0.6652,0.7567,0.5161,0.6364
6.3,0.3507,0.6768,0.296,0.7575,0.5208,0.6391,0.7928,0.5362,0.6645,0.7656,0.5291,0.6473
6.4,0.3599,0.6862,0.3159,0.77,0.5314,0.6507,0.7915,0.5334,0.6624,0.7716,0.5396,0.6556
6.5,0.363,0.6932,0.338,0.7785,0.5399,0.6592,0.7873,0.5306,0.659,0.7748,0.548,0.6614
6.6,0.3605,0.6983,0.3613,0.7833,0.5473,0.6653,0.7805,0.5282,0.6543,0.7751,0.5541,0.6646
6.7,0.3534,0.7008,0.3843,0.7848,0.5537,0.6692,0.7718,0.5263,0.649,0.7721,0.558,0.6651
6.8,0.3431,0.6997,0.4056,0.7833,0.5585,0.6709,0.7618,0.525,0.6434,0.7656,0.5597,0.6627
6.9,0.3298,0.6943,0.4241,0.7791,0.5611,0.6701,0.7509,0.5242,0.6376,0.7556,0.5591,0.6574
7,0.3135,0.6848,0.4395,0.7719,0.5612,0.6666,0.7396,0.5241,0.6318,0.7423,0.5564,0.6493
7.1,0.2942,0.6719,0.452,0.7619,0.5591,0.6605,0.7282,0.5248,0.6265,0.7261,0.552,0.6391
7.2,0.2722,0.6565,0.4618,0.7493,0.5552,0.6523,0.717,0.5264,0.6217,0.7079,0.5467,0.6273
7.3,0.2479,0.639,0.4693,0.7341,0.5502,0.6421,0.7058,0.5286,0.6172,0.6882,0.5407,0.6144
7.4,0.2215,0.6195,0.4744,0.7159,0.5447,0.6303,0.6948,0.5305,0.6126,0.6674,0.5342,0.6008
7.5,0.1934,0.5982,0.4772,0.6945,0.5393,0.6169,0.6837,0.5317,0.6077,0.6463,0.5275,0.5869
7.6,0.1638,0.5755,0.4775,0.6698,0.5343,0.6021,0.6722,0.5318,0.602,0.6253,0.521,0.5732
7.7,0.1329,0.5519,0.4758,0.6423,0.5297,0.586,0.6598,0.531,0.5954,0.6046,0.5152,0.5599
7.8,0.1016,0.5276,0.4727,0.6124,0.5251,0.5688,0.646,0.5291,0.5876,0.5841,0.5103,0.5472
7.9,0.0703,0.5029,0.4687,0.5808,0.5205,0.5507,0.6307,0.5262,0.5784,0.5645,0.5073,0.5359
8,0.0392,0.4781,0.4644,0.5478,0.5161,0.5319,0.6144,0.5222,0.5683,0.5468,0.5075,0.5271
8.1,0.0083,0.4537,0.4601,0.5135,0.512,0.5127,0.5978,0.5179,0.5578,0.5324,0.5119,0.5222
8.2,-0.0222,0.4303,0.4559,0.4781,0.5084,0.4932,0.5812,0.5139,0.5475,0.5222,0.5216,0.5219
8.3,-0.0517,0.4083,0.4522,0.4423,0.5052,0.4737,0.5651,0.5105,0.5378,0.5162,0.5362,0.5262
8.4,-0.079,0.3884,0.4493,0.407,0.5025,0.4547,0.5502,0.5077,0.5289,0.5137,0.5545,0.5341
8.5,-0.1031,0.3707,0.4475,0.3735,0.5006,0.437,0.537,0.5044,0.5207,0.5138,0.5749,0.5443
8.6,-0.1242,0.3557,0.4473,0.343,0.4998,0.4214,0.5252,0.5001,0.5126,0.5151,0.596,0.5555
8.7,-0.1428,0.3436,0.4486,0.3169,0.5005,0.4087,0.5146,0.4949,0.5047,0.5167,0.6166,0.5667
8.8,-0.1594,0.3346,0.4514,0.2961,0.5021,0.3991,0.5054,0.4894,0.4974,0.5181,0.6356,0.5769
8.9,-0.174,0.329,0.455,0.2813,0.5041,0.3927,0.4985,0.4843,0.4914,0.5189,0.6516,0.5853
9,-0.1856,0.3268,0.4591,0.2727,0.5061,0.3894,0.4945,0.4801,0.4873,0.5193,0.6634,0.5913
9.1,-0.1926,0.3281,0.4633,0.2705,0.5085,0.3895,0.4934,0.4774,0.4854,0.5191,0.6702,0.5947
9.2,-0.1935,0.3329,0.4669,0.2749,0.5118,0.3934,0.4939,0.4761,0.485,0.518,0.6723,0.5951
9.3,-0.1872,0.3417,0.4696,0.2856,0.5165,0.4011,0.4953,0.4762,0.4858,0.5155,0.6697,0.5926
9.4,-0.1735,0.3545,0.4714,0.302,0.522,0.412,0.4976,0.4775,0.4875,0.512,0.6629,0.5875
9.5,-0.1534,0.3712,0.4727,0.3227,0.5276,0.4251,0.5019,0.4796,0.4908,0.5085,0.6528,0.5807
9.6,-0.1289,0.3917,0.4736,0.3463,0.5328,0.4395,0.5089,0.4824,0.4956,0.5056,0.64,0.5728
9.7,-0.1018,0.4161,0.4743,0.3715,0.538,0.4548,0.5179,0.4852,0.5016,0.503,0.625,0.564
9.8,-0.0738,0.4435,0.4747,0.3972,0.5435,0.4704,0.5275,0.4876,0.5076,0.5,0.6081,0.5541
