Time,Sorbent - Behind Every Great Australian 60 TVC,Sorbent - Behind Every Great Australian 60 TVC,Sorbent - Behind Every Great Australian 60 TVC,Sorbent - Behind Every Great Australian 60 TVC,Sorbent - Behind Every Great Australian 60 TVC,Sorbent - Behind Every Great Australian 60 TVC,Sorbent - Behind Every Great Australian 60 TVC,Sorbent - Behind Every Great Australian 60 TVC,Sorbent - Behind Every Great Australian 60 TVC,Sorbent - Behind Every Great Australian 60 TVC,Sorbent - Behind Every Great Australian 60 TVC,Sorbent - Behind Every Great Australian 60 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1844,0.3974,0.5857,0.3296,0.2089,0.2693,0.3353,0.353,0.3441,0.5332,0.7818,0.6575
0.1,0.0729,0.3912,0.5905,0.3351,0.214,0.2745,0.3337,0.3598,0.3468,0.5199,0.7638,0.6418
0.2,-0.0263,0.385,0.5932,0.3407,0.219,0.2799,0.3359,0.3704,0.3532,0.5065,0.744,0.6252
0.3,-0.1118,0.3782,0.5935,0.3462,0.2233,0.2847,0.3413,0.3833,0.3623,0.4933,0.7235,0.6084
0.4,-0.1822,0.3702,0.5912,0.3509,0.2262,0.2885,0.3494,0.397,0.3732,0.4806,0.7034,0.592
0.5,-0.2381,0.3608,0.5865,0.3547,0.2272,0.291,0.3602,0.4103,0.3853,0.4687,0.6845,0.5766
0.6,-0.2811,0.3499,0.579,0.3574,0.2263,0.2919,0.3734,0.4223,0.3979,0.4581,0.6671,0.5626
0.7,-0.3138,0.3379,0.5678,0.3587,0.2238,0.2913,0.3888,0.4323,0.4106,0.4494,0.6508,0.5501
0.8,-0.3391,0.3257,0.5528,0.3587,0.2205,0.2896,0.4055,0.4399,0.4227,0.4429,0.6353,0.5391
0.9,-0.3596,0.3134,0.5348,0.357,0.2173,0.2872,0.4226,0.4452,0.4339,0.4385,0.6203,0.5294
1,-0.3766,0.3013,0.5158,0.354,0.2154,0.2847,0.4392,0.4489,0.4441,0.4359,0.6059,0.5209
1.1,-0.3902,0.2895,0.4969,0.3502,0.2156,0.2829,0.4556,0.4519,0.4537,0.435,0.5923,0.5136
1.2,-0.3997,0.2782,0.4789,0.3464,0.2186,0.2825,0.4719,0.4545,0.4632,0.4363,0.5797,0.508
1.3,-0.4044,0.2678,0.4624,0.343,0.2245,0.2837,0.4876,0.4571,0.4723,0.4405,0.5685,0.5045
1.4,-0.4046,0.2581,0.4478,0.3397,0.2326,0.2862,0.5018,0.4593,0.4806,0.4479,0.5591,0.5035
1.5,-0.4018,0.2488,0.4349,0.3363,0.2422,0.2892,0.5135,0.4609,0.4872,0.4582,0.5519,0.5051
1.6,-0.3974,0.2395,0.423,0.3325,0.2519,0.2922,0.5224,0.4615,0.492,0.4707,0.5467,0.5087
1.7,-0.3918,0.2305,0.412,0.3284,0.2613,0.2948,0.5288,0.4611,0.4949,0.4845,0.5432,0.5138
1.8,-0.3842,0.222,0.4019,0.3241,0.2705,0.2973,0.5331,0.4599,0.4965,0.4984,0.5409,0.5196
1.9,-0.3736,0.2142,0.3933,0.3195,0.2797,0.2996,0.5355,0.4583,0.4969,0.5114,0.5391,0.5252
2,-0.3593,0.2073,0.3863,0.3142,0.2881,0.3012,0.5354,0.4561,0.4958,0.523,0.5374,0.5302
2.1,-0.3405,0.2016,0.3813,0.308,0.295,0.3015,0.5326,0.4532,0.4929,0.5326,0.5358,0.5342
2.2,-0.3168,0.1978,0.3783,0.3006,0.3001,0.3003,0.5271,0.4495,0.4883,0.5404,0.5345,0.5374
2.3,-0.2884,0.1969,0.3774,0.2928,0.3032,0.298,0.5194,0.4448,0.4821,0.5467,0.5334,0.54
2.4,-0.256,0.1996,0.3788,0.2856,0.3044,0.295,0.5103,0.4393,0.4748,0.5518,0.5326,0.5422
2.5,-0.2197,0.2063,0.3829,0.2802,0.3043,0.2923,0.5003,0.4331,0.4667,0.5558,0.5319,0.5439
2.6,-0.1792,0.217,0.3896,0.277,0.3029,0.2899,0.4896,0.4263,0.4579,0.5582,0.531,0.5446
2.7,-0.1345,0.2307,0.3985,0.2756,0.2998,0.2877,0.4786,0.4185,0.4485,0.5581,0.5288,0.5434
2.8,-0.086,0.2465,0.4086,0.2758,0.2945,0.2852,0.467,0.4097,0.4383,0.5544,0.5244,0.5394
2.9,-0.0343,0.2638,0.419,0.2778,0.2874,0.2826,0.4549,0.3997,0.4273,0.5466,0.5172,0.5319
3,0.0201,0.2826,0.4285,0.2824,0.2793,0.2808,0.4426,0.3884,0.4155,0.5351,0.5075,0.5213
3.1,0.077,0.3024,0.4362,0.2901,0.2709,0.2805,0.4304,0.3757,0.4031,0.5211,0.4959,0.5085
3.2,0.1356,0.3222,0.4409,0.3007,0.2623,0.2815,0.419,0.3613,0.3902,0.5058,0.4831,0.4945
3.3,0.1937,0.3401,0.4414,0.3128,0.2531,0.283,0.4087,0.3455,0.3771,0.4907,0.4698,0.4803
3.4,0.2483,0.3551,0.4373,0.326,0.2435,0.2847,0.4001,0.3286,0.3644,0.4771,0.4563,0.4667
3.5,0.2961,0.3671,0.4286,0.3404,0.2345,0.2875,0.3936,0.311,0.3523,0.4654,0.4429,0.4542
3.6,0.335,0.3766,0.4163,0.3572,0.2281,0.2926,0.3893,0.2934,0.3413,0.4561,0.4304,0.4433
3.7,0.3643,0.3837,0.4016,0.3769,0.2254,0.3012,0.3868,0.276,0.3314,0.4494,0.4194,0.4344
3.8,0.3843,0.388,0.3859,0.3991,0.2272,0.3132,0.3856,0.2588,0.3222,0.4454,0.4103,0.4279
3.9,0.3952,0.3889,0.3695,0.4228,0.2335,0.3281,0.3849,0.2421,0.3135,0.4444,0.4028,0.4236
4,0.3966,0.3862,0.3527,0.4468,0.2445,0.3456,0.3843,0.2263,0.3053,0.4459,0.3966,0.4213
4.1,0.3882,0.3802,0.3363,0.4708,0.2598,0.3653,0.3837,0.2123,0.298,0.4496,0.3917,0.4206
4.2,0.3708,0.3715,0.3216,0.4946,0.2792,0.3869,0.3835,0.2014,0.2925,0.455,0.3888,0.4219
4.3,0.3455,0.3609,0.3102,0.5182,0.3025,0.4104,0.3842,0.1946,0.2894,0.4625,0.3891,0.4258
4.4,0.3139,0.349,0.3036,0.5417,0.3303,0.436,0.3864,0.1928,0.2896,0.4726,0.3938,0.4332
4.5,0.276,0.3368,0.302,0.5649,0.3625,0.4637,0.3902,0.196,0.2931,0.4857,0.4035,0.4446
4.6,0.2318,0.3248,0.3051,0.5876,0.3981,0.4929,0.3958,0.2038,0.2998,0.5018,0.418,0.4599
4.7,0.1817,0.3131,0.3119,0.6093,0.4349,0.5221,0.403,0.2155,0.3093,0.5202,0.4374,0.4788
4.8,0.1261,0.3016,0.3218,0.6291,0.4711,0.5501,0.4112,0.2305,0.3209,0.5403,0.4612,0.5008
4.9,0.0663,0.2902,0.3342,0.6463,0.5051,0.5757,0.4199,0.2478,0.3339,0.5612,0.4887,0.525
5,0.0043,0.279,0.3489,0.6597,0.5353,0.5975,0.4281,0.2667,0.3474,0.5818,0.5186,0.5502
5.1,-0.0573,0.2678,0.3653,0.668,0.5601,0.614,0.4351,0.286,0.3605,0.601,0.549,0.575
5.2,-0.1166,0.2565,0.3833,0.6703,0.5781,0.6242,0.4401,0.3045,0.3723,0.6181,0.5783,0.5982
5.3,-0.1727,0.2453,0.4026,0.6664,0.5893,0.6279,0.4426,0.3213,0.3819,0.6327,0.6053,0.619
5.4,-0.2254,0.2346,0.4231,0.6571,0.5946,0.6258,0.4424,0.3361,0.3893,0.6445,0.6289,0.6367
5.5,-0.2746,0.2255,0.4448,0.6436,0.5957,0.6197,0.44,0.3487,0.3944,0.653,0.6484,0.6507
5.6,-0.3198,0.219,0.4666,0.6275,0.5937,0.6106,0.436,0.3592,0.3976,0.6578,0.6628,0.6603
5.7,-0.3609,0.2157,0.4877,0.6101,0.5891,0.5996,0.4312,0.3678,0.3995,0.6588,0.6717,0.6652
5.8,-0.3977,0.2159,0.5068,0.5924,0.5821,0.5872,0.4266,0.3742,0.4004,0.6561,0.675,0.6655
5.9,-0.4293,0.2195,0.5237,0.5753,0.5725,0.5739,0.4232,0.3786,0.4009,0.6503,0.6731,0.6617
6,-0.4544,0.226,0.5381,0.5593,0.5595,0.5594,0.4216,0.3807,0.4012,0.6424,0.6664,0.6544
6.1,-0.4711,0.2343,0.5497,0.5444,0.5423,0.5433,0.4219,0.3808,0.4014,0.6331,0.6557,0.6444
6.2,-0.4793,0.2436,0.5574,0.531,0.5204,0.5257,0.4244,0.379,0.4017,0.6234,0.642,0.6327
6.3,-0.4794,0.2536,0.5605,0.5198,0.4945,0.5072,0.4291,0.3757,0.4024,0.6141,0.6261,0.6201
6.4,-0.4725,0.2642,0.559,0.5115,0.4658,0.4887,0.4366,0.3715,0.404,0.6059,0.6088,0.6073
6.5,-0.4597,0.2747,0.5529,0.5063,0.4354,0.4709,0.4465,0.3663,0.4064,0.5982,0.5902,0.5942
6.6,-0.4417,0.2844,0.5429,0.5035,0.4041,0.4538,0.4578,0.3603,0.409,0.5905,0.5704,0.5805
6.7,-0.4188,0.2927,0.5298,0.5024,0.3722,0.4373,0.4695,0.3536,0.4116,0.5823,0.5499,0.5661
6.8,-0.392,0.3001,0.5148,0.5027,0.34,0.4214,0.4814,0.347,0.4142,0.5739,0.5296,0.5517
6.9,-0.3622,0.3075,0.4993,0.5046,0.3084,0.4065,0.4938,0.3412,0.4175,0.566,0.5106,0.5383
7,-0.3295,0.3152,0.4844,0.508,0.278,0.393,0.507,0.3366,0.4218,0.5598,0.4943,0.5271
7.1,-0.2942,0.3228,0.4707,0.5126,0.25,0.3813,0.5206,0.3332,0.4269,0.5558,0.4812,0.5185
7.2,-0.2573,0.3301,0.4585,0.5174,0.2253,0.3713,0.5342,0.3309,0.4326,0.5543,0.4714,0.5128
7.3,-0.2204,0.3375,0.4478,0.5215,0.2051,0.3633,0.5476,0.3294,0.4385,0.5551,0.4645,0.5098
7.4,-0.1861,0.3456,0.4387,0.525,0.1905,0.3578,0.5604,0.329,0.4447,0.5579,0.4604,0.5092
7.5,-0.1568,0.3551,0.4314,0.5284,0.1818,0.3551,0.5726,0.3293,0.451,0.5626,0.4595,0.5111
7.6,-0.1327,0.3659,0.4258,0.5318,0.1791,0.3555,0.5834,0.3303,0.4568,0.5686,0.4615,0.5151
7.7,-0.1137,0.3772,0.4218,0.5352,0.1819,0.3586,0.592,0.3315,0.4617,0.575,0.4662,0.5206
7.8,-0.099,0.388,0.4194,0.5379,0.1891,0.3635,0.5978,0.3329,0.4653,0.5811,0.4729,0.527
7.9,-0.089,0.3977,0.4183,0.5394,0.1994,0.3694,0.6005,0.3343,0.4674,0.5863,0.4808,0.5335
8,-0.0835,0.4064,0.4178,0.5393,0.2115,0.3754,0.6001,0.3355,0.4678,0.5901,0.4894,0.5398
8.1,-0.0824,0.4146,0.417,0.5377,0.2246,0.3812,0.5963,0.3364,0.4664,0.5926,0.4985,0.5455
8.2,-0.0854,0.4229,0.4158,0.5345,0.2394,0.387,0.5895,0.337,0.4632,0.5938,0.5078,0.5508
8.3,-0.0926,0.4317,0.4139,0.5294,0.2563,0.3928,0.5799,0.3373,0.4586,0.5936,0.5167,0.5551
8.4,-0.1044,0.4408,0.4113,0.5219,0.2754,0.3987,0.5684,0.3375,0.4529,0.5915,0.5245,0.558
8.5,-0.1208,0.4498,0.4077,0.5126,0.2964,0.4045,0.5553,0.3377,0.4465,0.587,0.5303,0.5586
8.6,-0.1415,0.4585,0.4028,0.5026,0.3191,0.4108,0.5411,0.3384,0.4397,0.5799,0.5338,0.5569
8.7,-0.1659,0.4665,0.3964,0.4934,0.3434,0.4184,0.5264,0.3397,0.4331,0.5711,0.5351,0.5531
8.8,-0.1927,0.4736,0.3882,0.4858,0.3688,0.4273,0.5119,0.3421,0.427,0.5614,0.5348,0.5481
8.9,-0.22,0.4794,0.3781,0.4799,0.3943,0.4371,0.4982,0.3456,0.4219,0.5518,0.5338,0.5428
9,-0.2464,0.4835,0.3658,0.4753,0.4183,0.4468,0.4853,0.3503,0.4178,0.5431,0.533,0.538
9.1,-0.2712,0.4854,0.3516,0.4714,0.4398,0.4556,0.4733,0.356,0.4146,0.5358,0.5333,0.5346
9.2,-0.2943,0.4846,0.3366,0.4677,0.4577,0.4627,0.4622,0.3625,0.4123,0.5305,0.5352,0.5329
9.3,-0.3148,0.4811,0.3221,0.464,0.4722,0.4681,0.4521,0.37,0.411,0.5277,0.5388,0.5333
9.4,-0.3317,0.4751,0.3087,0.46,0.4834,0.4717,0.4426,0.3788,0.4107,0.527,0.5441,0.5356
9.5,-0.3433,0.4675,0.2966,0.4556,0.492,0.4738,0.4332,0.3892,0.4112,0.5278,0.5506,0.5392
9.6,-0.349,0.4594,0.2861,0.4514,0.4992,0.4753,0.4238,0.4012,0.4125,0.5294,0.558,0.5437
9.7,-0.3487,0.4516,0.278,0.4482,0.506,0.4771,0.4148,0.415,0.4149,0.5312,0.5664,0.5488
9.8,-0.3428,0.4449,0.2733,0.4463,0.513,0.4796,0.4072,0.4306,0.4189,0.5329,0.5758,0.5544
9.9,-0.331,0.4395,0.2731,0.4452,0.5202,0.4827,0.4015,0.4479,0.4247,0.5347,0.5866,0.5606
10,-0.3133,0.4357,0.2777,0.4448,0.5272,0.486,0.3984,0.4667,0.4325,0.5367,0.5993,0.568
10.1,-0.2911,0.4336,0.287,0.4451,0.5336,0.4893,0.3982,0.4869,0.4425,0.5396,0.6145,0.577
10.2,-0.2672,0.4327,0.3005,0.446,0.5392,0.4926,0.4007,0.5077,0.4542,0.5436,0.6321,0.5879
10.3,-0.2437,0.4321,0.3171,0.4473,0.5439,0.4956,0.4052,0.5282,0.4667,0.5484,0.6513,0.5999
10.4,-0.2214,0.4312,0.336,0.4481,0.5474,0.4978,0.4098,0.5468,0.4783,0.5527,0.6708,0.6118
10.5,-0.2007,0.4298,0.3563,0.4478,0.5496,0.4987,0.4134,0.562,0.4877,0.5556,0.6894,0.6225
10.6,-0.1819,0.4283,0.3774,0.4461,0.5504,0.4983,0.4155,0.573,0.4942,0.5564,0.7063,0.6313
10.7,-0.165,0.4269,0.3982,0.4435,0.5496,0.4966,0.4164,0.5797,0.498,0.555,0.7209,0.638
10.8,-0.15,0.4257,0.4177,0.4404,0.5469,0.4937,0.4158,0.5826,0.4992,0.5512,0.733,0.6421
10.9,-0.1369,0.4248,0.4347,0.4372,0.5418,0.4895,0.4135,0.5819,0.4977,0.5449,0.7419,0.6434
11,-0.1256,0.4238,0.4482,0.4334,0.5342,0.4838,0.4088,0.578,0.4934,0.5354,0.7473,0.6414
11.1,-0.1161,0.4227,0.4581,0.4284,0.5242,0.4763,0.4016,0.571,0.4863,0.5229,0.7486,0.6358
11.2,-0.1084,0.4214,0.4641,0.4217,0.5127,0.4672,0.3922,0.5608,0.4765,0.5075,0.7457,0.6266
11.3,-0.1013,0.4201,0.4662,0.4135,0.5001,0.4568,0.3805,0.5473,0.4639,0.4898,0.7381,0.6139
11.4,-0.0936,0.4186,0.4639,0.4044,0.4869,0.4456,0.3663,0.5305,0.4484,0.4701,0.7256,0.5979
11.5,-0.0841,0.4168,0.457,0.3954,0.4733,0.4343,0.3492,0.5103,0.4298,0.4487,0.7083,0.5785
11.6,-0.0729,0.4143,0.4466,0.3873,0.4597,0.4235,0.3301,0.4876,0.4089,0.4259,0.6867,0.5563
11.7,-0.06,0.4113,0.4338,0.3809,0.4461,0.4135,0.3098,0.4636,0.3867,0.4026,0.6618,0.5322
11.8,-0.0445,0.408,0.4201,0.3771,0.4324,0.4048,0.2891,0.4396,0.3643,0.3799,0.635,0.5075
11.9,-0.025,0.4047,0.4066,0.3769,0.4181,0.3975,0.2681,0.4166,0.3423,0.359,0.6076,0.4833
12,-0.001,0.4019,0.3938,0.3811,0.4029,0.392,0.247,0.3952,0.3211,0.3408,0.5806,0.4607
12.1,0.0269,0.3999,0.382,0.39,0.3872,0.3886,0.2269,0.3758,0.3014,0.3262,0.5553,0.4408
12.2,0.0582,0.3991,0.3718,0.4029,0.3721,0.3875,0.2088,0.3588,0.2838,0.3157,0.5325,0.4241
12.3,0.092,0.4,0.3636,0.4192,0.3587,0.3889,0.1937,0.3448,0.2693,0.3093,0.5123,0.4108
12.4,0.1277,0.4033,0.3578,0.439,0.3486,0.3938,0.182,0.3346,0.2583,0.3068,0.4947,0.4007
12.5,0.1642,0.4088,0.354,0.4618,0.3423,0.4021,0.1745,0.3288,0.2517,0.3073,0.4794,0.3933
12.6,0.1997,0.4159,0.3519,0.487,0.3402,0.4136,0.1723,0.3278,0.25,0.3103,0.4659,0.3881
12.7,0.2318,0.424,0.3512,0.5131,0.3431,0.4281,0.1763,0.332,0.2542,0.3154,0.4545,0.3849
12.8,0.2586,0.4328,0.3516,0.539,0.3517,0.4453,0.1866,0.3417,0.2641,0.3218,0.4449,0.3834
12.9,0.2794,0.4416,0.3532,0.5634,0.366,0.4647,0.2023,0.3566,0.2795,0.3288,0.4371,0.383
13,0.294,0.4498,0.3559,0.5854,0.3848,0.4851,0.223,0.376,0.2995,0.3359,0.4311,0.3835
13.1,0.302,0.4565,0.3594,0.6041,0.4067,0.5054,0.2485,0.3985,0.3235,0.3426,0.4267,0.3847
13.2,0.3034,0.4609,0.3631,0.6188,0.4305,0.5247,0.2781,0.4226,0.3504,0.3487,0.4242,0.3864
13.3,0.2996,0.4625,0.367,0.6293,0.456,0.5426,0.3103,0.4468,0.3785,0.3542,0.4233,0.3888
13.4,0.2916,0.4617,0.3712,0.6361,0.4826,0.5594,0.3431,0.4699,0.4065,0.359,0.4237,0.3914
13.5,0.2803,0.4589,0.3761,0.6404,0.5098,0.5751,0.3753,0.4913,0.4333,0.3631,0.4249,0.394
13.6,0.2668,0.4544,0.3823,0.643,0.5361,0.5895,0.4065,0.5103,0.4584,0.3664,0.4263,0.3963
13.7,0.2523,0.4486,0.3899,0.6447,0.5604,0.6025,0.4366,0.5262,0.4814,0.369,0.4273,0.3982
13.8,0.2384,0.4427,0.3987,0.6466,0.5826,0.6146,0.4656,0.5378,0.5017,0.371,0.4274,0.3992
13.9,0.2255,0.4377,0.4081,0.6498,0.6027,0.6262,0.4932,0.5445,0.5188,0.3726,0.4265,0.3996
