Time,Weber Q 30 TVC,Weber Q 30 TVC,Weber Q 30 TVC,Weber Q 30 TVC,Weber Q 30 TVC,Weber Q 30 TVC,Weber Q 30 TVC,Weber Q 30 TVC,Weber Q 30 TVC,Weber Q 30 TVC,Weber Q 30 TVC,Weber Q 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.2397,0.456,0.0957,0.4406,0.3905,0.4155,0.1333,0.1103,0.1218,0.3063,0.3385,0.3224
0.1,0.284,0.5125,0.1297,0.4429,0.4596,0.4513,0.1606,0.1375,0.149,0.3213,0.3687,0.345
0.2,0.3279,0.5628,0.1651,0.4405,0.5191,0.4798,0.1931,0.1701,0.1816,0.3389,0.3981,0.3685
0.3,0.3681,0.6061,0.2021,0.4342,0.5672,0.5007,0.2307,0.2068,0.2188,0.3591,0.4266,0.3928
0.4,0.4026,0.6423,0.241,0.4246,0.6032,0.5139,0.2728,0.2465,0.2596,0.3809,0.4535,0.4172
0.5,0.4305,0.671,0.2817,0.4123,0.627,0.5196,0.3175,0.2873,0.3024,0.4031,0.4771,0.4401
0.6,0.4515,0.6926,0.3239,0.3987,0.6396,0.5192,0.3631,0.3281,0.3456,0.4247,0.4968,0.4607
0.7,0.4653,0.7078,0.3675,0.3858,0.6434,0.5146,0.4088,0.3691,0.3889,0.4457,0.5133,0.4795
0.8,0.4716,0.7174,0.4124,0.3752,0.6408,0.508,0.4542,0.4109,0.4325,0.4668,0.5273,0.4971
0.9,0.4703,0.7225,0.4578,0.3676,0.6339,0.5008,0.4983,0.4536,0.4759,0.4878,0.5394,0.5136
1,0.461,0.7235,0.5023,0.3632,0.6237,0.4935,0.5387,0.4966,0.5176,0.5081,0.5489,0.5285
1.1,0.4432,0.7205,0.5441,0.3618,0.6111,0.4865,0.5732,0.5382,0.5557,0.5273,0.5548,0.5411
1.2,0.4171,0.7136,0.5816,0.3641,0.5969,0.4805,0.6008,0.5771,0.589,0.5455,0.5567,0.5511
1.3,0.3824,0.7035,0.6137,0.37,0.582,0.476,0.6221,0.6124,0.6173,0.5627,0.5547,0.5587
1.4,0.3385,0.6908,0.6397,0.3789,0.5671,0.473,0.638,0.644,0.641,0.5788,0.5497,0.5642
1.5,0.2864,0.6762,0.6592,0.3897,0.5526,0.4712,0.6491,0.6718,0.6604,0.5931,0.5427,0.5679
1.6,0.2295,0.6606,0.672,0.4016,0.539,0.4703,0.6554,0.6953,0.6753,0.6054,0.5349,0.5702
