Time,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0262,0.6921,0.2254,0.2661,0.8219,0.544,0.3276,0.3797,0.3537,0.5153,0.4363,0.4758
0.1,0.0022,0.6847,0.2266,0.2994,0.822,0.5607,0.3088,0.3651,0.337,0.5491,0.4505,0.4998
0.2,0.0331,0.678,0.2315,0.3329,0.8193,0.5761,0.2912,0.3527,0.322,0.5772,0.4656,0.5214
0.3,0.0646,0.6718,0.2409,0.3636,0.8133,0.5885,0.2757,0.3436,0.3096,0.5992,0.482,0.5406
0.4,0.0941,0.6663,0.2556,0.3897,0.8039,0.5968,0.2623,0.3385,0.3004,0.6148,0.4997,0.5573
0.5,0.1199,0.662,0.2761,0.4103,0.7917,0.601,0.2509,0.3379,0.2944,0.6236,0.5184,0.571
0.6,0.1412,0.6593,0.3025,0.4256,0.7777,0.6017,0.2412,0.3416,0.2914,0.6249,0.5365,0.5807
0.7,0.1581,0.6582,0.3342,0.4358,0.7628,0.5993,0.2337,0.349,0.2914,0.6189,0.5527,0.5858
0.8,0.1698,0.6584,0.3703,0.441,0.7471,0.594,0.2288,0.3598,0.2943,0.6065,0.5665,0.5865
0.9,0.1759,0.659,0.4094,0.4416,0.7305,0.586,0.2267,0.3732,0.3,0.5896,0.5775,0.5835
1,0.1769,0.6595,0.4496,0.4382,0.713,0.5756,0.2272,0.3882,0.3077,0.569,0.5857,0.5773
1.1,0.1744,0.6595,0.4884,0.432,0.6947,0.5634,0.2298,0.4035,0.3166,0.5451,0.5909,0.568
1.2,0.1703,0.6592,0.5233,0.4241,0.6761,0.5501,0.2344,0.4179,0.3262,0.5182,0.5932,0.5557
1.3,0.1662,0.6591,0.5529,0.4155,0.6577,0.5366,0.2411,0.4312,0.3362,0.4896,0.5932,0.5414
1.4,0.1624,0.6598,0.5775,0.4071,0.6401,0.5236,0.2501,0.4438,0.3469,0.461,0.5918,0.5264
1.5,0.1583,0.6616,0.5986,0.3997,0.6237,0.5117,0.2614,0.4562,0.3588,0.4337,0.5896,0.5116
1.6,0.1535,0.6648,0.6174,0.3943,0.6091,0.5017,0.2754,0.4687,0.372,0.4077,0.5871,0.4974
1.7,0.1483,0.6697,0.6342,0.3923,0.597,0.4946,0.2918,0.4815,0.3866,0.383,0.5841,0.4835
1.8,0.1431,0.6764,0.6489,0.3942,0.5877,0.4909,0.3103,0.494,0.4022,0.3592,0.5804,0.4698
1.9,0.1381,0.6844,0.6612,0.4003,0.5807,0.4905,0.3301,0.506,0.418,0.3367,0.5757,0.4562
2,0.1343,0.6933,0.6705,0.4103,0.5754,0.4929,0.3501,0.5168,0.4335,0.3156,0.5693,0.4425
2.1,0.1333,0.7022,0.6768,0.4241,0.5712,0.4976,0.3695,0.5265,0.448,0.2963,0.5606,0.4285
2.2,0.137,0.7109,0.6802,0.442,0.5675,0.5048,0.3884,0.5351,0.4617,0.2788,0.5495,0.4142
2.3,0.1474,0.7189,0.6809,0.4643,0.564,0.5142,0.4069,0.5427,0.4748,0.2637,0.5364,0.4001
2.4,0.1655,0.726,0.6792,0.4905,0.5604,0.5254,0.4255,0.5493,0.4874,0.252,0.5221,0.387
2.5,0.1905,0.7317,0.6755,0.5192,0.5562,0.5377,0.4439,0.5548,0.4993,0.2443,0.5074,0.3759
2.6,0.2205,0.7353,0.6704,0.5484,0.5511,0.5497,0.4615,0.5589,0.5102,0.2408,0.4928,0.3668
2.7,0.2536,0.7367,0.6645,0.5762,0.5449,0.5606,0.4782,0.5617,0.5199,0.241,0.4781,0.3595
2.8,0.2881,0.7359,0.6574,0.6007,0.5377,0.5692,0.4943,0.5632,0.5288,0.2443,0.4632,0.3537
2.9,0.3227,0.7335,0.6486,0.6208,0.5293,0.575,0.5101,0.5637,0.5369,0.2505,0.4482,0.3493
3,0.356,0.7299,0.6366,0.6358,0.5197,0.5777,0.5255,0.5629,0.5442,0.259,0.4337,0.3463
3.1,0.3867,0.7253,0.6207,0.6454,0.5088,0.5771,0.5398,0.5611,0.5504,0.2691,0.42,0.3445
3.2,0.4148,0.7195,0.6007,0.6497,0.497,0.5734,0.5523,0.5585,0.5554,0.28,0.4073,0.3437
3.3,0.4403,0.712,0.5775,0.649,0.4849,0.567,0.5633,0.5555,0.5594,0.2913,0.3961,0.3437
3.4,0.4624,0.7023,0.5529,0.6435,0.4728,0.5582,0.5733,0.5523,0.5628,0.3026,0.3871,0.3449
3.5,0.4791,0.6897,0.5282,0.6332,0.4605,0.5469,0.5828,0.5486,0.5657,0.3146,0.3813,0.3479
3.6,0.4875,0.6735,0.5042,0.6177,0.4476,0.5326,0.5913,0.5443,0.5678,0.328,0.3794,0.3537
3.7,0.4857,0.6531,0.4811,0.5971,0.4339,0.5155,0.5982,0.5388,0.5685,0.3434,0.3815,0.3625
3.8,0.4738,0.6282,0.4588,0.5719,0.4198,0.4959,0.6032,0.5319,0.5675,0.3607,0.3868,0.3737
