Time,A2 Milk - Only A2 Will Do 30 TVC,A2 Milk - Only A2 Will Do 30 TVC,A2 Milk - Only A2 Will Do 30 TVC,A2 Milk - Only A2 Will Do 30 TVC,A2 Milk - Only A2 Will Do 30 TVC,A2 Milk - Only A2 Will Do 30 TVC,A2 Milk - Only A2 Will Do 30 TVC,A2 Milk - Only A2 Will Do 30 TVC,A2 Milk - Only A2 Will Do 30 TVC,A2 Milk - Only A2 Will Do 30 TVC,A2 Milk - Only A2 Will Do 30 TVC,A2 Milk - Only A2 Will Do 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0334,0.4386,0.3612,0.3897,0.6257,0.5077,0.4917,0.5104,0.501,0.5099,0.4998,0.5048
0.1,0.0023,0.4482,0.3606,0.3957,0.6383,0.517,0.5178,0.5284,0.5231,0.5248,0.4938,0.5093
0.2,-0.027,0.4603,0.3662,0.404,0.653,0.5285,0.5465,0.5493,0.5479,0.5416,0.49,0.5158
0.3,-0.0531,0.4751,0.3774,0.4153,0.6693,0.5423,0.5762,0.5726,0.5744,0.5593,0.4886,0.5239
0.4,-0.0737,0.4921,0.3927,0.4299,0.6865,0.5582,0.6049,0.5973,0.6011,0.577,0.4898,0.5334
0.5,-0.0869,0.5103,0.4107,0.4466,0.7036,0.5751,0.6309,0.6222,0.6265,0.594,0.4938,0.5439
0.6,-0.0917,0.5288,0.4302,0.4639,0.7197,0.5918,0.6533,0.6471,0.6502,0.6104,0.5008,0.5556
0.7,-0.0887,0.547,0.451,0.4798,0.7344,0.6071,0.6722,0.6724,0.6723,0.6267,0.5113,0.569
0.8,-0.0808,0.5644,0.4723,0.4933,0.7479,0.6206,0.6881,0.6988,0.6935,0.6438,0.5253,0.5846
0.9,-0.0707,0.5809,0.4922,0.5043,0.7601,0.6322,0.7012,0.7259,0.7135,0.6622,0.5426,0.6024
1,-0.0596,0.5958,0.5087,0.513,0.7704,0.6417,0.7113,0.7525,0.7319,0.6821,0.5626,0.6224
1.1,-0.0478,0.6087,0.5209,0.5197,0.7783,0.649,0.718,0.7775,0.7477,0.7036,0.5847,0.6442
1.2,-0.0357,0.6197,0.5292,0.5243,0.7833,0.6538,0.7216,0.8002,0.7609,0.7261,0.6081,0.6671
