Time,a2 - Only a2 Will Do 30 TVC,a2 - Only a2 Will Do 30 TVC,a2 - Only a2 Will Do 30 TVC,a2 - Only a2 Will Do 30 TVC,a2 - Only a2 Will Do 30 TVC,a2 - Only a2 Will Do 30 TVC,a2 - Only a2 Will Do 30 TVC,a2 - Only a2 Will Do 30 TVC,a2 - Only a2 Will Do 30 TVC,a2 - Only a2 Will Do 30 TVC,a2 - Only a2 Will Do 30 TVC,a2 - Only a2 Will Do 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0753,0.6305,0.6301,0.4832,0.5119,0.4976,0.4833,0.6223,0.5528,0.4658,0.5345,0.5001
0.1,0.0755,0.635,0.6515,0.5092,0.5381,0.5237,0.5007,0.6294,0.5651,0.4779,0.55,0.5139
0.2,0.0774,0.6383,0.6727,0.5342,0.5636,0.5489,0.5161,0.6347,0.5754,0.4892,0.5664,0.5278
0.3,0.081,0.64,0.6931,0.5569,0.5866,0.5717,0.5287,0.6383,0.5835,0.4996,0.5829,0.5413
0.4,0.0857,0.6395,0.7119,0.5761,0.6051,0.5906,0.5379,0.6398,0.5888,0.5094,0.5991,0.5543
0.5,0.0908,0.6364,0.7281,0.5913,0.6174,0.6044,0.5427,0.6384,0.5906,0.519,0.6148,0.5669
0.6,0.0964,0.6309,0.7402,0.6021,0.6226,0.6124,0.5429,0.6338,0.5883,0.5273,0.6294,0.5783
0.7,0.1025,0.6233,0.7476,0.6084,0.6206,0.6145,0.5383,0.626,0.5821,0.533,0.642,0.5875
0.8,0.1086,0.6145,0.7498,0.6103,0.6118,0.611,0.5292,0.6152,0.5722,0.5348,0.6515,0.5932
0.9,0.1136,0.6052,0.7467,0.608,0.597,0.6025,0.5158,0.6018,0.5588,0.5327,0.6574,0.595
1,0.1162,0.5958,0.7379,0.6021,0.577,0.5896,0.4986,0.5853,0.5419,0.5271,0.6596,0.5934
1.1,0.1168,0.586,0.7228,0.5931,0.5527,0.5729,0.478,0.5658,0.5219,0.519,0.6581,0.5885
1.2,0.1165,0.5757,0.7013,0.5816,0.5245,0.5531,0.4554,0.5439,0.4996,0.5093,0.6522,0.5808
1.3,0.1161,0.5652,0.674,0.5682,0.4932,0.5307,0.4323,0.5207,0.4765,0.4989,0.6417,0.5703
1.4,0.1154,0.5556,0.6419,0.5541,0.4607,0.5074,0.4103,0.4975,0.4539,0.4891,0.6267,0.5579
1.5,0.1132,0.5489,0.6061,0.5411,0.4297,0.4854,0.3904,0.4753,0.4329,0.4812,0.6086,0.5449
1.6,0.1079,0.5473,0.568,0.5316,0.4033,0.4674,0.3733,0.4552,0.4142,0.4763,0.5888,0.5325
1.7,0.099,0.5521,0.5294,0.5264,0.3832,0.4548,0.3594,0.4385,0.3989,0.4748,0.5686,0.5217
1.8,0.0873,0.563,0.4921,0.5253,0.3701,0.4477,0.349,0.4262,0.3876,0.4766,0.5493,0.5129
1.9,0.0742,0.5784,0.4582,0.5272,0.363,0.4451,0.3422,0.4188,0.3805,0.481,0.5317,0.5063
2,0.0603,0.5968,0.429,0.5316,0.3611,0.4463,0.3389,0.4159,0.3774,0.4874,0.516,0.5017
2.1,0.046,0.6174,0.4053,0.5383,0.3637,0.451,0.3392,0.417,0.3781,0.4953,0.5021,0.4987
2.2,0.0318,0.6394,0.3874,0.5477,0.3704,0.4591,0.3432,0.4213,0.3822,0.5044,0.4895,0.4969
2.3,0.0186,0.6621,0.3749,0.5601,0.3807,0.4704,0.3508,0.4285,0.3897,0.5149,0.4781,0.4965
2.4,0.0069,0.6845,0.3673,0.5751,0.3937,0.4844,0.362,0.4381,0.4,0.5266,0.4682,0.4974
2.5,-0.0025,0.7052,0.3636,0.5915,0.4088,0.5001,0.3762,0.4489,0.4126,0.5388,0.4599,0.4993
2.6,-0.0094,0.7232,0.3629,0.6081,0.4254,0.5167,0.3923,0.4599,0.4261,0.5503,0.4532,0.5018
2.7,-0.0151,0.7382,0.365,0.6238,0.4429,0.5333,0.4091,0.4701,0.4396,0.5608,0.4481,0.5045
2.8,-0.0207,0.7503,0.3696,0.6379,0.4605,0.5492,0.4259,0.4793,0.4526,0.5703,0.4446,0.5074
2.9,-0.0271,0.7597,0.3768,0.6501,0.4777,0.5639,0.4428,0.4876,0.4652,0.5789,0.4425,0.5107
3,-0.0347,0.7665,0.3865,0.6603,0.4942,0.5772,0.4599,0.4947,0.4773,0.5864,0.4419,0.5141
3.1,-0.0431,0.7707,0.3983,0.6685,0.5098,0.5891,0.4774,0.5006,0.489,0.5923,0.4423,0.5173
3.2,-0.0514,0.772,0.4119,0.6748,0.5242,0.5995,0.4949,0.5053,0.5001,0.5964,0.4433,0.5198
3.3,-0.0594,0.7703,0.4265,0.6789,0.5366,0.6077,0.5111,0.5085,0.5098,0.5989,0.4448,0.5218
3.4,-0.0674,0.765,0.4406,0.6801,0.546,0.613,0.525,0.5098,0.5174,0.6003,0.4469,0.5236
3.5,-0.0759,0.7559,0.4534,0.6779,0.5514,0.6146,0.5361,0.5087,0.5224,0.6014,0.4498,0.5256
3.6,-0.0845,0.7429,0.4645,0.6718,0.5527,0.6123,0.5448,0.5051,0.525,0.6029,0.4534,0.5281
3.7,-0.0935,0.726,0.4738,0.6622,0.5502,0.6062,0.5516,0.4994,0.5255,0.605,0.4574,0.5312
3.8,-0.1029,0.7058,0.4807,0.6497,0.5449,0.5973,0.5566,0.4923,0.5244,0.6083,0.4619,0.5351
3.9,-0.1133,0.6834,0.485,0.6356,0.5382,0.5869,0.5601,0.4848,0.5225,0.6129,0.467,0.54
4,-0.1254,0.6602,0.487,0.621,0.5324,0.5767,0.5628,0.4778,0.5203,0.6189,0.4729,0.5459
4.1,-0.1401,0.6374,0.4874,0.6067,0.5293,0.568,0.5651,0.4721,0.5186,0.626,0.4795,0.5527
4.2,-0.1575,0.6157,0.4868,0.5928,0.5301,0.5614,0.5671,0.4678,0.5175,0.6338,0.4865,0.5601
4.3,-0.1778,0.5949,0.4854,0.5796,0.5345,0.557,0.5684,0.4653,0.5169,0.642,0.4939,0.568
4.4,-0.2006,0.575,0.4831,0.5672,0.5413,0.5543,0.5688,0.4649,0.5168,0.6506,0.5018,0.5762
4.5,-0.2249,0.556,0.4801,0.5562,0.5492,0.5527,0.5685,0.4674,0.518,0.6598,0.5107,0.5852
4.6,-0.25,0.5386,0.4769,0.5474,0.5571,0.5522,0.5685,0.4734,0.521,0.6694,0.521,0.5952
4.7,-0.2744,0.5244,0.474,0.5421,0.5657,0.5539,0.5695,0.4832,0.5263,0.6793,0.5331,0.6062
4.8,-0.2966,0.5143,0.4712,0.5408,0.5756,0.5582,0.5711,0.4964,0.5337,0.6889,0.5469,0.6179
4.9,-0.3149,0.5086,0.4683,0.543,0.5868,0.5649,0.5727,0.5126,0.5427,0.6975,0.5617,0.6296
5,-0.3286,0.5062,0.4654,0.5473,0.5981,0.5727,0.5739,0.5312,0.5526,0.7044,0.5763,0.6404
5.1,-0.3373,0.5058,0.4629,0.5524,0.6075,0.58,0.5742,0.5516,0.5629,0.7091,0.5894,0.6493
