Time,AAMI Christmas 2024 30 TVC,AAMI Christmas 2024 30 TVC,AAMI Christmas 2024 30 TVC,AAMI Christmas 2024 30 TVC,AAMI Christmas 2024 30 TVC,AAMI Christmas 2024 30 TVC,AAMI Christmas 2024 30 TVC,AAMI Christmas 2024 30 TVC,AAMI Christmas 2024 30 TVC,AAMI Christmas 2024 30 TVC,AAMI Christmas 2024 30 TVC,AAMI Christmas 2024 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.2671,0.6366,0.5785,0.7037,0.6034,0.6535,0.7843,0.6445,0.7144,0.8675,0.7364,0.802
0.1,0.2683,0.6181,0.5532,0.7393,0.6419,0.6906,0.7824,0.6577,0.7201,0.8777,0.7114,0.7946
0.2,0.2725,0.5995,0.5241,0.7806,0.68,0.7303,0.7774,0.6718,0.7246,0.8843,0.6856,0.7849
0.3,0.2784,0.5813,0.4915,0.8259,0.7153,0.7706,0.7692,0.6846,0.7269,0.8865,0.659,0.7727
0.4,0.2844,0.5646,0.4556,0.8735,0.7461,0.8098,0.7577,0.6941,0.7259,0.8833,0.6317,0.7575
0.5,0.2888,0.5507,0.4171,0.9215,0.7713,0.8464,0.743,0.698,0.7205,0.8742,0.604,0.7391
0.6,0.2915,0.5406,0.377,0.9675,0.7906,0.8791,0.7255,0.6948,0.7101,0.8598,0.5762,0.718
0.7,0.2932,0.5343,0.3365,1.0095,0.8031,0.9063,0.7051,0.6841,0.6946,0.8417,0.5491,0.6954
0.8,0.2936,0.5316,0.2968,1.0457,0.8082,0.9269,0.6823,0.6663,0.6743,0.8211,0.5239,0.6725
0.9,0.293,0.5322,0.2585,1.075,0.8061,0.9406,0.6574,0.6426,0.65,0.7991,0.5012,0.6501
1,0.293,0.5363,0.2219,1.0972,0.7981,0.9476,0.6306,0.6142,0.6224,0.7765,0.481,0.6288
1.1,0.296,0.5437,0.1873,1.1128,0.7849,0.9488,0.6026,0.5821,0.5923,0.7545,0.4633,0.6089
1.2,0.3037,0.5537,0.1545,1.1221,0.7666,0.9444,0.5737,0.547,0.5603,0.7337,0.448,0.5909
1.3,0.3171,0.565,0.1236,1.1249,0.7426,0.9337,0.5439,0.5086,0.5262,0.7147,0.4353,0.575
1.4,0.3359,0.5763,0.0943,1.1204,0.7122,0.9163,0.5131,0.4666,0.4899,0.6978,0.4252,0.5615
1.5,0.3592,0.587,0.0666,1.1084,0.6763,0.8924,0.4807,0.4216,0.4512,0.6829,0.4176,0.5502
1.6,0.3857,0.597,0.041,1.09,0.6372,0.8636,0.4467,0.3749,0.4108,0.6701,0.4121,0.5411
1.7,0.4129,0.606,0.0183,1.0665,0.5968,0.8317,0.411,0.3282,0.3696,0.6594,0.408,0.5337
1.8,0.4362,0.6127,-0.0008,1.039,0.5567,0.7979,0.3739,0.283,0.3284,0.6508,0.4048,0.5278
1.9,0.4508,0.6161,-0.0156,1.0083,0.5185,0.7634,0.336,0.241,0.2885,0.6441,0.4023,0.5232
2,0.455,0.6164,-0.0245,0.9756,0.4846,0.7301,0.299,0.2044,0.2517,0.6396,0.4009,0.5203
2.1,0.4503,0.6148,-0.0248,0.9426,0.4568,0.6997,0.264,0.1749,0.2194,0.6377,0.4014,0.5196
2.2,0.439,0.6129,-0.0132,0.9113,0.4356,0.6735,0.2318,0.1536,0.1927,0.6385,0.4052,0.5219
2.3,0.4226,0.6118,0.0135,0.8831,0.4202,0.6516,0.2031,0.1411,0.1721,0.6414,0.4133,0.5273
2.4,0.402,0.6114,0.0567,0.859,0.4094,0.6342,0.1793,0.1378,0.1586,0.6458,0.4261,0.5359
2.5,0.3793,0.6118,0.115,0.8402,0.4032,0.6217,0.1622,0.1446,0.1534,0.6519,0.4443,0.5481
2.6,0.3583,0.613,0.1853,0.8271,0.4023,0.6147,0.153,0.162,0.1575,0.6604,0.4689,0.5646
2.7,0.3414,0.6144,0.2645,0.8186,0.4065,0.6126,0.1526,0.1897,0.1711,0.6715,0.5008,0.5861
2.8,0.3296,0.6153,0.348,0.8129,0.4148,0.6138,0.1605,0.2263,0.1934,0.6842,0.5392,0.6117
2.9,0.3236,0.6157,0.4292,0.8082,0.4256,0.6169,0.1755,0.2701,0.2228,0.6967,0.5821,0.6394
3,0.3233,0.6158,0.5014,0.8039,0.4387,0.6213,0.196,0.319,0.2575,0.707,0.6267,0.6668
3.1,0.3277,0.6154,0.5598,0.7998,0.4543,0.627,0.2203,0.3702,0.2952,0.7135,0.6699,0.6917
3.2,0.3343,0.6141,0.6028,0.7956,0.4722,0.6339,0.246,0.4212,0.3336,0.7153,0.7093,0.7123
3.3,0.3395,0.6114,0.6319,0.7903,0.4918,0.641,0.2711,0.4694,0.3702,0.7124,0.7432,0.7278
3.4,0.3405,0.6074,0.6495,0.7827,0.5124,0.6476,0.2943,0.5133,0.4038,0.7052,0.7702,0.7377
3.5,0.3361,0.6025,0.6571,0.7725,0.5328,0.6527,0.3152,0.5517,0.4334,0.6946,0.7892,0.7419
3.6,0.3259,0.5972,0.6558,0.7596,0.5518,0.6557,0.3333,0.5836,0.4585,0.6815,0.8,0.7408
3.7,0.3091,0.5922,0.6464,0.7443,0.5671,0.6557,0.3482,0.6091,0.4787,0.6665,0.8031,0.7348
3.8,0.285,0.5873,0.6305,0.7266,0.5773,0.6519,0.3594,0.6284,0.4939,0.6495,0.7996,0.7246
3.9,0.2536,0.5823,0.6099,0.7064,0.5821,0.6443,0.3668,0.6421,0.5044,0.6309,0.7904,0.7106
4,0.2164,0.5768,0.5862,0.6842,0.5826,0.6334,0.3709,0.6511,0.511,0.6111,0.7766,0.6939
4.1,0.1757,0.5707,0.5597,0.6611,0.5795,0.6203,0.3724,0.6565,0.5145,0.5905,0.7599,0.6752
4.2,0.1341,0.5641,0.5308,0.6378,0.5732,0.6055,0.3721,0.659,0.5156,0.5698,0.7418,0.6558
4.3,0.0937,0.5569,0.4999,0.6145,0.564,0.5893,0.3713,0.6589,0.5151,0.5503,0.7237,0.637
4.4,0.0556,0.5487,0.4678,0.591,0.5529,0.5719,0.3715,0.6566,0.514,0.5332,0.7067,0.62
4.5,0.0199,0.5387,0.4356,0.5668,0.5405,0.5536,0.3736,0.6525,0.513,0.5196,0.6922,0.6059
4.6,-0.0141,0.5259,0.4045,0.542,0.5264,0.5342,0.3779,0.647,0.5124,0.5102,0.681,0.5956
4.7,-0.0476,0.5099,0.3757,0.5168,0.5106,0.5137,0.3841,0.6408,0.5124,0.5054,0.674,0.5897
4.8,-0.0813,0.4919,0.3513,0.492,0.4936,0.4928,0.392,0.6346,0.5133,0.5054,0.6712,0.5883
4.9,-0.1158,0.4732,0.3333,0.4686,0.4765,0.4726,0.4016,0.6296,0.5156,0.5103,0.6724,0.5914
5,-0.151,0.4551,0.3244,0.4475,0.4605,0.454,0.4132,0.6267,0.52,0.5204,0.6772,0.5988
5.1,-0.186,0.4377,0.3262,0.429,0.4457,0.4373,0.4275,0.627,0.5272,0.535,0.685,0.61
5.2,-0.2192,0.4212,0.34,0.4132,0.4314,0.4223,0.4448,0.631,0.5379,0.553,0.6951,0.6241
5.3,-0.2478,0.406,0.3659,0.3997,0.4175,0.4086,0.4656,0.6394,0.5525,0.5737,0.7072,0.6405
5.4,-0.2687,0.3936,0.4025,0.3883,0.4038,0.3961,0.4892,0.6516,0.5704,0.5959,0.7205,0.6582
5.5,-0.2809,0.3845,0.4462,0.3784,0.3902,0.3843,0.5141,0.6661,0.5901,0.6176,0.7339,0.6757
5.6,-0.2859,0.3789,0.4915,0.3695,0.3765,0.373,0.5382,0.6814,0.6098,0.6362,0.7459,0.6911
5.7,-0.2837,0.3767,0.5334,0.3614,0.3629,0.3621,0.5604,0.6966,0.6285,0.6499,0.7555,0.7027
5.8,-0.2731,0.3781,0.5682,0.3543,0.3505,0.3524,0.5808,0.7113,0.646,0.658,0.7617,0.7098
5.9,-0.253,0.3835,0.5929,0.348,0.3403,0.3442,0.5988,0.7248,0.6618,0.6608,0.764,0.7124
6,-0.2247,0.3929,0.6068,0.3414,0.3326,0.337,0.6133,0.7359,0.6746,0.6585,0.7621,0.7103
6.1,-0.1909,0.4061,0.6108,0.3328,0.3271,0.3299,0.6236,0.7433,0.6835,0.6507,0.7552,0.7029
6.2,-0.1545,0.4233,0.6066,0.3209,0.3234,0.3221,0.6293,0.7468,0.6881,0.6374,0.7426,0.69
6.3,-0.118,0.4448,0.5965,0.3055,0.3219,0.3137,0.6308,0.7466,0.6887,0.6191,0.7249,0.672
6.4,-0.0835,0.4702,0.5833,0.2868,0.3223,0.3045,0.6285,0.7428,0.6856,0.5975,0.7034,0.6505
6.5,-0.0518,0.4983,0.5692,0.265,0.324,0.2945,0.6231,0.7354,0.6792,0.5746,0.6796,0.6271
6.6,-0.0223,0.5278,0.5556,0.2403,0.3257,0.283,0.6157,0.7248,0.6703,0.5525,0.655,0.6038
6.7,0.0068,0.5579,0.5435,0.2136,0.3267,0.2701,0.6081,0.7114,0.6597,0.5331,0.6307,0.5819
6.8,0.0363,0.5883,0.5331,0.186,0.3265,0.2563,0.601,0.6955,0.6482,0.5173,0.6081,0.5627
6.9,0.0651,0.6184,0.5246,0.1595,0.3253,0.2424,0.5945,0.6771,0.6358,0.5054,0.5879,0.5467
7,0.0909,0.6473,0.5183,0.1358,0.3231,0.2294,0.5879,0.6576,0.6228,0.497,0.5711,0.5341
7.1,0.1115,0.6742,0.5148,0.116,0.3198,0.2179,0.581,0.6389,0.61,0.4919,0.558,0.5249
7.2,0.1261,0.6978,0.5139,0.1008,0.3151,0.208,0.5741,0.6222,0.5981,0.4894,0.5483,0.5189
7.3,0.135,0.7169,0.5151,0.0904,0.3093,0.1998,0.5673,0.6079,0.5876,0.4894,0.5422,0.5158
7.4,0.1388,0.731,0.5173,0.0859,0.3022,0.1941,0.5603,0.5959,0.5781,0.492,0.5399,0.5159
7.5,0.1382,0.7396,0.5198,0.0884,0.2947,0.1916,0.5531,0.5862,0.5697,0.4967,0.5413,0.519
7.6,0.1337,0.7422,0.5218,0.0984,0.2875,0.1929,0.5454,0.5789,0.5621,0.5025,0.5461,0.5243
7.7,0.1257,0.7383,0.5231,0.1147,0.2812,0.1979,0.5372,0.5737,0.5554,0.5081,0.5534,0.5307
7.8,0.114,0.728,0.5235,0.1358,0.2753,0.2055,0.5283,0.5701,0.5492,0.5118,0.5621,0.537
7.9,0.0985,0.7123,0.5233,0.16,0.2697,0.2149,0.518,0.5675,0.5427,0.5126,0.5716,0.5421
8,0.0795,0.6924,0.5232,0.1862,0.2644,0.2253,0.5061,0.5657,0.5359,0.5099,0.5814,0.5457
8.1,0.0568,0.6695,0.5238,0.213,0.2596,0.2363,0.4931,0.5648,0.5289,0.5038,0.591,0.5474
8.2,0.0305,0.6442,0.5257,0.2382,0.2559,0.247,0.4795,0.5652,0.5224,0.4949,0.5999,0.5474
8.3,0.0006,0.6172,0.529,0.2602,0.2534,0.2568,0.4657,0.5667,0.5162,0.4839,0.6073,0.5456
8.4,-0.0315,0.5893,0.5331,0.278,0.2528,0.2654,0.4514,0.5692,0.5103,0.4708,0.6126,0.5417
8.5,-0.064,0.5615,0.5371,0.2914,0.254,0.2727,0.4367,0.5721,0.5044,0.456,0.6153,0.5356
8.6,-0.0948,0.5349,0.5405,0.3006,0.257,0.2788,0.4221,0.5748,0.4984,0.4401,0.6152,0.5276
8.7,-0.1226,0.5099,0.5426,0.3064,0.2619,0.2842,0.4083,0.5768,0.4926,0.4239,0.6124,0.5182
8.8,-0.1468,0.4872,0.5437,0.3103,0.2691,0.2897,0.396,0.5783,0.4872,0.4083,0.6077,0.508
8.9,-0.1671,0.4678,0.544,0.3137,0.2792,0.2964,0.3854,0.5797,0.4825,0.3942,0.6017,0.498
9,-0.1832,0.4524,0.5443,0.3174,0.2926,0.305,0.3775,0.5815,0.4795,0.3827,0.5954,0.4891
9.1,-0.1939,0.4414,0.5449,0.3217,0.3093,0.3155,0.3735,0.5838,0.4786,0.375,0.5893,0.4821
9.2,-0.1982,0.4347,0.5458,0.3261,0.3289,0.3275,0.3746,0.5862,0.4804,0.3721,0.5836,0.4778
9.3,-0.197,0.4319,0.5464,0.3303,0.3507,0.3405,0.3807,0.588,0.4843,0.3742,0.5785,0.4763
9.4,-0.192,0.4328,0.5464,0.3346,0.3738,0.3542,0.3912,0.5891,0.4901,0.3808,0.5735,0.4772
9.5,-0.1845,0.4377,0.546,0.3402,0.3983,0.3692,0.4058,0.59,0.4979,0.3913,0.5683,0.4798
9.6,-0.1743,0.4469,0.5458,0.3484,0.4249,0.3866,0.4246,0.5919,0.5082,0.4045,0.5626,0.4835
9.7,-0.1603,0.4599,0.5456,0.3598,0.4535,0.4067,0.447,0.595,0.521,0.4197,0.5567,0.4882
9.8,-0.1406,0.4756,0.5446,0.3744,0.4827,0.4285,0.472,0.5984,0.5352,0.4366,0.5504,0.4935
9.9,-0.1141,0.4924,0.5418,0.3912,0.5111,0.4511,0.4984,0.601,0.5497,0.455,0.5439,0.4995
10,-0.0816,0.5092,0.5363,0.4099,0.5378,0.4738,0.5248,0.6022,0.5635,0.4743,0.5372,0.5057
10.1,-0.0449,0.5257,0.5274,0.4306,0.5631,0.4969,0.5497,0.6018,0.5757,0.4936,0.5302,0.5119
10.2,-0.0064,0.542,0.5152,0.4542,0.5874,0.5208,0.572,0.5998,0.5859,0.5117,0.523,0.5174
10.3,0.0323,0.5578,0.4994,0.4804,0.6103,0.5454,0.5906,0.5959,0.5933,0.5276,0.5155,0.5216
10.4,0.0706,0.5728,0.4793,0.5086,0.6301,0.5694,0.605,0.5895,0.5972,0.541,0.5074,0.5242
10.5,0.1087,0.5862,0.4548,0.537,0.6454,0.5912,0.6146,0.5798,0.5972,0.5518,0.4983,0.5251
10.6,0.1465,0.597,0.4261,0.5638,0.6548,0.6093,0.6196,0.5667,0.5931,0.5601,0.4881,0.5241
10.7,0.1837,0.6042,0.3944,0.588,0.6581,0.623,0.6204,0.5503,0.5854,0.5658,0.477,0.5214
10.8,0.2196,0.6073,0.3611,0.6092,0.6558,0.6325,0.6176,0.5316,0.5746,0.5688,0.4654,0.5171
10.9,0.2529,0.606,0.327,0.6278,0.6482,0.638,0.612,0.5111,0.5615,0.5689,0.453,0.5109
11,0.2827,0.6009,0.293,0.6437,0.6358,0.6398,0.6042,0.4892,0.5467,0.5659,0.4395,0.5027
11.1,0.3082,0.5923,0.2599,0.6565,0.6184,0.6374,0.5947,0.4659,0.5303,0.5598,0.4248,0.4923
11.2,0.329,0.5807,0.2291,0.665,0.596,0.6305,0.5839,0.4417,0.5128,0.5507,0.4084,0.4796
11.3,0.3452,0.5664,0.2019,0.6687,0.5694,0.619,0.5722,0.4173,0.4947,0.539,0.3909,0.465
11.4,0.3568,0.5494,0.1792,0.6674,0.54,0.6037,0.5602,0.3937,0.4769,0.5254,0.3727,0.4491
11.5,0.364,0.5305,0.1608,0.6614,0.5096,0.5855,0.5482,0.3718,0.46,0.5104,0.3546,0.4325
11.6,0.3674,0.5111,0.1462,0.651,0.4805,0.5657,0.536,0.3517,0.4438,0.4938,0.337,0.4154
11.7,0.3683,0.4924,0.1345,0.6367,0.455,0.5458,0.5234,0.3335,0.4285,0.4752,0.3203,0.3977
11.8,0.3687,0.4759,0.1257,0.6191,0.4347,0.5269,0.5111,0.3169,0.414,0.4542,0.3047,0.3795
