Time,Afterpay - Where you wouldn't believe 30 TVC,Afterpay - Where you wouldn't believe 30 TVC,Afterpay - Where you wouldn't believe 30 TVC,Afterpay - Where you wouldn't believe 30 TVC,Afterpay - Where you wouldn't believe 30 TVC,Afterpay - Where you wouldn't believe 30 TVC,Afterpay - Where you wouldn't believe 30 TVC,Afterpay - Where you wouldn't believe 30 TVC,Afterpay - Where you wouldn't believe 30 TVC,Afterpay - Where you wouldn't believe 30 TVC,Afterpay - Where you wouldn't believe 30 TVC,Afterpay - Where you wouldn't believe 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.03,0.523,0.1875,0.4124,0.478,0.4452,0.3452,0.2883,0.3167,0.635,0.5461,0.5905
0.1,0.0081,0.5105,0.1784,0.4184,0.4609,0.4396,0.3399,0.2856,0.3128,0.597,0.5086,0.5528
0.2,0.0485,0.4981,0.1714,0.4246,0.4443,0.4345,0.3348,0.2825,0.3086,0.5612,0.474,0.5176
0.3,0.0913,0.4866,0.1663,0.432,0.4297,0.4308,0.331,0.2794,0.3052,0.5288,0.4431,0.4859
0.4,0.1366,0.4765,0.162,0.4406,0.4172,0.4289,0.3291,0.2767,0.3029,0.5002,0.4161,0.4581
0.5,0.1837,0.468,0.1586,0.45,0.406,0.428,0.329,0.2743,0.3016,0.476,0.3929,0.4344
0.6,0.2312,0.4612,0.1561,0.4593,0.3956,0.4274,0.3307,0.2722,0.3014,0.4561,0.3736,0.4149
0.7,0.278,0.4563,0.1548,0.4677,0.386,0.4268,0.3344,0.2702,0.3023,0.4404,0.3583,0.3993
0.8,0.324,0.4537,0.1543,0.4749,0.3773,0.4261,0.3406,0.268,0.3043,0.4285,0.3472,0.3878
0.9,0.3677,0.4539,0.154,0.481,0.3698,0.4254,0.3494,0.2655,0.3074,0.4204,0.3405,0.3804
1,0.4061,0.4568,0.1536,0.4854,0.3628,0.4241,0.3602,0.2626,0.3114,0.416,0.3379,0.377
1.1,0.4349,0.4619,0.1529,0.4877,0.3561,0.4219,0.3724,0.2595,0.316,0.4151,0.3388,0.377
1.2,0.4509,0.4687,0.1519,0.4876,0.3497,0.4186,0.3849,0.2567,0.3208,0.417,0.3417,0.3793
1.3,0.4524,0.4772,0.1504,0.4848,0.3438,0.4143,0.3969,0.2549,0.3259,0.4202,0.3451,0.3827
1.4,0.4398,0.4871,0.1483,0.4794,0.3392,0.4093,0.4076,0.2544,0.331,0.4238,0.3484,0.3861
1.5,0.414,0.498,0.1453,0.4715,0.3365,0.404,0.4171,0.255,0.3361,0.4271,0.351,0.3891
1.6,0.3762,0.5086,0.1411,0.4609,0.3363,0.3986,0.4257,0.2565,0.3411,0.4298,0.353,0.3914
1.7,0.3283,0.5179,0.1348,0.4477,0.3386,0.3931,0.4334,0.2582,0.3458,0.4315,0.3536,0.3926
1.8,0.2742,0.5252,0.1264,0.4325,0.343,0.3877,0.4402,0.2596,0.3499,0.4318,0.3527,0.3922
1.9,0.2189,0.531,0.1166,0.4162,0.3492,0.3827,0.4456,0.261,0.3533,0.4307,0.3504,0.3906
2,0.1661,0.5363,0.1065,0.4,0.3572,0.3786,0.4495,0.2627,0.3561,0.4288,0.3477,0.3883
2.1,0.1177,0.5415,0.0973,0.3848,0.3677,0.3763,0.4517,0.2654,0.3585,0.4269,0.3453,0.3861
2.2,0.0741,0.5467,0.0898,0.371,0.3814,0.3762,0.4523,0.2691,0.3607,0.4255,0.3433,0.3844
2.3,0.0361,0.5512,0.0842,0.3587,0.3986,0.3786,0.4514,0.2739,0.3626,0.4244,0.3415,0.383
2.4,0.0054,0.5548,0.0813,0.3478,0.4193,0.3835,0.4489,0.2793,0.3641,0.4239,0.3401,0.382
2.5,-0.0169,0.5574,0.0826,0.3384,0.4432,0.3908,0.4446,0.285,0.3648,0.4243,0.3396,0.382
2.6,-0.0304,0.5597,0.0895,0.331,0.4701,0.4006,0.4386,0.2906,0.3646,0.4263,0.3407,0.3835
2.7,-0.0341,0.5624,0.1025,0.3265,0.5,0.4132,0.4309,0.2961,0.3635,0.43,0.3438,0.3869
2.8,-0.028,0.5656,0.121,0.3259,0.5323,0.4291,0.4222,0.3014,0.3618,0.4353,0.3491,0.3922
2.9,-0.0127,0.5691,0.144,0.3301,0.5663,0.4482,0.4133,0.3065,0.3599,0.4426,0.3569,0.3997
