Time,AGL - Rubber Glove 30 TVC,AGL - Rubber Glove 30 TVC,AGL - Rubber Glove 30 TVC,AGL - Rubber Glove 30 TVC,AGL - Rubber Glove 30 TVC,AGL - Rubber Glove 30 TVC,AGL - Rubber Glove 30 TVC,AGL - Rubber Glove 30 TVC,AGL - Rubber Glove 30 TVC,AGL - Rubber Glove 30 TVC,AGL - Rubber Glove 30 TVC,AGL - Rubber Glove 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.3473,0.6111,0.6548,0.7186,0.8844,0.8015,0.6978,0.8387,0.7683,0.65,0.4519,0.5509
0.1,-0.3149,0.6171,0.6778,0.6923,0.8933,0.7928,0.6998,0.839,0.7694,0.6524,0.4492,0.5508
0.2,-0.2821,0.6218,0.6987,0.6649,0.8962,0.7806,0.7005,0.8356,0.7681,0.6547,0.449,0.5518
0.3,-0.2501,0.6243,0.717,0.6372,0.8925,0.7649,0.6996,0.8289,0.7643,0.6564,0.4513,0.5539
0.4,-0.2187,0.6244,0.7325,0.6105,0.8824,0.7465,0.6969,0.8188,0.7579,0.6576,0.456,0.5568
0.5,-0.1871,0.6225,0.7452,0.5861,0.867,0.7266,0.6924,0.8055,0.7489,0.6585,0.4634,0.5609
0.6,-0.1553,0.6189,0.7554,0.5649,0.8477,0.7063,0.6865,0.7892,0.7378,0.6597,0.4741,0.5669
0.7,-0.1238,0.6135,0.7638,0.5467,0.8248,0.6857,0.68,0.7704,0.7252,0.6617,0.4884,0.5751
0.8,-0.093,0.6066,0.7705,0.5309,0.7985,0.6647,0.6735,0.7499,0.7117,0.6637,0.5059,0.5848
0.9,-0.0633,0.5985,0.775,0.5172,0.7698,0.6435,0.6674,0.7284,0.6979,0.6641,0.5253,0.5947
1,-0.0351,0.5897,0.777,0.5059,0.7397,0.6228,0.6616,0.7066,0.6841,0.662,0.5455,0.6037
1.1,-0.0093,0.5809,0.7765,0.4971,0.7093,0.6032,0.6562,0.685,0.6706,0.6573,0.5659,0.6116
1.2,0.0145,0.5723,0.7737,0.4903,0.6784,0.5843,0.6514,0.6641,0.6578,0.6509,0.586,0.6184
1.3,0.0377,0.5638,0.7686,0.4851,0.6463,0.5657,0.6477,0.6442,0.646,0.6432,0.6054,0.6243
1.4,0.0615,0.5559,0.7618,0.4817,0.6133,0.5475,0.6454,0.6258,0.6356,0.6351,0.6237,0.6294
1.5,0.0861,0.5493,0.7537,0.4805,0.5807,0.5306,0.6445,0.6094,0.627,0.6265,0.6402,0.6333
1.6,0.1108,0.5452,0.7449,0.4823,0.5507,0.5165,0.6446,0.5954,0.62,0.6168,0.6545,0.6356
1.7,0.1344,0.5444,0.7359,0.4869,0.5249,0.5059,0.6454,0.5843,0.6149,0.6059,0.6662,0.636
1.8,0.1559,0.5473,0.727,0.4943,0.5039,0.4991,0.6465,0.5762,0.6114,0.5938,0.675,0.6344
1.9,0.1748,0.554,0.7182,0.504,0.4872,0.4956,0.6474,0.5713,0.6094,0.581,0.6808,0.6309
2,0.1914,0.5641,0.7093,0.5153,0.4741,0.4947,0.6479,0.5693,0.6086,0.5675,0.6832,0.6254
2.1,0.2061,0.5774,0.7008,0.5274,0.464,0.4957,0.6474,0.57,0.6087,0.5527,0.6819,0.6173
2.2,0.219,0.5934,0.693,0.5396,0.4571,0.4983,0.6456,0.5734,0.6095,0.5362,0.6768,0.6065
2.3,0.2289,0.612,0.6865,0.5508,0.4541,0.5025,0.6431,0.5801,0.6116,0.5189,0.6683,0.5936
2.4,0.2336,0.6328,0.6819,0.5603,0.456,0.5082,0.6411,0.5901,0.6156,0.5024,0.6578,0.5801
2.5,0.2314,0.6556,0.68,0.5676,0.4633,0.5154,0.6412,0.6036,0.6224,0.4884,0.6469,0.5676
2.6,0.2228,0.6794,0.6811,0.5724,0.4756,0.524,0.6446,0.621,0.6328,0.4778,0.6371,0.5574
2.7,0.2104,0.7034,0.6852,0.5748,0.4922,0.5335,0.6514,0.6419,0.6466,0.4703,0.6289,0.5496
2.8,0.197,0.7268,0.6921,0.5749,0.5124,0.5436,0.6611,0.6656,0.6634,0.4654,0.6225,0.5439
2.9,0.1835,0.7492,0.7015,0.5735,0.5358,0.5546,0.6732,0.6915,0.6824,0.4627,0.6173,0.54
3,0.1692,0.7706,0.7132,0.5713,0.562,0.5666,0.6874,0.7186,0.703,0.4618,0.613,0.5374
3.1,0.1529,0.7908,0.7274,0.569,0.5903,0.5797,0.7033,0.7464,0.7249,0.4618,0.6095,0.5357
3.2,0.1344,0.8098,0.7444,0.5673,0.6204,0.5939,0.721,0.7744,0.7477,0.4625,0.6073,0.5349
3.3,0.114,0.8271,0.7638,0.5669,0.6519,0.6094,0.7408,0.8017,0.7712,0.4641,0.6066,0.5354
3.4,0.0921,0.8421,0.7852,0.5679,0.6845,0.6262,0.7625,0.8275,0.795,0.4671,0.6077,0.5374
3.5,0.0696,0.8541,0.808,0.5706,0.7173,0.6439,0.7859,0.8509,0.8184,0.4719,0.6105,0.5412
3.6,0.0487,0.8623,0.8311,0.5746,0.7483,0.6615,0.8103,0.8711,0.8407,0.4778,0.615,0.5464
3.7,0.0323,0.8663,0.8536,0.5803,0.7757,0.678,0.8347,0.8871,0.8609,0.484,0.6205,0.5523
3.8,0.0217,0.866,0.8744,0.5885,0.7979,0.6932,0.8586,0.8983,0.8785,0.4898,0.6269,0.5584
3.9,0.0166,0.8619,0.8927,0.5999,0.8145,0.7072,0.8815,0.9047,0.8931,0.4948,0.6337,0.5643
4,0.0153,0.8547,0.9078,0.6146,0.8253,0.72,0.9029,0.9067,0.9048,0.4986,0.6406,0.5696
4.1,0.0166,0.8457,0.9188,0.6324,0.8302,0.7313,0.9221,0.9047,0.9134,0.5006,0.647,0.5738
4.2,0.0203,0.8355,0.9242,0.6524,0.8291,0.7408,0.9379,0.8987,0.9183,0.5007,0.6523,0.5765
4.3,0.0264,0.8242,0.9232,0.6735,0.8224,0.748,0.9492,0.8884,0.9188,0.499,0.6563,0.5777
4.4,0.0342,0.8117,0.9156,0.6943,0.8104,0.7523,0.9554,0.8739,0.9146,0.4963,0.6591,0.5777
4.5,0.0436,0.798,0.9018,0.713,0.7932,0.7531,0.9566,0.8555,0.9061,0.4934,0.6614,0.5774
