Time,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC,Aldi - A Rainy Goodbye 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.284,0.6855,0.5961,0.8179,0.3644,0.5912,0.602,0.447,0.5245,0.8144,0.7753,0.7948
0.1,0.3026,0.6698,0.5999,0.7882,0.3885,0.5884,0.6218,0.4615,0.5417,0.8074,0.7723,0.7899
0.2,0.3221,0.6526,0.6059,0.7563,0.4134,0.5849,0.6425,0.4774,0.5599,0.8003,0.7701,0.7852
0.3,0.3405,0.6345,0.6145,0.7238,0.4382,0.581,0.6627,0.494,0.5783,0.7927,0.7681,0.7804
0.4,0.355,0.6163,0.6256,0.6919,0.4618,0.5768,0.6814,0.5105,0.5959,0.7842,0.7664,0.7753
0.5,0.3633,0.5982,0.6392,0.6613,0.4841,0.5727,0.6979,0.5267,0.6123,0.7744,0.765,0.7697
0.6,0.3637,0.5802,0.6554,0.6333,0.5054,0.5694,0.7124,0.5432,0.6278,0.7639,0.7643,0.7641
0.7,0.3562,0.5623,0.6731,0.6091,0.5259,0.5675,0.725,0.56,0.6425,0.7527,0.7645,0.7586
0.8,0.3419,0.5446,0.6909,0.5897,0.5456,0.5677,0.7357,0.5763,0.656,0.7407,0.765,0.7528
0.9,0.3219,0.5274,0.7075,0.5754,0.5644,0.5699,0.744,0.5908,0.6674,0.7276,0.765,0.7463
1,0.2967,0.511,0.7231,0.5656,0.5826,0.5741,0.7493,0.603,0.6762,0.7131,0.7649,0.739
1.1,0.2661,0.4957,0.7383,0.559,0.6003,0.5797,0.7518,0.6132,0.6825,0.6976,0.7656,0.7316
1.2,0.2306,0.4818,0.7535,0.5549,0.6179,0.5864,0.7521,0.6218,0.6869,0.6822,0.7682,0.7252
1.3,0.1918,0.4696,0.7683,0.5527,0.635,0.5938,0.7511,0.6294,0.6902,0.6672,0.7728,0.72
1.4,0.1522,0.4596,0.7814,0.5524,0.6515,0.6019,0.7493,0.6364,0.6928,0.6525,0.7786,0.7156
1.5,0.1135,0.452,0.7916,0.5541,0.667,0.6106,0.7468,0.6423,0.6946,0.6375,0.7847,0.7111
1.6,0.0768,0.4473,0.7978,0.5577,0.6812,0.6194,0.7428,0.6469,0.6948,0.6217,0.7905,0.7061
1.7,0.0419,0.4459,0.7998,0.5626,0.6941,0.6283,0.7362,0.6497,0.6929,0.6051,0.7953,0.7002
1.8,0.0098,0.4476,0.7972,0.5687,0.7059,0.6373,0.7268,0.6501,0.6885,0.5883,0.7988,0.6936
1.9,-0.0175,0.4526,0.7895,0.576,0.7167,0.6463,0.7149,0.6478,0.6814,0.572,0.8008,0.6864
2,-0.0378,0.4606,0.7766,0.5845,0.7264,0.6555,0.7012,0.6428,0.672,0.5567,0.8007,0.6787
2.1,-0.0488,0.4712,0.7587,0.5942,0.7343,0.6642,0.6863,0.6353,0.6608,0.5433,0.7983,0.6708
2.2,-0.0494,0.4841,0.7359,0.6046,0.7397,0.6721,0.6702,0.6255,0.6479,0.5326,0.7936,0.6631
2.3,-0.0398,0.4987,0.7084,0.6154,0.7425,0.679,0.6532,0.614,0.6336,0.5254,0.7866,0.656
2.4,-0.0209,0.5151,0.677,0.6263,0.7433,0.6848,0.6355,0.6011,0.6183,0.5228,0.7778,0.6503
2.5,0.0067,0.5332,0.643,0.6372,0.7428,0.69,0.6178,0.587,0.6024,0.5252,0.7674,0.6463
2.6,0.041,0.5527,0.6075,0.6478,0.7411,0.6945,0.6009,0.5718,0.5863,0.5323,0.7557,0.644
2.7,0.0796,0.5732,0.5721,0.6583,0.738,0.6982,0.5847,0.5556,0.5702,0.5433,0.7433,0.6433
2.8,0.1202,0.5938,0.5377,0.6684,0.733,0.7007,0.5688,0.5389,0.5539,0.5567,0.7307,0.6437
2.9,0.1612,0.6139,0.5053,0.678,0.726,0.702,0.553,0.5221,0.5375,0.5712,0.7184,0.6448
3,0.2008,0.6332,0.4755,0.6873,0.7177,0.7025,0.5378,0.5058,0.5218,0.586,0.7068,0.6464
