Time,Aldi Trailblazers 30 Client TVC,Aldi Trailblazers 30 Client TVC,Aldi Trailblazers 30 Client TVC,Aldi Trailblazers 30 Client TVC,Aldi Trailblazers 30 Client TVC,Aldi Trailblazers 30 Client TVC,Aldi Trailblazers 30 Client TVC,Aldi Trailblazers 30 Client TVC,Aldi Trailblazers 30 Client TVC,Aldi Trailblazers 30 Client TVC,Aldi Trailblazers 30 Client TVC,Aldi Trailblazers 30 Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0773,0.5094,0.8627,0.4394,0.6834,0.5614,0.8734,0.7004,0.7869,0.7818,0.8046,0.7932
0.1,-0.1031,0.5145,0.8459,0.4426,0.6794,0.561,0.9089,0.7062,0.8076,0.7671,0.8061,0.7866
0.2,-0.1318,0.5192,0.8239,0.4435,0.6764,0.5599,0.9384,0.7079,0.8231,0.7502,0.8049,0.7775
0.3,-0.1643,0.5238,0.7971,0.4422,0.6748,0.5585,0.9602,0.7059,0.8331,0.7322,0.8012,0.7667
0.4,-0.2008,0.5293,0.7658,0.4396,0.6749,0.5572,0.9731,0.7012,0.8372,0.7139,0.7955,0.7547
0.5,-0.2408,0.5369,0.7306,0.4368,0.6771,0.557,0.9767,0.6945,0.8356,0.6959,0.7877,0.7418
0.6,-0.2828,0.5475,0.6918,0.4344,0.6815,0.558,0.9713,0.6859,0.8286,0.6785,0.7772,0.7278
0.7,-0.325,0.5612,0.6503,0.4329,0.6874,0.5601,0.9579,0.6754,0.8166,0.662,0.7632,0.7126
0.8,-0.3654,0.5775,0.607,0.4324,0.6943,0.5633,0.9371,0.6633,0.8002,0.6467,0.7452,0.6959
0.9,-0.4015,0.5955,0.563,0.4337,0.7019,0.5678,0.9097,0.6503,0.78,0.6329,0.7234,0.6782
1,-0.4299,0.6141,0.5199,0.4379,0.71,0.574,0.8769,0.6377,0.7573,0.6214,0.6982,0.6598
1.1,-0.4465,0.6312,0.4796,0.4454,0.7173,0.5814,0.84,0.626,0.733,0.6123,0.67,0.6411
1.2,-0.4477,0.6444,0.4442,0.4558,0.7216,0.5887,0.8003,0.6151,0.7077,0.6055,0.639,0.6222
1.3,-0.4312,0.6513,0.4148,0.4679,0.7206,0.5943,0.7588,0.6042,0.6815,0.6005,0.6054,0.6029
1.4,-0.3973,0.6508,0.3918,0.4809,0.7133,0.5971,0.717,0.5932,0.6551,0.5968,0.5704,0.5836
1.5,-0.3479,0.6433,0.3763,0.4939,0.6999,0.5969,0.6768,0.5831,0.6299,0.5941,0.5355,0.5648
1.6,-0.2858,0.6302,0.3687,0.5067,0.6814,0.5941,0.6403,0.574,0.6071,0.5921,0.5024,0.5473
1.7,-0.2137,0.6134,0.3687,0.519,0.6588,0.5889,0.6089,0.5657,0.5873,0.5907,0.4719,0.5313
1.8,-0.1345,0.5945,0.3752,0.5306,0.6331,0.5819,0.583,0.5575,0.5703,0.5894,0.4447,0.5171
1.9,-0.0516,0.5751,0.3859,0.5411,0.6052,0.5732,0.5619,0.5485,0.5552,0.5878,0.4208,0.5043
2,0.0317,0.5561,0.3978,0.5506,0.5758,0.5632,0.5444,0.5386,0.5415,0.5856,0.3999,0.4927
2.1,0.1123,0.5384,0.4086,0.5591,0.5458,0.5524,0.5295,0.5286,0.5291,0.5823,0.3813,0.4818
2.2,0.1885,0.5225,0.4168,0.5665,0.5161,0.5413,0.5167,0.5192,0.518,0.5779,0.3642,0.471
2.3,0.2593,0.5085,0.4217,0.5727,0.4874,0.5301,0.5055,0.5107,0.5081,0.5714,0.3481,0.4598
2.4,0.3245,0.4966,0.4233,0.5773,0.46,0.5186,0.4956,0.5028,0.4992,0.5622,0.3331,0.4476
2.5,0.3846,0.4866,0.4218,0.5802,0.4343,0.5072,0.4868,0.4959,0.4914,0.5501,0.3195,0.4348
2.6,0.4405,0.4781,0.4176,0.5817,0.4109,0.4963,0.4791,0.4904,0.4848,0.5352,0.3079,0.4216
2.7,0.4926,0.471,0.4106,0.5822,0.3907,0.4864,0.4724,0.4866,0.4795,0.5181,0.2987,0.4084
2.8,0.541,0.4654,0.4009,0.5822,0.3741,0.4781,0.4663,0.4845,0.4754,0.4988,0.2924,0.3956
2.9,0.585,0.4616,0.3887,0.5824,0.3613,0.4718,0.4606,0.4841,0.4723,0.4773,0.2895,0.3834
3,0.6236,0.46,0.3752,0.5832,0.3525,0.4679,0.4551,0.4855,0.4703,0.4533,0.2898,0.3715
3.1,0.6557,0.461,0.3624,0.5847,0.3481,0.4664,0.4502,0.489,0.4696,0.4271,0.2934,0.3603
3.2,0.681,0.4642,0.3524,0.5865,0.3487,0.4676,0.4463,0.4952,0.4707,0.4007,0.3005,0.3506
3.3,0.6997,0.4691,0.3469,0.5882,0.3546,0.4714,0.444,0.5041,0.4741,0.3764,0.3113,0.3439
3.4,0.7111,0.4749,0.3463,0.5892,0.3654,0.4773,0.4433,0.5157,0.4795,0.3557,0.326,0.3409
3.5,0.7136,0.4809,0.3499,0.5887,0.3798,0.4842,0.4435,0.5295,0.4865,0.3396,0.344,0.3418
3.6,0.7057,0.4866,0.3572,0.5858,0.3965,0.4911,0.4442,0.5448,0.4945,0.3284,0.3644,0.3464
3.7,0.6862,0.4916,0.3688,0.58,0.414,0.497,0.4455,0.5615,0.5035,0.3227,0.3868,0.3547
3.8,0.6551,0.4957,0.3863,0.5712,0.4318,0.5015,0.4485,0.5792,0.5138,0.3229,0.4115,0.3672
3.9,0.6135,0.4988,0.4108,0.5597,0.4502,0.505,0.4546,0.598,0.5263,0.3297,0.4392,0.3845
4,0.563,0.5007,0.442,0.5464,0.4691,0.5078,0.4642,0.6178,0.541,0.3435,0.4704,0.4069
