Time,Cadbury Respect Footy 15 TVC,Cadbury Respect Footy 15 TVC,Cadbury Respect Footy 15 TVC,Cadbury Respect Footy 15 TVC,Cadbury Respect Footy 15 TVC,Cadbury Respect Footy 15 TVC,Cadbury Respect Footy 15 TVC,Cadbury Respect Footy 15 TVC,Cadbury Respect Footy 15 TVC,Cadbury Respect Footy 15 TVC,Cadbury Respect Footy 15 TVC,Cadbury Respect Footy 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1542,0.7746,0.4131,0.6072,0.5322,0.5697,0.7946,0.6918,0.7432,0.6582,0.3691,0.5136
0.1,0.1349,0.7585,0.4053,0.5864,0.526,0.5562,0.774,0.6982,0.7361,0.6647,0.3806,0.5226
0.2,0.1181,0.7413,0.3954,0.5679,0.5238,0.5459,0.7521,0.7036,0.7279,0.6721,0.3922,0.5321
0.3,0.1039,0.7244,0.3844,0.5533,0.5261,0.5397,0.7295,0.7086,0.719,0.6797,0.4037,0.5417
0.4,0.0909,0.7082,0.3734,0.5438,0.5333,0.5386,0.7059,0.7138,0.7099,0.6874,0.4156,0.5515
0.5,0.0775,0.6933,0.363,0.5397,0.5454,0.5425,0.6814,0.7201,0.7008,0.6955,0.4285,0.562
0.6,0.0625,0.6796,0.3541,0.5405,0.5614,0.5509,0.6562,0.728,0.6921,0.7043,0.4435,0.5739
0.7,0.0454,0.6675,0.3476,0.5455,0.5805,0.563,0.6306,0.7373,0.6839,0.714,0.4613,0.5876
0.8,0.0263,0.6574,0.3449,0.5542,0.6025,0.5783,0.6047,0.7476,0.6762,0.7242,0.4815,0.6029
0.9,0.0058,0.6497,0.3474,0.5663,0.6268,0.5965,0.579,0.7589,0.669,0.7342,0.5031,0.6186
1,-0.0151,0.6443,0.3556,0.5814,0.6532,0.6173,0.5545,0.7712,0.6629,0.7433,0.5246,0.6339
1.1,-0.0354,0.641,0.3693,0.5992,0.6807,0.64,0.5319,0.7843,0.6581,0.7515,0.5452,0.6483
1.2,-0.0553,0.6397,0.3878,0.6185,0.7086,0.6636,0.5121,0.7969,0.6545,0.759,0.5647,0.6619
1.3,-0.075,0.6402,0.4097,0.6381,0.7364,0.6872,0.496,0.8076,0.6518,0.766,0.5825,0.6743
1.4,-0.095,0.6424,0.434,0.6566,0.7637,0.7102,0.4837,0.8155,0.6496,0.7725,0.597,0.6848
1.5,-0.1156,0.6458,0.4601,0.6733,0.7903,0.7318,0.475,0.8202,0.6476,0.7782,0.6071,0.6926
1.6,-0.1371,0.6496,0.4875,0.6879,0.8158,0.7518,0.4692,0.8218,0.6455,0.7829,0.6124,0.6977
1.7,-0.1591,0.653,0.5154,0.7003,0.8395,0.7699,0.4661,0.8199,0.643,0.7863,0.6139,0.7001
1.8,-0.1814,0.6554,0.5434,0.7111,0.8617,0.7864,0.4656,0.8147,0.6402,0.788,0.6129,0.7005
1.9,-0.2038,0.6564,0.5703,0.7204,0.8829,0.8016,0.4677,0.8069,0.6373,0.7874,0.6099,0.6986
2,-0.2258,0.6561,0.5951,0.7283,0.9036,0.8159,0.4719,0.797,0.6344,0.7837,0.6044,0.694
2.1,-0.2469,0.6542,0.6172,0.7346,0.9237,0.8291,0.4775,0.7852,0.6313,0.7762,0.5957,0.6859
2.2,-0.2672,0.6506,0.6357,0.7389,0.9423,0.8406,0.4836,0.7709,0.6273,0.7643,0.5837,0.674
2.3,-0.2872,0.6446,0.6505,0.7407,0.9587,0.8497,0.4901,0.754,0.622,0.7481,0.5693,0.6587
2.4,-0.3072,0.6361,0.6609,0.7397,0.9721,0.8559,0.497,0.7348,0.6159,0.7284,0.554,0.6412
2.5,-0.3269,0.6254,0.6668,0.736,0.9821,0.8591,0.5049,0.7143,0.6096,0.7059,0.5388,0.6223
2.6,-0.3446,0.6138,0.6685,0.7304,0.9886,0.8595,0.5135,0.6935,0.6035,0.6815,0.5241,0.6028
2.7,-0.3583,0.6026,0.6666,0.7237,0.9917,0.8577,0.5224,0.6736,0.598,0.6561,0.5098,0.5829
2.8,-0.3666,0.5929,0.6617,0.7161,0.9913,0.8537,0.5305,0.6555,0.593,0.6303,0.4958,0.563
2.9,-0.3692,0.5856,0.6541,0.7078,0.9869,0.8474,0.5366,0.6401,0.5884,0.6053,0.4823,0.5438
3,-0.3669,0.5808,0.6446,0.6989,0.9776,0.8382,0.5398,0.6278,0.5838,0.5821,0.4699,0.526
3.1,-0.3605,0.5784,0.6342,0.6897,0.9632,0.8265,0.5398,0.6189,0.5793,0.5623,0.4593,0.5108
3.2,-0.3505,0.5785,0.6241,0.6811,0.9445,0.8128,0.5366,0.6132,0.5749,0.5469,0.451,0.499
3.3,-0.3374,0.5812,0.6157,0.6734,0.9221,0.7978,0.5309,0.6106,0.5707,0.5367,0.4454,0.4911
3.4,-0.3222,0.5861,0.6099,0.6661,0.896,0.781,0.5231,0.6107,0.5669,0.5319,0.4423,0.4871
3.5,-0.3061,0.5921,0.6064,0.6585,0.8652,0.7619,0.5136,0.6134,0.5635,0.5319,0.4412,0.4866
3.6,-0.2907,0.598,0.604,0.6503,0.8297,0.74,0.502,0.6183,0.5602,0.536,0.4416,0.4888
3.7,-0.279,0.6035,0.6021,0.6411,0.791,0.7161,0.4881,0.6256,0.5568,0.5436,0.4438,0.4937
3.8,-0.2747,0.6086,0.6002,0.6307,0.7514,0.6911,0.4722,0.6353,0.5537,0.5542,0.4478,0.501
3.9,-0.2797,0.6131,0.5979,0.6185,0.7135,0.666,0.4551,0.6472,0.5511,0.5666,0.4525,0.5096
4,-0.2939,0.6163,0.5947,0.6038,0.6784,0.6411,0.4377,0.6607,0.5492,0.5789,0.4562,0.5175
4.1,-0.3161,0.6177,0.5904,0.5863,0.647,0.6166,0.4206,0.6749,0.5478,0.5893,0.4571,0.5232
4.2,-0.3451,0.6167,0.5848,0.5661,0.6193,0.5927,0.4046,0.6888,0.5467,0.5963,0.4547,0.5255
4.3,-0.3799,0.613,0.5778,0.5437,0.5956,0.5696,0.3897,0.7018,0.5457,0.5985,0.4488,0.5237
4.4,-0.4191,0.6061,0.5691,0.5197,0.5757,0.5477,0.3758,0.7136,0.5447,0.5955,0.4403,0.5179
4.5,-0.4602,0.5959,0.5587,0.4947,0.5589,0.5268,0.3629,0.7237,0.5433,0.588,0.4298,0.5089
4.6,-0.5005,0.5826,0.5469,0.4698,0.5445,0.5072,0.3508,0.7315,0.5412,0.5767,0.4183,0.4975
4.7,-0.538,0.5669,0.5338,0.4466,0.5322,0.4894,0.3396,0.7364,0.538,0.5622,0.4064,0.4843
