Time,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC,Cash Rewards - Beagle 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.3255,0.4478,0.4141,0.5873,0.2435,0.4154,0.4414,0.4537,0.4475,0.6758,0.5982,0.637
0.1,0.3224,0.4445,0.4695,0.5857,0.2503,0.418,0.4488,0.4462,0.4475,0.6872,0.6305,0.6588
0.2,0.3195,0.4444,0.5202,0.5866,0.2597,0.4232,0.456,0.4342,0.4451,0.696,0.6569,0.6764
0.3,0.3177,0.4472,0.5643,0.5904,0.2712,0.4308,0.4631,0.4188,0.4409,0.7029,0.6772,0.6901
0.4,0.3182,0.4528,0.601,0.5977,0.2846,0.4411,0.4699,0.4016,0.4357,0.7085,0.6923,0.7004
0.5,0.322,0.4614,0.6301,0.6084,0.2996,0.454,0.4758,0.3843,0.4301,0.7124,0.7028,0.7076
0.6,0.3296,0.4725,0.652,0.6222,0.3158,0.469,0.4799,0.3682,0.424,0.7147,0.7091,0.7119
0.7,0.34,0.4856,0.6669,0.638,0.3331,0.4855,0.4813,0.3536,0.4175,0.7152,0.7119,0.7136
0.8,0.351,0.4999,0.6757,0.6545,0.3513,0.5029,0.4797,0.341,0.4103,0.7148,0.7125,0.7136
0.9,0.3602,0.5146,0.6797,0.6705,0.3706,0.5206,0.475,0.3306,0.4028,0.7137,0.7121,0.7129
1,0.3657,0.5284,0.6802,0.6849,0.3908,0.5378,0.4678,0.3228,0.3953,0.7123,0.7114,0.7119
1.1,0.3676,0.5405,0.6782,0.697,0.4115,0.5543,0.4582,0.3177,0.388,0.7106,0.7104,0.7105
1.2,0.3673,0.5505,0.6743,0.7068,0.4325,0.5696,0.4469,0.3155,0.3812,0.7085,0.7092,0.7088
1.3,0.3659,0.5583,0.6689,0.7144,0.4537,0.584,0.4349,0.3162,0.3755,0.7063,0.7079,0.7071
1.4,0.3633,0.5642,0.6628,0.72,0.4755,0.5978,0.4234,0.3202,0.3718,0.7042,0.707,0.7056
1.5,0.3585,0.5684,0.6563,0.724,0.4985,0.6112,0.413,0.3277,0.3703,0.7024,0.7065,0.7045
1.6,0.3505,0.5715,0.65,0.7263,0.5227,0.6245,0.404,0.338,0.371,0.7012,0.7066,0.7039
1.7,0.3394,0.574,0.6444,0.7271,0.5482,0.6376,0.3963,0.3502,0.3733,0.7009,0.7072,0.7041
1.8,0.3256,0.5765,0.6401,0.7265,0.5748,0.6506,0.3902,0.3631,0.3767,0.7017,0.709,0.7054
1.9,0.3099,0.5795,0.6375,0.7246,0.6016,0.6631,0.3856,0.3765,0.3811,0.7043,0.7126,0.7085
2,0.2929,0.5829,0.637,0.7214,0.6269,0.6742,0.3827,0.3905,0.3866,0.7092,0.7184,0.7138
2.1,0.2749,0.5862,0.6388,0.7166,0.6487,0.6827,0.3812,0.4051,0.3932,0.7162,0.726,0.7211
2.2,0.2558,0.5884,0.6426,0.7099,0.6655,0.6877,0.381,0.4199,0.4004,0.7248,0.7346,0.7297
2.3,0.2356,0.5889,0.6478,0.7014,0.6765,0.6889,0.382,0.4338,0.4079,0.7346,0.7435,0.739
2.4,0.2144,0.5881,0.6538,0.6917,0.6817,0.6867,0.3841,0.4462,0.4151,0.7453,0.7523,0.7488
2.5,0.193,0.5864,0.6602,0.6818,0.6813,0.6815,0.3875,0.4574,0.4225,0.7572,0.7611,0.7592
2.6,0.1719,0.5846,0.6664,0.6724,0.6761,0.6743,0.3928,0.4681,0.4305,0.7704,0.7702,0.7703
2.7,0.1513,0.5829,0.6719,0.6641,0.6665,0.6653,0.4001,0.4788,0.4394,0.7847,0.779,0.7818
2.8,0.1314,0.5814,0.6758,0.6567,0.6532,0.6549,0.4094,0.4893,0.4494,0.8,0.7866,0.7933
2.9,0.1126,0.5804,0.6778,0.6502,0.6371,0.6436,0.4207,0.4991,0.4599,0.816,0.7926,0.8043
3,0.0954,0.5805,0.6782,0.645,0.619,0.632,0.4337,0.508,0.4709,0.8329,0.7966,0.8147
3.1,0.0804,0.582,0.6781,0.641,0.6,0.6205,0.4482,0.5163,0.4822,0.8502,0.7984,0.8243
3.2,0.0669,0.5858,0.678,0.6382,0.5807,0.6094,0.4635,0.524,0.4937,0.867,0.7978,0.8324
3.3,0.0538,0.592,0.6777,0.6361,0.5622,0.5991,0.479,0.5313,0.5052,0.8826,0.7939,0.8382
3.4,0.04,0.6006,0.6765,0.6346,0.5453,0.5899,0.4947,0.538,0.5164,0.8963,0.7862,0.8412
3.5,0.0253,0.6114,0.6745,0.6335,0.5309,0.5822,0.5112,0.5443,0.5277,0.9076,0.7752,0.8414
3.6,0.0102,0.624,0.6726,0.6331,0.52,0.5765,0.5291,0.5508,0.5399,0.9165,0.7624,0.8394
3.7,-0.0047,0.6379,0.6719,0.6335,0.5132,0.5733,0.5487,0.5589,0.5538,0.9227,0.7498,0.8362
3.8,-0.0195,0.6526,0.6729,0.6353,0.5112,0.5733,0.5699,0.5694,0.5696,0.9256,0.7386,0.8321
3.9,-0.0347,0.6681,0.6751,0.6388,0.5147,0.5768,0.5921,0.5819,0.587,0.925,0.7288,0.8269
4,-0.0513,0.6841,0.6775,0.6447,0.5238,0.5842,0.6149,0.596,0.6055,0.9209,0.72,0.8204
4.1,-0.0699,0.7007,0.6796,0.6533,0.5384,0.5959,0.6378,0.6111,0.6244,0.9137,0.7119,0.8128
4.2,-0.0902,0.7178,0.6816,0.6647,0.5584,0.6115,0.6602,0.6265,0.6434,0.9039,0.7045,0.8042
4.3,-0.1109,0.7347,0.6835,0.6784,0.5826,0.6305,0.6815,0.6419,0.6617,0.8916,0.698,0.7948
4.4,-0.1305,0.751,0.6853,0.6937,0.6099,0.6518,0.7013,0.6565,0.6789,0.8774,0.6925,0.7849
4.5,-0.1475,0.7664,0.6866,0.71,0.6387,0.6743,0.7193,0.6695,0.6944,0.8625,0.6885,0.7755
4.6,-0.1618,0.7806,0.6871,0.7264,0.6676,0.697,0.7354,0.6799,0.7076,0.8486,0.6863,0.7675
4.7,-0.1738,0.7934,0.6864,0.7421,0.6959,0.719,0.7489,0.6872,0.718,0.8369,0.6861,0.7615
4.8,-0.1839,0.8044,0.6845,0.7564,0.7232,0.7398,0.7597,0.6911,0.7254,0.8279,0.6883,0.7581
4.9,-0.1915,0.8134,0.6815,0.7686,0.7495,0.7591,0.7677,0.6918,0.7298,0.8219,0.6927,0.7573
5,-0.1961,0.8197,0.6777,0.7783,0.7741,0.7762,0.7734,0.6893,0.7313,0.8193,0.6996,0.7594
5.1,-0.1975,0.8232,0.6736,0.7847,0.796,0.7904,0.7773,0.6839,0.7306,0.8205,0.7087,0.7646
5.2,-0.1963,0.8234,0.6693,0.7875,0.8145,0.801,0.7796,0.6762,0.7279,0.8256,0.7198,0.7727
5.3,-0.1932,0.8202,0.6652,0.7864,0.8292,0.8078,0.7803,0.6669,0.7236,0.8341,0.7321,0.7831
5.4,-0.1895,0.814,0.6615,0.7815,0.8401,0.8108,0.7795,0.6568,0.7182,0.8452,0.7452,0.7952
5.5,-0.1861,0.8054,0.6584,0.7734,0.8474,0.8104,0.7774,0.6465,0.7119,0.858,0.7585,0.8082
5.6,-0.1833,0.7952,0.6559,0.7627,0.8513,0.807,0.774,0.6362,0.7051,0.8726,0.7721,0.8224
5.7,-0.1816,0.7841,0.654,0.7492,0.8522,0.8007,0.7694,0.6261,0.6977,0.889,0.7864,0.8377
5.8,-0.1812,0.7725,0.6523,0.7323,0.8507,0.7915,0.7631,0.6166,0.6898,0.9068,0.8014,0.8541
5.9,-0.1824,0.7609,0.6506,0.7116,0.8475,0.7795,0.7549,0.6081,0.6815,0.9255,0.8167,0.8711
6,-0.1854,0.75,0.6486,0.6873,0.8431,0.7652,0.7448,0.6008,0.6728,0.944,0.832,0.888
6.1,-0.1899,0.7405,0.6462,0.6606,0.838,0.7493,0.7329,0.5947,0.6638,0.961,0.8464,0.9037
6.2,-0.1951,0.733,0.6435,0.6327,0.8324,0.7326,0.7191,0.5895,0.6543,0.9756,0.8594,0.9175
6.3,-0.2007,0.7278,0.6409,0.6048,0.827,0.7159,0.7036,0.5846,0.6441,0.9869,0.8708,0.9288
6.4,-0.2065,0.7246,0.6386,0.5776,0.8222,0.6999,0.6864,0.58,0.6332,0.9946,0.8807,0.9376
6.5,-0.2123,0.723,0.6365,0.5519,0.8185,0.6852,0.6682,0.5759,0.622,0.9981,0.8891,0.9436
6.6,-0.2179,0.7228,0.6345,0.5288,0.8161,0.6724,0.6501,0.5726,0.6113,0.9969,0.8958,0.9463
