Time,Carlton Draught - See you at the pub 30 TVC,Carlton Draught - See you at the pub 30 TVC,Carlton Draught - See you at the pub 30 TVC,Carlton Draught - See you at the pub 30 TVC,Carlton Draught - See you at the pub 30 TVC,Carlton Draught - See you at the pub 30 TVC,Carlton Draught - See you at the pub 30 TVC,Carlton Draught - See you at the pub 30 TVC,Carlton Draught - See you at the pub 30 TVC,Carlton Draught - See you at the pub 30 TVC,Carlton Draught - See you at the pub 30 TVC,Carlton Draught - See you at the pub 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.2296,0.4155,0.3817,0.6165,0.5444,0.5804,0.3505,0.4057,0.3781,0.3499,0.4817,0.4158
0.1,0.2055,0.3873,0.3845,0.5979,0.5476,0.5728,0.3407,0.4071,0.3739,0.3454,0.4588,0.4021
0.2,0.1749,0.3635,0.3857,0.5785,0.5559,0.5672,0.3324,0.4106,0.3715,0.3407,0.4349,0.3878
0.3,0.1382,0.3449,0.3853,0.5589,0.5688,0.5638,0.327,0.4163,0.3717,0.3349,0.4097,0.3723
0.4,0.0969,0.3314,0.3837,0.5388,0.5851,0.562,0.3254,0.4244,0.3749,0.3275,0.3828,0.3552
0.5,0.053,0.3226,0.3813,0.5184,0.6032,0.5608,0.3281,0.4347,0.3814,0.3184,0.3547,0.3365
0.6,0.0088,0.3188,0.3783,0.4984,0.6223,0.5603,0.3353,0.447,0.3911,0.308,0.3263,0.3171
0.7,-0.034,0.3202,0.3754,0.4798,0.6421,0.561,0.3461,0.4613,0.4037,0.2968,0.2988,0.2978
0.8,-0.0738,0.327,0.3732,0.464,0.6627,0.5633,0.3599,0.4776,0.4188,0.2856,0.2735,0.2796
0.9,-0.1087,0.3389,0.3722,0.4518,0.6834,0.5676,0.3762,0.4959,0.436,0.2749,0.2513,0.2631
1,-0.138,0.3554,0.3728,0.4437,0.7035,0.5736,0.3945,0.5153,0.4549,0.2646,0.2332,0.2489
1.1,-0.1618,0.3761,0.3752,0.4401,0.7223,0.5812,0.4141,0.5351,0.4746,0.2551,0.2196,0.2373
1.2,-0.1805,0.4006,0.3794,0.4409,0.7397,0.5903,0.4343,0.5546,0.4945,0.2462,0.2111,0.2286
1.3,-0.1937,0.4282,0.3858,0.4454,0.7547,0.6,0.4542,0.5732,0.5137,0.238,0.2075,0.2227
1.4,-0.1996,0.4572,0.3948,0.4528,0.766,0.6094,0.4729,0.5898,0.5314,0.2301,0.2082,0.2191
1.5,-0.1969,0.4858,0.4059,0.4622,0.772,0.6171,0.4903,0.6035,0.5469,0.2222,0.2125,0.2173
1.6,-0.1857,0.512,0.4184,0.4726,0.7721,0.6223,0.5061,0.6134,0.5598,0.2143,0.2203,0.2173
1.7,-0.1686,0.5349,0.4316,0.4836,0.7661,0.6249,0.5205,0.6188,0.5697,0.2074,0.2318,0.2196
1.8,-0.1487,0.5536,0.4447,0.4945,0.7548,0.6247,0.533,0.6193,0.5761,0.2022,0.2471,0.2247
1.9,-0.1291,0.5673,0.4575,0.505,0.739,0.622,0.5435,0.6143,0.5789,0.1991,0.2662,0.2326
2,-0.1115,0.5754,0.47,0.5145,0.719,0.6167,0.5521,0.6038,0.5779,0.1983,0.2886,0.2435
2.1,-0.0972,0.5773,0.4824,0.5224,0.6957,0.6091,0.5592,0.5882,0.5737,0.2007,0.3141,0.2574
2.2,-0.0878,0.5731,0.495,0.5284,0.6707,0.5996,0.5653,0.5689,0.5671,0.2076,0.3428,0.2752
2.3,-0.0849,0.5637,0.5075,0.5327,0.6458,0.5892,0.5712,0.547,0.5591,0.2211,0.3751,0.2981
2.4,-0.0889,0.5505,0.5192,0.5355,0.6223,0.5789,0.577,0.524,0.5505,0.2424,0.4109,0.3267
2.5,-0.0985,0.5348,0.5291,0.5375,0.6006,0.569,0.5834,0.5005,0.5419,0.2716,0.4495,0.3606
2.6,-0.1115,0.5174,0.5367,0.539,0.5807,0.5598,0.591,0.4768,0.5339,0.3084,0.4894,0.3989
2.7,-0.1261,0.4994,0.5413,0.5406,0.5628,0.5517,0.6006,0.4533,0.527,0.3523,0.5297,0.441
2.8,-0.1413,0.4824,0.5427,0.5431,0.5472,0.5451,0.6125,0.4304,0.5214,0.4027,0.5698,0.4862
2.9,-0.1557,0.4679,0.5412,0.5468,0.5343,0.5405,0.6266,0.4084,0.5175,0.4576,0.6093,0.5334
3,-0.1676,0.4578,0.537,0.5523,0.5245,0.5384,0.6429,0.3877,0.5153,0.5148,0.6474,0.5811
3.1,-0.1758,0.4532,0.5302,0.5598,0.5182,0.539,0.6607,0.3683,0.5145,0.5717,0.6825,0.6271
3.2,-0.1804,0.4546,0.5212,0.569,0.515,0.542,0.6793,0.3502,0.5147,0.6257,0.7132,0.6695
3.3,-0.1823,0.4619,0.5105,0.5792,0.5145,0.5469,0.6982,0.3334,0.5158,0.6746,0.7389,0.7067
3.4,-0.1823,0.4747,0.4986,0.5894,0.5166,0.553,0.7168,0.3183,0.5176,0.7168,0.7594,0.7381
3.5,-0.1808,0.492,0.4858,0.5986,0.5208,0.5597,0.7349,0.3054,0.5201,0.7515,0.775,0.7633
3.6,-0.1775,0.5123,0.4727,0.6057,0.5267,0.5662,0.7518,0.2946,0.5232,0.7783,0.7857,0.782
3.7,-0.172,0.534,0.4598,0.6093,0.5332,0.5712,0.7664,0.286,0.5262,0.7971,0.7914,0.7942
3.8,-0.1643,0.5558,0.4473,0.6086,0.539,0.5738,0.7771,0.2792,0.5281,0.8082,0.7923,0.8002
3.9,-0.1546,0.5772,0.4357,0.6029,0.5434,0.5731,0.7829,0.2742,0.5285,0.8123,0.7887,0.8005
4,-0.1431,0.598,0.4259,0.5922,0.5465,0.5693,0.7836,0.2713,0.5275,0.8099,0.7812,0.7955
4.1,-0.1297,0.6178,0.4186,0.5767,0.5484,0.5625,0.7797,0.2713,0.5255,0.8019,0.7702,0.7861
4.2,-0.1138,0.6358,0.4139,0.5565,0.549,0.5527,0.7724,0.2746,0.5235,0.7892,0.7564,0.7728
4.3,-0.0957,0.6509,0.4112,0.5318,0.5478,0.5398,0.7623,0.2808,0.5215,0.7726,0.74,0.7563
4.4,-0.0766,0.6618,0.4101,0.5026,0.5442,0.5234,0.7495,0.2891,0.5193,0.7536,0.7219,0.7377
4.5,-0.0576,0.6677,0.4101,0.4693,0.5373,0.5033,0.7341,0.2987,0.5164,0.7334,0.7026,0.718
4.6,-0.0401,0.6676,0.4113,0.432,0.5264,0.4792,0.7164,0.3093,0.5129,0.7131,0.6827,0.6979
4.7,-0.0252,0.6606,0.4137,0.391,0.511,0.451,0.6969,0.3205,0.5087,0.6934,0.6626,0.678
4.8,-0.0148,0.6465,0.4166,0.3471,0.4916,0.4193,0.6754,0.332,0.5037,0.6747,0.642,0.6584
4.9,-0.011,0.626,0.4195,0.3026,0.4692,0.3859,0.6528,0.3438,0.4983,0.6579,0.6214,0.6397
5,-0.0151,0.6004,0.4225,0.26,0.4454,0.3527,0.6298,0.3564,0.4931,0.6439,0.6013,0.6226
5.1,-0.0262,0.5716,0.4263,0.2219,0.4213,0.3216,0.6074,0.3702,0.4888,0.6332,0.5827,0.608
5.2,-0.0421,0.5414,0.4315,0.1905,0.3983,0.2944,0.5869,0.3862,0.4865,0.626,0.5661,0.596
5.3,-0.0605,0.5116,0.4387,0.1676,0.3781,0.2728,0.5693,0.4044,0.4868,0.6223,0.5515,0.5869
5.4,-0.0794,0.4837,0.4475,0.1536,0.3616,0.2576,0.555,0.4246,0.4898,0.622,0.5393,0.5807
5.5,-0.0976,0.4586,0.4576,0.1475,0.3493,0.2484,0.5441,0.446,0.4951,0.6252,0.5296,0.5774
5.6,-0.1142,0.4372,0.4684,0.1483,0.3415,0.2449,0.5367,0.4683,0.5025,0.6316,0.5228,0.5772
5.7,-0.1282,0.4199,0.4794,0.1546,0.338,0.2463,0.5327,0.4911,0.5119,0.6408,0.5192,0.58
5.8,-0.1382,0.4069,0.4894,0.1647,0.3382,0.2515,0.5316,0.5138,0.5227,0.6516,0.5178,0.5847
5.9,-0.1426,0.3978,0.4974,0.1774,0.3414,0.2594,0.5326,0.5352,0.5339,0.6633,0.5175,0.5904
6,-0.1407,0.3925,0.5024,0.1918,0.347,0.2694,0.5345,0.5537,0.5441,0.6749,0.5166,0.5958
6.1,-0.1317,0.3912,0.5036,0.208,0.3547,0.2814,0.5361,0.5686,0.5524,0.6859,0.5143,0.6001
6.2,-0.1146,0.3943,0.5009,0.2259,0.3649,0.2954,0.5365,0.5796,0.558,0.6946,0.5099,0.6023
6.3,-0.0896,0.4016,0.4951,0.2451,0.3778,0.3114,0.5348,0.5868,0.5608,0.699,0.5031,0.601
6.4,-0.0585,0.4124,0.4867,0.2645,0.3932,0.3288,0.5306,0.5903,0.5604,0.698,0.4931,0.5955
6.5,-0.0239,0.4252,0.4763,0.2829,0.4101,0.3465,0.5234,0.59,0.5567,0.6912,0.4793,0.5853
6.6,0.0111,0.4388,0.4641,0.2994,0.428,0.3637,0.5138,0.5859,0.5498,0.6787,0.4615,0.5701
6.7,0.0448,0.4523,0.4499,0.3136,0.446,0.3798,0.5028,0.5786,0.5407,0.661,0.4398,0.5504
6.8,0.0763,0.4652,0.4341,0.326,0.464,0.395,0.4917,0.5689,0.5303,0.6391,0.4149,0.527
6.9,0.1052,0.4778,0.4176,0.3371,0.482,0.4096,0.4815,0.5576,0.5196,0.614,0.3877,0.5008
7,0.1318,0.4903,0.4011,0.348,0.4995,0.4238,0.4725,0.5452,0.5088,0.5865,0.3595,0.473
7.1,0.1567,0.5032,0.3853,0.3596,0.5158,0.4377,0.4649,0.5314,0.4981,0.5575,0.3315,0.4445
7.2,0.1808,0.5168,0.37,0.3728,0.53,0.4514,0.4585,0.5163,0.4874,0.5281,0.3051,0.4166
7.3,0.2048,0.5308,0.3556,0.3883,0.5416,0.4649,0.4539,0.5002,0.477,0.4996,0.2809,0.3903
7.4,0.2283,0.545,0.3425,0.4064,0.5502,0.4783,0.4512,0.4836,0.4674,0.4732,0.2592,0.3662
7.5,0.25,0.5588,0.331,0.4274,0.5558,0.4916,0.4507,0.4667,0.4587,0.4496,0.2404,0.345
7.6,0.2681,0.572,0.3214,0.4513,0.5583,0.5048,0.4518,0.4496,0.4507,0.4293,0.2253,0.3273
7.7,0.2811,0.5847,0.3139,0.4779,0.5584,0.5182,0.4536,0.4322,0.4429,0.413,0.2145,0.3138
7.8,0.2885,0.5964,0.309,0.5064,0.5567,0.5316,0.4551,0.4149,0.435,0.4015,0.2084,0.3049
7.9,0.291,0.6068,0.3072,0.5353,0.554,0.5447,0.4558,0.3986,0.4272,0.3946,0.2069,0.3008
8,0.2892,0.6153,0.309,0.563,0.5508,0.5569,0.4556,0.3845,0.4201,0.3911,0.2099,0.3005
8.1,0.2843,0.6217,0.3144,0.5879,0.5476,0.5677,0.4546,0.373,0.4138,0.3897,0.2167,0.3032
8.2,0.2778,0.6266,0.3228,0.6094,0.5446,0.577,0.4528,0.3643,0.4085,0.3892,0.2266,0.3079
8.3,0.2718,0.6307,0.3342,0.6278,0.5419,0.5848,0.4512,0.358,0.4046,0.3896,0.2394,0.3145
8.4,0.2681,0.6339,0.3485,0.6429,0.5391,0.591,0.4502,0.3537,0.4019,0.3909,0.2548,0.3228
8.5,0.2673,0.6356,0.3652,0.6541,0.5361,0.5951,0.4497,0.3508,0.4003,0.3927,0.2724,0.3325
8.6,0.2684,0.6349,0.3834,0.66,0.5328,0.5964,0.4489,0.3491,0.399,0.3949,0.2913,0.3431
8.7,0.2701,0.6307,0.4018,0.6593,0.5296,0.5945,0.4469,0.3483,0.3976,0.3971,0.3108,0.3539
8.8,0.2726,0.6227,0.4197,0.6516,0.5262,0.5889,0.4434,0.3483,0.3959,0.399,0.33,0.3645
8.9,0.2767,0.611,0.4369,0.6369,0.5222,0.5796,0.4387,0.3494,0.3941,0.4003,0.3483,0.3743
9,0.284,0.5965,0.4533,0.6164,0.5174,0.5669,0.433,0.3515,0.3923,0.4007,0.3652,0.383
9.1,0.2954,0.5797,0.4682,0.5913,0.5116,0.5514,0.4265,0.3546,0.3905,0.4005,0.3801,0.3903
9.2,0.311,0.5613,0.481,0.563,0.5051,0.5341,0.4196,0.3583,0.389,0.4001,0.393,0.3965
9.3,0.3292,0.5417,0.4915,0.5331,0.4983,0.5157,0.4128,0.3627,0.3878,0.3998,0.4039,0.4019
9.4,0.348,0.5218,0.5002,0.5029,0.4916,0.4972,0.407,0.3678,0.3874,0.3998,0.4135,0.4067
9.5,0.3645,0.5028,0.5077,0.4738,0.4857,0.4798,0.4032,0.3739,0.3885,0.4,0.4225,0.4113
9.6,0.3759,0.4858,0.5144,0.4475,0.4819,0.4647,0.4023,0.381,0.3916,0.4006,0.4317,0.4162
9.7,0.3799,0.4715,0.5205,0.4255,0.4812,0.4534,0.4049,0.3892,0.3971,0.4027,0.4418,0.4222
9.8,0.3757,0.4604,0.5265,0.4091,0.4837,0.4464,0.4114,0.3985,0.4049,0.4076,0.4533,0.4305
9.9,0.364,0.4531,0.5326,0.3988,0.4892,0.444,0.4223,0.4086,0.4155,0.4166,0.4671,0.4419
10,0.346,0.4507,0.5389,0.3952,0.4972,0.4462,0.4385,0.4196,0.4291,0.4301,0.4838,0.4569
10.1,0.3229,0.4543,0.5451,0.3986,0.5077,0.4531,0.46,0.4311,0.4455,0.4481,0.5038,0.476
10.2,0.2955,0.4641,0.5512,0.4091,0.5205,0.4648,0.4859,0.4424,0.4642,0.47,0.5274,0.4987
10.3,0.2649,0.4788,0.5575,0.4259,0.5349,0.4804,0.5148,0.453,0.4839,0.4945,0.5543,0.5244
10.4,0.2331,0.4966,0.5641,0.448,0.5492,0.4986,0.545,0.4627,0.5038,0.5202,0.5838,0.552
10.5,0.2019,0.5155,0.5707,0.4742,0.562,0.5181,0.5753,0.4716,0.5235,0.5453,0.6144,0.5798
10.6,0.172,0.5347,0.5771,0.5032,0.5729,0.5381,0.6049,0.48,0.5424,0.5686,0.6439,0.6062
10.7,0.1428,0.5538,0.5828,0.5338,0.5822,0.558,0.6323,0.4881,0.5602,0.5886,0.671,0.6298
10.8,0.1136,0.5725,0.5884,0.5649,0.5905,0.5777,0.6558,0.496,0.5759,0.6046,0.695,0.6498
10.9,0.0844,0.59,0.5937,0.5948,0.5983,0.5965,0.6739,0.5037,0.5888,0.6163,0.7157,0.666
11,0.0558,0.6054,0.598,0.6222,0.6054,0.6138,0.6856,0.5102,0.5979,0.6238,0.7327,0.6783
11.1,0.029,0.6181,0.5996,0.6453,0.6112,0.6283,0.6903,0.5143,0.6023,0.6271,0.7448,0.686
11.2,0.0046,0.6275,0.5969,0.663,0.6147,0.6388,0.6877,0.5143,0.601,0.6255,0.7505,0.688
11.3,-0.0169,0.6331,0.5891,0.674,0.6145,0.6443,0.6775,0.5091,0.5933,0.6181,0.7487,0.6834
11.4,-0.0355,0.6346,0.5757,0.6779,0.6094,0.6437,0.6598,0.4982,0.579,0.6043,0.739,0.6716
11.5,-0.0509,0.6317,0.5568,0.6745,0.5985,0.6365,0.6347,0.4815,0.5581,0.5841,0.7216,0.6529
11.6,-0.063,0.6241,0.5324,0.6641,0.5817,0.6229,0.6032,0.4591,0.5312,0.5586,0.6971,0.6279
11.7,-0.0725,0.6117,0.5029,0.6466,0.5598,0.6032,0.5663,0.432,0.4992,0.5292,0.6666,0.5979
11.8,-0.0811,0.5939,0.469,0.6219,0.5339,0.5779,0.5254,0.4013,0.4634,0.4971,0.6315,0.5643
11.9,-0.0906,0.5706,0.4318,0.5899,0.505,0.5475,0.4819,0.3686,0.4253,0.4634,0.5931,0.5283
12,-0.1016,0.5424,0.3924,0.5519,0.4742,0.5131,0.4373,0.3356,0.3865,0.4288,0.5529,0.4908
12.1,-0.113,0.5113,0.3522,0.5097,0.4425,0.4761,0.3931,0.304,0.3485,0.3946,0.5124,0.4535
12.2,-0.124,0.4792,0.3128,0.4658,0.4107,0.4383,0.3507,0.2752,0.3129,0.3623,0.4731,0.4177
12.3,-0.1344,0.4478,0.2757,0.4223,0.3798,0.4011,0.3116,0.2501,0.2809,0.3334,0.4364,0.3849
12.4,-0.145,0.4184,0.2422,0.3813,0.3509,0.3661,0.2773,0.2299,0.2536,0.3091,0.4036,0.3564
12.5,-0.1568,0.392,0.2136,0.3448,0.325,0.3349,0.2492,0.2158,0.2325,0.2908,0.376,0.3334
12.6,-0.1707,0.3698,0.1912,0.3145,0.3035,0.309,0.2289,0.2087,0.2188,0.2791,0.3541,0.3166
12.7,-0.1875,0.3528,0.1757,0.2917,0.2877,0.2897,0.2173,0.209,0.2131,0.2746,0.3385,0.3066
12.8,-0.2077,0.3423,0.168,0.2768,0.2792,0.278,0.2151,0.2165,0.2158,0.2773,0.3293,0.3033
12.9,-0.2315,0.3388,0.1682,0.2702,0.279,0.2746,0.2225,0.2312,0.2268,0.287,0.3261,0.3066
13,-0.2582,0.3423,0.1759,0.2717,0.2869,0.2793,0.2389,0.2526,0.2457,0.3034,0.3288,0.3161
13.1,-0.286,0.3524,0.1911,0.2805,0.3015,0.291,0.2633,0.28,0.2716,0.326,0.3368,0.3314
13.2,-0.3132,0.3683,0.2134,0.2954,0.3211,0.3083,0.2947,0.3119,0.3033,0.3537,0.3494,0.3515
13.3,-0.3386,0.3893,0.2414,0.3152,0.3435,0.3294,0.332,0.3467,0.3393,0.3851,0.3655,0.3753
13.4,-0.3609,0.4148,0.2738,0.3391,0.3674,0.3532,0.3739,0.3822,0.378,0.4184,0.3839,0.4012
13.5,-0.3788,0.4441,0.309,0.3664,0.3915,0.379,0.4186,0.4169,0.4177,0.4517,0.4033,0.4275
13.6,-0.3921,0.4759,0.3458,0.3965,0.4146,0.4056,0.4636,0.4497,0.4566,0.4828,0.4229,0.4528
