Time,Cash Rewards - Fish 30 TVC,Cash Rewards - Fish 30 TVC,Cash Rewards - Fish 30 TVC,Cash Rewards - Fish 30 TVC,Cash Rewards - Fish 30 TVC,Cash Rewards - Fish 30 TVC,Cash Rewards - Fish 30 TVC,Cash Rewards - Fish 30 TVC,Cash Rewards - Fish 30 TVC,Cash Rewards - Fish 30 TVC,Cash Rewards - Fish 30 TVC,Cash Rewards - Fish 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.066,0.5251,0.5274,0.378,0.5848,0.4814,0.5867,0.3752,0.4809,0.5997,0.3216,0.4607
0.1,-0.0682,0.5294,0.5392,0.377,0.5773,0.4772,0.5738,0.3867,0.4803,0.6078,0.3373,0.4725
0.2,-0.0683,0.5338,0.5509,0.3787,0.5692,0.4739,0.5657,0.4003,0.483,0.6183,0.3559,0.4871
0.3,-0.0672,0.5384,0.562,0.3828,0.5607,0.4717,0.563,0.4157,0.4894,0.6304,0.3762,0.5033
0.4,-0.0668,0.5432,0.5723,0.3896,0.5521,0.4708,0.5656,0.4328,0.4992,0.6422,0.3968,0.5195
0.5,-0.0686,0.5486,0.5816,0.3989,0.5438,0.4714,0.5728,0.4514,0.5121,0.6524,0.4168,0.5346
0.6,-0.0731,0.5543,0.5902,0.4105,0.5358,0.4731,0.5843,0.4717,0.528,0.6602,0.4364,0.5483
0.7,-0.0803,0.5602,0.599,0.4235,0.5281,0.4758,0.5993,0.4937,0.5465,0.6655,0.4558,0.5607
0.8,-0.0902,0.5658,0.6082,0.4375,0.5209,0.4792,0.6167,0.5171,0.5669,0.6687,0.475,0.5718
0.9,-0.1025,0.5711,0.6181,0.4519,0.5149,0.4834,0.6354,0.5409,0.5881,0.6699,0.4937,0.5818
1,-0.1176,0.5759,0.6287,0.4659,0.5106,0.4882,0.6544,0.5643,0.6094,0.6697,0.5118,0.5907
1.1,-0.135,0.5797,0.6397,0.4788,0.5081,0.4934,0.6729,0.587,0.63,0.6685,0.5297,0.5991
1.2,-0.1534,0.5821,0.6513,0.4903,0.5068,0.4985,0.6899,0.6089,0.6494,0.6669,0.5481,0.6075
1.3,-0.1712,0.5832,0.6635,0.5003,0.5061,0.5032,0.7047,0.63,0.6673,0.6655,0.5675,0.6165
1.4,-0.1862,0.5838,0.6764,0.5094,0.506,0.5077,0.7169,0.6501,0.6835,0.6645,0.5879,0.6262
1.5,-0.1967,0.5847,0.6898,0.5179,0.5067,0.5123,0.7265,0.6692,0.6979,0.6642,0.6093,0.6367
1.6,-0.2018,0.5864,0.7036,0.5259,0.5087,0.5173,0.7337,0.6871,0.7104,0.6649,0.6317,0.6483
1.7,-0.2016,0.589,0.7172,0.5333,0.512,0.5227,0.7386,0.7032,0.7209,0.6672,0.6554,0.6613
1.8,-0.196,0.592,0.7301,0.5403,0.5163,0.5283,0.7411,0.717,0.729,0.6715,0.6809,0.6762
1.9,-0.1849,0.595,0.7419,0.5469,0.5208,0.5339,0.7411,0.7274,0.7342,0.6782,0.7079,0.693
2,-0.168,0.598,0.7524,0.5534,0.525,0.5392,0.7387,0.7337,0.7362,0.687,0.7355,0.7113
2.1,-0.1458,0.601,0.7615,0.5594,0.5286,0.544,0.7343,0.7351,0.7347,0.6975,0.7629,0.7302
2.2,-0.12,0.6044,0.769,0.565,0.5318,0.5484,0.7278,0.7318,0.7298,0.709,0.7892,0.7491
2.3,-0.092,0.6083,0.775,0.57,0.5346,0.5523,0.7193,0.7243,0.7218,0.7206,0.8138,0.7672
2.4,-0.0627,0.6127,0.7795,0.5745,0.5368,0.5556,0.7087,0.7135,0.7111,0.7315,0.8363,0.7839
2.5,-0.0321,0.6172,0.7827,0.5786,0.5384,0.5585,0.6966,0.7,0.6983,0.7417,0.8562,0.799
2.6,0.0001,0.6219,0.7845,0.5829,0.5396,0.5613,0.6844,0.6849,0.6846,0.7517,0.8733,0.8125
2.7,0.0331,0.6269,0.7846,0.5881,0.5414,0.5647,0.6738,0.6688,0.6713,0.762,0.8873,0.8247
2.8,0.0657,0.6324,0.7829,0.5947,0.5443,0.5695,0.6654,0.6525,0.659,0.7727,0.8983,0.8355
2.9,0.0963,0.639,0.7794,0.6036,0.5488,0.5762,0.6593,0.6361,0.6477,0.7834,0.9063,0.8448
3,0.1236,0.6472,0.7744,0.6151,0.555,0.585,0.6551,0.6196,0.6374,0.7932,0.9115,0.8524
3.1,0.1464,0.6573,0.7683,0.6294,0.5631,0.5962,0.6524,0.6036,0.628,0.8019,0.9141,0.858
3.2,0.1639,0.6693,0.7617,0.6464,0.5732,0.6098,0.6506,0.5883,0.6194,0.809,0.9142,0.8616
3.3,0.1758,0.6827,0.7547,0.6653,0.585,0.6252,0.6492,0.574,0.6116,0.8138,0.912,0.8629
3.4,0.182,0.6969,0.747,0.6851,0.598,0.6415,0.6479,0.5608,0.6043,0.8157,0.907,0.8613
3.5,0.1824,0.7115,0.7384,0.7046,0.6115,0.658,0.6461,0.5488,0.5975,0.8137,0.8987,0.8562
3.6,0.1774,0.7264,0.7286,0.7226,0.6255,0.6741,0.6439,0.5383,0.5911,0.8078,0.8869,0.8474
3.7,0.1676,0.7414,0.718,0.7385,0.6403,0.6894,0.6413,0.53,0.5856,0.7986,0.8723,0.8355
3.8,0.1534,0.756,0.7072,0.7514,0.6564,0.7039,0.639,0.5245,0.5818,0.7872,0.856,0.8216
3.9,0.1353,0.7696,0.6967,0.7607,0.6739,0.7173,0.6376,0.5223,0.5799,0.775,0.839,0.807
4,0.1141,0.7815,0.6868,0.7655,0.6929,0.7292,0.6375,0.5237,0.5806,0.7634,0.822,0.7927
4.1,0.0908,0.7911,0.6777,0.7654,0.713,0.7392,0.6391,0.5284,0.5838,0.7536,0.8053,0.7795
4.2,0.067,0.7984,0.6696,0.7602,0.734,0.7471,0.6431,0.5363,0.5897,0.7466,0.7894,0.768
4.3,0.0441,0.8033,0.6628,0.7503,0.7552,0.7528,0.6499,0.5475,0.5987,0.7433,0.775,0.7592
4.4,0.0228,0.8056,0.6574,0.7365,0.7759,0.7562,0.6598,0.5624,0.6111,0.7444,0.7634,0.7539
4.5,0.0039,0.8052,0.6536,0.7194,0.7952,0.7573,0.6731,0.581,0.6271,0.7505,0.7553,0.7529
4.6,-0.0118,0.8022,0.6514,0.7005,0.8124,0.7564,0.6897,0.6026,0.6461,0.7616,0.7512,0.7564
4.7,-0.0228,0.7972,0.6505,0.6812,0.8269,0.7541,0.7094,0.6258,0.6676,0.7772,0.7507,0.764
4.8,-0.0277,0.7905,0.6507,0.6629,0.8382,0.7505,0.7316,0.6489,0.6903,0.7967,0.7537,0.7752
4.9,-0.0262,0.7821,0.6514,0.646,0.8459,0.746,0.755,0.6701,0.7126,0.8188,0.7597,0.7892
5,-0.0186,0.7716,0.652,0.6309,0.8495,0.7402,0.7778,0.6885,0.7331,0.8423,0.7683,0.8053
5.1,-0.0059,0.7593,0.6527,0.6179,0.8492,0.7336,0.7986,0.7039,0.7513,0.8662,0.7794,0.8228
5.2,0.0116,0.7458,0.6539,0.6077,0.8457,0.7267,0.8168,0.7168,0.7668,0.8899,0.7922,0.841
5.3,0.0339,0.7319,0.6565,0.601,0.8397,0.7203,0.8325,0.7274,0.7799,0.9125,0.806,0.8592
5.4,0.0597,0.7182,0.6606,0.5978,0.832,0.7149,0.8455,0.7358,0.7906,0.933,0.8196,0.8763
5.5,0.0864,0.7043,0.6655,0.5977,0.823,0.7104,0.8554,0.7419,0.7987,0.9504,0.8322,0.8913
5.6,0.1122,0.6901,0.6706,0.6,0.8128,0.7064,0.8618,0.7451,0.8035,0.9637,0.843,0.9034
5.7,0.1362,0.675,0.6754,0.604,0.8009,0.7024,0.8643,0.7454,0.8048,0.9725,0.8518,0.9121
5.8,0.159,0.6594,0.6803,0.6095,0.7872,0.6984,0.8626,0.7427,0.8027,0.9765,0.8584,0.9174
5.9,0.1801,0.6439,0.6858,0.6165,0.7722,0.6943,0.8572,0.7373,0.7973,0.9761,0.8629,0.9195
6,0.1976,0.6293,0.6919,0.6248,0.7565,0.6906,0.8485,0.7297,0.7891,0.9715,0.8655,0.9185
6.1,0.2091,0.6162,0.6982,0.634,0.7408,0.6874,0.8367,0.7201,0.7784,0.9629,0.8667,0.9148
6.2,0.2138,0.6046,0.7046,0.6432,0.7247,0.6839,0.822,0.7088,0.7654,0.9503,0.8666,0.9085
6.3,0.2121,0.594,0.7112,0.6515,0.7076,0.6796,0.8048,0.696,0.7504,0.9338,0.8652,0.8995
6.4,0.2044,0.584,0.7182,0.6584,0.6893,0.6738,0.7856,0.682,0.7338,0.9135,0.8621,0.8878
6.5,0.1908,0.5744,0.7253,0.6631,0.6699,0.6665,0.7646,0.6667,0.7157,0.8901,0.8568,0.8735
6.6,0.1705,0.5652,0.7323,0.6649,0.6498,0.6573,0.7428,0.6505,0.6966,0.8647,0.8495,0.8571
6.7,0.1439,0.5563,0.7389,0.6634,0.6295,0.6465,0.7214,0.6337,0.6776,0.8385,0.8404,0.8395
6.8,0.1114,0.5478,0.7448,0.6589,0.609,0.6339,0.7018,0.6171,0.6594,0.8132,0.83,0.8216
6.9,0.0746,0.5398,0.7497,0.6515,0.5887,0.6201,0.6848,0.6011,0.6429,0.7902,0.819,0.8046
7,0.0349,0.5318,0.7533,0.6416,0.5682,0.6049,0.6706,0.5857,0.6281,0.7708,0.8084,0.7896
7.1,-0.0058,0.5232,0.7549,0.6291,0.5475,0.5883,0.6591,0.5708,0.615,0.7558,0.7988,0.7773
7.2,-0.0463,0.5138,0.7541,0.6143,0.526,0.5702,0.6503,0.5561,0.6032,0.7456,0.7907,0.7682
7.3,-0.0851,0.5038,0.7508,0.5977,0.5037,0.5507,0.6439,0.5415,0.5927,0.7403,0.7839,0.7621
7.4,-0.1204,0.4938,0.7447,0.5801,0.481,0.5306,0.6399,0.5272,0.5835,0.7396,0.7784,0.759
7.5,-0.1507,0.4842,0.7357,0.5624,0.4587,0.5105,0.638,0.5134,0.5757,0.7431,0.7741,0.7586
7.6,-0.1752,0.4754,0.7236,0.5454,0.4374,0.4914,0.6381,0.5,0.569,0.7506,0.7711,0.7608
7.7,-0.1941,0.468,0.7083,0.5302,0.4177,0.4739,0.6402,0.487,0.5636,0.7614,0.7699,0.7657
7.8,-0.2078,0.4622,0.6903,0.5177,0.4,0.4588,0.644,0.4742,0.5591,0.7749,0.7706,0.7728
7.9,-0.2165,0.4586,0.67,0.5085,0.3846,0.4466,0.6489,0.4616,0.5552,0.7903,0.773,0.7816
8,-0.2205,0.457,0.6484,0.5026,0.3719,0.4372,0.6545,0.4489,0.5517,0.8065,0.7767,0.7916
8.1,-0.2206,0.4576,0.6263,0.5001,0.3619,0.431,0.6602,0.4364,0.5483,0.8232,0.7816,0.8024
8.2,-0.2177,0.4604,0.6044,0.5007,0.3551,0.4279,0.6662,0.4247,0.5454,0.8401,0.7876,0.8138
8.3,-0.2131,0.4655,0.5834,0.5043,0.3515,0.4279,0.6725,0.4145,0.5435,0.8567,0.7946,0.8257
8.4,-0.208,0.4728,0.5638,0.5106,0.3513,0.431,0.6797,0.4061,0.5429,0.873,0.8021,0.8376
8.5,-0.2033,0.4823,0.5465,0.5193,0.3544,0.4369,0.6879,0.3999,0.5439,0.8888,0.8099,0.8494
8.6,-0.1992,0.4939,0.5319,0.5299,0.3604,0.4452,0.6972,0.3957,0.5464,0.9039,0.8178,0.8609
8.7,-0.1958,0.5076,0.5202,0.5417,0.3688,0.4552,0.7075,0.393,0.5502,0.9183,0.8257,0.872
8.8,-0.1928,0.5234,0.5112,0.5542,0.3793,0.4667,0.7187,0.3917,0.5552,0.9317,0.8334,0.8825
8.9,-0.1895,0.5414,0.5044,0.5673,0.3916,0.4794,0.7311,0.3914,0.5612,0.9439,0.8406,0.8923
9,-0.185,0.5615,0.4998,0.5811,0.4056,0.4933,0.7443,0.3924,0.5684,0.955,0.8473,0.9012
9.1,-0.1783,0.5834,0.4975,0.5959,0.421,0.5084,0.7582,0.3948,0.5765,0.9652,0.8535,0.9094
9.2,-0.1693,0.6069,0.4977,0.6118,0.438,0.5249,0.7724,0.3991,0.5858,0.9749,0.8596,0.9173
9.3,-0.1588,0.6317,0.5005,0.6288,0.4567,0.5428,0.7866,0.4054,0.596,0.9845,0.8658,0.9252
9.4,-0.1474,0.6573,0.5055,0.6472,0.4776,0.5624,0.8004,0.4139,0.6071,0.994,0.8721,0.933
9.5,-0.1352,0.6836,0.5124,0.6672,0.5011,0.5842,0.8135,0.4245,0.619,1.0035,0.8783,0.9409
9.6,-0.1217,0.7098,0.5211,0.6888,0.5271,0.608,0.8254,0.4372,0.6313,1.0128,0.884,0.9484
9.7,-0.1068,0.7354,0.5314,0.7117,0.5552,0.6335,0.8356,0.4517,0.6437,1.0221,0.8888,0.9555
9.8,-0.091,0.76,0.5427,0.7357,0.5854,0.6605,0.8434,0.4681,0.6558,1.0311,0.8928,0.962
9.9,-0.0757,0.7836,0.5541,0.7603,0.617,0.6887,0.8483,0.4861,0.6672,1.04,0.896,0.968
10,-0.0623,0.806,0.5647,0.7851,0.6497,0.7174,0.8498,0.5056,0.6777,1.0483,0.8986,0.9734
10.1,-0.0525,0.8273,0.5731,0.8093,0.6828,0.7461,0.8481,0.5259,0.687,1.0556,0.9008,0.9782
10.2,-0.0474,0.8472,0.5785,0.8321,0.7162,0.7741,0.8431,0.546,0.6945,1.0617,0.9025,0.9821
10.3,-0.0477,0.8655,0.5805,0.8523,0.7492,0.8008,0.8348,0.5646,0.6997,1.0661,0.9037,0.9849
10.4,-0.0543,0.8816,0.5792,0.8688,0.7813,0.8251,0.8231,0.5808,0.7019,1.0685,0.9044,0.9865
10.5,-0.0678,0.8949,0.5752,0.8804,0.8115,0.8459,0.8082,0.5942,0.7012,1.0686,0.9043,0.9864
10.6,-0.0889,0.9049,0.5693,0.886,0.8394,0.8627,0.7903,0.6049,0.6976,1.0656,0.9032,0.9844
10.7,-0.1178,0.911,0.5622,0.8854,0.8642,0.8748,0.7696,0.6128,0.6912,1.0592,0.9005,0.9798
10.8,-0.1536,0.9128,0.5545,0.878,0.8853,0.8816,0.7465,0.618,0.6822,1.0489,0.8959,0.9724
10.9,-0.1949,0.9096,0.5467,0.8636,0.9018,0.8827,0.721,0.6203,0.6707,1.035,0.8892,0.9621
11,-0.2395,0.9019,0.5397,0.8424,0.9131,0.8777,0.6937,0.6199,0.6568,1.0178,0.8808,0.9493
11.1,-0.285,0.89,0.5342,0.8152,0.9187,0.8669,0.6651,0.6172,0.6412,0.9976,0.8712,0.9344
11.2,-0.3281,0.8749,0.5311,0.7836,0.9186,0.8511,0.6363,0.6128,0.6246,0.9753,0.8609,0.9181
11.3,-0.3657,0.8575,0.531,0.7497,0.9131,0.8314,0.608,0.6079,0.608,0.9515,0.8504,0.9009
11.4,-0.3948,0.838,0.5343,0.7152,0.9023,0.8087,0.5814,0.6034,0.5924,0.9272,0.8401,0.8837
11.5,-0.4128,0.8168,0.5416,0.6822,0.8864,0.7843,0.5576,0.6004,0.579,0.9034,0.831,0.8672
11.6,-0.4181,0.794,0.5531,0.6525,0.8651,0.7588,0.5378,0.5994,0.5686,0.881,0.8238,0.8524
11.7,-0.41,0.7699,0.5693,0.6272,0.8387,0.7329,0.5226,0.6008,0.5617,0.8608,0.8192,0.84
11.8,-0.3885,0.7451,0.5901,0.6068,0.8072,0.707,0.5126,0.6047,0.5586,0.8437,0.8178,0.8307
