Time,1 News Brand 30 V2 TVC,1 News Brand 30 V2 TVC,1 News Brand 30 V2 TVC,1 News Brand 30 V2 TVC,1 News Brand 30 V2 TVC,1 News Brand 30 V2 TVC,1 News Brand 30 V2 TVC,1 News Brand 30 V2 TVC,1 News Brand 30 V2 TVC,1 News Brand 30 V2 TVC,1 News Brand 30 V2 TVC,1 News Brand 30 V2 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.169,0.4336,0.4907,0.4133,0.4104,0.4118,0.6455,0.6106,0.6281,0.6159,0.7538,0.6849
0.1,0.132,0.436,0.4768,0.3964,0.3995,0.398,0.6249,0.5916,0.6082,0.5865,0.7065,0.6465
0.2,0.0903,0.4379,0.4634,0.3811,0.39,0.3855,0.5981,0.5732,0.5856,0.5538,0.6552,0.6045
0.3,0.0462,0.4401,0.4519,0.3682,0.3828,0.3755,0.5679,0.5578,0.5628,0.5197,0.6035,0.5616
0.4,0.003,0.4428,0.4426,0.3579,0.378,0.368,0.5364,0.5465,0.5415,0.4857,0.5539,0.5198
0.5,-0.0362,0.4455,0.4356,0.3499,0.3746,0.3622,0.505,0.5391,0.5221,0.4539,0.5076,0.4807
0.6,-0.0689,0.4477,0.4312,0.3441,0.3712,0.3577,0.4751,0.5357,0.5054,0.4263,0.4662,0.4463
0.7,-0.0931,0.4491,0.4291,0.3405,0.367,0.3538,0.4487,0.5367,0.4927,0.4049,0.4317,0.4183
0.8,-0.1081,0.4493,0.4286,0.3382,0.362,0.3501,0.4278,0.5427,0.4853,0.3909,0.4048,0.3979
0.9,-0.1143,0.4486,0.4297,0.3366,0.357,0.3468,0.4133,0.554,0.4836,0.385,0.3854,0.3852
1,-0.1123,0.4469,0.4324,0.3356,0.3535,0.3446,0.4052,0.5694,0.4873,0.387,0.3736,0.3803
1.1,-0.1031,0.4447,0.4367,0.3353,0.3528,0.3441,0.4034,0.5877,0.4955,0.3966,0.3701,0.3834
1.2,-0.0882,0.4425,0.4426,0.3356,0.3554,0.3455,0.4077,0.6077,0.5077,0.4129,0.3752,0.394
1.3,-0.0694,0.4406,0.45,0.3362,0.3613,0.3488,0.4177,0.6293,0.5235,0.4342,0.3883,0.4113
1.4,-0.0484,0.4396,0.4588,0.3367,0.3702,0.3534,0.4326,0.6523,0.5425,0.4597,0.4079,0.4338
1.5,-0.0266,0.4396,0.4691,0.3369,0.3811,0.359,0.4518,0.6766,0.5642,0.4883,0.4327,0.4605
1.6,-0.0052,0.4405,0.4811,0.3368,0.3936,0.3652,0.4746,0.702,0.5883,0.5194,0.4624,0.4909
1.7,0.0147,0.4424,0.494,0.3362,0.4076,0.3719,0.5008,0.7276,0.6142,0.5516,0.4966,0.5241
1.8,0.032,0.4454,0.5064,0.3347,0.4238,0.3792,0.53,0.7524,0.6412,0.5833,0.5328,0.5581
1.9,0.045,0.4493,0.5173,0.3315,0.4427,0.3871,0.5614,0.7757,0.6685,0.6125,0.5678,0.5901
2,0.0519,0.4541,0.5268,0.3265,0.4643,0.3954,0.5936,0.7976,0.6956,0.6379,0.5988,0.6184
2.1,0.051,0.4592,0.5362,0.3205,0.4877,0.4041,0.6254,0.8184,0.7219,0.6586,0.625,0.6418
2.2,0.0419,0.4639,0.546,0.3148,0.5112,0.413,0.6562,0.838,0.7471,0.674,0.646,0.66
2.3,0.0254,0.4677,0.5563,0.3099,0.5326,0.4212,0.6854,0.8558,0.7706,0.6841,0.6612,0.6727
2.4,0.0029,0.4701,0.5662,0.3059,0.5502,0.428,0.7131,0.8715,0.7923,0.6894,0.6699,0.6796
2.5,-0.0243,0.4708,0.5748,0.3029,0.5631,0.433,0.7397,0.8853,0.8125,0.6905,0.6724,0.6815
2.6,-0.0558,0.4694,0.5813,0.3012,0.571,0.4361,0.7658,0.8976,0.8317,0.6881,0.6695,0.6788
2.7,-0.0912,0.4652,0.5848,0.3014,0.5735,0.4374,0.7908,0.9084,0.8496,0.6824,0.6619,0.6721
2.8,-0.1291,0.4575,0.5849,0.3029,0.5706,0.4367,0.8132,0.9176,0.8654,0.674,0.65,0.662
2.9,-0.1678,0.4461,0.5816,0.3053,0.5632,0.4343,0.8318,0.9248,0.8783,0.6642,0.6356,0.6499
3,-0.2051,0.4317,0.5754,0.3085,0.553,0.4308,0.8466,0.9296,0.8881,0.6541,0.6204,0.6372
3.1,-0.2384,0.415,0.5666,0.3126,0.5411,0.4268,0.8586,0.9311,0.8948,0.6443,0.606,0.6252
3.2,-0.2657,0.3966,0.5555,0.3175,0.5279,0.4227,0.8682,0.9286,0.8984,0.6348,0.5929,0.6139
3.3,-0.2856,0.3769,0.5424,0.3229,0.5135,0.4182,0.876,0.9224,0.8992,0.6254,0.5808,0.6031
3.4,-0.2974,0.3566,0.5284,0.329,0.4978,0.4134,0.8829,0.9139,0.8984,0.616,0.5697,0.5929
3.5,-0.3006,0.3366,0.5151,0.3362,0.4812,0.4087,0.8909,0.9054,0.8981,0.6071,0.5606,0.5839
3.6,-0.295,0.3177,0.5037,0.3452,0.4641,0.4046,0.9024,0.8991,0.9008,0.5989,0.5546,0.5767
3.7,-0.2811,0.2999,0.4944,0.3555,0.4475,0.4015,0.9179,0.8955,0.9067,0.592,0.5518,0.5719
3.8,-0.2596,0.2828,0.4865,0.3664,0.432,0.3992,0.9357,0.8932,0.9144,0.5867,0.5521,0.5694
