Time,AAMI - Bargain Regret Blender  30 TVC,AAMI - Bargain Regret Blender  30 TVC,AAMI - Bargain Regret Blender  30 TVC,AAMI - Bargain Regret Blender  30 TVC,AAMI - Bargain Regret Blender  30 TVC,AAMI - Bargain Regret Blender  30 TVC,AAMI - Bargain Regret Blender  30 TVC,AAMI - Bargain Regret Blender  30 TVC,AAMI - Bargain Regret Blender  30 TVC,AAMI - Bargain Regret Blender  30 TVC,AAMI - Bargain Regret Blender  30 TVC,AAMI - Bargain Regret Blender  30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.6081,0.667,0.6626,0.6065,0.8438,0.7251,0.5791,0.7218,0.6505,0.4504,0.5962,0.5233
0.1,-0.6375,0.6512,0.6479,0.5801,0.8309,0.7055,0.562,0.7173,0.6396,0.4302,0.5764,0.5033
0.2,-0.6597,0.6356,0.6322,0.5525,0.8164,0.6844,0.5444,0.7111,0.6278,0.4157,0.5602,0.4879
0.3,-0.6738,0.6208,0.6156,0.5251,0.8005,0.6628,0.5271,0.7032,0.6151,0.4066,0.5473,0.477
0.4,-0.679,0.6079,0.5984,0.4995,0.7835,0.6415,0.5106,0.6936,0.6021,0.4023,0.5377,0.47
0.5,-0.6745,0.5981,0.5816,0.4771,0.766,0.6216,0.4957,0.6828,0.5893,0.4019,0.5309,0.4664
0.6,-0.6594,0.592,0.566,0.459,0.7486,0.6038,0.4831,0.6713,0.5772,0.4046,0.5262,0.4654
0.7,-0.6339,0.5897,0.552,0.4456,0.7319,0.5887,0.4729,0.6593,0.5661,0.4094,0.5228,0.4661
0.8,-0.5995,0.5904,0.5398,0.4365,0.7163,0.5764,0.465,0.6472,0.5561,0.415,0.5198,0.4674
0.9,-0.5583,0.5932,0.5293,0.4311,0.702,0.5666,0.459,0.6349,0.547,0.4204,0.5165,0.4685
1,-0.5124,0.5973,0.521,0.4287,0.6895,0.5591,0.4549,0.6225,0.5387,0.4248,0.5123,0.4685
1.1,-0.463,0.6023,0.5151,0.4287,0.6786,0.5536,0.4527,0.6107,0.5317,0.4279,0.507,0.4675
1.2,-0.4098,0.6078,0.5118,0.4308,0.6687,0.5498,0.4521,0.5996,0.5258,0.4301,0.5009,0.4655
1.3,-0.3529,0.6135,0.5111,0.4347,0.6591,0.5469,0.4526,0.5891,0.5209,0.4318,0.4943,0.463
1.4,-0.2933,0.6189,0.5128,0.4403,0.6494,0.5448,0.4536,0.5791,0.5163,0.433,0.4876,0.4603
1.5,-0.2324,0.6235,0.5167,0.4476,0.6399,0.5438,0.4551,0.5693,0.5122,0.4336,0.4809,0.4572
1.6,-0.1722,0.6271,0.5223,0.4562,0.6316,0.5439,0.4574,0.56,0.5087,0.4334,0.4741,0.4537
1.7,-0.1144,0.6297,0.529,0.4652,0.6247,0.545,0.4611,0.5513,0.5062,0.4329,0.4674,0.4501
