Time,Adelaide Tourism 15 TVC,Adelaide Tourism 15 TVC,Adelaide Tourism 15 TVC,Adelaide Tourism 15 TVC,Adelaide Tourism 15 TVC,Adelaide Tourism 15 TVC,Adelaide Tourism 15 TVC,Adelaide Tourism 15 TVC,Adelaide Tourism 15 TVC,Adelaide Tourism 15 TVC,Adelaide Tourism 15 TVC,Adelaide Tourism 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.2801,1.0094,0.4514,0.7477,0.8679,0.8078,0.7868,0.6139,0.7004,0.6328,0.439,0.5359
0.1,-0.2124,1.0081,0.4615,0.785,0.8706,0.8278,0.8015,0.6468,0.7242,0.6425,0.4494,0.546
0.2,-0.143,1.001,0.4744,0.818,0.8683,0.8432,0.8135,0.6829,0.7482,0.6526,0.4614,0.557
0.3,-0.0725,0.9884,0.4903,0.8454,0.862,0.8537,0.8227,0.7201,0.7714,0.663,0.4747,0.5688
0.4,-0.0014,0.9712,0.5087,0.8669,0.853,0.86,0.829,0.7568,0.7929,0.6735,0.4887,0.5811
0.5,0.0694,0.9502,0.5289,0.8832,0.8419,0.8626,0.8321,0.7918,0.8119,0.6838,0.5029,0.5933
0.6,0.1386,0.9262,0.5501,0.8942,0.8283,0.8612,0.8318,0.8242,0.828,0.6936,0.5169,0.6053
0.7,0.2043,0.8993,0.5717,0.8989,0.811,0.855,0.8285,0.8536,0.8411,0.7029,0.5306,0.6167
0.8,0.2654,0.8698,0.5936,0.8963,0.7898,0.8431,0.8226,0.879,0.8508,0.7111,0.5437,0.6274
0.9,0.3214,0.8382,0.6152,0.8871,0.7651,0.8261,0.8141,0.8997,0.8569,0.7178,0.5558,0.6368
1,0.372,0.806,0.6356,0.873,0.7388,0.8059,0.8032,0.9159,0.8596,0.7224,0.5665,0.6444
1.1,0.4168,0.7748,0.6545,0.8561,0.7124,0.7842,0.7902,0.9277,0.8589,0.7246,0.5759,0.6502
1.2,0.4552,0.746,0.6715,0.8373,0.6868,0.7621,0.775,0.9353,0.8552,0.7243,0.584,0.6542
1.3,0.4866,0.7198,0.6861,0.8169,0.6625,0.7397,0.7577,0.9387,0.8482,0.7211,0.5907,0.6559
1.4,0.5109,0.6956,0.6977,0.795,0.6395,0.7172,0.7381,0.938,0.838,0.714,0.5953,0.6547
1.5,0.5279,0.6733,0.7056,0.7723,0.6178,0.6951,0.7168,0.9337,0.8252,0.7026,0.5977,0.6501
1.6,0.5388,0.653,0.7101,0.75,0.5976,0.6738,0.695,0.9264,0.8107,0.6866,0.5974,0.642
1.7,0.5446,0.6357,0.7116,0.7289,0.5792,0.6541,0.6738,0.9172,0.7955,0.6666,0.5948,0.6307
1.8,0.5458,0.6218,0.7108,0.7099,0.5631,0.6365,0.6545,0.9069,0.7807,0.6435,0.5903,0.6169
1.9,0.543,0.6119,0.7079,0.6938,0.5506,0.6222,0.6379,0.8964,0.7671,0.6192,0.5848,0.602
2,0.5356,0.606,0.7031,0.6815,0.5427,0.6121,0.6251,0.8858,0.7554,0.595,0.5786,0.5868
2.1,0.5223,0.6045,0.6965,0.6737,0.5402,0.6069,0.6162,0.8757,0.746,0.5713,0.5718,0.5715
2.2,0.5024,0.6081,0.6887,0.6706,0.5431,0.6069,0.6115,0.8667,0.7391,0.5484,0.5643,0.5563
2.3,0.4749,0.6174,0.6801,0.672,0.5514,0.6117,0.6107,0.8592,0.7349,0.5262,0.5564,0.5413
2.4,0.4393,0.6321,0.6712,0.6773,0.5646,0.621,0.614,0.8538,0.7339,0.5055,0.5484,0.527
2.5,0.3963,0.6511,0.6617,0.6863,0.5823,0.6343,0.6218,0.8503,0.736,0.4872,0.541,0.5141
2.6,0.3485,0.6737,0.6515,0.6988,0.6041,0.6514,0.6338,0.8484,0.7411,0.4719,0.5341,0.503
2.7,0.2993,0.6996,0.6407,0.7145,0.6293,0.6719,0.6493,0.8482,0.7488,0.4596,0.5278,0.4937
2.8,0.2514,0.7288,0.6304,0.7328,0.6571,0.6949,0.6675,0.8498,0.7587,0.4498,0.522,0.4859
2.9,0.2056,0.7601,0.6217,0.7525,0.6864,0.7194,0.6874,0.853,0.7702,0.4426,0.5168,0.4797
3,0.1625,0.7918,0.6147,0.7724,0.7156,0.744,0.7079,0.8566,0.7823,0.4383,0.5125,0.4754
3.1,0.1233,0.8224,0.6094,0.7921,0.7435,0.7678,0.7282,0.8595,0.7939,0.4372,0.5089,0.4731
3.2,0.0904,0.8508,0.6057,0.8119,0.7696,0.7907,0.7476,0.8611,0.8044,0.4392,0.5059,0.4725
3.3,0.0653,0.8763,0.6038,0.8319,0.7936,0.8128,0.7655,0.8615,0.8135,0.444,0.5038,0.4739
3.4,0.0475,0.8979,0.604,0.8515,0.8151,0.8333,0.7817,0.8612,0.8215,0.452,0.5032,0.4776
3.5,0.036,0.9146,0.6066,0.8693,0.8336,0.8514,0.7959,0.8605,0.8282,0.4635,0.5043,0.4839
3.6,0.0299,0.9259,0.6111,0.8841,0.8485,0.8663,0.8073,0.8588,0.833,0.4781,0.5071,0.4926
3.7,0.0292,0.932,0.6168,0.8957,0.8598,0.8778,0.8152,0.8561,0.8356,0.4949,0.5112,0.503
3.8,0.0341,0.9334,0.6233,0.9046,0.8671,0.8858,0.8191,0.8529,0.836,0.5129,0.517,0.515
3.9,0.0437,0.9303,0.631,0.9107,0.8701,0.8904,0.8193,0.8499,0.8346,0.5317,0.5251,0.5284
4,0.0557,0.9231,0.6403,0.9136,0.8686,0.8911,0.816,0.8479,0.8319,0.5509,0.5358,0.5434
4.1,0.0673,0.9127,0.6514,0.9133,0.8634,0.8883,0.8098,0.847,0.8284,0.5705,0.5489,0.5597
4.2,0.0758,0.9006,0.6641,0.9102,0.8559,0.8831,0.8013,0.8472,0.8242,0.5899,0.5637,0.5768
