Time,Advantage Air 30 - Viewing 1,Advantage Air 30 - Viewing 1,Advantage Air 30 - Viewing 1,Advantage Air 30 - Viewing 1,Advantage Air 30 - Viewing 1,Advantage Air 30 - Viewing 1,Advantage Air 30 - Viewing 1,Advantage Air 30 - Viewing 1,Advantage Air 30 - Viewing 1,Advantage Air 30 - Viewing 1,Advantage Air 30 - Viewing 1,Advantage Air 30 - Viewing 1
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.2893,0.6504,0.3138,0.7544,0.7979,0.7761,0.7819,0.6336,0.7077,0.4508,0.4189,0.4349
0.1,0.2716,0.6563,0.318,0.7475,0.7985,0.773,0.77,0.6438,0.7069,0.459,0.421,0.44
0.2,0.2482,0.6633,0.3219,0.7391,0.8,0.7696,0.7579,0.6525,0.7052,0.4662,0.4239,0.445
0.3,0.2208,0.6711,0.3247,0.7294,0.8019,0.7657,0.7453,0.6592,0.7023,0.472,0.4274,0.4497
0.4,0.1913,0.6796,0.3261,0.7184,0.8043,0.7613,0.7322,0.6641,0.6981,0.4764,0.4309,0.4536
0.5,0.1608,0.6888,0.3259,0.7062,0.8077,0.7569,0.7184,0.6674,0.6929,0.4789,0.434,0.4565
0.6,0.1298,0.6987,0.3248,0.6928,0.8124,0.7526,0.7041,0.6697,0.6869,0.4796,0.4362,0.4579
0.7,0.0978,0.709,0.3235,0.6783,0.8184,0.7483,0.6893,0.6709,0.6801,0.4786,0.4372,0.4579
0.8,0.0648,0.7192,0.3232,0.6628,0.8253,0.744,0.6739,0.6712,0.6725,0.4765,0.4373,0.4569
0.9,0.0312,0.7291,0.3248,0.6468,0.8325,0.7396,0.6582,0.6708,0.6645,0.4741,0.4367,0.4554
1,-0.0023,0.7376,0.329,0.6306,0.839,0.7348,0.6423,0.6698,0.656,0.4718,0.4354,0.4536
1.1,-0.0348,0.7434,0.3358,0.6142,0.8437,0.7289,0.6263,0.6685,0.6474,0.4696,0.4332,0.4514
1.2,-0.0658,0.7449,0.3454,0.5971,0.8455,0.7213,0.6106,0.6667,0.6386,0.4671,0.4291,0.4481
1.3,-0.0952,0.7413,0.3572,0.5791,0.8435,0.7113,0.5957,0.6644,0.63,0.4639,0.4227,0.4433
