Time,Air New Zealand Brand 15 TVC,Air New Zealand Brand 15 TVC,Air New Zealand Brand 15 TVC,Air New Zealand Brand 15 TVC,Air New Zealand Brand 15 TVC,Air New Zealand Brand 15 TVC,Air New Zealand Brand 15 TVC,Air New Zealand Brand 15 TVC,Air New Zealand Brand 15 TVC,Air New Zealand Brand 15 TVC,Air New Zealand Brand 15 TVC,Air New Zealand Brand 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1165,0.6962,0.7378,0.6492,0.8636,0.7564,0.6875,0.5515,0.6195,0.6406,0.7482,0.6944
0.1,0.1349,0.7093,0.7521,0.6609,0.8578,0.7594,0.6761,0.5522,0.6142,0.6515,0.7433,0.6974
0.2,0.1536,0.7205,0.7656,0.6733,0.8518,0.7626,0.6683,0.5584,0.6134,0.6656,0.74,0.7028
0.3,0.1738,0.7294,0.777,0.6858,0.8447,0.7653,0.6637,0.5684,0.6161,0.6828,0.7379,0.7103
0.4,0.1957,0.7363,0.7855,0.6976,0.8357,0.7666,0.6609,0.5809,0.6209,0.7026,0.7364,0.7195
0.5,0.2186,0.7412,0.7905,0.7079,0.8238,0.7659,0.6581,0.5946,0.6264,0.7237,0.7348,0.7293
0.6,0.2407,0.7433,0.7916,0.7158,0.8087,0.7623,0.6544,0.6088,0.6316,0.7446,0.7322,0.7384
0.7,0.2592,0.7418,0.7884,0.7201,0.7908,0.7555,0.649,0.6227,0.6359,0.764,0.7281,0.7461
0.8,0.2703,0.7364,0.7812,0.7202,0.7708,0.7455,0.6415,0.6363,0.6389,0.7821,0.7229,0.7525
0.9,0.2718,0.7276,0.7702,0.716,0.7498,0.7329,0.6321,0.6497,0.6409,0.7995,0.7168,0.7582
1,0.263,0.7163,0.7558,0.7081,0.7287,0.7184,0.6215,0.663,0.6422,0.8163,0.7102,0.7633
1.1,0.2439,0.7035,0.7379,0.6974,0.7079,0.7026,0.6097,0.6758,0.6428,0.8326,0.7029,0.7677
1.2,0.2141,0.6895,0.717,0.6841,0.6873,0.6857,0.5963,0.6878,0.642,0.848,0.694,0.771
1.3,0.1734,0.6741,0.6931,0.6679,0.667,0.6674,0.5807,0.6982,0.6395,0.8622,0.6829,0.7726
1.4,0.1227,0.6568,0.6663,0.649,0.647,0.648,0.5635,0.7067,0.6351,0.8749,0.67,0.7724
