Time,AirTasker - To Do List 15 TVC,AirTasker - To Do List 15 TVC,AirTasker - To Do List 15 TVC,AirTasker - To Do List 15 TVC,AirTasker - To Do List 15 TVC,AirTasker - To Do List 15 TVC,AirTasker - To Do List 15 TVC,AirTasker - To Do List 15 TVC,AirTasker - To Do List 15 TVC,AirTasker - To Do List 15 TVC,AirTasker - To Do List 15 TVC,AirTasker - To Do List 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0731,0.2705,0.4211,0.469,0.3296,0.3993,0.6257,0.4562,0.5409,0.6018,0.5824,0.5921
0.1,0.0769,0.2917,0.4321,0.4917,0.3595,0.4256,0.6495,0.497,0.5733,0.624,0.6151,0.6196
0.2,0.0813,0.3184,0.4473,0.5208,0.3941,0.4574,0.677,0.5434,0.6102,0.6493,0.6506,0.65
0.3,0.0856,0.3505,0.4662,0.5548,0.4322,0.4935,0.7065,0.5932,0.6499,0.6757,0.6871,0.6814
0.4,0.0895,0.3876,0.4886,0.5923,0.4725,0.5324,0.7366,0.6445,0.6906,0.701,0.7231,0.712
0.5,0.0919,0.4292,0.5151,0.6319,0.5141,0.573,0.7664,0.6952,0.7308,0.7235,0.7571,0.7403
0.6,0.0922,0.4744,0.5456,0.6725,0.556,0.6143,0.795,0.7434,0.7692,0.7421,0.7879,0.765
0.7,0.0898,0.522,0.5792,0.7126,0.5968,0.6547,0.8216,0.7876,0.8046,0.7559,0.8144,0.7851
0.8,0.0852,0.5699,0.6143,0.7503,0.6349,0.6926,0.8454,0.827,0.8362,0.7645,0.8357,0.8001
0.9,0.0796,0.6161,0.6492,0.7842,0.6691,0.7267,0.866,0.8613,0.8637,0.7681,0.8514,0.8098
1,0.075,0.6595,0.683,0.8138,0.6989,0.7564,0.8831,0.8907,0.8869,0.7672,0.8614,0.8143
1.1,0.0729,0.6997,0.7146,0.8392,0.7246,0.7819,0.8961,0.9151,0.9056,0.7621,0.8658,0.8139
1.2,0.0746,0.7364,0.7426,0.8609,0.7464,0.8037,0.9048,0.9344,0.9196,0.7528,0.8646,0.8087
1.3,0.0809,0.7683,0.7659,0.8783,0.7639,0.8211,0.9085,0.9484,0.9285,0.7396,0.8578,0.7987
1.4,0.0914,0.7938,0.7842,0.8897,0.7763,0.833,0.9068,0.9569,0.9319,0.7226,0.8455,0.7841
1.5,0.1052,0.8117,0.7978,0.8941,0.7832,0.8386,0.8997,0.9599,0.9298,0.703,0.8285,0.7658
1.6,0.1206,0.8219,0.8067,0.8914,0.7848,0.8381,0.8873,0.9575,0.9224,0.6822,0.808,0.7451
1.7,0.1363,0.8249,0.8112,0.8828,0.782,0.8324,0.8702,0.9501,0.9101,0.6612,0.7849,0.723
1.8,0.1514,0.8209,0.811,0.8694,0.7753,0.8224,0.8489,0.938,0.8934,0.6406,0.7598,0.7002
1.9,0.1655,0.8102,0.8065,0.8522,0.7653,0.8088,0.8241,0.9215,0.8728,0.6211,0.7336,0.6773
2,0.1782,0.7931,0.798,0.8318,0.7525,0.7921,0.7959,0.9009,0.8484,0.6034,0.7076,0.6555
2.1,0.1884,0.7705,0.7862,0.8095,0.7374,0.7735,0.7651,0.8767,0.8209,0.5878,0.6832,0.6355
2.2,0.1957,0.7437,0.7719,0.7872,0.7211,0.7541,0.7326,0.8501,0.7914,0.5741,0.6611,0.6176
2.3,0.2007,0.7144,0.7559,0.766,0.7042,0.7351,0.7,0.8224,0.7612,0.5622,0.642,0.6021
2.4,0.205,0.6837,0.7387,0.7461,0.6866,0.7164,0.6682,0.7946,0.7314,0.5525,0.6268,0.5897
2.5,0.2101,0.6524,0.7209,0.7268,0.6674,0.6971,0.6377,0.7669,0.7023,0.5458,0.6167,0.5813
2.6,0.2164,0.6212,0.7026,0.7074,0.6462,0.6768,0.6091,0.7392,0.6742,0.5429,0.6121,0.5775
2.7,0.2231,0.591,0.6836,0.6878,0.6237,0.6558,0.5831,0.7115,0.6473,0.5437,0.6129,0.5783
2.8,0.2289,0.5626,0.6633,0.668,0.6009,0.6345,0.5601,0.6837,0.6219,0.5479,0.6184,0.5832
2.9,0.233,0.5367,0.6412,0.6481,0.5783,0.6132,0.5405,0.6563,0.5984,0.5555,0.6277,0.5916
3,0.2347,0.5135,0.617,0.628,0.5562,0.5921,0.5243,0.6295,0.5769,0.5664,0.6404,0.6034
3.1,0.234,0.4938,0.5908,0.6082,0.535,0.5716,0.5114,0.6039,0.5577,0.5807,0.6558,0.6182
3.2,0.2311,0.4781,0.5628,0.5896,0.5155,0.5525,0.5018,0.58,0.5409,0.598,0.6729,0.6355
3.3,0.2266,0.4672,0.5332,0.5725,0.4983,0.5354,0.4952,0.5575,0.5264,0.617,0.6904,0.6537
3.4,0.2204,0.4614,0.5019,0.5572,0.4833,0.5202,0.4912,0.5364,0.5138,0.6365,0.7066,0.6715
3.5,0.2121,0.4608,0.4697,0.5431,0.4702,0.5066,0.4895,0.5166,0.503,0.6552,0.7206,0.6879
3.6,0.201,0.4654,0.4378,0.5301,0.4588,0.4944,0.4902,0.4987,0.4944,0.6727,0.732,0.7024
3.7,0.1872,0.4754,0.4077,0.5187,0.4499,0.4843,0.4934,0.4838,0.4886,0.6889,0.7406,0.7148
3.8,0.1711,0.4909,0.3811,0.5099,0.4445,0.4772,0.4996,0.473,0.4863,0.7041,0.7463,0.7252
3.9,0.1534,0.5116,0.3591,0.5042,0.4435,0.4739,0.5089,0.4669,0.4879,0.7182,0.749,0.7336
4,0.1343,0.5367,0.3415,0.5018,0.4467,0.4742,0.5211,0.4652,0.4932,0.7311,0.7481,0.7396
4.1,0.1139,0.5646,0.3277,0.5019,0.4531,0.4775,0.5356,0.4671,0.5014,0.742,0.7434,0.7427
4.2,0.0928,0.5941,0.3172,0.5042,0.462,0.4831,0.5513,0.4719,0.5116,0.7506,0.7351,0.7429
4.3,0.0715,0.6243,0.3101,0.5086,0.473,0.4908,0.5679,0.4791,0.5235,0.757,0.7238,0.7404
4.4,0.051,0.6543,0.3067,0.5151,0.4865,0.5008,0.5849,0.4883,0.5366,0.7612,0.7103,0.7357
4.5,0.032,0.6826,0.3069,0.5237,0.5024,0.5131,0.6019,0.4991,0.5505,0.7629,0.695,0.729
4.6,0.0146,0.7073,0.3103,0.5336,0.5203,0.527,0.6183,0.511,0.5647,0.7617,0.6785,0.7201
4.7,-0.0008,0.7264,0.3169,0.5439,0.5392,0.5416,0.6336,0.5234,0.5785,0.7575,0.6613,0.7094
4.8,-0.0134,0.7397,0.3271,0.5544,0.5583,0.5564,0.6478,0.5362,0.592,0.7508,0.6444,0.6976
