Time,Airwick Freshmatic 15s TVC,Airwick Freshmatic 15s TVC,Airwick Freshmatic 15s TVC,Airwick Freshmatic 15s TVC,Airwick Freshmatic 15s TVC,Airwick Freshmatic 15s TVC,Airwick Freshmatic 15s TVC,Airwick Freshmatic 15s TVC,Airwick Freshmatic 15s TVC,Airwick Freshmatic 15s TVC,Airwick Freshmatic 15s TVC,Airwick Freshmatic 15s TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0571,0.4855,0.2535,0.5585,0.4955,0.527,0.3406,0.5596,0.4501,0.3769,0.3667,0.3718
0.1,0.0818,0.5011,0.254,0.5858,0.4875,0.5366,0.3602,0.5662,0.4632,0.4107,0.3923,0.4015
0.2,0.1113,0.5195,0.2537,0.6144,0.4774,0.5459,0.3835,0.575,0.4792,0.4429,0.4157,0.4293
0.3,0.145,0.5397,0.2518,0.6427,0.4648,0.5537,0.409,0.5854,0.4972,0.4723,0.4362,0.4542
0.4,0.1826,0.5607,0.2484,0.6688,0.4498,0.5593,0.4353,0.5973,0.5163,0.4981,0.4536,0.4758
0.5,0.224,0.5819,0.2446,0.6919,0.4333,0.5626,0.4617,0.611,0.5363,0.5196,0.4679,0.4937
0.6,0.2689,0.6034,0.2413,0.7122,0.4164,0.5643,0.4881,0.627,0.5576,0.5363,0.4794,0.5078
0.7,0.3172,0.6254,0.2388,0.7299,0.4004,0.5652,0.5146,0.6451,0.5798,0.548,0.488,0.518
0.8,0.3677,0.6478,0.2371,0.7451,0.3861,0.5656,0.5404,0.6646,0.6025,0.5548,0.4936,0.5242
0.9,0.4187,0.6704,0.2361,0.7575,0.3744,0.5659,0.5648,0.6841,0.6245,0.5567,0.496,0.5264
1,0.468,0.6932,0.2356,0.7674,0.3663,0.5668,0.5872,0.7023,0.6447,0.5546,0.4953,0.525
1.1,0.5137,0.716,0.2364,0.776,0.3625,0.5693,0.6072,0.7178,0.6625,0.5492,0.4919,0.5206
1.2,0.5534,0.7386,0.2388,0.7842,0.3634,0.5738,0.625,0.7297,0.6774,0.5416,0.4866,0.5141
1.3,0.5847,0.7605,0.2436,0.7922,0.3685,0.5803,0.6407,0.7372,0.689,0.5325,0.48,0.5062
1.4,0.6062,0.781,0.2511,0.7998,0.3778,0.5888,0.6545,0.7404,0.6974,0.5226,0.4731,0.4978
1.5,0.618,0.8003,0.262,0.8079,0.3911,0.5995,0.6669,0.7399,0.7034,0.5125,0.4667,0.4896
1.6,0.6211,0.819,0.2768,0.8175,0.4087,0.6131,0.6786,0.737,0.7078,0.5028,0.4614,0.4821
1.7,0.6172,0.8376,0.2958,0.8297,0.43,0.6298,0.6897,0.7324,0.7111,0.4942,0.4576,0.4759
1.8,0.608,0.8557,0.3181,0.8446,0.454,0.6493,0.6999,0.7261,0.713,0.4871,0.4554,0.4713
1.9,0.5949,0.873,0.3422,0.862,0.4793,0.6706,0.7086,0.7176,0.7131,0.4817,0.4544,0.4681
2,0.5791,0.8888,0.3671,0.8813,0.5045,0.6929,0.7156,0.7066,0.7111,0.478,0.4543,0.4662
2.1,0.5615,0.9029,0.3921,0.9023,0.5286,0.7155,0.7209,0.6931,0.707,0.4756,0.4546,0.4651
2.2,0.5425,0.9147,0.4168,0.9249,0.551,0.7379,0.7247,0.6776,0.7011,0.474,0.4547,0.4644
2.3,0.5219,0.9238,0.4403,0.948,0.5713,0.7596,0.7273,0.6603,0.6938,0.4728,0.4545,0.4636
2.4,0.499,0.9301,0.4617,0.9701,0.5895,0.7798,0.7284,0.6416,0.685,0.4715,0.4536,0.4626
2.5,0.4726,0.9339,0.4799,0.9899,0.6059,0.7979,0.7278,0.6216,0.6747,0.4699,0.4517,0.4608
2.6,0.4418,0.9357,0.4948,1.0069,0.6214,0.8141,0.7253,0.6007,0.663,0.4674,0.4491,0.4582
2.7,0.406,0.9364,0.5062,1.0211,0.6363,0.8287,0.7208,0.579,0.6499,0.4636,0.4457,0.4547
2.8,0.3657,0.9361,0.5141,1.0325,0.6509,0.8417,0.7141,0.5565,0.6353,0.4575,0.4414,0.4495
2.9,0.3215,0.9353,0.5182,1.0405,0.6655,0.853,0.7049,0.5334,0.6191,0.4483,0.4359,0.4421
3,0.2743,0.9341,0.5187,1.0441,0.6805,0.8623,0.693,0.5101,0.6015,0.4359,0.4286,0.4322
3.1,0.2247,0.9332,0.5157,1.0428,0.6966,0.8697,0.6786,0.4872,0.5829,0.4205,0.4195,0.42
3.2,0.1729,0.9326,0.5099,1.0369,0.7141,0.8755,0.6621,0.4656,0.5639,0.4028,0.4088,0.4058
3.3,0.1195,0.9324,0.5016,1.0266,0.7329,0.8797,0.6439,0.4458,0.5449,0.3835,0.3966,0.39
3.4,0.0649,0.9322,0.4902,1.012,0.7522,0.8821,0.624,0.428,0.526,0.3633,0.3829,0.3731
3.5,0.0098,0.9317,0.4756,0.9932,0.7716,0.8824,0.6023,0.4118,0.507,0.3427,0.3676,0.3551
3.6,-0.0448,0.9307,0.4581,0.9707,0.7903,0.8805,0.5791,0.3967,0.4879,0.3222,0.3507,0.3364
3.7,-0.0978,0.9294,0.4384,0.9454,0.8085,0.877,0.5548,0.3827,0.4688,0.3021,0.3324,0.3173
3.8,-0.1475,0.9279,0.4174,0.9189,0.8265,0.8727,0.5299,0.37,0.4499,0.2829,0.3136,0.2982
3.9,-0.1919,0.9264,0.3963,0.8928,0.8445,0.8686,0.5049,0.3592,0.4321,0.2652,0.2954,0.2803
4,-0.2293,0.9251,0.3761,0.868,0.8628,0.8654,0.4808,0.3508,0.4158,0.2502,0.2794,0.2648
4.1,-0.2589,0.9241,0.3576,0.8451,0.8815,0.8633,0.4587,0.3449,0.4018,0.2391,0.2664,0.2527
4.2,-0.2808,0.9233,0.3414,0.8241,0.9009,0.8625,0.4391,0.3413,0.3902,0.2327,0.2571,0.2449
4.3,-0.296,0.9225,0.3282,0.8047,0.9206,0.8626,0.4223,0.3402,0.3813,0.2316,0.2524,0.242
4.4,-0.3048,0.9213,0.3187,0.7867,0.9398,0.8633,0.4087,0.3423,0.3755,0.2365,0.253,0.2447
4.5,-0.3073,0.9192,0.3135,0.7698,0.9573,0.8636,0.3984,0.3487,0.3736,0.2474,0.2596,0.2535
4.6,-0.3029,0.9156,0.3129,0.7533,0.9716,0.8624,0.392,0.3606,0.3763,0.2639,0.2723,0.2681
4.7,-0.2907,0.9099,0.3177,0.7368,0.9812,0.859,0.3899,0.3786,0.3842,0.2854,0.2906,0.288
4.8,-0.2703,0.9019,0.3282,0.7202,0.9855,0.8529,0.3926,0.4022,0.3974,0.3108,0.3134,0.3121
4.9,-0.2419,0.8916,0.3441,0.7034,0.9842,0.8438,0.3999,0.4303,0.4151,0.3394,0.34,0.3397
5,-0.2063,0.879,0.3644,0.6866,0.9773,0.832,0.4114,0.4617,0.4365,0.3703,0.3692,0.3697
5.1,-0.1646,0.8642,0.3878,0.6697,0.965,0.8173,0.4259,0.4947,0.4603,0.4024,0.3998,0.4011
5.2,-0.1186,0.8474,0.4124,0.6528,0.9472,0.8,0.4427,0.5278,0.4852,0.4343,0.4305,0.4324
5.3,-0.071,0.8292,0.4368,0.6363,0.9241,0.7802,0.4612,0.5592,0.5102,0.4644,0.4597,0.4621
5.4,-0.0248,0.8102,0.4599,0.6206,0.8965,0.7586,0.4807,0.588,0.5344,0.4918,0.4864,0.4891
5.5,0.0176,0.7915,0.4801,0.6063,0.8656,0.7359,0.5007,0.6135,0.5571,0.5159,0.5098,0.5129
5.6,0.0542,0.774,0.4958,0.5936,0.8334,0.7135,0.5202,0.6355,0.5778,0.5363,0.5298,0.5331
5.7,0.0843,0.7585,0.5044,0.5833,0.8022,0.6928,0.5389,0.6538,0.5964,0.5528,0.5464,0.5496
5.8,0.1077,0.7459,0.5041,0.5763,0.7742,0.6753,0.5568,0.6689,0.6129,0.5654,0.5598,0.5626
5.9,0.125,0.7369,0.4947,0.5735,0.7509,0.6622,0.5742,0.681,0.6276,0.5745,0.5713,0.5729
6,0.137,0.7316,0.4767,0.5752,0.7331,0.6542,0.5909,0.6902,0.6406,0.5806,0.5815,0.581
6.1,0.1454,0.73,0.4516,0.5816,0.7211,0.6513,0.6066,0.6965,0.6515,0.584,0.5907,0.5873
6.2,0.152,0.7316,0.421,0.5923,0.7147,0.6535,0.6209,0.6999,0.6604,0.5851,0.5984,0.5918
6.3,0.1578,0.736,0.3874,0.6071,0.7135,0.6603,0.6334,0.7008,0.6671,0.5848,0.6043,0.5946
