Time,Aldi - Go Full Christmas for Water Leisure Products 15 TVC,Aldi - Go Full Christmas for Water Leisure Products 15 TVC,Aldi - Go Full Christmas for Water Leisure Products 15 TVC,Aldi - Go Full Christmas for Water Leisure Products 15 TVC,Aldi - Go Full Christmas for Water Leisure Products 15 TVC,Aldi - Go Full Christmas for Water Leisure Products 15 TVC,Aldi - Go Full Christmas for Water Leisure Products 15 TVC,Aldi - Go Full Christmas for Water Leisure Products 15 TVC,Aldi - Go Full Christmas for Water Leisure Products 15 TVC,Aldi - Go Full Christmas for Water Leisure Products 15 TVC,Aldi - Go Full Christmas for Water Leisure Products 15 TVC,Aldi - Go Full Christmas for Water Leisure Products 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.563,0.4188,0.5365,0.4639,0.5061,0.485,0.5974,0.6859,0.6416,0.8076,0.5486,0.6781
0.1,-0.5736,0.4439,0.5281,0.4845,0.5211,0.5028,0.5879,0.662,0.625,0.7858,0.5441,0.6649
0.2,-0.5781,0.4715,0.5234,0.5081,0.5374,0.5227,0.582,0.6418,0.6119,0.7645,0.5414,0.653
0.3,-0.5766,0.5014,0.5225,0.5343,0.5553,0.5448,0.5802,0.6251,0.6026,0.744,0.5402,0.6421
0.4,-0.57,0.5336,0.5258,0.5627,0.575,0.5688,0.5828,0.6115,0.5971,0.7244,0.5398,0.6321
0.5,-0.5595,0.5678,0.5333,0.5926,0.5961,0.5944,0.5892,0.6006,0.5949,0.7056,0.5396,0.6226
0.6,-0.5462,0.6026,0.5446,0.6231,0.6183,0.6207,0.5984,0.5929,0.5957,0.6873,0.5391,0.6132
0.7,-0.5308,0.6364,0.5588,0.6525,0.6403,0.6464,0.6093,0.5886,0.5989,0.6696,0.5375,0.6036
0.8,-0.515,0.6674,0.575,0.6793,0.6607,0.67,0.6211,0.5875,0.6043,0.6525,0.5344,0.5935
0.9,-0.5005,0.6944,0.5923,0.702,0.6785,0.6903,0.6336,0.589,0.6113,0.6361,0.5295,0.5828
1,-0.4894,0.7172,0.6091,0.72,0.6937,0.7068,0.6466,0.5921,0.6193,0.6199,0.5225,0.5712
1.1,-0.4831,0.7351,0.6239,0.7327,0.7066,0.7196,0.6597,0.5957,0.6277,0.6032,0.5133,0.5582
1.2,-0.4811,0.7474,0.635,0.7401,0.7175,0.7288,0.6729,0.5994,0.6361,0.5851,0.5015,0.5433
1.3,-0.4819,0.7539,0.6416,0.7425,0.7262,0.7344,0.6857,0.6026,0.6442,0.565,0.4871,0.5261
1.4,-0.4838,0.7548,0.643,0.7402,0.7324,0.7363,0.6984,0.6049,0.6516,0.5432,0.47,0.5066
1.5,-0.4855,0.7511,0.6386,0.7337,0.7358,0.7347,0.7109,0.6055,0.6582,0.52,0.4507,0.4854
1.6,-0.4864,0.7438,0.6282,0.7236,0.7364,0.73,0.7231,0.6042,0.6636,0.4961,0.43,0.463
1.7,-0.4847,0.7339,0.6124,0.7106,0.7342,0.7224,0.7344,0.6008,0.6676,0.4716,0.4089,0.4402
1.8,-0.4778,0.7214,0.5921,0.6952,0.7288,0.712,0.7444,0.5953,0.6699,0.4469,0.388,0.4175
1.9,-0.4635,0.7063,0.5678,0.678,0.7197,0.6988,0.7532,0.5874,0.6703,0.4226,0.368,0.3953
2,-0.4415,0.6886,0.5402,0.6593,0.707,0.6831,0.7606,0.5768,0.6687,0.3991,0.3493,0.3742
2.1,-0.4128,0.6689,0.5098,0.6394,0.6914,0.6654,0.7664,0.5634,0.6649,0.3771,0.3322,0.3546
2.2,-0.3787,0.6481,0.4775,0.6187,0.6732,0.6459,0.7702,0.5474,0.6588,0.3569,0.3171,0.337
2.3,-0.3406,0.627,0.4444,0.5977,0.6529,0.6253,0.771,0.529,0.65,0.3388,0.3043,0.3216
2.4,-0.2993,0.6064,0.4117,0.5778,0.6311,0.6044,0.7683,0.5088,0.6385,0.3229,0.2939,0.3084
2.5,-0.2558,0.5878,0.3809,0.5607,0.6096,0.5851,0.7619,0.4876,0.6247,0.3094,0.2861,0.2977
2.6,-0.2115,0.5727,0.3528,0.548,0.5907,0.5693,0.7526,0.4666,0.6096,0.2982,0.2803,0.2893
2.7,-0.1674,0.5627,0.3278,0.5406,0.5765,0.5585,0.7414,0.4467,0.5941,0.289,0.2766,0.2828
2.8,-0.1242,0.5585,0.3059,0.5385,0.568,0.5532,0.7293,0.4288,0.5791,0.2817,0.2746,0.2781
2.9,-0.0818,0.5604,0.2868,0.5412,0.5654,0.5533,0.7169,0.4131,0.565,0.2764,0.2744,0.2754
3,-0.0401,0.5679,0.2703,0.5481,0.5688,0.5585,0.7042,0.3996,0.5519,0.2734,0.276,0.2747
3.1,0.0004,0.5811,0.2567,0.5588,0.578,0.5684,0.6912,0.3878,0.5395,0.2728,0.2794,0.2761
3.2,0.0387,0.5996,0.2462,0.5727,0.5927,0.5827,0.6775,0.3774,0.5275,0.2748,0.2849,0.2798
3.3,0.0744,0.6226,0.2391,0.5886,0.6122,0.6004,0.6626,0.3684,0.5155,0.2793,0.2918,0.2855
3.4,0.1077,0.6482,0.2349,0.6052,0.6351,0.6202,0.6462,0.361,0.5036,0.2859,0.2992,0.2926
3.5,0.1383,0.6748,0.2333,0.6214,0.6605,0.641,0.6284,0.3556,0.492,0.2942,0.3061,0.3002
3.6,0.1651,0.7015,0.2346,0.6366,0.6874,0.662,0.6095,0.3526,0.481,0.3035,0.3119,0.3077
3.7,0.1864,0.7274,0.2394,0.6502,0.7148,0.6825,0.59,0.3521,0.471,0.313,0.3165,0.3148
3.8,0.2009,0.7516,0.2482,0.6617,0.7411,0.7014,0.5712,0.354,0.4626,0.3228,0.3202,0.3215
3.9,0.2089,0.7728,0.261,0.6702,0.7648,0.7175,0.5545,0.3586,0.4565,0.3326,0.3232,0.3279
4,0.2118,0.7898,0.2773,0.6751,0.7846,0.7298,0.5412,0.366,0.4536,0.3421,0.3256,0.3339
4.1,0.2107,0.8019,0.2968,0.6759,0.8007,0.7383,0.5319,0.3758,0.4539,0.351,0.3274,0.3392
4.2,0.2062,0.8094,0.319,0.6734,0.8142,0.7438,0.5262,0.3872,0.4567,0.3583,0.3282,0.3432
4.3,0.1976,0.813,0.3435,0.6685,0.8265,0.7475,0.5231,0.3992,0.4611,0.3634,0.3277,0.3456
4.4,0.1845,0.8129,0.3696,0.6618,0.8379,0.7499,0.5219,0.4117,0.4668,0.3658,0.3261,0.3459
4.5,0.1666,0.8092,0.3967,0.6537,0.8477,0.7507,0.5228,0.4248,0.4738,0.3655,0.3238,0.3446
4.6,0.1449,0.8017,0.4247,0.6442,0.8546,0.7494,0.5256,0.4385,0.4821,0.3629,0.3215,0.3422
4.7,0.1209,0.7905,0.4528,0.6332,0.8567,0.7449,0.53,0.4528,0.4914,0.3586,0.32,0.3393
4.8,0.0958,0.7756,0.4806,0.6208,0.8532,0.737,0.5355,0.4672,0.5014,0.3533,0.3196,0.3365
4.9,0.0714,0.7568,0.5077,0.6075,0.8435,0.7255,0.5415,0.4811,0.5113,0.3479,0.3206,0.3343
5,0.0502,0.7343,0.534,0.5938,0.8275,0.7107,0.5481,0.4943,0.5212,0.3431,0.3228,0.3329
5.1,0.0347,0.7086,0.5593,0.5799,0.8059,0.6929,0.5552,0.5069,0.531,0.3392,0.3262,0.3327
5.2,0.0275,0.6809,0.5833,0.5662,0.7792,0.6727,0.5625,0.5188,0.5407,0.3367,0.3312,0.334
5.3,0.03,0.6524,0.6062,0.5531,0.7486,0.6508,0.5698,0.5296,0.5497,0.3361,0.3384,0.3373
5.4,0.0433,0.6244,0.6283,0.5411,0.715,0.6281,0.5768,0.5385,0.5577,0.3376,0.3482,0.3429
5.5,0.0678,0.598,0.6504,0.5308,0.6799,0.6054,0.5835,0.5452,0.5643,0.3411,0.3603,0.3507
5.6,0.1033,0.5741,0.6722,0.5226,0.6444,0.5835,0.5896,0.5498,0.5697,0.3459,0.3738,0.3598
5.7,0.1486,0.5536,0.6927,0.5172,0.6099,0.5635,0.5953,0.5526,0.574,0.3514,0.3877,0.3695
5.8,0.2017,0.5376,0.7098,0.515,0.5776,0.5463,0.6002,0.5536,0.5769,0.3572,0.4014,0.3793
5.9,0.2595,0.5262,0.722,0.5164,0.5488,0.5326,0.6044,0.5519,0.5782,0.3637,0.4142,0.389
6,0.3187,0.5187,0.729,0.5212,0.5236,0.5224,0.6081,0.5467,0.5774,0.3708,0.4258,0.3983
6.1,0.3755,0.5138,0.7305,0.5284,0.5016,0.515,0.6112,0.5376,0.5744,0.3775,0.4358,0.4067
6.2,0.4271,0.5103,0.7266,0.537,0.4822,0.5096,0.6135,0.5245,0.569,0.3831,0.444,0.4135
6.3,0.4712,0.5075,0.7174,0.5461,0.4651,0.5056,0.6149,0.508,0.5614,0.3872,0.4504,0.4188
6.4,0.5057,0.505,0.7034,0.5552,0.4502,0.5027,0.6152,0.489,0.5521,0.39,0.4552,0.4226
6.5,0.5292,0.5023,0.6855,0.5635,0.4374,0.5005,0.6147,0.4684,0.5415,0.3917,0.458,0.4248
6.6,0.541,0.4995,0.6642,0.5711,0.4271,0.4991,0.6132,0.4471,0.5302,0.3918,0.4585,0.4252
6.7,0.541,0.4971,0.64,0.5781,0.4202,0.4991,0.6113,0.426,0.5186,0.3902,0.4565,0.4234
6.8,0.5298,0.4958,0.6138,0.5852,0.4177,0.5014,0.6094,0.4057,0.5076,0.387,0.4527,0.4199
6.9,0.5089,0.4968,0.5871,0.5927,0.4201,0.5064,0.6081,0.3871,0.4976,0.3832,0.448,0.4156
7,0.4806,0.4998,0.561,0.6006,0.4271,0.5139,0.6075,0.3702,0.4889,0.3801,0.4434,0.4118
7.1,0.4472,0.5042,0.5359,0.6082,0.4379,0.523,0.608,0.3553,0.4816,0.379,0.4395,0.4092
7.2,0.411,0.5089,0.5116,0.6145,0.4514,0.5329,0.6095,0.3425,0.476,0.3795,0.436,0.4077
7.3,0.3739,0.5132,0.4876,0.6192,0.4675,0.5433,0.6119,0.3328,0.4723,0.3805,0.4322,0.4064
7.4,0.3367,0.5173,0.4638,0.6222,0.487,0.5546,0.6148,0.327,0.4709,0.3814,0.4276,0.4045
7.5,0.2996,0.5221,0.4402,0.6239,0.5107,0.5673,0.618,0.3257,0.4719,0.382,0.4222,0.4021
7.6,0.2626,0.5283,0.4167,0.6249,0.5386,0.5818,0.6221,0.3292,0.4757,0.3827,0.4169,0.3998
7.7,0.2268,0.5359,0.394,0.625,0.5691,0.597,0.6281,0.338,0.4831,0.3841,0.4121,0.3981
7.8,0.1948,0.5438,0.3731,0.6236,0.6,0.6118,0.6371,0.3526,0.4949,0.3863,0.4083,0.3973
7.9,0.1695,0.5514,0.3548,0.6205,0.6293,0.6249,0.6495,0.3732,0.5113,0.3888,0.4054,0.3971
8,0.1528,0.5581,0.3394,0.616,0.6561,0.636,0.6645,0.3995,0.532,0.3914,0.4035,0.3975
8.1,0.1438,0.5637,0.3273,0.6106,0.6802,0.6454,0.6809,0.4306,0.5558,0.3938,0.4021,0.3979
8.2,0.1398,0.5682,0.3184,0.6046,0.7015,0.6531,0.6977,0.4652,0.5814,0.3959,0.4007,0.3983
8.3,0.1383,0.5714,0.313,0.5983,0.7199,0.6591,0.7136,0.5019,0.6078,0.3977,0.399,0.3984
8.4,0.1382,0.5734,0.3108,0.5925,0.7349,0.6637,0.7283,0.5395,0.6339,0.3993,0.3971,0.3982
8.5,0.1395,0.5746,0.3117,0.5885,0.7462,0.6673,0.7414,0.5765,0.6589,0.4004,0.3955,0.398
8.6,0.1418,0.5755,0.3155,0.588,0.7542,0.6711,0.7528,0.6108,0.6818,0.4009,0.3945,0.3977
8.7,0.1445,0.5761,0.3217,0.5922,0.7596,0.6759,0.7626,0.6401,0.7013,0.3999,0.3936,0.3968
8.8,0.1468,0.576,0.3296,0.6017,0.7634,0.6826,0.7706,0.6626,0.7166,0.3971,0.392,0.3945
8.9,0.1487,0.5749,0.3383,0.6167,0.7667,0.6917,0.7769,0.6771,0.727,0.3923,0.3889,0.3906
9,0.1508,0.5733,0.3463,0.637,0.77,0.7035,0.7815,0.6833,0.7324,0.3859,0.3842,0.3851
9.1,0.1536,0.5719,0.352,0.662,0.7734,0.7177,0.7842,0.6809,0.7326,0.3783,0.3784,0.3783
9.2,0.1571,0.5707,0.3541,0.6905,0.776,0.7332,0.7849,0.6692,0.727,0.3696,0.3715,0.3706
9.3,0.1612,0.569,0.3526,0.7204,0.7767,0.7485,0.7832,0.6482,0.7157,0.36,0.3636,0.3618
9.4,0.1663,0.5661,0.3484,0.7501,0.7741,0.7621,0.7795,0.6195,0.6995,0.3497,0.3546,0.3521
9.5,0.173,0.5614,0.3424,0.7785,0.7674,0.7729,0.7741,0.5854,0.6797,0.3398,0.3449,0.3424
9.6,0.1825,0.5549,0.3356,0.8051,0.7559,0.7805,0.7676,0.5487,0.6582,0.3313,0.3353,0.3333
9.7,0.1948,0.5467,0.3286,0.83,0.7395,0.7848,0.7603,0.5114,0.6358,0.325,0.3257,0.3254
9.8,0.2094,0.537,0.321,0.8533,0.7188,0.7861,0.752,0.4747,0.6133,0.3212,0.316,0.3186
9.9,0.2259,0.5256,0.3124,0.8748,0.694,0.7844,0.7427,0.439,0.5908,0.3196,0.3058,0.3127
10,0.2447,0.5126,0.3029,0.894,0.6644,0.7792,0.7328,0.4054,0.5691,0.3201,0.2952,0.3076
10.1,0.2666,0.4981,0.2937,0.9103,0.6293,0.7698,0.7232,0.3749,0.5491,0.3227,0.2848,0.3038
10.2,0.2919,0.4824,0.2857,0.9227,0.5879,0.7553,0.7143,0.3489,0.5316,0.3276,0.2748,0.3012
10.3,0.3204,0.4653,0.2791,0.9307,0.5405,0.7356,0.7063,0.3275,0.5169,0.3343,0.2651,0.2997
10.4,0.3507,0.4467,0.2734,0.9337,0.4881,0.7109,0.6991,0.3102,0.5047,0.342,0.2548,0.2984
10.5,0.3812,0.4272,0.2686,0.9324,0.4326,0.6825,0.6929,0.2969,0.4949,0.3498,0.2441,0.297
10.6,0.4104,0.4086,0.2649,0.9278,0.3773,0.6526,0.6881,0.2876,0.4879,0.3571,0.2329,0.295
10.7,0.4379,0.3932,0.2629,0.9213,0.3264,0.6239,0.6853,0.2832,0.4842,0.3634,0.2217,0.2925
