Time,ALDI - Its a Vibe 15 TVC,ALDI - Its a Vibe 15 TVC,ALDI - Its a Vibe 15 TVC,ALDI - Its a Vibe 15 TVC,ALDI - Its a Vibe 15 TVC,ALDI - Its a Vibe 15 TVC,ALDI - Its a Vibe 15 TVC,ALDI - Its a Vibe 15 TVC,ALDI - Its a Vibe 15 TVC,ALDI - Its a Vibe 15 TVC,ALDI - Its a Vibe 15 TVC,ALDI - Its a Vibe 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.501,0.8782,0.5476,0.8842,1.1022,0.9932,0.5797,0.7098,0.6447,0.5319,0.7236,0.6278
0.1,-0.4747,0.8693,0.56,0.8839,1.0851,0.9845,0.5993,0.712,0.6557,0.5337,0.7172,0.6254
0.2,-0.439,0.8557,0.5726,0.883,1.0617,0.9723,0.6164,0.7082,0.6623,0.537,0.7102,0.6236
0.3,-0.3937,0.8388,0.5845,0.8823,1.0329,0.9576,0.6311,0.6983,0.6647,0.5421,0.7031,0.6226
0.4,-0.3389,0.8202,0.5949,0.8829,1.0008,0.9419,0.6441,0.683,0.6636,0.5479,0.6963,0.6221
0.5,-0.276,0.8015,0.6035,0.886,0.9674,0.9267,0.6561,0.6639,0.66,0.5529,0.6897,0.6213
0.6,-0.2075,0.7835,0.6104,0.892,0.9343,0.9132,0.6672,0.643,0.6551,0.5552,0.6826,0.6189
0.7,-0.1362,0.7672,0.6154,0.901,0.9025,0.9017,0.6772,0.6225,0.6498,0.554,0.6744,0.6142
0.8,-0.0644,0.753,0.6185,0.9118,0.8725,0.8922,0.6856,0.6034,0.6445,0.5497,0.6649,0.6073
0.9,0.0059,0.7416,0.6198,0.9233,0.8454,0.8844,0.6923,0.5862,0.6393,0.5436,0.6544,0.599
1,0.0736,0.7332,0.6199,0.9345,0.8217,0.8781,0.6974,0.5717,0.6345,0.5366,0.643,0.5898
1.1,0.1374,0.7275,0.6195,0.9445,0.8018,0.8731,0.7012,0.5603,0.6307,0.529,0.6305,0.5797
1.2,0.1959,0.7241,0.6188,0.9527,0.7851,0.8689,0.7037,0.5525,0.6281,0.5204,0.6164,0.5684
1.3,0.2472,0.7224,0.6177,0.9584,0.7711,0.8648,0.7046,0.5477,0.6262,0.511,0.6007,0.5558
1.4,0.2902,0.7225,0.6161,0.9608,0.7603,0.8606,0.7033,0.5456,0.6244,0.5012,0.5838,0.5425
1.5,0.3248,0.7238,0.6142,0.9594,0.7531,0.8562,0.6998,0.5453,0.6226,0.4923,0.5663,0.5293
1.6,0.3513,0.7255,0.6123,0.9533,0.749,0.8511,0.6944,0.5466,0.6205,0.4848,0.5486,0.5167
1.7,0.3698,0.7258,0.6104,0.9417,0.7464,0.844,0.6868,0.5487,0.6178,0.479,0.5307,0.5048
1.8,0.3811,0.7232,0.6082,0.9245,0.7435,0.834,0.6766,0.5507,0.6137,0.4745,0.5124,0.4934
1.9,0.3868,0.7169,0.6049,0.9021,0.7386,0.8203,0.6633,0.5513,0.6073,0.4707,0.4939,0.4823
2,0.3894,0.7068,0.6003,0.8758,0.7311,0.8035,0.6467,0.55,0.5984,0.4675,0.4758,0.4716
2.1,0.3909,0.6934,0.5945,0.8477,0.7211,0.7844,0.6273,0.5468,0.587,0.4649,0.4587,0.4618
2.2,0.3924,0.6767,0.5883,0.8196,0.7084,0.764,0.6059,0.5423,0.5741,0.4633,0.4428,0.453
2.3,0.3942,0.657,0.5817,0.7928,0.6924,0.7426,0.5827,0.5372,0.56,0.4628,0.4278,0.4453
2.4,0.3969,0.6345,0.5737,0.7677,0.6725,0.7201,0.5576,0.5317,0.5446,0.4637,0.4139,0.4388
2.5,0.4013,0.6106,0.5631,0.7445,0.6488,0.6967,0.5307,0.526,0.5284,0.4659,0.4013,0.4336
2.6,0.4079,0.5867,0.5494,0.7233,0.622,0.6727,0.503,0.5205,0.5118,0.4695,0.3906,0.43
2.7,0.4167,0.5637,0.5331,0.7044,0.5931,0.6488,0.4757,0.5157,0.4957,0.474,0.3817,0.4279
2.8,0.427,0.5422,0.5157,0.688,0.5631,0.6256,0.4499,0.5117,0.4808,0.4793,0.3743,0.4268
2.9,0.4377,0.522,0.4987,0.6739,0.5331,0.6035,0.4262,0.5087,0.4674,0.4853,0.3682,0.4267
3,0.4481,0.5033,0.4831,0.6621,0.5039,0.583,0.4055,0.5063,0.4559,0.492,0.3631,0.4275
3.1,0.458,0.4864,0.4693,0.6523,0.4765,0.5644,0.3886,0.5046,0.4466,0.4989,0.3596,0.4293
3.2,0.4675,0.4718,0.4576,0.6439,0.4521,0.548,0.3761,0.5041,0.4401,0.5056,0.3579,0.4318
3.3,0.476,0.4602,0.4486,0.6368,0.4315,0.5341,0.3685,0.5056,0.4371,0.5113,0.3578,0.4346
3.4,0.4822,0.4518,0.4427,0.6311,0.4161,0.5236,0.366,0.5096,0.4378,0.5155,0.359,0.4372
3.5,0.4853,0.4469,0.4395,0.6275,0.4065,0.517,0.3685,0.516,0.4423,0.518,0.3614,0.4397
3.6,0.485,0.4458,0.4387,0.6266,0.4032,0.5149,0.3761,0.5244,0.4503,0.5189,0.3652,0.4421
3.7,0.4816,0.4482,0.44,0.6283,0.4055,0.5169,0.3886,0.534,0.4613,0.5184,0.371,0.4447
3.8,0.4746,0.4536,0.4434,0.632,0.4128,0.5224,0.4057,0.5443,0.475,0.5163,0.3792,0.4477
3.9,0.4628,0.4615,0.4487,0.6364,0.4244,0.5304,0.4262,0.5549,0.4906,0.5126,0.3892,0.4509
4,0.4448,0.4713,0.4552,0.6404,0.4394,0.5399,0.4488,0.5653,0.507,0.5081,0.4001,0.4541
4.1,0.4203,0.4823,0.4616,0.6436,0.4569,0.5502,0.4716,0.5746,0.5231,0.5035,0.4111,0.4573
4.2,0.3898,0.494,0.4671,0.6455,0.4761,0.5608,0.4934,0.5823,0.5379,0.4992,0.4216,0.4604
4.3,0.3538,0.5056,0.4713,0.646,0.4961,0.571,0.5138,0.5882,0.551,0.495,0.4316,0.4633
4.4,0.3131,0.5165,0.4743,0.6447,0.516,0.5804,0.5326,0.5922,0.5624,0.4904,0.441,0.4657
4.5,0.2688,0.5265,0.476,0.6416,0.5352,0.5884,0.5498,0.5942,0.572,0.4848,0.4496,0.4672
4.6,0.222,0.5354,0.4755,0.6367,0.5532,0.595,0.5651,0.5939,0.5795,0.4782,0.4572,0.4677
4.7,0.1734,0.5431,0.4724,0.6302,0.5701,0.6002,0.5778,0.5908,0.5843,0.4707,0.4637,0.4672
4.8,0.1235,0.5495,0.4667,0.6224,0.586,0.6042,0.5878,0.585,0.5864,0.4626,0.4689,0.4658
4.9,0.0729,0.5546,0.4586,0.6133,0.6008,0.6071,0.595,0.5769,0.5859,0.4539,0.4727,0.4633
5,0.0225,0.5585,0.4487,0.6032,0.6141,0.6087,0.5995,0.5673,0.5834,0.4448,0.4753,0.46
5.1,-0.0258,0.5611,0.4371,0.5924,0.6254,0.6089,0.6015,0.5569,0.5792,0.4354,0.4769,0.4561
5.2,-0.07,0.5623,0.4237,0.5811,0.6343,0.6077,0.601,0.5463,0.5737,0.4262,0.478,0.4521
5.3,-0.1092,0.5619,0.4081,0.5696,0.6406,0.6051,0.5983,0.5361,0.5672,0.418,0.4788,0.4484
5.4,-0.1429,0.5595,0.3908,0.5577,0.6443,0.601,0.5933,0.5265,0.5599,0.4113,0.4791,0.4452
5.5,-0.1708,0.5551,0.3726,0.5449,0.6454,0.5951,0.5864,0.5182,0.5523,0.4064,0.4785,0.4424
5.6,-0.1923,0.5488,0.3549,0.5309,0.6436,0.5873,0.5781,0.5118,0.5449,0.4034,0.4768,0.4401
5.7,-0.2065,0.5409,0.3388,0.516,0.6391,0.5775,0.5693,0.5082,0.5387,0.4024,0.4742,0.4383
5.8,-0.2126,0.532,0.3254,0.5007,0.6318,0.5662,0.5609,0.5077,0.5343,0.4036,0.4714,0.4375
5.9,-0.2109,0.5226,0.3154,0.4862,0.6222,0.5542,0.5536,0.5103,0.532,0.407,0.4688,0.4379
6,-0.2023,0.5131,0.3096,0.4735,0.6108,0.5422,0.5476,0.5157,0.5317,0.412,0.4662,0.4391
6.1,-0.1878,0.5041,0.3081,0.4633,0.5985,0.5309,0.543,0.5233,0.5331,0.4181,0.4633,0.4407
6.2,-0.1687,0.4962,0.3108,0.4556,0.5862,0.5209,0.5395,0.5325,0.536,0.4246,0.4599,0.4423
6.3,-0.1466,0.4897,0.3175,0.4502,0.5749,0.5125,0.5371,0.5429,0.54,0.4311,0.4563,0.4437
6.4,-0.1232,0.4852,0.3279,0.4466,0.5653,0.5059,0.5359,0.5544,0.5452,0.4375,0.4531,0.4453
6.5,-0.1002,0.4827,0.3414,0.4445,0.558,0.5012,0.5361,0.5667,0.5514,0.4437,0.4504,0.4471
6.6,-0.0789,0.4824,0.3574,0.4438,0.5532,0.4985,0.5377,0.5796,0.5587,0.45,0.4484,0.4492
6.7,-0.0602,0.4843,0.3757,0.4449,0.5512,0.498,0.541,0.5924,0.5667,0.4563,0.4471,0.4517
6.8,-0.0441,0.4886,0.396,0.4481,0.5516,0.4999,0.5457,0.604,0.5748,0.4626,0.4465,0.4545
6.9,-0.0304,0.495,0.4173,0.4533,0.5541,0.5037,0.5508,0.6136,0.5822,0.4688,0.4469,0.4578
7,-0.0188,0.5035,0.4384,0.46,0.5581,0.5091,0.5551,0.6207,0.5879,0.4744,0.4478,0.4611
7.1,-0.009,0.5141,0.4579,0.4679,0.5633,0.5156,0.5576,0.6252,0.5914,0.4786,0.4483,0.4634
7.2,-0.0016,0.5265,0.4741,0.4766,0.5704,0.5235,0.5577,0.6276,0.5926,0.4806,0.4474,0.464
7.3,0.0032,0.5409,0.4861,0.4866,0.5799,0.5332,0.5552,0.6283,0.5917,0.4801,0.4444,0.4622
7.4,0.0058,0.5567,0.4936,0.4983,0.5921,0.5452,0.55,0.6276,0.5888,0.4769,0.4392,0.458
7.5,0.0077,0.5734,0.4975,0.5119,0.6066,0.5593,0.5426,0.6256,0.5841,0.4713,0.4324,0.4519
7.6,0.0097,0.5905,0.4986,0.5275,0.6226,0.5751,0.5337,0.6227,0.5782,0.4636,0.4246,0.4441
7.7,0.0126,0.6076,0.4978,0.5447,0.6393,0.592,0.5244,0.6196,0.572,0.4539,0.4161,0.435
7.8,0.0167,0.6244,0.4955,0.5632,0.6561,0.6096,0.5157,0.6168,0.5662,0.4424,0.4068,0.4246
7.9,0.0218,0.6406,0.4914,0.5826,0.6727,0.6276,0.5083,0.6146,0.5614,0.4295,0.3967,0.4131
8,0.0285,0.6556,0.4856,0.6027,0.6883,0.6455,0.5026,0.6129,0.5577,0.4158,0.3858,0.4008
8.1,0.037,0.6689,0.4782,0.6233,0.7022,0.6627,0.4984,0.6114,0.5549,0.4023,0.3745,0.3884
8.2,0.0476,0.6796,0.4697,0.6436,0.7134,0.6785,0.4957,0.6099,0.5528,0.3898,0.3633,0.3765
8.3,0.0601,0.6871,0.4603,0.663,0.7215,0.6923,0.4949,0.6084,0.5516,0.3794,0.353,0.3662
8.4,0.0744,0.6905,0.4502,0.6809,0.7259,0.7034,0.4969,0.607,0.5519,0.3721,0.3443,0.3582
8.5,0.0904,0.6892,0.4395,0.6971,0.7257,0.7114,0.5026,0.6057,0.5541,0.3688,0.338,0.3534
8.6,0.1077,0.6831,0.4284,0.7119,0.7205,0.7162,0.5127,0.6043,0.5585,0.3699,0.3343,0.3521
8.7,0.125,0.6725,0.4173,0.7255,0.7103,0.7179,0.5271,0.6028,0.5649,0.3755,0.3335,0.3545
8.8,0.141,0.6581,0.4064,0.7376,0.6954,0.7165,0.5458,0.6011,0.5735,0.3854,0.3356,0.3605
8.9,0.1545,0.6405,0.3961,0.7477,0.6765,0.7121,0.5683,0.5996,0.5839,0.3987,0.3407,0.3697
9,0.1647,0.6199,0.3862,0.7552,0.6541,0.7047,0.5942,0.5984,0.5963,0.4147,0.3485,0.3816
9.1,0.1716,0.5968,0.3767,0.7597,0.629,0.6943,0.6226,0.5978,0.6102,0.4323,0.3589,0.3956
9.2,0.1757,0.5715,0.3671,0.7605,0.6018,0.6811,0.6522,0.5978,0.625,0.4505,0.3713,0.4109
9.3,0.1768,0.5451,0.3572,0.7573,0.5734,0.6654,0.681,0.5985,0.6397,0.4681,0.3847,0.4264
9.4,0.1747,0.5185,0.347,0.7499,0.5448,0.6473,0.7078,0.5993,0.6535,0.4844,0.3982,0.4413
9.5,0.169,0.4926,0.3366,0.7378,0.5168,0.6273,0.7318,0.5997,0.6658,0.4984,0.411,0.4547
9.6,0.1592,0.4681,0.3268,0.7211,0.4898,0.6054,0.7527,0.5994,0.676,0.5097,0.4228,0.4663
9.7,0.1448,0.4453,0.3184,0.7002,0.4638,0.582,0.7699,0.5977,0.6838,0.5183,0.4337,0.476
9.8,0.1255,0.4244,0.3113,0.6759,0.4392,0.5576,0.7827,0.5944,0.6885,0.5242,0.4439,0.484
9.9,0.1017,0.4059,0.3052,0.6497,0.4162,0.5329,0.7903,0.5889,0.6896,0.5279,0.4537,0.4908
10,0.0739,0.3898,0.2998,0.6225,0.395,0.5087,0.7918,0.5811,0.6864,0.5299,0.4634,0.4966
10.1,0.0434,0.3757,0.2949,0.595,0.3757,0.4853,0.787,0.5707,0.6788,0.5305,0.4731,0.5018
10.2,0.0116,0.3635,0.2905,0.5673,0.3584,0.4628,0.7764,0.5579,0.6671,0.5299,0.4826,0.5062
10.3,-0.0202,0.3534,0.287,0.5403,0.3434,0.4418,0.7609,0.5432,0.6521,0.5283,0.4917,0.51
10.4,-0.0512,0.346,0.2843,0.5154,0.3314,0.4234,0.7416,0.5276,0.6346,0.5258,0.5003,0.513
10.5,-0.0806,0.3419,0.2831,0.4941,0.3229,0.4085,0.7198,0.512,0.6159,0.5229,0.5082,0.5155
10.6,-0.1076,0.3411,0.2841,0.4772,0.3182,0.3977,0.697,0.4976,0.5973,0.5206,0.5157,0.5181
10.7,-0.1314,0.3436,0.2882,0.465,0.317,0.391,0.6744,0.4846,0.5795,0.5192,0.5231,0.5212
10.8,-0.1507,0.3492,0.2952,0.4572,0.3191,0.3881,0.6532,0.4731,0.5632,0.519,0.5307,0.5249
10.9,-0.1652,0.3581,0.3044,0.4535,0.3242,0.3888,0.634,0.4627,0.5484,0.5196,0.5379,0.5287
11,-0.1756,0.3702,0.3145,0.4533,0.3327,0.393,0.6174,0.4533,0.5353,0.5204,0.5438,0.5321
11.1,-0.1831,0.3852,0.3246,0.4564,0.3452,0.4008,0.6034,0.4447,0.5241,0.5214,0.5477,0.5345
11.2,-0.1889,0.4022,0.3347,0.4621,0.3619,0.412,0.5922,0.4369,0.5145,0.5226,0.5495,0.5361
11.3,-0.1943,0.4201,0.3449,0.4702,0.383,0.4266,0.5835,0.4297,0.5066,0.5244,0.5494,0.5369
11.4,-0.2005,0.4379,0.3555,0.4803,0.4083,0.4443,0.5769,0.4232,0.5,0.5267,0.5474,0.5371
11.5,-0.2082,0.455,0.3663,0.4924,0.4374,0.4649,0.5721,0.4177,0.4949,0.5296,0.5438,0.5367
11.6,-0.2181,0.4711,0.3772,0.506,0.4695,0.4878,0.5686,0.4138,0.4912,0.5325,0.5386,0.5356
11.7,-0.23,0.4864,0.388,0.5209,0.5038,0.5123,0.566,0.4115,0.4887,0.5349,0.5317,0.5333
11.8,-0.2431,0.5009,0.3983,0.5364,0.5389,0.5376,0.5638,0.4107,0.4872,0.5362,0.5229,0.5295
11.9,-0.2564,0.5148,0.4078,0.5518,0.5733,0.5625,0.5614,0.411,0.4862,0.536,0.5122,0.5241
12,-0.2699,0.5283,0.416,0.5659,0.6056,0.5857,0.5584,0.4121,0.4853,0.5339,0.4997,0.5168
12.1,-0.2841,0.541,0.4224,0.5768,0.6348,0.6058,0.5544,0.4136,0.484,0.5291,0.4849,0.507
12.2,-0.2994,0.5527,0.4269,0.5828,0.6602,0.6215,0.5489,0.415,0.482,0.5214,0.4678,0.4946
12.3,-0.3157,0.563,0.4297,0.583,0.6811,0.6321,0.5416,0.4162,0.4789,0.5105,0.4482,0.4794
12.4,-0.3319,0.572,0.431,0.5773,0.6972,0.6373,0.5325,0.4167,0.4746,0.4968,0.4266,0.4617
12.5,-0.3465,0.5799,0.4308,0.5662,0.7082,0.6372,0.5216,0.4161,0.4688,0.4807,0.403,0.4419
12.6,-0.3589,0.5869,0.4291,0.5501,0.7134,0.6318,0.5089,0.4144,0.4617,0.4627,0.3782,0.4205
12.7,-0.3686,0.5926,0.4265,0.5297,0.7127,0.6212,0.4947,0.4114,0.4531,0.4439,0.3533,0.3986
12.8,-0.3751,0.5966,0.4238,0.5056,0.7057,0.6057,0.479,0.4069,0.443,0.4256,0.3299,0.3778
12.9,-0.3767,0.5979,0.4219,0.4784,0.6921,0.5852,0.4619,0.4007,0.4313,0.4091,0.3097,0.3594
13,-0.3723,0.596,0.4215,0.4492,0.6715,0.5603,0.4435,0.393,0.4182,0.3955,0.2939,0.3447
13.1,-0.3618,0.591,0.4229,0.4194,0.6443,0.5318,0.4238,0.3843,0.4041,0.3858,0.2834,0.3346
13.2,-0.3458,0.5833,0.426,0.3907,0.6116,0.5012,0.4035,0.3754,0.3895,0.3811,0.2785,0.3298
13.3,-0.3244,0.5738,0.4306,0.3645,0.575,0.4698,0.3835,0.3673,0.3754,0.3821,0.2791,0.3306
13.4,-0.2971,0.5636,0.4367,0.3415,0.5361,0.4388,0.3653,0.3605,0.3629,0.3892,0.2844,0.3368
13.5,-0.2638,0.5537,0.4438,0.3219,0.4964,0.4091,0.3508,0.3556,0.3532,0.4019,0.2934,0.3477
13.6,-0.225,0.5447,0.4515,0.3058,0.4569,0.3814,0.3414,0.3528,0.3471,0.4194,0.3055,0.3624
13.7,-0.1831,0.5371,0.4598,0.2934,0.4191,0.3562,0.3379,0.3523,0.3451,0.4409,0.3202,0.3806
13.8,-0.1411,0.5309,0.4686,0.2847,0.3841,0.3344,0.3403,0.3541,0.3472,0.4664,0.3376,0.402
13.9,-0.1006,0.5262,0.4782,0.2793,0.3529,0.3161,0.3487,0.3581,0.3534,0.4955,0.3575,0.4265
